time,Region,Shape,Scale
2020,1,1.443,49.567
2020,2,1.443,49.567
2020,3,1.443,49.567
2020,4,1.443,49.567
2020,5,1.443,49.567
2020,6,1.443,49.567
2020,7,1.443,49.567
2020,8,1.443,49.567
2020,9,1.443,49.567
2020,10,1.443,49.567
2020,11,1.443,49.567
2020,12,1.443,49.567
2020,13,1.443,49.567
2020,14,1.443,49.567
2020,15,1.443,49.567
2020,16,1.443,49.567
2020,17,1.443,49.567
2020,18,1.443,49.567
2020,19,1.443,49.567
2020,20,1.443,49.567
2020,21,1.443,49.567
2020,22,1.443,49.567
2020,23,1.443,49.567
2020,24,1.443,49.567
2020,25,1.443,49.567
2020,26,1.443,49.567
2050,1,1.443,49.567
2050,2,1.443,49.567
2050,3,1.443,49.567
2050,4,1.443,49.567
2050,5,1.443,49.567
2050,6,1.443,49.567
2050,7,1.443,49.567
2050,8,1.443,49.567
2050,9,1.443,49.567
2050,10,1.443,49.567
2050,11,1.443,49.567
2050,12,1.443,49.567
2050,13,1.443,49.567
2050,14,1.443,49.567
2050,15,1.443,49.567
2050,16,1.443,49.567
2050,17,1.443,49.567
2050,18,1.443,49.567
2050,19,1.443,49.567
2050,20,1.443,49.567
2050,21,1.443,49.567
2050,22,1.443,49.567
2050,23,1.443,49.567
2050,24,1.443,49.567
2050,25,1.443,49.567
2050,26,1.443,49.567
