,time,BEV,FCV,HEV,ICE,PHEV,Trolley
Light Commercial Vehicles,1807,0.0,0.0,0.0,0.0,0.0,0.0
Light Commercial Vehicles,1808,0.0,0.0,0.0,0.0,0.0,0.0
Light Commercial Vehicles,1809,0.0,0.0,0.0,0.0,0.0,0.0
Light Commercial Vehicles,1810,0.0,0.0,0.0,0.0,0.0,0.0
Light Commercial Vehicles,1811,0.0,0.0,0.0,0.0,0.0,0.0
Light Commercial Vehicles,1812,0.0,0.0,0.0,0.0,0.0,0.0
Light Commercial Vehicles,1813,0.0,0.0,0.0,0.0,0.0,0.0
Light Commercial Vehicles,1814,0.0,0.0,0.0,0.0,0.0,0.0
Light Commercial Vehicles,1815,0.0,0.0,0.0,0.0,0.0,0.0
Light Commercial Vehicles,1816,0.0,0.0,0.0,0.0,0.0,0.0
Light Commercial Vehicles,1817,0.0,0.0,0.0,0.0,0.0,0.0
Light Commercial Vehicles,1818,0.0,0.0,0.0,0.0,0.0,0.0
Light Commercial Vehicles,1819,0.0,0.0,0.0,0.0,0.0,0.0
Light Commercial Vehicles,1820,0.0,0.0,0.0,0.0,0.0,0.0
Light Commercial Vehicles,1821,0.0,0.0,0.0,0.0,0.0,0.0
Light Commercial Vehicles,1822,0.0,0.0,0.0,0.0,0.0,0.0
Light Commercial Vehicles,1823,0.0,0.0,0.0,0.0,0.0,0.0
Light Commercial Vehicles,1824,0.0,0.0,0.0,0.0,0.0,0.0
Light Commercial Vehicles,1825,0.0,0.0,0.0,0.0,0.0,0.0
Light Commercial Vehicles,1826,0.0,0.0,0.0,0.0,0.0,0.0
Light Commercial Vehicles,1827,0.0,0.0,0.0,0.0,0.0,0.0
Light Commercial Vehicles,1828,0.0,0.0,0.0,0.0,0.0,0.0
Light Commercial Vehicles,1829,0.0,0.0,0.0,0.0,0.0,0.0
Light Commercial Vehicles,1830,0.0,0.0,0.0,0.0,0.0,0.0
Light Commercial Vehicles,1831,0.0,0.0,0.0,0.0,0.0,0.0
Light Commercial Vehicles,1832,0.0,0.0,0.0,0.0,0.0,0.0
Light Commercial Vehicles,1833,0.0,0.0,0.0,0.0,0.0,0.0
Light Commercial Vehicles,1834,0.0,0.0,0.0,0.0,0.0,0.0
Light Commercial Vehicles,1835,0.0,0.0,0.0,0.0,0.0,0.0
Light Commercial Vehicles,1836,0.0,0.0,0.0,0.0,0.0,0.0
Light Commercial Vehicles,1837,0.0,0.0,0.0,0.0,0.0,0.0
Light Commercial Vehicles,1838,0.0,0.0,0.0,0.0,0.0,0.0
Light Commercial Vehicles,1839,0.0,0.0,0.0,0.0,0.0,0.0
Light Commercial Vehicles,1840,0.0,0.0,0.0,0.0,0.0,0.0
Light Commercial Vehicles,1841,0.0,0.0,0.0,0.0,0.0,0.0
Light Commercial Vehicles,1842,0.0,0.0,0.0,0.0,0.0,0.0
Light Commercial Vehicles,1843,0.0,0.0,0.0,0.0,0.0,0.0
Light Commercial Vehicles,1844,0.0,0.0,0.0,0.0,0.0,0.0
Light Commercial Vehicles,1845,0.0,0.0,0.0,0.0,0.0,0.0
Light Commercial Vehicles,1846,0.0,0.0,0.0,0.0,0.0,0.0
Light Commercial Vehicles,1847,0.0,0.0,0.0,0.0,0.0,0.0
Light Commercial Vehicles,1848,0.0,0.0,0.0,0.0,0.0,0.0
Light Commercial Vehicles,1849,0.0,0.0,0.0,0.0,0.0,0.0
Light Commercial Vehicles,1850,0.0,0.0,0.0,0.0,0.0,0.0
Light Commercial Vehicles,1851,0.0,0.0,0.0,0.0,0.0,0.0
Light Commercial Vehicles,1852,0.0,0.0,0.0,0.0,0.0,0.0
Light Commercial Vehicles,1853,0.0,0.0,0.0,0.0,0.0,0.0
Light Commercial Vehicles,1854,0.0,0.0,0.0,0.0,0.0,0.0
Light Commercial Vehicles,1855,0.0,0.0,0.0,0.0,0.0,0.0
Light Commercial Vehicles,1856,0.0,0.0,0.0,0.0,0.0,0.0
Light Commercial Vehicles,1857,0.0,0.0,0.0,0.0,0.0,0.0
Light Commercial Vehicles,1858,0.0,0.0,0.0,0.0,0.0,0.0
Light Commercial Vehicles,1859,0.0,0.0,0.0,0.0,0.0,0.0
Light Commercial Vehicles,1860,0.0,0.0,0.0,0.0,0.0,0.0
Light Commercial Vehicles,1861,0.0,0.0,0.0,0.0,0.0,0.0
Light Commercial Vehicles,1862,0.0,0.0,0.0,0.0,0.0,0.0
Light Commercial Vehicles,1863,0.0,0.0,0.0,0.0,0.0,0.0
Light Commercial Vehicles,1864,0.0,0.0,0.0,0.0,0.0,0.0
Light Commercial Vehicles,1865,0.0,0.0,0.0,0.0,0.0,0.0
Light Commercial Vehicles,1866,0.0,0.0,0.0,0.0,0.0,0.0
Light Commercial Vehicles,1867,0.0,0.0,0.0,0.0,0.0,0.0
Light Commercial Vehicles,1868,0.0,0.0,0.0,0.0,0.0,0.0
Light Commercial Vehicles,1869,0.0,0.0,0.0,0.0,0.0,0.0
Light Commercial Vehicles,1870,0.0,0.0,0.0,0.0,0.0,0.0
Light Commercial Vehicles,1871,0.0,0.0,0.0,0.0,0.0,0.0
Light Commercial Vehicles,1872,0.0,0.0,0.0,0.0,0.0,0.0
Light Commercial Vehicles,1873,0.0,0.0,0.0,0.0,0.0,0.0
Light Commercial Vehicles,1874,0.0,0.0,0.0,0.0,0.0,0.0
Light Commercial Vehicles,1875,0.0,0.0,0.0,0.0,0.0,0.0
Light Commercial Vehicles,1876,0.0,0.0,0.0,0.0,0.0,0.0
Light Commercial Vehicles,1877,0.0,0.0,0.0,0.0,0.0,0.0
Light Commercial Vehicles,1878,0.0,0.0,0.0,0.0,0.0,0.0
Light Commercial Vehicles,1879,0.0,0.0,0.0,0.0,0.0,0.0
Light Commercial Vehicles,1880,0.0,0.0,0.0,0.0,0.0,0.0
Light Commercial Vehicles,1881,0.0,0.0,0.0,0.0,0.0,0.0
Light Commercial Vehicles,1882,0.0,0.0,0.0,0.0,0.0,0.0
Light Commercial Vehicles,1883,0.0,0.0,0.0,0.0,0.0,0.0
Light Commercial Vehicles,1884,0.0,0.0,0.0,0.0,0.0,0.0
