,wt%,BEV,FCV,HEV,ICE,PHEV,Trolley
LCV,1971,0.0,0.0,61.22177282560751,0.0,14.015648696961998,0.0
LCV,1972,0.0,0.0,383.5991458178323,0.0,47.105389304875246,0.0
LCV,1973,0.0,0.0,824.2700566309887,0.0,95.4178581712854,0.0
LCV,1974,0.0,0.0,1204.062892506991,0.0,137.84416053413173,0.0
LCV,1975,0.0,0.0,1545.766948779322,0.0,180.59062876690825,0.0
LCV,1976,0.0,0.0,1978.3181035462485,0.0,224.7897701838817,0.0
LCV,1977,0.0,0.0,2312.316946631102,0.0,253.02581325291334,0.0
LCV,1978,0.0,0.0,2691.2426017510143,0.0,279.2387758648328,0.0
LCV,1979,0.0,0.0,3173.840311032866,0.0,325.326102279761,0.0
LCV,1980,0.0,0.0,3451.8675219587476,0.0,325.7308284333919,0.0
LCV,1981,0.0,0.0,3578.6029807002838,0.0,344.5228327528419,0.0
LCV,1982,0.0,0.0,3685.515413173574,0.0,363.0613137697745,0.0
LCV,1983,0.0,0.0,3748.362586582628,0.0,370.47360049418154,0.0
LCV,1984,0.0,0.0,4111.011872011169,0.0,395.117160351133,0.0
LCV,1985,0.0,0.0,4825.15404978062,0.0,473.129722812596,0.0
LCV,1986,0.0,0.0,5937.020155927101,0.0,649.1492857207331,0.0
LCV,1987,0.0,0.0,7295.154669075134,0.0,888.5842991786714,0.0
LCV,1988,0.0,0.0,8756.575195683927,0.0,1156.0114936543,0.0
LCV,1989,0.0,0.0,10187.460381517443,0.0,1411.0903488261886,0.0
LCV,1990,0.0,0.0,11480.857469122826,0.0,1673.5013176606951,0.0
LCV,1991,0.0,0.0,12507.36994217186,0.0,1900.5322771970118,0.0
LCV,1992,0.0,0.0,13109.827941141197,0.0,2064.32532240697,0.0
LCV,1993,0.0,0.0,13475.04759367014,0.0,2185.04567829452,0.0
LCV,1994,0.0,0.0,14062.28747434189,0.0,2313.2056910975034,0.0
LCV,1995,0.0,0.0,14716.269358332993,0.0,2484.889295896087,0.0
LCV,1996,0.0,0.0,14877.4322555529,0.0,2528.130503607992,0.0
LCV,1997,0.0,0.0,15163.96613246635,0.0,2632.384157484031,0.0
LCV,1998,0.0,0.0,15389.858112245574,0.0,2773.5108347459104,0.0
LCV,1999,0.0,0.0,14811.710923358003,0.0,2658.4038141139763,0.0
LCV,2000,0.0,0.0,14395.830861209082,0.0,2542.785416891667,0.0
LCV,2001,0.0,0.0,13511.260002364479,0.0,2375.581523019585,0.0
LCV,2002,0.0,0.0,12826.800623448236,0.0,2216.8043238451196,0.0
LCV,2003,0.0,0.0,12555.467977440328,0.0,2159.944781744394,0.0
LCV,2004,0.0,0.0,12976.512759761343,0.0,2269.403101586394,0.0
LCV,2005,0.0,0.0,13366.271618956376,0.0,2382.8070481987033,0.0
