years,Buses,Trains,Hight Speed Trains,Cars,Planes,Bikes,Trucks,Freight Trains,Ships,Inland Ships,Freight Planes,High Speed Trains,Inland ships
1971,3868465080000.0,1185753209900.0,0,6862311200410.0,576210967900.0,2305657165000.0,4070405041500.0005,5050038504000.0,24232926550000.0,0,39074147290.0,190954739000.0,3817997442300.0
1972,4043756270000.0,1234920680000.0,0,7223979017000.0,646907993000.0,2338723063000.0,4364151967100.0005,5261452976000.0,28433438780000.0,0,46897643510.0,199690166000.0,4122869210900.0
1973,4277985940000.0,1296056706000.0,0,7502875418700.0,717297725000.0,2370434938000.0,4684706387900.0,5529830015000.0,30267612600000.0,0,52685051420.0,207878711000.0,4262065242700.0
1974,4435353440000.0,1338111368000.0,0,7414130199700.0,760901300400.0,2417091838000.0,4938847814700.0,5677585791000.0,31814220000000.0,0,56475668555.0,210901647000.0,4345276445400.0
1975,4688313420000.0,1387369849000.0,0,7720738005200.0,809529100000.0,2447601351000.0,4906607209200.0,5756959140000.0,31066941020000.0,0,61255234625.0,223724664000.0,4412953181200.0
1976,4867149970000.0,1417631456000.0,0,8122919695300.0,882622170000.0,2479776207000.0,5205895237000.0,6012812445000.0,32996062800000.0,0,68327627150.0,235885673000.0,4535368431300.0
1977,5114167810000.0,1470872697000.0,0,8440722906600.0,930792091000.0,2509745852000.0,5388929841900.0,6256432867000.0,34061038030000.0,0,74382514515.0,241073410000.0,4637942400600.0
1978,5367533470000.0,1524077193000.0,0,8813820788300.0,1041041305000.0,2537654220000.0,5553556278800.0,6498646070000.0,34491126880000.0,0,82871187970.0,255062820000.0,4737462656400.0
1979,5598294180000.0,1573411836000.0,0,8920757567300.0,1118803895000.0,2574940908000.0,5846269286600.001,6681243409000.0,36257458190000.0,0,91308620070.0,266495360000.0,4852677445500.0
1980,5850104680000.0,1621696476000.0,0,9117531239200.0,1185151209000.0,2610100085000.0,6022522297000.0,6826307210000.0,37073679780000.0,0,94606608205.0,272447410000.0,4922232741300.0
1981,6125044490000.0,1664621364000.0,0,9336277705500.0,1210355878000.0,2645368078000.0,6094623342000.0,7063324385000.0,36288224400000.0,0,95221478055.0,277614080000.0,4984048511900.0
1982,6366379480000.0,1703654074000.0,0,9614267168200.0,1233236016000.0,2682203256000.0,5936010794000.0,7321536172000.0,33660029020000.0,0,95328766760.0,288383230000.0,5012394495600.0
1983,6648899500000.0,1753536080000.0,0,9909928757700.0,1282400235000.0,2717045405000.0,5898515095000.0,7377392044000.0,33026215160000.0,0,97478405135.0,297241890000.0,5018126997300.0
1984,6987812100000.0,1821365874000.0,0,10224913046600.0,1374828316000.0,2748637457000.0,6148290163000.0,7627270744000.0,33735616520000.0,0,103005648800.0,304009610000.0,5079033704600.0
1985,7328027000000.0,1895824485000.0,0,10521982834000.0,1483818319000.0,2781921094000.0,6214023801000.0,7972855186000.0,33642716440000.0,0,108665055050.0,314069810000.0,5123246104300.0
1986,7683711840000.0,1963743616000.0,0,10867269842000.0,1588759702000.0,2815063215000.0,6202955403000.0,7855691148000.0,33510207880000.0,0,114149921380.0,325537770000.0,5187422837700.0
1987,8054951290000.0,2038296944000.0,0,11319738851000.0,1732724446000.0,2845379271000.0,6431358802000.0,8062495324000.0,34610519270000.0,0,124144600880.0,344991750000.0,5270465236400.0
1988,8537005730000.0,2137890055000.0,0,11860878890000.0,1862951765000.0,2866911746000.0,6658168061000.0,8300797928000.0,36410397350000.0,0,133436468550.0,371520470000.0,5409137549200.0
1989,8788834890000.0,2170199655000.0,0,12317541160000.0,1944500962000.0,2905536324000.0,6947067130000.0,9080387082000.0,37990084630000.0,0,140288221900.0,392363860000.0,5538395598100.0
1990,9027574610000.0,2168985502000.0,0,12475758890000.0,2062280025000.0,2953327896000.0,6970949713000.0,8800986335000.0,39045383270000.0,0,149946815000.0,394819460000.0,5642074434400.0
1991,9151851120000.0,2152084374000.0,0,12686220390000.0,2053782638000.0,3006033853000.0,6922964204000.0,8526947329000.0,39374888870000.0,0,154112254150.0,403542890000.0,5742447136800.0
1992,9339231530000.0,2153017341000.0,0,13086585430000.0,2085420205000.0,3046876438000.0,6998005708000.0,7813915036000.0,40105142850000.0,0,166932337675.0,416836370000.0,5824870470800.0
1993,9569602380000.0,2178280448000.0,0,13346139510000.0,2096762728000.0,3087223093000.0,7126393193000.0,7612911351000.0,40066709230000.0,0,176184452310.0,423304730000.0,5902721002700.0
1994,9751974290000.0,2171743788000.0,0,13753554930000.0,2227110141000.0,3126094335000.0,7356610493000.0,7375719257000.0,41430247930000.0,0,190893891750.0,433769590000.0,5983890931600.0
1995,10025734640000.0,2182731879000.0,0,14206383040000.0,2381878611000.0,3156237705000.0,7520417791000.0,6940500269000.0,42543102710000.0,0,204913760825.0,446469030000.0,6070552675600.0
1996,10252481730000.0,2212102934000.0,0,14660882100000.0,2569795038000.0,3187219470000.0,7844721028000.0,7026297364000.0,44068259450000.0,0,221724025975.0,455657600000.0,6203288805700.0
1997,10625917760000.0,2266115871000.0,0,15206377540000.0,2699930344000.0,3206565145000.0,8137195888000.0,7129053187000.0,46364507900000.0,0,234482810180.0,465705440000.0,6331909806700.0
1998,10969926480000.0,2307313379000.0,0,15781338720000.0,2749856731000.0,3226504739000.0,8035965079000.0,7110504884000.0,45910242790000.0,0,237944138110.0,477466020000.0,6372803012200.0
1999,11318349610000.0,2362980032000.0,0,16319318880000.0,2911768776000.0,3246127671000.0,8295249063000.0,7356944598000.0,47531135830000.0,0,252446178035.0,486568480000.0,6470024920900.0
2000,11633586870000.0,2444173053000.0,0,16864681570000.0,3134811262000.0,3265725244000.0,8837204596000.0,7755296790000.0,50552528520000.0,0,275464639865.0,492963330000.0,6625846405500.0
2001,12011906500000.0,2492745354000.0,0,17394470550000.0,3142259683000.0,3285080907000.0,8776797661000.0,7752990836000.0,49910067010000.0,0,278744421630.0,502823920000.0,6665321433300.0
2002,12471748700000.0,2572614019000.0,0,17977829550000.0,3135230013000.0,3298289048000.0,8954755232000.0,7864792776000.0,48898599950000.0,0,280004364750.0,506894510000.0,6732317007500.0
2003,12759113440000.0,2604152323000.0,0,18355566250000.0,3174369890000.0,3328386287000.0,9320760662000.0,8157447632000.0,50028981660000.0,0,285470001285.0,509697610000.0,6850469123800.0
2004,13221141840000.0,2721255103000.0,0,19009764730000.0,3663106548000.0,3334820264000.0,10022939936000.0,8627403552000.0,52663839260000.0,0,327687424315.0,510358410000.0,6994745185100.0
2005,13692469990000.0,2822523351000.0,0,19512885570000.0,3932596975000.0,3347991648000.0,10690982630000.0,9181609986000.0,54624947410000.0,0,349978419650.0,512237940000.0,7105202116900.0
2006,14201545580000.0,2778390253000.0,0,19743776290000.0,3942821984000.0,3014596120000.0,11355574219000.0,9623231681000.0,55418074550000.0,0,351812837920.0,516652897666.1569,7206915924500.0
2007,15175454220000.0,2851788549000.0,0,20269521310000.0,4016739426000.0,2868489129000.0,11953247460000.0,10103744048000.0,55499192050000.0,0,357617325280.0,523780483044.22,7294752688400.0
2008,15682529450000.0,2924119152000.0,0,20581162680000.0,4063260638000.0,2812475049000.0,12201021569000.0,10333288633000.0,53971148390000.0,0,357690528650.0,529614896949.53,7251374244600.0
