,0
1990,13.3
1991,5.423580666893534
1992,5.4293885575054635
1993,5.437145374701188
1994,5.447309068828129
1995,5.460386147740582
1996,5.476921461730025
1997,5.497483843587863
1998,5.522647763623775
1999,5.55297149661239
2000,5.588972661388064
2001,5.631102351049103
2002,5.6797193785495
2003,5.735066368592031
2004,5.79724948395239
2005,5.866223447564367
2006,5.941783200205787
2007,6.02356303900838
2008,6.111043469018011
2009,6.203565348902114
2010,6.300350313103901
2011,6.400525987928637
2012,6.503154243753432
2013,6.607260658747661
2014,6.711863492750985
2015,6.816000735804581
2016,6.918754141952563
2017,7.019269523584014
2018,7.116772915958079
2019,6.960336877076983
2020,6.800349966934803
2021,6.636186992634095
2022,6.467215449536601
2023,6.292836115963802
2024,6.112528833197025
2025,5.925891458274982
2026,5.73263933222435
2027,5.532293538268167
2028,5.319165872746153
2029,4.9987080401842166
2030,3.5907604851809296
2031,3.5886424555292535
2032,3.5857127024069233
2033,3.581737601258693
2034,3.5764890068759643
2035,3.569755880403122
2036,3.561356151603053
2037,3.5511477176092434
2038,3.539037512933227
2039,3.524987766460616
2040,3.509018863709712
2041,3.4912086083448965
2042,3.4716880649031308
2043,3.4506345045807056
2044,3.4282622205939988
2045,3.4048121036348795
2046,3.3805408700337836
2047,3.355710734857358
2048,3.330580151867169
2049,3.305396038850717
2050,3.280387703634661
2051,3.2803877036346614
2052,3.2803877036346614
2053,3.2803877036346614
2054,3.280387703634661
2055,3.2803877036346614
2056,3.2803877036346614
2057,3.2803877036346605
2058,3.2803877036346614
2059,3.2803877036346614
2060,3.2803877036346614
