,0
1990,13.3
1991,12.586908123412734
1992,12.217038875468385
1993,11.63732540815253
1994,9.412757654557481
1995,6.554073885596693
1996,5.564051408070675
1997,5.457313278109973
1998,5.458285934859052
1999,5.463529688713408
2000,5.472918550823455
2001,5.506430066059864
2002,5.5632265702278625
2003,5.619126859563037
2004,5.681165921476024
2005,5.738050164934274
2006,5.775486732962603
2007,5.8179483887315255
2008,5.868608609394275
2009,5.946339247347209
2010,6.024899674634266
2011,6.110194707990855
2012,6.186046855225123
2013,6.264164542488498
2014,6.366999303002763
2015,6.496003635214346
2016,6.569295949103045
2017,6.636643075717861
2018,6.68535673076605
2019,6.519650602954665
2020,6.285521554235316
2021,6.236713558233807
2022,6.138662099708283
2023,6.053965628790113
2024,5.936685561920763
2025,5.785476291166531
2026,5.589556821428628
2027,5.371510473597052
2028,5.150594901069738
2029,4.918121321225542
2030,4.496038715887412
2031,4.313852553264991
2032,4.15491469143196
2033,4.0093122017773
2034,3.8863752145779267
2035,3.779551749013755
2036,3.68680245814295
2037,3.6086364876344272
2038,3.544446428773532
2039,3.4964423550769044
2040,3.4681521151854624
2041,3.4598026865864284
2042,3.4657408201062014
2043,3.477724874742494
2044,3.4889375755095826
2045,3.4951982277947438
2046,3.4944583850444295
2047,3.486247964695825
2048,3.4720140222968183
2049,3.4538889578377887
2050,3.433674400980707
2051,3.4159794008111275
2052,3.4020066383418386
2053,3.3921495081661526
2054,3.3859155588930676
2055,3.3822520096668436
2056,3.3800512906023625
2057,3.378625411593824
2058,3.3776818322344893
2059,3.3772005311504008
2060,3.3772816660765077
