type,years,Canada,US,Mexico,Rest C.Am.,Brazil,Rest S.Am.,N.Africa,W.Africa,E.Africa,South Africa,W.Europe,C.Europe,Turkey,Ukraine,Stan,Russia,M.East,India,Korea,China,SE.Asia,Indonesia,Japan,Oceania,Rest S.Asia,Rest S.Africa
aboveground,1971,27135.604984645855,167296.0172200444,4282.81733017278,873.7654781352743,11382.564148932275,8080.792855632738,4833.189217954535,2312.2762810169497,1428.8001467880558,7213.8725329619365,95855.68548664707,47119.36323934778,1210.0671282419078,47892.557036345665,7490.481741519184,98632.35484064475,2205.4231807153024,13423.797821105532,477.95522726573483,6676.360274135824,1779.6987109596903,370.45613900045964,8165.756329495948,15762.694535659677,1533.8240763898852,3599.696660789295
aboveground,1972,27040.934293686383,166521.7524573952,4282.81733017278,873.7654781352743,11382.564148932275,8080.792855632738,4833.189217954535,2312.2762810169497,1428.8001467880558,7213.8725329619365,95855.68548664707,47119.36323934778,1210.0671282419078,47892.557036345665,7490.481741519184,98632.35484064475,2205.4231807153024,13423.797821105532,477.95522726573483,6676.360274135824,1779.6987109596903,370.45613900045964,8165.756329495948,15762.694535659677,1533.8240763898852,3599.696660789295
aboveground,1973,30739.38768961127,179507.35539811282,5017.347126588905,1016.2033893317365,14135.09141071214,9079.117131370285,5272.40428864904,2742.35628684314,1738.5165923993513,7784.621660461871,102041.34477018575,47119.36323934778,1403.3465768999888,50312.507409558544,8690.714734620007,103778.20281729882,2880.532809581065,15598.184300482808,602.0076059022276,9111.2174445281,2063.933117586831,473.22549275116637,9179.963016570024,17082.213095698295,1666.415414986398,4664.732010636977
aboveground,1974,34493.390914352356,194893.39545823296,5759.282186248588,1206.0134037092428,16887.677545497758,10415.35872451783,5711.618442934891,3172.4365882447614,2048.2330353878165,8620.577732682103,109388.54972305501,47119.36323934778,1601.70500475857,52732.45778277142,10504.698840525485,109573.27378470633,3694.5711762728815,17772.565570876868,726.0598887834111,11546.07133775387,2361.4854570552357,625.7779734432918,10194.960087103083,18614.36481033679,1823.3554000491845,5729.767563865508
aboveground,1975,38703.97130776175,222739.49422937667,6662.955193304333,1427.313399457478,19478.620485905605,12139.264474113661,6133.922904432723,3593.589688896533,2335.1833296792825,9476.00429552001,119652.33259015683,46786.832225175094,2354.1639818525887,53981.31841961459,12315.095201792989,114501.65265589056,4935.248471840695,19787.955430523198,840.9161103170768,13848.134921240859,2693.630389447308,827.6940757510005,11717.260203939186,20293.84604285822,2259.098673757196,7253.018384453787
aboveground,1976,41998.20946053176,239923.14308378298,7781.0807794138,1686.5379636783966,22216.92088767112,13983.051390379424,6715.458182720607,4104.869415989616,2622.4499823179317,10435.375585343874,127926.09831807995,46691.74407338334,3106.3632634632695,55230.1628715785,14128.0362379431,119027.49652494828,6657.587849320975,21715.056732849283,955.7722448004612,16149.939987172933,3103.832695032165,1054.8659672173715,13093.552023868411,22115.051865526024,2629.694743299147,9223.827620885144
aboveground,1977,46122.48102152259,259810.82775270136,8961.6420819246,1978.714779012849,25702.116632843376,16236.609458058794,7871.384648859668,4709.987583564455,2985.8937387259125,11710.228232611656,137608.83664142562,48212.70418289822,3858.5624817055905,56760.42915272072,16089.018234619838,124767.9597079396,8793.160619567965,24123.02770398115,1120.0080169128407,18452.26761261255,3596.9437428613837,1340.2651713638988,14352.54467141684,24211.65076002292,3000.2920441072506,11216.453114432441
aboveground,1978,46602.61696529214,266926.67935073737,9735.835492394426,2153.409589507421,27512.651957154827,17701.600364791684,8588.096470110266,5081.403919458384,3039.62111640478,12826.242054206123,142864.15552369898,50154.06301150779,4417.482112087205,58234.58756839507,16892.81665029921,125156.7626078283,10984.04089583708,24707.927212504343,1213.168879665377,18636.56306528848,3871.627551543609,1533.40788120552,15120.248778556217,25396.41192005845,3272.192750468631,12277.49735913794
aboveground,1979,47493.44033367265,273637.2687316798,11054.420470386654,2306.6961493003555,29713.128094111147,19239.12945790338,9410.743095098642,5514.088734793756,3133.9739705480024,13959.769541750828,146967.1653603684,52293.95578260616,4971.323131531981,57344.90092081716,17190.32265833026,125401.39704373815,13433.73031175499,25585.43552585272,1272.4774810745027,19091.63277412061,4288.904105828267,1727.897395170571,16055.308497791877,26719.517552296504,3568.7078874046474,13338.5442477945
aboveground,1980,48492.598919662865,281377.8723567868,12240.174383453641,2475.6643959660755,32301.781293723845,20824.87845934192,10438.936015295432,6069.841810317143,3293.6582012156978,15189.734818663506,153089.51346631127,54249.496162920135,5144.487561863889,56455.20916222475,17592.508614221944,126157.90535697405,15839.87377801581,27093.636931729267,1331.7861782389373,19616.806820813385,4672.851150794573,1916.0398752620874,16562.71746463894,28161.829960197272,3832.5589144234873,13881.403904183331
