regions,flow,sector,category,elements,materials,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060
Brazil,inflow,electricity,grid,lines,Aluminium,10.697289253802811,9.637093975093304,23.177884380324763,36.70586346097484,49.36472834431857,62.76710378639068,81.48656637731169,76.69134131143493,73.92372977275643,74.02920099468791,73.68555482015539,67.65659888798493,67.68898590739418,73.7364215280284,80.17791757069158,92.64000047737795,104.46463683094507,116.35616903701313,113.25473490384715,100.405408568226,73.29871239177034,50.45945620025962,40.355298364291244,40.198779123051516,47.64965006855333,63.12471507120248,75.03419161438057,67.18719528482033,56.37143184617782,58.35078168403644,58.24976824383341,60.37712632048382,73.28019484554127,89.09063270345736,86.25062159200913,84.26992137592478,83.99098600364516,92.05174029197553,95.4430261283486,105.59018699230847,120.59828726858535,136.2956579470796,137.55773279003262,159.4286646327744,178.79870310772336,196.21329710581423,219.95882424004904,248.17484889659238,252.20629230799878,273.6989700477099,295.58764479112693,288.09272433484597,269.97312321375193,265.8497890693755,236.17773650193055,204.424704277316,192.61481118162405,203.66942485840008,198.1718813900073,208.5035724801948,210.48415058743655,218.33735329602766,206.28352302886017,204.4892172038768,192.79568645168115,192.64645566697956,187.3501856609049,196.41665950164867,210.5037756540052,234.77970747661425,258.0454999182066,283.44557111021874,301.45498258068983,310.52251985994826,312.97417301125046,315.8856028267343,317.62875367995343,324.30531069858426,335.15295572537707,345.16055581724277,354.429096058331,366.68547676456586,375.4115907540977,385.0583058928138,394.2641231628882,401.5075028301321,402.98205493133497,403.7398236970421,397.91183544330465,391.9281492298102
C.Europe,inflow,electricity,grid,lines,Aluminium,50.93221941868628,45.935347230792566,40.884198330514195,35.74953138267327,28.519099863299136,22.6444453103894,32.9577512678457,45.74599770362015,59.67613045055779,74.43074277938604,91.34300296904838,87.47954812262758,87.02034404076998,84.46580778615463,84.45353304589723,81.43367861451335,91.80385302489059,90.94778137327987,84.87209679756945,79.15939737432281,72.03721762130361,75.29207277874877,84.77864115274525,95.41046765173104,102.08605695684547,110.2320560162434,87.4645513968729,63.320278898539975,44.799323684813814,28.883341475735488,11.029799909904009,12.129979746409532,22.753298803584954,36.82152044470263,58.12922420562102,89.81685437310375,119.97845756620438,135.61229895724466,143.2948052581157,141.12046656421768,122.76268734878657,109.940749648229,107.35670706908834,105.31275781417943,103.53101423435704,107.91608986116997,98.86294751640658,84.06639142427085,76.79323618230758,87.89545207578455,84.98483628590249,99.93412502535058,105.3241165235631,105.92568452975686,86.75590696999406,83.58615019706565,74.95411000843784,86.04935872065974,101.80347460959021,130.58206406280934,164.9985882210052,206.21656276517925,248.4479564289319,323.10529569735587,408.70713287902714,432.61249207632034,401.8746167752984,372.14278692191897,284.8059469705705,185.70950080001433,123.10481428446766,104.24754233628256,80.73416048075947,81.78441897170762,77.22168303515313,85.77187316329207,100.16775701412647,109.46696428491843,113.18932706408583,118.1227418831014,123.52236182200653,124.99377125885812,125.54183666141934,129.84075280984086,131.03036607012382,132.1552753903843,127.99271699180561,125.96247971693383,120.71064239624447,119.01081645803468
Canada,inflow,electricity,grid,lines,Aluminium,17.2187624773163,15.391844370590812,27.31378315465325,39.29712518615171,52.80022360250478,63.26489580601132,78.91448628791562,67.6365574414815,57.73991606159758,46.499014649231086,37.90247697216447,29.57039985129242,34.684795593052065,38.98446134990337,41.36368892920372,47.47272050976735,47.518881469811866,46.05508984653117,43.171137519510076,43.118859033937106,37.41598866514549,31.663459361907336,34.234336200767956,36.50930236452094,41.9077574519597,52.474517094675456,65.78184445507362,72.7245411724214,77.50813899998516,74.06353901005868,65.79160455457914,56.5513903892207,41.96345173225752,30.717157774288218,23.837448851657907,19.949902394413943,16.94425964878888,19.353782168222,26.977296539287426,28.37801934833588,31.11058528003403,33.546355128318034,40.19397522315209,45.341824201131885,52.47802652057807,56.117266783569875,67.31908111242923,70.82783322284921,66.43666564814518,71.13596671106696,73.82563266715708,61.916412243263245,52.717801952422356,48.6761944991883,41.00583914533713,38.83244208324531,45.28871937403794,53.31620108437356,61.36717731367652,67.67772925700967,72.56129626343207,77.53456833887836,84.589202905588,93.86467926842688,107.87461489560224,128.88005002665668,150.26825646958173,165.90888563117971,175.38450882908322,174.69998089754372,158.5957001501303,139.80813806669093,123.99289396062467,113.08029569276873,102.80299322737503,100.10196435458448,96.50729837887998,89.7112071699492,78.6993222786573,68.253337192156,56.971855219406685,48.75639523776546,45.117128558020475,43.150495929860845,45.41435493767035,47.14936626600561,47.104427888811436,40.939020803859584,38.95264775292211,37.612037434504494
China,inflow,electricity,grid,lines,Aluminium,6.290765919246142,5.67502370797362,18.022038074927615,30.361999949132063,41.98352058645391,53.592922822654074,65.98240938448401,54.107299727338805,43.66288286058329,34.28933675492435,28.537077400050016,22.560660263810348,32.43001455280081,42.11813221084949,53.410487164147945,62.13869929711906,71.8158975518264,77.70067210983541,84.35681951418901,92.52634616721595,99.43073991582428,109.56499827007502,120.83219383877369,138.11509431464054,148.05609008519605,161.33551936084473,172.7754979383406,191.3724697707841,198.7235077142023,210.52056293441998,222.83176811711166,245.61768285522896,268.2218179384219,322.35854215948467,399.8621061641575,492.55795962719037,590.3878465713077,687.5661314186418,753.6860454519872,791.1963087612601,831.0477424094896,837.1242574083593,846.5634553103987,877.491019600636,947.5792124676624,1000.681081366945,1096.2531729785903,1153.3386707533232,1182.9581806927495,1296.950208760893,1192.6572861425261,1141.2741262094723,1147.2856171316182,1050.2014777113495,919.8640108563213,1043.7514876905345,1072.8860959109104,1052.9740727449232,1138.5978053968906,1126.470016335643,982.1548269604203,862.8601916261173,781.5876163346786,730.9453925135446,697.6172494191453,752.0744178062832,790.2353185669601,813.1327682379238,819.3159781765065,803.589316816081,812.1531744453237,837.3110665179066,868.3676653339996,905.0412757476462,963.5853221451648,1016.9042781913178,1056.8283382479854,1094.8257850750015,1117.501257205264,1130.9350731195793,1145.2804633986118,1154.4010855200174,1150.6274866553997,1178.7258772932605,1173.0631497819488,1150.4694879542958,1136.1551255144009,1137.83599508726,1108.0904243213206,1104.7861789260032
E.Africa,inflow,electricity,grid,lines,Aluminium,0.9587816858741608,0.8650303741840484,1.945266332811214,3.024230529874817,4.015340245288362,5.005987054472458,6.404344100351092,5.451009627329917,4.650016796485745,4.18154485851159,3.8157216882683382,3.079836997613486,3.9322834501741246,4.475584386489818,4.629094817844344,4.878060553318467,5.5364522942736,5.257705996634054,5.280082312781348,5.687341022967219,5.645117549800028,4.9467928437489705,4.930783523047398,4.88399965027801,4.508418765153963,4.48636674702808,4.9802354372501805,5.679855845115577,6.388385830734386,7.2654828063872205,8.76375659679157,10.524139867519375,12.160624990605243,13.377999683550634,14.587369175446538,14.736870936502237,17.52210766778276,20.236062571934852,23.922412430827254,27.831120095533553,32.84243316806855,30.913777259128512,30.42618502518752,29.82442686406878,32.32545420766377,30.988306623113946,34.932521597513066,40.05295123121866,40.944124715163404,38.132462758281,39.45843913793196,38.532794006230816,40.96224683968407,52.9242876223497,68.97279852593562,92.72729903276017,128.5840056511435,160.3670634331161,191.41027444252464,222.66383201630865,246.12355535998387,258.0098517826128,267.1911494318703,268.98553914387185,265.70380267340244,264.12295492725684,265.07753431326205,269.85170514113014,281.0768590634451,299.67214913046,330.0182154245301,368.73724867109155,417.53925036792407,478.9271490283887,544.0887258546409,614.8210187704454,682.8626199679055,742.5785468199547,789.5432094665384,830.1614867783035,847.7891744045685,860.4100588092475,872.2871784536912,878.9480888852063,892.8022379643476,911.0846571206908,937.0278516958925,971.7986318737477,1016.1309943514324,1058.0957783168208
India,inflow,electricity,grid,lines,Aluminium,7.579683557717337,6.838630351265004,13.030724189427755,19.212900489028026,24.875464183481444,30.24349340077189,38.084579252461516,33.15098752354389,29.138099158201676,27.632168161246597,29.40894760996439,29.876362539291787,37.68305391009968,46.16712688114113,52.79942523131834,56.87572603944406,61.78070029222684,64.73313064027253,65.6111402226499,65.84038432987883,65.413740619399,63.919134506697446,62.28715963412924,61.68014259990164,62.36879335623326,63.89112256723346,64.46320537830412,65.42688058910944,66.10432076118023,69.84062270585731,75.5934637546815,79.84435103339091,85.59235173974108,92.07078576444756,94.65866469451147,96.25214035946159,102.96413091267108,117.84497253323781,137.25113705844757,168.27536823489527,212.2548423022965,252.12633940037318,288.8184753174881,345.16469621866463,377.3957498055593,407.5313498782833,459.5249698252739,494.5093691501919,472.47310146305824,442.43873325408896,572.0315986044128,652.3935900644072,603.2920745041397,560.003806951234,541.5864232939527,331.49000413575965,290.91856471137174,305.7839282914581,373.01249334017785,480.9545094969619,627.8407753789476,649.6855480603031,736.5442653144845,803.6140429175178,803.4888344511758,782.1662529330567,747.3393668355004,744.5923725855838,735.1396562344125,763.1693392771671,780.9492843652671,793.6596973992753,804.7830526428874,830.5593477109959,852.1090702953302,904.3365610364227,958.4509470913841,1018.3483473141129,1089.5326716625964,1164.0589093067672,1231.9893894674854,1325.1533230478228,1435.5130581091878,1550.620301013148,1652.6067664018462,1714.2513632787386,1755.596590658769,1761.909628709053,1689.577028264007,1620.356931773469
Indonesia,inflow,electricity,grid,lines,Aluminium,0.34898740534038936,0.31479993722759514,0.8275166841286352,1.6048546747964465,2.644511510518067,3.8180082906075072,5.344615909833,5.831873347659029,6.060611317263227,5.991856049451225,5.952782385752995,5.804406757204794,6.375031126028983,6.856039292490013,7.507143180943708,8.362480299465945,9.216537345085316,9.391876763366124,9.565438628105277,10.054691418207318,10.384699374206901,11.143893281680299,12.632151329507458,15.227993414415376,18.111477386950757,20.10759598046871,21.415128354384436,23.14161642725985,22.68162873410047,19.91397203467376,17.24870353335879,14.38065901286166,10.185356252418034,8.624243688254339,8.72581681930796,9.885557049805575,11.536968400104708,13.879197217196435,16.214917252171805,20.303003870672132,25.683792815483027,31.162957781307302,37.17258887126123,40.62351456463657,41.135434988218236,39.49543621000018,42.72634853647953,48.631558897344476,55.112143034565804,62.73401712353889,71.33898750730124,69.99898948874923,62.75062259927467,57.80487422800401,53.835710655859245,49.92564362639317,55.65307540388563,66.81282044774801,77.42210955920069,92.0387768789538,108.02207193229842,119.46787399098146,130.2876847853804,137.93458615347186,138.9999500753873,137.38830930366143,134.44317341367514,127.3013160531602,121.1890977879491,114.63381485251774,108.19835068864525,102.75828145127416,100.41324672061634,99.21928753403388,101.54813395130665,106.34063187976743,110.14751349163267,114.06867262509479,118.543524697788,121.48509234311486,122.37004604514414,125.86361832087913,128.35473326638865,130.43456230365473,134.7510089771507,140.6842387501851,145.0446912734811,151.19489332603413,158.5359192345687,165.20349319624952
Japan,inflow,electricity,grid,lines,Aluminium,7.635636918830061,6.896194323042726,11.474223555839385,16.08082364804395,23.335021886166075,29.79647688520496,36.56931840619682,35.59879524805896,35.510980935867586,30.383169740265473,26.302160568086265,23.590270211077232,21.877968014723162,20.52771027344015,23.24635050716477,22.52958581039264,23.04555962300274,22.946902039308608,22.636901105586336,20.690893922575192,21.910788040145857,20.338505584183267,23.499521331795616,24.341110780611313,25.152120961968077,25.930641623225117,28.14166920532396,25.7077779565982,23.622298437664135,20.775606295919296,17.215937478514835,12.846050232862156,10.194696436429705,8.71643458205592,9.507944724196177,11.35755447872631,12.843723999128587,15.959425895268028,21.129019935000503,22.13346884892264,23.625566827900066,26.209543899429253,30.780701645290375,34.983829290691645,42.13851194846716,46.846006039813695,50.8901816567595,51.988785719167176,51.835637364811284,51.28912805771503,48.423699035012675,45.05930765364199,40.72875321569208,32.94082435268883,24.851147431347982,25.121436044850885,21.81974317724817,20.801594449554962,19.47695431526351,18.97873713308736,15.531716281801652,15.186404359483674,13.583285090068527,14.83715169143587,15.50152830944052,15.064425004552408,15.836359464738955,16.1436868405344,16.760987117450473,17.251522292528723,17.51830791476511,18.94288546848957,20.16845602574801,21.531721411036095,23.35249668602405,25.29254250121113,26.241580193562896,27.744493370339875,29.076327082435213,30.416826575267386,32.69829205868301,34.445910663479346,35.31866166445809,36.39746702743723,36.43682047528333,34.75749252388157,33.61541565286037,32.792856771750714,31.664021164471958,31.244566249545553
Korea,inflow,electricity,grid,lines,Aluminium,0.44967111340147997,0.40557064460814896,1.0203579328084194,1.6346683897303012,2.199322647705492,2.7627628621510523,3.6442628850996432,3.487575902809594,3.150180724789277,2.862789054981962,2.779517471040539,2.318841687568091,2.971343615496523,3.1408906668920777,3.8285141975545134,4.574791315092205,4.885548593072399,4.415002140327153,4.60441491602936,4.088403590073916,3.638048080957045,3.8156787253219324,4.195592674930727,4.886571752756763,6.464901998544229,7.501941407232201,8.447511908238567,9.571977107377602,10.180919310362,8.837081302040461,7.657014150236834,8.12026016064009,7.773044440333986,7.912886804605643,9.243312604637243,10.107018108838504,8.617805811164654,8.452459835600823,9.051566468703792,9.796413868113552,12.171523846696923,16.663331499434765,18.378452779509296,18.105114155014974,17.946279557370634,15.641061697697529,12.440954866027699,11.425440468439788,12.413211106639888,12.564790884735412,15.006121443521506,16.790487734099482,16.97080155436087,13.875525013084516,11.069765666699812,6.981853055613337,4.457953568720103,6.974087785490498,12.704136106970388,33.19036860737533,38.8805069446378,42.88474241231621,39.37292825319502,33.87664112120635,14.238255060665233,9.144814430285578,4.272579462595773,3.1489421303251564,2.8935928379752123,2.284004599177265,1.9247896647509843,1.7105302411014827,2.1708182266950606,3.865342784169336,5.366388741373549,7.253336467406118,8.823741349105571,11.576564065098616,11.95806328186523,11.87826396891769,11.740298047525444,12.107660437417561,10.220261147074762,9.681859007642434,9.612385058189322,9.233039151394824,8.518746437394796,8.484459079022214,8.323789940071077,8.55347640104866
M.East,inflow,electricity,grid,lines,Aluminium,1.9663940715288506,1.767650048221827,4.966635822540974,8.857767932118012,14.901090697152826,23.34790640853271,34.1314392063951,41.80767497907018,50.056330431854235,55.954427638942,60.781810907812805,63.68121744352943,64.31469838658819,63.468171102298605,62.37278030561032,58.36196152554437,53.85028615744242,50.16028063398647,45.766662341022545,41.68615970872216,38.75796900938181,37.5104534726285,38.6071618145087,41.66312271718608,44.990957974964225,49.5326942535654,53.03904038149904,54.986101265887356,56.87107402225186,59.66275157092636,63.0315501227199,67.36563751599468,77.10912774391049,86.91020356630139,97.585092397497,108.6065653045632,123.79763537169016,139.7862473911228,153.9613629576145,175.66169834615454,191.26491738513798,201.22769423054987,202.9200314428505,213.4646133598649,203.52976672549732,207.777112919225,209.11667235981935,206.753808623113,191.5534328120825,187.17256297246112,158.25317229068077,126.3667605926631,105.60815719104528,99.74111334341806,93.30740753939297,105.31189899817772,128.08830592824194,149.05189929475904,158.99991029566266,175.47093358280966,186.1127524992312,190.66910758059885,191.06597250500133,196.42029972611283,204.06762716157354,224.71296547635626,259.47610776142784,293.7977491038773,326.09454978044636,349.222084391792,360.2536519430079,354.87559380656745,356.07297075455153,352.00227798951306,347.45088655236526,345.3985544382634,348.76185931552243,350.6032939483852,358.8152394819305,368.0511845549396,372.8154592709753,375.3112129396878,375.9872214912438,376.7692375512022,385.29353513581526,404.641542869165,422.13569433396276,436.58283258482436,445.76629792847643,442.14384888627467
