materials,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060
Aluminium,0.39771338083006347,0.3977133808300635,0.40806877051620927,0.4176599455170767,0.41701705708471665,0.4219723101231119,0.42643811068247583,0.42348299644021065,0.42209158091981713,0.420149330350951,0.41651382748165916,0.4146817597672436,0.41270880924630265,0.4082633734873402,0.40357721535894403,0.39995243273587827,0.39750464046037065,0.39544253783204625,0.3953483067753191,0.3950574914819695,0.3949403051949204,0.3948525717971906,0.3938095330595166,0.39276393067294607,0.3915780177255506,0.3903057989337852,0.38921284182669114,0.38813164384972343,0.38781995256376284,0.39111255599492234,0.39225552665775054,0.39417562009990526,0.39694984093484253,0.4013588432976074,0.4064060776990117,0.41169867917646147,0.4192177093726294,0.43293479875601426,0.45032583606363147,0.4825960550900525,0.5349764364884496,0.5791390247521682,0.6316891007223017,0.6829880256621144,0.7430509373112594,0.8304107898603938,0.940858667626822,1.0389527987959315,1.1435431326607133,1.2584540017251244,1.3121106623815626,1.4090561388839862,1.4951787124581128,1.5277231688625779,1.60796931042595,1.715468296054867,1.8638324690981576,1.9920474463813935,2.150564400627342,2.335498664294131,2.3864575947982467,2.443018143931909,2.5181347684464357,2.6038887339479495,2.699073465300085,2.751840566371423,2.8016678108339454,2.8542446552854286,2.905281325604093,2.951125830135519,2.9868902195680573,3.030633972624152,3.0738917307304923,3.119715222835383,3.1581994373686237,3.194178217405532,3.2343371863892094,3.2721318742155563,3.3143918643467636,3.3511013827437877,3.3911039041995497,3.430507280121456,3.4723692740505108,3.5196240063685083,3.55807696464833,3.58637841946081,3.6150786625416442,3.6416451278951736,3.664778355696423,3.6814131323743204
Co,0.055351456221289404,0.055351456221289404,0.0558466454360973,0.05633248078911268,0.05494831994509697,0.05518855173260254,0.055444081410700424,0.05517386293024706,0.05504919636395262,0.05487913910773093,0.05439882409888976,0.05420944326150694,0.05399282969923273,0.05344758581271291,0.05279696273849109,0.05247535353216498,0.052277542429618344,0.05207729247876285,0.052168256182463374,0.05222691234745023,0.05236375433781825,0.05253071256725278,0.05248351737947779,0.05246767408828022,0.052425920846252076,0.05232140238017662,0.05216398760035468,0.052045751151783,0.05186139925472627,0.051592553491331745,0.0514845399746725,0.051376226713287225,0.05139269752021957,0.05161892575843273,0.05199401744686516,0.052437470873009574,0.05279101142763817,0.05267625034120879,0.05239605302724796,0.05190711569102142,0.050914168985711966,0.0499497293468771,0.04936756663480514,0.04858081285943495,0.04764211413478454,0.04704046897750203,0.04624633377234835,0.045568353518521565,0.04498740870178732,0.04399530485471031,0.04383867654254397,0.04330209711210679,0.04291503123293189,0.042744298199449006,0.04219474227405466,0.04134771838678007,0.04034473262274991,0.03941550660072395,0.03830998847723282,0.03701816706229956,0.036484853635298214,0.035894400444866775,0.03523569938733126,0.03455714249742353,0.033884648861605006,0.0334507559712463,0.03308087846403287,0.03265740256479657,0.03229261493222552,0.03199256682481253,0.031702826794435535,0.03137501948499357,0.031015739256958563,0.030609737185409647,0.030223420413592706,0.02981525291297378,0.029350075841259156,0.028890200607757467,0.02839842910818135,0.027884047538266322,0.027301824788550092,0.0266969078899805,0.02605658755845362,0.025403463486086738,0.024804199115530647,0.024223770003070282,0.02367192925682684,0.023136726369461735,0.022645848304535737,0.022208920706685044
Concrete,864.9791266777182,864.9791266777183,812.8600220917019,764.9539348709859,707.7842054962125,668.7635589190852,634.291291044188,627.0609953207697,622.6497637189764,620.1414358180193,616.2206405418306,614.7183398334358,612.0996365452345,609.4278587829025,605.8381372580421,604.7796459840803,603.8237261158795,602.6188886118088,600.8981808018689,599.6900634185477,599.3438498323965,599.9034424549934,601.925237380352,607.1208214171697,613.3292978091686,620.5639714528935,627.7104894007729,634.3600169263564,638.5728194819851,638.8180716851189,636.2360805719541,633.374475660321,629.1797312570561,624.4756403932793,619.2001538754097,615.5130765961186,612.3226380017359,614.83954309605,617.858106322891,625.1360185416451,635.6154227732173,643.486450018915,646.7480063271004,650.2396303478256,651.9237348029072,646.0597504667581,639.5868462075066,633.0688581834767,624.430064877485,614.0605803427807,608.6174432811448,600.3293359777432,595.1260642747559,594.4155653293844,590.5321759092709,585.9132148142199,580.4193599710276,577.2103089162031,571.7815683271792,564.0958860628333,566.3775840050246,567.5061218320577,565.76196870184,561.8885796163787,556.1093894212189,552.1312474452187,547.1612410130476,542.5816808701913,537.5366887276398,532.9280799001143,528.8922492089911,524.1270542050977,518.834726328667,513.0930399118803,507.6174093174681,502.01554855073005,496.24184946631306,490.61820595664653,485.1590721348515,480.22363842715384,475.58453880722243,470.94062379628207,466.20933398124066,460.7442163637209,455.683363881739,450.96156320580826,446.2429027307512,441.5094056134348,437.2535998892923,433.1239844969599
Cu,1.8103856016282982,1.8103856016282982,1.7417581866552048,1.6807235430340108,1.5935124914893357,1.5364318526946026,1.4909919299377843,1.4873154799797146,1.4840838757287127,1.480654886521347,1.4710307316028093,1.4713041399754159,1.4598432486543278,1.44535885989323,1.432896431312484,1.4253001469542486,1.4149388547393047,1.406874156857871,1.4019991150278994,1.395346215545442,1.3889317884820345,1.3874390194299977,1.384057187277195,1.3814789601272484,1.3847885546951113,1.3885615044122765,1.390031049525388,1.4038445005566489,1.4156983672994925,1.420993616344069,1.422708227943034,1.4221815830320463,1.4116851628489935,1.4091257532051795,1.4157449157234938,1.4257854474312204,1.4362954353941833,1.4621812791587163,1.4858978420764921,1.5155753325200234,1.5575440985336582,1.594007104356518,1.6213684796123018,1.6501139637235325,1.6826793908251196,1.725143716484049,1.7797674158251773,1.8289195834668504,1.879993229421188,1.9443597212400197,1.9646186253322622,2.0178774567338458,2.063440326416738,2.081257887444137,2.1257799798387236,2.1850493373640996,2.2555239315434883,2.3133837874309293,2.3844198532717744,2.4722934742824267,2.4895825386366823,2.510636288738096,2.543611235998961,2.581126840828454,2.621449189937626,2.6393408495479536,2.655072335363432,2.6727418074037743,2.6903489857879386,2.708375068888931,2.724257914909352,2.746284304048363,2.7711498805646944,2.7987299327248305,2.8232896934604286,2.846791660416406,2.8714138892602072,2.893178414318161,2.91691994022247,2.9370512325052753,2.9588256895360847,2.9803107138789846,3.0033793908486235,3.0283256995357104,3.048736779484138,3.064514560965513,3.080865250173602,3.096298154444629,3.108970275985863,3.117699010801902
Glass,2.028200818163866e-08,2.028200818163866e-08,1.8718318325047806e-08,1.7248199211922218e-08,1.520250370657335e-08,1.3707017016412695e-08,1.2277096131690906e-08,1.1500521097815872e-08,1.0800987471457195e-08,1.0138744901576162e-08,6.997259428419867e-05,0.0009843499889037708,0.0012528015689089247,0.0023815902277644937,0.0040991571407384105,0.005709655183601123,0.00894138341720519,0.011461186711009685,0.015557799258003331,0.019487934257472313,0.019140681168048238,0.018811492581213122,0.01839156084861375,0.01797636188022924,0.01754622778390644,0.017588509614319115,0.017163751230837937,0.016675705958558044,0.016200568511738324,0.017535472417033716,0.016966776571821003,0.016351919078524135,0.01579510939451919,0.015129285772698104,0.014388736973182388,0.01395372037974539,0.015601166465965847,0.016651660921681594,0.02278467678459466,0.03631223042904916,0.04675213456505279,0.0673663825652529,0.09971931051124444,0.11155921634360047,0.11257762645450207,0.11012289465225303,0.10696836139110362,0.11722699906697226,0.12321734646697534,0.12006103205906925,0.11639503500944012,0.11322970572303354,0.11088603808308858,0.10955922552698474,0.10837738299057263,0.10614721297792719,0.10349938263275162,0.10089607466650584,0.09878127863258217,0.09624947952224887,0.09379023550832846,0.08996250922881326,0.08655203762123753,0.08008326800841162,0.07346322743631425,0.06745442728025697,0.06179827745319068,0.055359912349713165,0.04864777784609402,0.04239420512537081,0.036766483576815556,0.03159323176831621,0.027850229626050167,0.025927617511037688,0.025064703674467892,0.02465250370868373,0.024499509132927866,0.024205426570750664,0.024300397786956168,0.02456356216862781,0.024906180571749433,0.02519212656778193,0.02514859096932845,0.0249219925279872,0.024570597339127677,0.02431032609071228,0.02408509704302113,0.02423550948574049,0.024406419616689424,0.024809331224526554
Mn,0.01860385372371834,0.018603853723718342,0.018098152118835267,0.017597588982883168,0.03099284523785089,0.03268966503564477,0.033840638169866336,0.03663153666430849,0.0384107726917305,0.040263422470719366,0.043479753597634785,0.044563535021368304,0.046917698054478325,0.051258980943446913,0.056514767409695216,0.05944283277123617,0.06174876622751327,0.0638973718380835,0.0643301613661292,0.06452019530572363,0.06403173655084603,0.06326606278002203,0.06326997592860559,0.06271281791470691,0.06201958849133632,0.06142890303595975,0.060704689078097986,0.05982314823021283,0.0588410624935346,0.05797776287479151,0.056715544310547275,0.05590142689286834,0.05489526522150281,0.05373448375804587,0.052833841797533816,0.05174259017323947,0.05068580985974503,0.049268179485908066,0.04812701609098468,0.047619503099952,0.046851128617568655,0.04650214255556069,0.04649510034725294,0.04621332385517607,0.04579995981758237,0.045207466555483786,0.04504710374894885,0.04525622359433773,0.04505013346856479,0.04500188007014032,0.04476563818158571,0.044101688395828315,0.04356689282590219,0.043193277663121185,0.04281487235127779,0.04248464180135896,0.041825004853596234,0.04118685548366849,0.04042929218299533,0.03937532691442724,0.039272243172984514,0.038785553006294125,0.038483639145367385,0.0378479415078487,0.03719901753687434,0.036792121118410175,0.03639768436497953,0.03662078138583296,0.03609898547978147,0.0355099872715301,0.035042367693899096,0.03459709353644651,0.03425514107677715,0.034041259796593774,0.03384943554357616,0.03374933295392526,0.03373130181103319,0.03381034855561119,0.03388616233633478,0.03410784365119263,0.03440729144213577,0.03477203805194384,0.03516884486582535,0.03557097040344318,0.0359896682515888,0.03648577181584249,0.03695293454196058,0.037410437706776815,0.037870650592415435,0.03833863565040763
Nd,6.801318689247372e-06,6.801318689247372e-06,6.276954782548728e-06,5.783968658592189e-06,3.008657142741682e-05,2.844456838892258e-05,2.7838129824585178e-05,2.6987768697490316e-05,3.610232143874728e-05,4.3927911215172166e-05,4.489535976473989e-05,4.843669580532244e-05,5.966042773982558e-05,6.667226439728974e-05,7.849673047778009e-05,8.086453708867173e-05,8.4693114935609e-05,9.024644068136865e-05,9.463460199419107e-05,9.644690203930957e-05,9.779815762201429e-05,9.886181514704715e-05,0.00010098457992488362,0.0001059350953685169,0.00011217885791629693,0.00012053039934226694,0.00012944154667800446,0.000139088749231915,0.0001583302775419747,0.00019333528521662312,0.00021868849173562263,0.00025292892771811476,0.0002939580970247769,0.00032927486601482626,0.0003707282203196943,0.0004315695327117666,0.0005034087845517081,0.0005893206135375017,0.0007178272804397342,0.0008316555216426601,0.0009556822929249931,0.0011123382027966033,0.0012236829474483529,0.0013616900671222926,0.0015731264091904693,0.0017034974477089003,0.001842464096844915,0.0019879487549778903,0.0021397584393924767,0.002410602425911832,0.00241415539794029,0.002492818662656955,0.002507987929359651,0.002494151028892791,0.0025173540564615484,0.002570764151421372,0.0025822700807659354,0.0025874750091603583,0.0025915888145665693,0.002697445517384899,0.0027165940842008088,0.002736096981186754,0.0027986536012144857,0.0028321859188504264,0.0028648308083703855,0.002915789677510042,0.002962362156807986,0.003034935614916825,0.003075186772017186,0.0031032950345184543,0.0031425817975220555,0.0031786820691689,0.003225590216568446,0.0032737929093868408,0.0033338767975279403,0.003397580048475889,0.003465854352107251,0.0035389985575554057,0.00361824381714589,0.003701078466227853,0.0037970732876009125,0.003894940176280124,0.003991240453494613,0.0040847528415160666,0.0041787154326270145,0.004277681462153639,0.004371775063954117,0.004479312945695537,0.004580089004292373,0.004681330173222054
Ni,0.4179779835338983,0.4179779835338983,0.42201789033033354,0.42589447167674843,0.4291018883490423,0.43368612898224806,0.438276075693325,0.44081874840215957,0.4434753031324627,0.4458025783522953,0.44689491635918893,0.448307847763533,0.4501726631679358,0.4514602813281193,0.45262849153308976,0.45415338684946727,0.4557657563793792,0.4571881036511483,0.45892724027471693,0.4602590915280959,0.46160719821977103,0.4628291501659177,0.46323384152072195,0.4635834863488231,0.4635176217981629,0.4631025746767363,0.46231697716177933,0.4618113800147516,0.4610658622103084,0.460396710689572,0.46061930552260416,0.4611585603097998,0.4622888589212264,0.4646178111048422,0.4680604971786455,0.47183958407814836,0.475177819475,0.4754887966776943,0.475241842294564,0.4736987003525404,0.46885438609489566,0.46463311065230056,0.4620127843764651,0.4586759107598482,0.45474048044730747,0.4515424127904057,0.4465264609664653,0.44245771794843597,0.4388899272400246,0.43443243450889,0.43294892497994547,0.42938399355787915,0.42601788163732923,0.42461733133012186,0.42050628795239675,0.4141798595276885,0.4056415318026124,0.3977252315102741,0.3881971449776116,0.3773283899458934,0.3730329131320422,0.3682690432660758,0.36303091766758727,0.3574121393776505,0.35160368808222375,0.34809012112523857,0.344983255711182,0.34178542886102636,0.33867141227403696,0.3359693902956192,0.33375470934702667,0.33126198042549676,0.3287527510258464,0.32604283387962896,0.3236288388106023,0.3211685463013766,0.3183264595415697,0.31551815004120426,0.312401776292102,0.3092945445631303,0.30577950982304897,0.30208493934856206,0.2980199227998072,0.29367619809006706,0.289677910587287,0.28590911376318423,0.28220925608806563,0.27864720942429255,0.2753743217290623,0.27254517015672375
Pb,0.001967772268416429,0.001967772268416429,0.0018160621661106257,0.0016753659270188825,0.002586823600100237,0.0026412618133574046,0.0026600887533771026,0.002865027668077958,0.002985371735187801,0.0031177120336858375,0.003362931145638636,0.003438176355078963,0.0036094178879184286,0.0039403505315439855,0.004336336001608436,0.004560952401711314,0.004732753665402818,0.004890205307199674,0.004909089001897094,0.004913006579621614,0.004874292137397528,0.004815615104997002,0.0048202407241796155,0.004786125264577415,0.004742737694578681,0.004707086976045571,0.00466059024887096,0.0046006862138449,0.004525091469469033,0.0044775668028019106,0.00436700084298676,0.0043015531625293845,0.004223323590759736,0.004151065382975767,0.004101733946993799,0.00403257825712843,0.003987006546243354,0.004015523019464763,0.0040873687000030435,0.004418150799608579,0.0049968339693994435,0.005462927341086539,0.006033839236962105,0.006598434654555659,0.007267166165691322,0.008266930692804108,0.009601364485599135,0.010761945055230244,0.011966848946296463,0.013283779024005416,0.013911421780283305,0.015010534531105612,0.016026452003741944,0.01641956060840077,0.01738103474030299,0.0186841388155782,0.020489535757880234,0.022054613386846222,0.02398680233570832,0.026206714268610945,0.02682362914550314,0.0276344225243094,0.028740579431596,0.03005303365005658,0.031560991231395545,0.03262719841861184,0.033641832855283445,0.03469926449882032,0.03575699368030112,0.03676406980358441,0.037653860348013574,0.038634638640153575,0.03960671805424978,0.040609167953743086,0.041514898373837705,0.04239319615421453,0.043311931613442864,0.04418653101957787,0.045084692525130254,0.04592103524261607,0.04677436792265313,0.047627253789033534,0.04849294031262325,0.04942542080234067,0.05022489553390145,0.05090644572085174,0.05155515636690484,0.05218043556180347,0.05276475449094494,0.053277275176016596
Plastics,0.0015451760695737314,0.0015451760695737312,0.001426047030427266,0.0013140466381248363,0.0011581962947467544,0.001044263195701444,0.000935325363726396,0.0008761622561171789,0.0008228686564716817,0.0007724160566429664,0.0007220489741801811,0.0006779748570334102,0.0006355708554666532,0.0005912805643638571,0.0005484155290160475,0.0005112773806587813,0.0004784893581323206,0.00044849923032121576,0.00042229778308672635,0.00039743448943870083,0.00037726649184032386,0.00035431189892920446,0.0003307955823997122,0.0003080313865599141,0.0002857732888010532,0.00026436617355471274,0.00024380337611915374,0.00023168886634428648,0.00021170591750664918,0.00020212096900880128,0.00018307101495060473,0.00016486862812398404,0.000148033583986314,0.00013161743957694008,0.00011610182587588914,0.00010058786199584408,9.298385488394938e-05,0.00011498485065241591,0.00011358008006847924,0.00011212635014691976,0.00011012339191757515,0.00015245212401153013,0.00015085412591784615,0.00014189703108424706,0.00016400876742743398,0.0004513377247585295,0.00048572459222234857,0.0005127755787490944,0.0007742125176073243,0.0007381791721305107,0.0007153772180264095,0.0007321581833872428,0.0009482415163656391,0.0009350934547081807,0.0009226939096110124,0.001468037168443167,0.0015003521460142273,0.0018234290593782568,0.0017786542933422925,0.0021811402638092147,0.0021368464178650667,0.0029403324778013665,0.0055552923239311205,0.007426305484944992,0.00989747458852299,0.012962675826561921,0.01596353433805268,0.019160443234553723,0.022436688070883445,0.02581909483375939,0.029212390158636133,0.03252165281255131,0.03581426437475045,0.0390517158043161,0.042286345464905006,0.04548476524306278,0.04857396209433217,0.051496834829566455,0.05420425876514222,0.056884079001069635,0.05937012759782908,0.061872881300522195,0.06415694923145608,0.06643689157108146,0.06858291737942222,0.0707647008889072,0.07271222429103673,0.07470194329244602,0.0766995575266896,0.07873285960015598
