type,time,Canada,US,Mexico,Rest C.Am.,Brazil,Rest S.Am.,N.Africa,W.Africa,E.Africa,South Africa,W.Europe,C.Europe,Turkey,Ukraine,Stan,Russia,M.East,India,Korea,China,SE.Asia,Indonesia,Japan,Oceania,Rest S.Asia,Rest S.Africa
phs,1971,735.447,6946.064,31.81561,14.10828,62.39334,80.37454,64.98549,39.587378072342986,12.19602,4.268952829356662,4225.907,671.8501,21.16440791688985,57.8542713333702,74.33946173212955,620.8450768366815,26.610427119158224,173.00820563980218,71.8585659408565,221.7254,38.15437,4.907253,1042.438,275.0202,18.634412386305414,27.75388889837961
phs,1972,759.1855,6232.191,33.76728,14.75648,64.72932,87.41286,63.4201,44.75095134383279,12.94789,4.825773793235113,4202.191,684.509,23.924983263782877,65.40049467937428,84.03586707999375,701.824883996361,30.08133546001262,175.2241,81.23141448425021,216.4364,41.78436,5.442649,1090.8,264.9797,17.10498,31.373966778034895
phs,1973,848.2824,6953.423,36.23951,16.14804,74.72646,94.61426,69.46065,49.91451721859641,14.04652,5.382593087326639,4551.089,724.0818,26.68554834810364,72.94670610592173,93.73234924999514,782.8043535965508,33.552268251129256,187.79,90.60424246930924,236.3883,45.50531,6.398905,1195.602,308.1774,19.12638,34.99404462427131
phs,1974,880.8403,6925.105,47.15644,16.88277,83.1761,100.387,79.71723,54.87407427903079,15.34181,5.917410590054936,4658.319,761.891,29.337053552420688,80.1947302439256,113.55266612299862,860.5845093778352,36.88603118749485,195.7203,99.60674072811729,239.587,50.00045,6.858215,1189.794,330.2616,19.6543,38.4710718826657
phs,1975,862.4747,7179.935,48.24523,18.16344,89.4527,104.7994,109.37912486901644,59.4818741177789,16.4888,6.410184176295054,4678.014,823.3403,31.78010315855687,86.87296176118008,127.7902,932.2495558132891,39.95774946968851,219.1954,107.9015586402155,271.9449,51.83371,8.08984,1227.33,342.5244,21.05523,45.014079033365306
phs,1976,932.97,7691.907,51.55055,19.53784,102.5132,110.4353,116.80563997002496,63.56232742603191,18.5204,7.125470307007447,5018.009,860.1652,33.93789948964303,92.7713945271773,130.4767,995.5467167295121,44.77787623116737,247.4517,115.22768140201255,284.2197,57.85015,7.712904,1304.448,356.0231,21.25173,56.44889693534968
phs,1977,997.9266,7951.502,56.56361,21.51409,115.0504,119.239,122.97222610506387,66.96318739390783,19.71325,7.804151918652163,5133.194,909.9604,35.72959773056928,97.66917800071576,132.6225,1048.106343554756,49.607104024310445,258.6653,121.31108855047829,313.3373,64.11201,8.539184,1356.952,375.8335,22.46345,68.47907077752191
phs,1978,1060.348,8182.188,61.25023,22.94557,126.9325,125.8628,126.50911060116313,70.92035,22.00514,8.348004867364791,5343.661,952.1047,36.757260744895824,100.47833252841066,136.5573,1078.2520603449707,90.23922103491272,288.8188,124.8002361752534,353.9596,65.14972,11.39609,1413.944,388.7618,24.5852,71.50904
phs,1979,1120.93,8342.586,66.70834,24.76441,143.4404,140.5532,131.8013534356911,82.95013029418091,23.15218,8.839433588363061,5586.248,957.6049,37.45006276069669,102.3721342653948,139.0432,1098.574767326994,132.94945216768275,296.8371,127.15240793252354,390.3342,71.72323,13.11118,1487.541,404.0954,26.42122,76.89871
phs,1980,1147.82,8409.23,72.36127,24.15146,158.1535,152.754,139.65437813032278,91.03635,22.61221,9.31151886955625,5630.167,1017.379,41.77520112447063,103.81002850345972,144.04,1114.00408935034,177.52610416334045,317.8622,128.93835773825077,416.5244,75.27014,15.99627,1458.643,422.0977,26.04603,71.00812
phs,1981,1202.58,8429.978,78.89396,25.76356,159.4196,155.8926,164.9086,92.97467,24.87938,10.470287152767218,5667.905,992.6112,51.238396658161726,116.44573531631028,146.197,1249.600587460462,245.52905497446807,349.7563,144.63272118974365,427.3867,80.30047,16.70909,1473.671,446.7891,27.2952,74.17485
phs,1982,1171.374,8128.731,85.18305,26.87478,170.0975,162.1592,170.629,94.67048,26.07582,11.393706252594695,5663.769,1014.44,60.503423059861646,126.40058815441638,148.6767,1356.4275442814126,318.01688645505016,377.9008,156.99724311615387,454.9058,86.31356,20.5456,1485.084,455.5781,30.19001,76.14965
phs,1983,1215.877,8365.825,85.53952,29.06709,181.4704,173.3452,181.316,88.18422,27.57513,12.190864838767126,5801.264,1065.933,69.93145242681432,134.89964671868015,150.6344,1447.6320837618398,343.3062257498383,413.2039,174.3,487.2305,94.61081,22.99988,1529.829,465.5728,34.02096,75.96156
