,wt%,BEV,FCV,HEV,ICE,PHEV,Trolley
LCV,1971,0.0,0.0,61.22177282560751,0.0,14.015648696961998,0.0
LCV,1972,0.0,0.0,322.37740930228404,0.0,33.089764706467605,0.0
LCV,1973,0.0,0.0,440.6694656632749,0.0,48.31381548000387,0.0
LCV,1974,0.0,0.0,379.7934667804547,0.0,42.43507368101271,0.0
LCV,1975,0.0,0.0,341.7239679403663,0.0,42.83334272348579,0.0
LCV,1976,0.0,0.0,432.6311064030048,0.0,44.133146904763954,0.0
LCV,1977,0.0,0.0,334.2742217098012,0.0,28.32965506641639,0.0
LCV,1978,0.0,0.0,379.8010223260689,0.0,26.54055897018618,0.0
LCV,1979,0.0,0.0,485.1301721671092,0.0,46.455421638294425,0.0
LCV,1980,0.0,0.0,284.39505393222964,0.0,1.2366383666026917,0.0
LCV,1981,0.0,0.0,141.4944828561133,0.0,20.71479937992929,0.0
LCV,1982,0.0,0.0,137.353435683653,0.0,22.318698699431625,0.0
LCV,1983,0.0,0.0,119.25847928451908,0.0,14.155852930094957,0.0
LCV,1984,0.0,0.0,456.9323463126598,0.0,35.27730855726756,0.0
LCV,1985,0.0,0.0,856.7802553279782,0.0,82.86983826599229,0.0
LCV,1986,0.0,0.0,1308.9479708871415,0.0,196.7799014048312,0.0
LCV,1987,0.0,0.0,1608.4126989279223,0.0,264.8850686217237,0.0
LCV,1988,0.0,0.0,1757.6103803491642,0.0,296.1666686596812,0.0
LCV,1989,0.0,0.0,1760.3240835726292,0.0,286.8382248853827,0.0
LCV,1990,0.0,0.0,1642.1434887433193,0.0,295.0413734552536,0.0
LCV,1991,0.0,0.0,1381.570561036182,0.0,259.11452925545575,0.0
LCV,1992,0.0,0.0,953.7842396103827,0.0,194.29228242441462,0.0
LCV,1993,0.0,0.0,707.6402320934665,0.0,150.40547157588261,0.0
LCV,1994,0.0,0.0,924.4539222203941,0.0,157.28217652186945,0.0
LCV,1995,0.0,0.0,1007.0160536954376,0.0,204.72251172073925,0.0
LCV,1996,0.0,0.0,562.4242238308871,0.0,87.49531916038124,0.0
LCV,1997,0.0,0.0,782.7499250034264,0.0,164.3270103984492,0.0
LCV,1998,0.0,0.0,857.4609928859343,0.0,224.4555435930336,0.0
LCV,1999,0.0,0.0,236.2778567081172,0.0,0.01772837933664255,0.0
LCV,2000,0.0,0.0,595.7262104073145,0.0,38.03984390497981,0.0
LCV,2001,0.0,0.0,287.7676730676415,0.0,17.689231510090163,0.0
LCV,2002,0.0,0.0,615.487341013631,0.0,54.5775277970031,0.0
LCV,2003,0.0,0.0,1089.9843095476629,0.0,181.13793059953915,0.0
LCV,2004,0.0,0.0,1783.2906223525008,0.0,346.3226950696373,0.0
LCV,2005,0.0,0.0,1689.055072054129,0.0,345.6093288924439,0.0
LCV,2006,0.0,0.0,1917.062409862851,0.0,384.59435773401117,0.0
LCV,2007,0.0,0.0,1972.998822922088,0.0,394.77130952350643,0.0
LCV,2008,0.0,0.0,1843.1355375767746,0.0,435.9632249866972,0.0
LCV,2009,0.0,0.0,1534.46094849251,0.0,364.30530354482926,0.0
LCV,2010,0.0,0.0,4869.577120409054,0.0,1135.2244743296274,0.0
LCV,2011,0.0,0.0,12972.40226939611,0.0,4322.691292436656,0.0
LCV,2012,0.0,0.0,43312.06422532738,0.0,24915.14444284803,0.0
LCV,2013,0.0,0.0,176081.4562145904,0.0,216302.89096053457,0.0
LCV,2014,0.0,0.0,885943.1717360937,0.0,2871382.7280802866,0.0
LCV,2015,0.0,0.0,4675900.490061297,0.0,46128298.71181434,0.0
LCV,2016,0.0,0.0,1232885.560284619,0.0,11017246.10502171,0.0
LCV,2017,0.0,0.0,1569919.0602795347,0.0,13460095.377690742,0.0
LCV,2018,0.0,0.0,1781033.2899724746,0.0,15346518.509003492,0.0
LCV,2019,0.0,0.0,1829204.1455017594,0.0,16299176.436594015,0.0
LCV,2020,0.0,0.0,406049.3198082536,0.0,3866905.346994294,0.0
LCV,2021,0.0,0.0,7964263.791296702,0.0,66851430.275793575,0.0
LCV,2022,0.0,0.0,8696770.395654505,0.0,59694701.25213195,0.0
LCV,2023,0.0,0.0,9259792.176454319,0.0,70880647.35789026,0.0
LCV,2024,0.0,0.0,8944080.00070606,0.0,76005629.93585575,0.0
LCV,2025,0.0,0.0,7945401.544555192,0.0,92681750.08505735,0.0
LCV,2026,0.0,0.0,7998835.130814486,0.0,100213178.12755083,0.0
LCV,2027,0.0,0.0,8937641.458938029,0.0,126239174.40675628,0.0
LCV,2028,0.0,0.0,8034043.165537845,0.0,117449681.12774001,0.0
LCV,2029,0.0,0.0,8548327.193556998,0.0,125714002.66998456,0.0
LCV,2030,0.0,0.0,9055211.362572368,0.0,128321286.848295,0.0
LCV,2031,0.0,0.0,9987414.869611524,0.0,130480817.44321911,0.0
LCV,2032,0.0,0.0,9912876.957016204,0.0,135583363.2887448,0.0
LCV,2033,0.0,0.0,10608415.971953522,0.0,139926128.09295502,0.0
LCV,2034,0.0,0.0,9605240.481929105,0.0,142216327.56319812,0.0
LCV,2035,0.0,0.0,9860783.482951777,0.0,148840055.74440402,0.0
LCV,2036,0.0,0.0,9408309.791982243,0.0,153129431.33138692,0.0
LCV,2037,0.0,0.0,9515900.475306729,0.0,167345515.56365347,0.0
LCV,2038,0.0,0.0,9545008.143403431,0.0,182516430.4420363,0.0
LCV,2039,0.0,0.0,9363062.822327966,0.0,196184312.62170774,0.0
LCV,2040,0.0,0.0,8658114.126798162,0.0,209955594.44884172,0.0
LCV,2041,0.0,0.0,8071792.7763397945,0.0,212867493.98215866,0.0
LCV,2042,0.0,0.0,7432220.727770279,0.0,216867735.3515416,0.0
LCV,2043,0.0,0.0,7057144.641118598,0.0,217982122.0433136,0.0
LCV,2044,0.0,0.0,6645737.2337110145,0.0,218647578.3136132,0.0
LCV,2045,0.0,0.0,6415365.947359742,0.0,217742804.42820758,0.0
LCV,2046,0.0,0.0,5958249.733564526,0.0,211681264.27895722,0.0
LCV,2047,0.0,0.0,5997950.428249436,0.0,209788777.7027074,0.0
LCV,2048,0.0,0.0,6045625.4774028165,0.0,208427784.56862807,0.0
LCV,2049,0.0,0.0,6086817.942556184,0.0,207947464.24959734,0.0
LCV,2050,0.0,0.0,6089740.291236194,0.0,208662255.1254145,0.0
LCV,2051,0.0,0.0,5868182.701269905,0.0,200663430.81955966,0.0
LCV,2052,0.0,0.0,5864640.569518286,0.0,203014815.26275185,0.0
LCV,2053,0.0,0.0,5763439.939214328,0.0,206876677.31581894,0.0
LCV,2054,0.0,0.0,5513704.268187853,0.0,212287574.4751305,0.0
LCV,2055,0.0,0.0,5306812.370782093,0.0,218092255.01030278,0.0
LCV,2056,0.0,0.0,4846536.783926923,0.0,221330209.97415227,0.0
LCV,2057,0.0,0.0,4403740.229963873,0.0,227071099.73233736,0.0
LCV,2058,0.0,0.0,4122719.432115561,0.0,231495670.65214545,0.0
