,wt%,BEV,FCV,HEV,ICE,PHEV,Trolley
LCV,1971,0.0,0.0,61.22177282560751,0.0,14.015648696961998,0.0
LCV,1972,0.0,0.0,383.59911733585074,0.0,47.105398570430815,0.0
LCV,1973,0.0,0.0,824.2679319494036,0.0,95.41910809117293,0.0
LCV,1974,0.0,0.0,1204.0578067921901,0.0,137.853621163667,0.0
LCV,1975,0.0,0.0,1545.764937658133,0.0,180.68441595318617,0.0
LCV,1976,0.0,0.0,1978.326048574943,0.0,224.80729920616292,0.0
LCV,1977,0.0,0.0,2312.3420807508696,0.0,253.10029486585856,0.0
LCV,1978,0.0,0.0,2691.2979863792084,0.0,279.5245906207308,0.0
LCV,1979,0.0,0.0,3173.969315820309,0.0,325.65196579789097,0.0
LCV,1980,0.0,0.0,3451.9956017342056,0.0,326.0634173498412,0.0
LCV,1981,0.0,0.0,3578.775403483253,0.0,344.9233095314832,0.0
LCV,1982,0.0,0.0,3685.7250249503736,0.0,363.50525818549187,0.0
LCV,1983,0.0,0.0,3748.6184295153607,0.0,370.89210192429385,0.0
LCV,1984,0.0,0.0,4111.395205334235,0.0,395.09907754571947,0.0
LCV,1985,0.0,0.0,4825.6671380850785,0.0,461.5444068427394,0.0
LCV,1986,0.0,0.0,5937.79192653873,0.0,636.0900312586186,0.0
LCV,1987,0.0,0.0,7295.943457225092,0.0,873.3230898348965,0.0
LCV,1988,0.0,0.0,8757.530860527506,0.0,1137.6413414026954,0.0
LCV,1989,0.0,0.0,10188.38900438316,0.0,1390.1929986057623,0.0
LCV,1990,0.0,0.0,11481.635737498127,0.0,1650.363920805139,0.0
LCV,1991,0.0,0.0,12508.091400048037,0.0,1875.540188875201,0.0
LCV,1992,0.0,0.0,13110.965234431435,0.0,2037.6495026975444,0.0
LCV,1993,0.0,0.0,13477.00369891148,0.0,2157.441413953564,0.0
LCV,1994,0.0,0.0,14065.110167401035,0.0,2284.1278656293844,0.0
LCV,1995,0.0,0.0,14723.562681473853,0.0,2454.962526802966,0.0
LCV,1996,0.0,0.0,14892.316283669104,0.0,2499.955617527635,0.0
LCV,1997,0.0,0.0,15191.143419223885,0.0,2606.0388454667664,0.0
LCV,1998,0.0,0.0,15426.359544173643,0.0,2748.550176609668,0.0
LCV,1999,0.0,0.0,14864.408685192328,0.0,2635.898995916667,0.0
LCV,2000,0.0,0.0,14471.363186472343,0.0,2526.5746859872993,0.0
LCV,2001,0.0,0.0,13595.46855001263,0.0,2362.944304748056,0.0
LCV,2002,0.0,0.0,12916.853947476615,0.0,2208.106447243728,0.0
LCV,2003,0.0,0.0,12645.873893241134,0.0,2161.5815644586714,0.0
LCV,2004,0.0,0.0,13069.335125819369,0.0,2273.541438881904,0.0
LCV,2005,0.0,0.0,13457.301898052396,0.0,2388.7420977093852,0.0
LCV,2006,0.0,0.0,14169.196336171417,0.0,2554.668910311759,0.0
LCV,2007,0.0,0.0,15047.35967407255,0.0,2746.6877878837886,0.0
LCV,2008,0.0,0.0,15902.560338125113,0.0,2996.9347822545574,0.0
LCV,2009,0.0,0.0,16543.23062656541,0.0,3192.013447201706,0.0
LCV,2010,0.0,0.0,20598.259375517617,0.0,4173.64490739163,0.0
LCV,2011,0.0,0.0,32820.60637466353,0.0,8357.685547913803,0.0
LCV,2012,0.0,0.0,75429.48027531066,0.0,33147.76610274578,0.0
LCV,2013,0.0,0.0,250828.30081275923,0.0,249335.36076965983,0.0
LCV,2014,0.0,0.0,1136069.8688265078,0.0,3120604.375280429,0.0
LCV,2015,0.0,0.0,5811196.36066073,0.0,49248774.62351799,0.0
LCV,2016,0.0,0.0,7043165.968337444,0.0,60265800.21986344,0.0
LCV,2017,0.0,0.0,8611926.019026667,0.0,73725357.61701751,0.0
LCV,2018,0.0,0.0,10391321.341139521,0.0,89070020.87156172,0.0
LCV,2019,0.0,0.0,12217716.814801887,0.0,105362279.83578362,0.0
LCV,2020,0.0,0.0,12617776.775990695,0.0,109204828.09994556,0.0
LCV,2021,0.0,0.0,20567612.71598787,0.0,175978898.68119437,0.0
LCV,2022,0.0,0.0,29229430.576581296,0.0,235454891.03735983,0.0
LCV,2023,0.0,0.0,38409656.26707627,0.0,305787433.59913766,0.0
LCV,2024,0.0,0.0,47188426.427274756,0.0,380575678.4279968,0.0
LCV,2025,0.0,0.0,54823758.411620006,0.0,470857514.0735492,0.0
LCV,2026,0.0,0.0,62298792.47698459,0.0,566858226.7472101,0.0
LCV,2027,0.0,0.0,70437208.94210322,0.0,686477854.4416033,0.0
LCV,2028,0.0,0.0,77360790.12582856,0.0,794529276.8051329,0.0
LCV,2029,0.0,0.0,84482800.3213115,0.0,908006345.1464103,0.0
LCV,2030,0.0,0.0,91803395.74536946,0.0,1021376168.7174854,0.0
LCV,2031,0.0,0.0,99729033.41767418,0.0,1134171955.3478012,0.0
LCV,2032,0.0,0.0,107172361.95060584,0.0,1248828326.0497339,0.0
LCV,2033,0.0,0.0,114756919.86894791,0.0,1363455854.8882387,0.0
LCV,2034,0.0,0.0,120610977.67515238,0.0,1474443974.8810024,0.0
LCV,2035,0.0,0.0,125861658.77353281,0.0,1584555910.1651545,0.0
LCV,2036,0.0,0.0,129771026.66964488,0.0,1690274831.654915,0.0
LCV,2037,0.0,0.0,132989465.21554488,0.0,1800918248.9500468,0.0
LCV,2038,0.0,0.0,135616612.63787952,0.0,1917350042.6251836,0.0
LCV,2039,0.0,0.0,137644244.224824,0.0,2038328372.0478039,0.0
LCV,2040,0.0,0.0,138716989.1286069,0.0,2164441455.902648,0.0
LCV,2041,0.0,0.0,139053900.97873062,0.0,2285495592.825235,0.0
LCV,2042,0.0,0.0,138635103.24027985,0.0,2403411595.7761264,0.0
LCV,2043,0.0,0.0,137712562.5010239,0.0,2516241332.139756,0.0
LCV,2044,0.0,0.0,136219070.64447188,0.0,2624452107.911172,0.0
LCV,2045,0.0,0.0,134310358.85710374,0.0,2727221553.089777,0.0
LCV,2046,0.0,0.0,131755558.96620962,0.0,2819863107.354888,0.0
LCV,2047,0.0,0.0,129074320.92303085,0.0,2906692123.8932447,0.0
LCV,2048,0.0,0.0,126320892.18161298,0.0,2988068150.9742036,0.0
LCV,2049,0.0,0.0,123548647.64901163,0.0,3064418123.242459,0.0
LCV,2050,0.0,0.0,120781541.76183039,0.0,3136262483.3509054,0.0
LCV,2051,0.0,0.0,117852018.98616394,0.0,3194087615.898642,0.0
LCV,2052,0.0,0.0,115027896.36093934,0.0,3247457714.0648346,0.0
LCV,2053,0.0,0.0,112256868.42078157,0.0,3297281894.928072,0.0
LCV,2054,0.0,0.0,109434745.10166918,0.0,3344856011.1712174,0.0
LCV,2055,0.0,0.0,106648362.86202383,0.0,3390775404.915065,0.0
LCV,2056,0.0,0.0,103684580.3400152,0.0,3433143122.882097,0.0
LCV,2057,0.0,0.0,100591331.23543595,0.0,3475516346.646947,0.0
LCV,2058,0.0,0.0,97545227.36509132,0.0,3517864660.043472,0.0
LCV,2059,0.0,0.0,94421942.2267435,0.0,3560831875.461811,0.0
LCV,2060,0.0,0.0,91095120.02368599,0.0,3605020303.804809,0.0
MFT,1971,0.0,0.0,41.23264047575158,0.0,9.73400662844867,0.0
