years,Buses,Trains,HST,Cars,Planes,Bikes,Trucks,Cargo Trains,Ships,Inland ships,Cargo Planes
1971,3275033.658808742,21405.110313417263,1496.0533942386019,269427196.8925622,1600.7994891966487,960690485.4166667,23506008.607936528,40167.97783703857,25746.884235764403,161468.02589138976,609.0028058017887
1972,3423117.903772235,22292.67706215995,1564.4919429853471,283155561.113954,1797.2063054019302,974467942.9166666,25211717.055632826,41849.56735739546,30209.824437954823,174361.4453789114,730.9384455944718
1973,3610895.1112393616,23396.299105708375,1628.6458917445111,299662159.39565754,1992.759415820759,987681224.1666667,27077433.221127834,43984.23681506066,32158.588691185712,180248.22471973815,821.1399701306575
1974,3751374.694640913,24155.466082266164,1652.3293765694991,308956061.21905017,2113.896612292141,1007121599.1666666,28572284.5396696,45159.48542573194,33801.820745878525,183767.33358114256,880.2198638978116
1975,3943410.2563372427,25044.675751591276,1752.792545002461,320771222.86779255,2248.9918484070263,1019833896.2500001,28391994.852669694,45790.82059693077,33007.855338927715,186629.46984329162,954.713342297786
1976,4087798.3279631357,25590.955559807782,1848.0691476523498,336417176.6356676,2452.055232546082,1033240086.25,30124195.387669817,47825.87634484889,35057.49944789943,191806.56832786798,1064.9424116486834
1977,4281825.545614602,26552.061654493664,1888.7129755453416,347700955.9407418,2585.8784140319735,1045727438.3333334,31177859.481792293,49763.631810236926,36189.009251479736,196144.55351015704,1159.312824052859
1978,4477468.015063009,27512.504431743924,1998.3143628871633,363994789.73360246,2892.167074414018,1057355925.0,32124292.303163145,51690.194263619385,36645.96800176501,200353.39321816686,1291.615799553829
1979,4655222.95858081,28403.088970643985,2087.883704613574,381189479.27493316,3108.2030773458678,1072892045.0,33835548.77578503,53142.57247028943,38522.65126850714,205225.9749395058,1423.1201362838367
1980,4845520.100365531,29274.71894981208,2134.5156167190803,396242232.1224722,3292.525751292612,1087541702.0833333,34873378.36443488,54296.40912696229,39389.86649094843,208167.55792190615,1474.5220008673289
1981,5051309.447318951,30049.59516786471,2174.9943931605003,405195613.5845343,3362.5480582396967,1102236699.1666667,35286360.69582657,56181.64240287822,38555.33960458611,210781.82642223395,1484.105254497249
1982,5226798.239334356,30754.210138674774,2259.3663416910085,412321348.5348387,3426.112473468782,1117584690.0,34370580.33545171,58235.4575033498,35762.94711091799,211980.61455636934,1485.777437434241
1983,5435904.479600146,31654.675625227905,2328.7703713098063,424341591.5812489,3562.6979621983387,1132102252.0833333,34141188.467484444,58679.73479485706,35089.5355835578,212223.04943143317,1519.2813240864068
1984,5698205.369332909,32879.132966759214,2381.7927290176003,434580475.0884688,3819.4768732132784,1145265607.0833333,35580996.133063056,60667.26856823282,35843.256957446654,214798.87247476954,1605.4279743345269
1985,5950966.310118621,34223.25311666227,2460.610340120298,443166580.73644656,4122.267258765641,1159133789.1666667,35959880.32544695,63416.04527480371,35744.552923482035,216668.67176284333,1693.634487450278
1986,6213472.416612901,35449.32316168374,2550.4571832666866,453799503.1040702,4413.809977770504,1172943006.25,35890703.52977222,62484.12317600105,35603.765860577005,219382.78841872394,1779.120651988349
1987,6496738.270610961,36795.153134353146,2702.8712734477626,461658468.49666476,4813.76537864986,1185574696.25,37224524.519785695,64129.042427922665,36772.819458918515,222894.7583417046,1934.8959735434114
1988,6864237.926397774,38592.99901797609,2910.713099257624,474616192.34875554,5175.556176375231,1194546560.8333333,38531619.855258636,66024.49999886965,38685.14533786812,228759.38893195475,2079.71739319387
1989,7058201.420674827,39176.24901165792,3074.0126566304257,484610299.5537258,5402.111934898475,1210640135.0,40228786.162220344,72225.34774192433,40363.52394570777,234225.87818499174,2186.5076190647674
1990,7214315.64030411,39154.33123088754,3093.251292624122,488849821.985083,5729.319632064664,1230553290.0,40380045.389870085,70002.99577287328,41484.75261209184,238610.58961475966,2337.044756941175
1991,7254967.400695513,38849.233588105955,3161.5958497126107,496717979.70088506,5705.712631283889,1252514105.4166665,40121261.35933732,67823.29106155806,41834.844150591394,242855.48038664786,2401.9665608878945
1992,7381878.2386347195,38866.075424490664,3265.744906077443,507209198.692669,5793.6064825196645,1269531849.1666667,40569796.66596691,62151.83621628689,42610.72091673321,246341.2692666816,2601.7781339823227
1993,7530654.710239684,39322.12276020926,3316.4218988760204,519886910.96500975,5825.117692885505,1286342955.4166667,41322901.07072325,60553.05403713163,42569.886147442776,249633.66846035817,2745.979969802213
1994,7630658.807865134,39204.12356171406,3398.4098579349043,531299815.8519898,6187.242129546205,1302539306.25,42642495.51299466,58666.42945647422,44018.61224280102,253066.4492254841,2975.2387127824873
1995,7826301.319273228,39402.47959231566,3497.904850394502,545189423.7251313,6617.211882851463,1315099043.75,43579764.50579434,55204.700075520894,45200.99288233121,256731.4859195777,3193.7499330090086
1996,7982700.285893937,39932.683235913195,3569.893591855896,555829939.3695799,7139.271574720197,1328008112.5,45478396.97128666,55887.12968624814,46821.43414208387,262345.0677031209,3455.7517770068184
1997,8233449.406277206,40907.71991739446,3648.614367341685,571917928.7995244,7500.806746691105,1336068810.4166665,47178836.22871006,56704.4489240364,49261.14124459656,267784.6153805372,3654.607949652027
1998,8493567.106390249,41651.413627025875,3740.753770214606,589772564.5701011,7639.509651112225,1344376974.5833333,46577591.78665387,56556.915826372184,48778.495816881325,269514.0416738346,3708.5555996295243
1999,8732645.917308722,42656.303041024774,3812.06787454234,608258607.5231278,8089.3253147664545,1352553196.25,48094931.85260676,58517.09592446003,50500.65452409848,273625.6813248358,3934.581850148236
2000,8936684.128132615,44121.992154639884,3862.168946127406,629754322.6247058,8708.970405798313,1360718851.6666667,51259065.57942496,61685.587017531456,53710.809420565776,280215.5724628118,4293.3435586423575
2001,9205947.741258213,44998.81496431137,3939.422693355409,653745530.3714004,8729.663223527166,1368783711.25,50918854.840599805,61667.24547239435,53028.2099792736,281885.0221958724,4344.461661936546
2002,9510063.043099726,46440.59692251037,3971.3141248953916,667926780.4871135,8710.133758154037,1374287103.3333333,51971547.70380613,62556.51747388519,51953.55128097828,284718.35125725,4364.098914402629
2003,9706152.822165953,47009.92355016084,3993.2752832900533,686123523.1487889,8818.870138749438,1386827619.5833333,54126098.49846045,64884.29255132245,53154.5538495102,289715.15632644313,4449.285366728862
2004,10050239.922863035,49123.852403972865,3998.452384880147,711790604.3535055,10176.653027418533,1389508443.3333333,58226846.45148287,68622.31929388945,55954.024786912276,295816.7766532138,5107.278716863236
2005,10383985.264814947,50951.9377100791,4013.1777446737747,738166671.3652177,10925.337384221431,1394996520.0,62130998.71402665,73030.47415061452,58037.653621740894,300488.14246560726,5454.702260168652
2006,10759220.019791933,50155.25099375765,4047.767158041902,756692141.8367254,10953.743975029456,1256081716.6666667,66018003.58147024,76543.13062700866,54667.08583724386,304789.750302509,5483.29318155595
2007,11457849.821496565,51480.230432632074,4103.608915902525,786996585.1297283,11159.097586793505,1195203803.75,69521809.60671088,80365.12328959747,52579.557274060855,308504.48010051466,5573.760903403989
