,wt%,BEV,FCV,HEV,ICE,PHEV,Trolley
LCV,1971,0.0,0.0,61.221772825607516,0.0,14.015648696961998,0.0
LCV,1972,0.0,0.0,383.59906449066125,0.0,47.10538671797832,0.0
LCV,1973,0.0,0.0,824.2696364998588,0.0,95.41728394514017,0.0
LCV,1974,0.0,0.0,1204.0624795227245,0.0,137.88669884302539,0.0
LCV,1975,0.0,0.0,1545.773242304342,0.0,180.71247764895796,0.0
LCV,1976,0.0,0.0,1978.339490275129,0.0,224.82876989790645,0.0
LCV,1977,0.0,0.0,2312.365916576361,0.0,253.11924656829348,0.0
LCV,1978,0.0,0.0,2691.3423777431685,0.0,279.54182564536956,0.0
LCV,1979,0.0,0.0,3174.0456962648714,0.0,325.67710526211226,0.0
LCV,1980,0.0,0.0,3452.0973689881143,0.0,326.088998653213,0.0
LCV,1981,0.0,0.0,3578.883227369623,0.0,344.94702462594955,0.0
LCV,1982,0.0,0.0,3685.8486656083915,0.0,363.5230049211681,0.0
LCV,1983,0.0,0.0,3748.7699886762607,0.0,370.89848100266056,0.0
LCV,1984,0.0,0.0,4111.632930571918,0.0,395.11769128243105,0.0
LCV,1985,0.0,0.0,4826.037324479933,0.0,461.4987134799185,0.0
LCV,1986,0.0,0.0,5938.352284034965,0.0,635.8229109149471,0.0
LCV,1987,0.0,0.0,7296.935668481861,0.0,872.779547159241,0.0
LCV,1988,0.0,0.0,8759.106781562758,0.0,1136.7546778379808,0.0
LCV,1989,0.0,0.0,10190.625374807774,0.0,1388.9485752104213,0.0
LCV,1990,0.0,0.0,11484.54804218697,0.0,1648.7698547050716,0.0
LCV,1991,0.0,0.0,12511.560215897513,0.0,1873.7047751003963,0.0
LCV,1992,0.0,0.0,13114.499242729635,0.0,2035.645663169737,0.0
LCV,1993,0.0,0.0,13480.200053584034,0.0,2155.379010894396,0.0
LCV,1994,0.0,0.0,14068.096799282597,0.0,2281.939102491105,0.0
LCV,1995,0.0,0.0,14723.047395342064,0.0,2451.973513857264,0.0
LCV,1996,0.0,0.0,14884.934035316524,0.0,2495.6102562300116,0.0
LCV,1997,0.0,0.0,15171.616110596031,0.0,2599.543373200417,0.0
LCV,1998,0.0,0.0,15396.743858476471,0.0,2740.6432126295376,0.0
LCV,1999,0.0,0.0,14817.863518064836,0.0,2628.0997089086413,0.0
LCV,2000,0.0,0.0,14401.396977029974,0.0,2512.107634149858,0.0
