years,Buses,Trains,HST,Cars,Planes,Bikes,Trucks,Cargo Trains,Ships,Inland ships,Cargo Planes
1971,3868465080000.0,1185753209900.0,190954739000.0,6862311200410.0,576210967900.0,2305657165000.0,4070405041500.0,5050038504000.0,24232926550000.0,3817997442300.0,39074147290.0
1972,4043756270000.0,1234920680000.0,199690166000.0,7223979017000.0,646907993000.0,2338723063000.0,4364152078100.0,5261447534000.0,27056918280000.0,4122869462900.0,46897649115.0
1973,4277985940000.0,1296056706000.0,207878711000.0,7502875418700.0,717297725000.0,2370434938000.0,4684706464500.0,5529667520000.0,28400553140000.0,4262053903000.0,52685005930.0
1974,4435353440000.0,1338111368000.0,210901647000.0,7414130199700.0,760901300400.0,2417091838000.0,4938845601300.0,5675567889000.0,29347062650000.0,4345253349700.0,56475560405.0
1975,4688313420000.0,1387369849000.0,223724664000.0,7720738005200.0,809529100000.0,2447601351000.0,4906605283100.0,5751127907000.0,28681608160000.0,4412916089100.0,61255069880.0
1976,4867149970000.0,1417631456000.0,235885673000.0,8122919695300.0,882622170000.0,2479776207000.0,5205892038400.0,6002887574000.0,30353867930000.0,4535316237900.0,68327395910.0
1977,5114167810000.0,1470872697000.0,241073410000.0,8440722906600.0,930792091000.0,2509745852000.0,5388923007200.0,6241960702000.0,31354787190000.0,4637868005300.0,74382012340.0
1978,5367533470000.0,1524077193000.0,255062820000.0,8813820788300.0,1041041305000.0,2537654220000.0,5553544925500.0,6479554561000.0,31980979880000.0,4737361170000.0,82870320235.0
1979,5598294180000.0,1573411836000.0,266495360000.0,8920757567300.0,1118803895000.0,2574940908000.0,5846251664400.0,6660432665000.0,33371186830000.0,4852543486800.0,91307196515.0
1980,5850104680000.0,1621696476000.0,272447410000.0,9117531239200.0,1185151209000.0,2610100085000.0,6022513441000.0,6804543118000.0,34070510860000.0,4922149963100.0,94605941735.0
1981,6125044490000.0,1664621364000.0,277614080000.0,9336277705500.0,1210355878000.0,2645368078000.0,6094609825000.0,7037004231000.0,34036532230000.0,4983938763700.0,95220497200.0
1982,6366379480000.0,1703654074000.0,288383230000.0,9614267168200.0,1233236016000.0,2682203256000.0,5935991731000.0,7290040273000.0,32647914800000.0,5012259092200.0,95327463135.0
1983,6648899500000.0,1753536080000.0,297241890000.0,9909928757700.0,1282400235000.0,2717045405000.0,5898489851000.0,7341671088000.0,32235676650000.0,5017966274400.0,97476770020.0
1984,6987812100000.0,1821365874000.0,304009610000.0,10224913046600.0,1374828316000.0,2748637457000.0,6148257827000.0,7586862334000.0,33101269970000.0,5078852674700.0,103003651150.0
1985,7328027000000.0,1895824485000.0,314069810000.0,10521982834000.0,1483818319000.0,2781921094000.0,6213983792000.0,7927325313000.0,33140472830000.0,5123047752200.0,108662645650.0
1986,7683711840000.0,1963743616000.0,325537770000.0,10867269842000.0,1588759702000.0,2815063215000.0,6202906609000.0,7807991129000.0,33077150440000.0,5187204767900.0,114146985170.0
1987,8054951290000.0,2038296944000.0,344991750000.0,11319738851000.0,1732724446000.0,2845379271000.0,6431298548000.0,8011178130000.0,34113732290000.0,5270230298400.0,124140956605.0
1988,8537005730000.0,2137890055000.0,371520470000.0,11860878890000.0,1862951765000.0,2866911746000.0,6658098381000.0,8245958309000.0,35847701050000.0,5408880512500.0,133431859100.0
1989,8788834890000.0,2170199655000.0,392363860000.0,12317541160000.0,1944500962000.0,2905536324000.0,6946984779000.0,9021581322000.0,37259177930000.0,5538114633400.0,140282544200.0
1990,9027574610000.0,2168985502000.0,394819460000.0,12475758890000.0,2062280025000.0,2953327896000.0,6970855275000.0,8741264315000.0,38066774950000.0,5641764560600.0,149939775150.0
1991,9151851120000.0,2152084374000.0,403542890000.0,12686220390000.0,2053782638000.0,3006033853000.0,6922859121000.0,8464767767000.0,38114867410000.0,5742105975200.0,154104102650.0
1992,9339231530000.0,2153017341000.0,416836370000.0,13086585430000.0,2085420205000.0,3046876438000.0,6997889378000.0,7758125844000.0,38270570750000.0,5824498171000.0,166922410505.0
1993,9569602380000.0,2178280448000.0,423304730000.0,13346139510000.0,2096762728000.0,3087223093000.0,7126264595000.0,7553301450000.0,38157220460000.0,5902323013000.0,176173328275.0
1994,9751974290000.0,2171743788000.0,433769590000.0,13753554930000.0,2227110141000.0,3126094335000.0,7356466519000.0,7321416994000.0,39413172960000.0,5983463832700.0,190880906870.0
1995,10025734640000.0,2182731879000.0,446469030000.0,14206383040000.0,2381878611000.0,3156237705000.0,7520262274000.0,6891109113000.0,40445458540000.0,6070097705800.0,204899058705.0
1996,10252481730000.0,2212102934000.0,455657600000.0,14660882100000.0,2569795038000.0,3187219470000.0,7844552345000.0,6977077545000.0,41720861030000.0,6202801887400.0,221706988790.0
1997,10625917760000.0,2266115871000.0,465705440000.0,15206377540000.0,2699930344000.0,3206565145000.0,8137009424000.0,7080497375000.0,43169933340000.0,6331387868400.0,234463633370.0
1998,10969926480000.0,2307313379000.0,477466020000.0,15781338720000.0,2749856731000.0,3226504739000.0,8035765634000.0,7062861317000.0,42974396120000.0,6372263662000.0,237923901500.0
1999,11318349610000.0,2362980032000.0,486568480000.0,16319318880000.0,2911768776000.0,3246127671000.0,8295035721000.0,7307846414000.0,44234340270000.0,6469471674100.0,252424442530.0
2000,11633586870000.0,2444173053000.0,492963330000.0,16864681570000.0,3134811262000.0,3265725244000.0,8836971865000.0,7702592059000.0,46758683800000.0,6625275066000.0,275440604015.0
2001,12011906500000.0,2492745354000.0,502823920000.0,17394470550000.0,3142259683000.0,3285080907000.0,8776552837000.0,7700765080000.0,46253559740000.0,6664747345400.0,278720545695.0
2002,12471748700000.0,2572614019000.0,506894510000.0,17977829550000.0,3135230013000.0,3298289048000.0,8954495192000.0,7816405543000.0,46188324830000.0,6731747975300.0,279981715320.0
2003,12759113440000.0,2604152323000.0,509697610000.0,18355566250000.0,3174369890000.0,3328386287000.0,9320478580000.0,8111219563000.0,47107998260000.0,6849892748100.0,285447282660.0
2004,13221141840000.0,2721255103000.0,510358410000.0,19009764730000.0,3663106548000.0,3334820264000.0,10022651623000.0,8578658655000.0,49388492600000.0,6994158540900.0,327661988605.0
2005,13692469990000.0,2822523351000.0,512237940000.0,19512885570000.0,3932596975000.0,3347991648000.0,10690692903000.0,9127172289000.0,51067164910000.0,7104619252400.0,349951572625.0
2006,14202298510000.0,2770542999000.0,516675332762.60095,19746081470000.0,3944040194000.0,3015646280000.0,11355220623000.0,9563603338000.0,52448721670000.0,7206367763800.0,351875930630.0
2007,15177946180000.0,2836992174000.0,523949567676.01,20273581760000.0,4019182550000.0,2870532205000.0,11952800960000.0,10039764515000.0,53300499660000.0,7294240449000.0,357773323990.0
2008,15689136330000.0,2904504306000.0,530191425742.54,20589734700000.0,4067239679000.0,2815464833000.0,12200491550000.0,10270908211000.0,52423877740000.0,7250916447300.0,357956005000.0
2009,15768474240000.0,2936242287000.0,529350174528.48004,20623712250000.0,4045127237000.0,2768093995000.0,12094997255000.0,10027577177000.0,49637023970000.0,7135233617800.0,352532248205.0
2010,15628268120000.0,2975815451000.0,520021594145.98004,20378541310000.0,3963900411000.0,2787566813000.0,12728269366000.0,10290797357000.0,49684758860000.0,7128532225700.0,339618748215.0
2011,15579724730000.0,3072776533000.0,527298171939.38,20548550150000.0,4287799397000.0,2863881062000.0,13532806879000.0,10566206483000.0,50167046180000.0,7194898224500.0,375404950025.0
2012,15699456360000.0,3201404837000.0,534249302869.5,20883582600000.0,4784296826000.0,2973876355000.0,14359962302000.0,10764345721000.0,50963819790000.0,7256525736200.0,422322687275.0
2013,16369251740000.0,3373253966000.0,541373250401.6,21525504690000.0,5467103124000.0,3251097956000.0,15275056123000.0,10890258785000.0,51364798750000.0,7313404095600.0,475818423895.0
2014,16325700650000.0,3532887535000.0,550426273699.9,22071579770000.0,5733552866000.0,3345430171000.0,16427984315000.0,11049340596000.0,52247898200000.0,7358544176300.0,500968754665.0
2015,16531692970000.0,3709676109000.0,562797817774.6,22909268880000.0,5992485034000.0,3480579672000.0,17551724917000.0,11124061900000.0,53269386360000.0,7440341566800.0,531539366910.0
2016,16623888500000.0,3854666220000.0,578448934261.8999,23632138520000.0,6219433149000.0,3570977965000.0,17983276178000.0,11224813350000.0,53932122150000.0,7492362567000.0,544883937600.0
2017,16686488730000.0,3976008919000.0,591141379224.6,24198515420000.0,6521850090000.0,3624022255000.0,18869100178000.0,11526496227000.0,55982703770000.0,7638241328900.0,574533007385.0
2018,17148567230000.0,4127115757000.0,608348866850.8,25093502170000.0,6800515570000.0,3702352330000.0,19863080884000.0,11862611879000.0,58678183170000.0,7841701800400.0,606580741205.0
2019,17722445920000.0,4280746157000.0,626182297729.3,26009385160000.0,7055635970000.0,3776064617000.0,20846661586000.0,12214276177000.0,61558294200000.0,8059456283800.0,642019095165.0
2020,18257089600000.0,4409620613000.0,638248434611.1001,21520686820000.0,2666485988000.0,3805698413000.0,20842040149000.0,11876306284000.0,61879934200000.0,8106903941600.0,518100636115.0
2021,18139709400000.0,4360202893000.0,626762633601.8999,24791576930000.0,6073663405000.0,3671258591000.0,21879268824000.0,12330235707000.0,65423037200000.0,8359120311100.0,724444294880.0
2022,17630865250000.0,4126542696000.0,588970478336.1,24566188270000.0,6286854142000.0,3514639634000.0,22033454961000.0,12633875013000.0,66775984300000.0,8478438242500.0,748744826940.0
2023,19273250700000.0,4565840855000.0,650800643378.5,27694913320000.0,7774358300000.0,3787735771000.0,22487506928000.0,12966212112000.0,67832168600000.0,8584620191600.0,841452599330.0
2024,19942897670000.0,4721326825000.0,676617165062.0,29123052110000.0,8299142326000.0,3825410707000.0,22908682616000.0,13309505900000.0,68892943000000.0,8690802315900.0,872422999880.0
2025,20204852220000.0,4757164283000.0,680790454678.5,29443593290000.0,8434665430000.0,3799778992000.0,23273582165000.0,13637694550000.0,69963839000000.0,8785588275300.0,878740691550.0
2026,20646714690000.0,4845205528000.0,694927339869.1,30293698250000.0,8724218410000.0,3813475898000.0,23688030576000.0,13995943650000.0,71144705800000.0,8880266986100.0,893233854560.0
2027,21162969880000.0,4940327522000.0,713215504176.3,31359973660000.0,9065941017000.0,3829004952000.0,24446034164000.0,14363380970000.0,72480149300000.0,8981178035800.0,912336295950.0
2028,21645940930000.0,5027562187000.0,728860363077.7,32272911350000.0,9345644524000.0,3830317619000.0,24947582100000.0,14755337350000.0,73862616400000.0,9084068592700.0,927071966375.0
2029,22138983190000.0,5118835158000.0,743122626063.6,33091460320000.0,9591920105000.0,3828509002000.0,25608687884000.0,15171426110000.0,75291416500000.0,9188963049300.0,939686949620.0
2030,22626911330000.0,5202696977000.0,758100292357.9,33951060500000.0,9849723616000.0,3819833952000.0,26308618096000.0,15598757300000.0,76768828700000.0,9295855395700.0,952493823625.0
2031,23075127260000.0,5272025490000.0,772986828470.8,34789849190000.0,10099448718000.0,3802548143000.0,26962761298000.0,15994669620000.0,78126061800000.0,9382965775600.0,963788298335.0
2032,23555057930000.0,5346187778000.0,789274846509.5,35691478430000.0,10353731935000.0,3797521904000.0,27685865029000.0,16403873760000.0,79528176000000.0,9471494051300.0,974909196510.0
2033,24196163980000.0,5469042642000.0,813801038290.4,36999043630000.0,10731988818000.0,3820981201000.0,28515236649000.0,16829781270000.0,80975581800000.0,9561448435000.0,993158676305.0
2034,24670165680000.0,5545342517000.0,832408200634.0,38013394690000.0,11007318249000.0,3809227602000.0,29127648546000.0,17272864790000.0,82468366100000.0,9652790772000.0,1005756887560.0
2035,25090027440000.0,5610467643000.0,849199428128.2,38927168160000.0,11231378078000.0,3793038562000.0,29781152859000.0,17747201640000.0,84058083300000.0,9748872254000.0,1015672907230.0
2036,25568156890000.0,5702879245000.0,875705506267.0,40216517050000.0,11501842285000.0,3772046568000.0,30385700772000.0,18195244880000.0,85595693400000.0,9831675258000.0,1027015822720.0
2037,25997680440000.0,5790422494000.0,902580237826.0,41462053490000.0,11777022441000.0,3749258626000.0,30989466278000.0,18658217570000.0,87176681900000.0,9914990125000.0,1038699359035.0
