years,Buses,Trains,HST,Cars,Planes,Bikes,Trucks,Cargo Trains,Ships,Inland ships,Cargo Planes
1971,3275033.658808742,21405.11031341726,1496.053394238602,269427196.8925623,1600.7994891966487,960690485.4166667,23506008.607936524,40167.97783703857,25746.884235764406,161468.02589138979,609.0028058017886
1972,3423117.903772235,22292.677062159946,1564.491942985347,283155561.113954,1797.2063054019306,974467942.9166667,25211717.684657507,41849.52407175809,28747.305501641848,174361.45603631568,730.9385329530188
1973,3610895.1112393625,23396.299105708375,1628.6458917445111,299662159.3956576,1992.759415820759,987681224.1666667,27077433.637699056,43982.944330745246,30174.884259996863,180247.74514923003,821.1392611314967
1974,3751374.694640914,24155.466082266164,1652.3293765694993,308956061.21905005,2113.8966122921415,1007121599.1666667,28572272.128921296,45143.43504458155,31180.52717034606,183766.35683426366,880.2181782908818
1975,3943410.2563372427,25044.67575159128,1752.792545002461,320771222.86779255,2248.9918484070263,1019833896.2500001,28391983.71908489,45744.43900246944,30473.49825731534,186627.90117064223,954.7107746111133
1976,4087798.327963135,25590.955559807782,1848.0691476523496,336417176.63566774,2452.055232546082,1033240086.2500002,30124177.112316784,47746.933976776316,32250.23284285867,191804.36100180505,1064.9388075826046
1977,4281825.545614603,26552.06165449366,1888.7129755453416,347700955.94074184,2585.8784140319735,1045727438.3333334,31177820.400899295,49648.520291282475,33313.684764911675,196141.40723716753,1159.3049972413935
1978,4477468.015063008,27512.504431743928,1998.3143628871633,363994789.7336025,2892.1670744140174,1057355925.0000001,32124227.137080483,51538.34050848857,33978.99898791509,200349.10122769003,1291.6022751883256
1979,4655222.958580809,28403.088970643985,2087.883704613574,381189479.27493334,3108.2030773458678,1072892045.0000001,33835447.547621906,52977.0439296452,35456.05943835437,205220.30965366765,1423.0979490053076
1980,4845520.10036553,29274.718949812082,2134.5156167190803,396242232.1224723,3292.5257512926123,1087541702.0833335,34873327.527170986,54123.29766169191,36199.07389872289,208164.0571252862,1474.511613382812
1981,5051309.44731895,30049.595167864714,2174.9943931605003,405195613.58453435,3362.5480582396967,1102236699.1666667,35286283.088556595,55972.29204610329,36162.972445962114,210777.18502960156,1484.0899670632677
1982,5226798.239334356,30754.21013867477,2259.366341691009,412321348.53483874,3426.1124734687805,1117584690.0000002,34370470.97161656,57984.9392999762,34687.60082115213,211974.88817230874,1485.757119363655
1983,5435904.479600146,31654.675625227912,2328.7703713098063,424341591.5812489,3562.6979621983387,1132102252.0833333,34141043.58680357,58395.6105118859,34249.60799747415,212216.25225312944,1519.255839470826
1984,5698205.369332909,32879.132966759214,2381.7927290176003,434580475.0884688,3819.476873213278,1145265607.0833333,35580810.38266221,60345.860302528636,35169.279460155616,214791.21648729913,1605.3968393120276
1985,5950966.310118621,34223.25311666228,2460.6103401202986,443166580.73644656,4122.267258765641,1159133789.1666665,35959650.38476998,63053.90092122332,35210.931527892804,216660.28319723994,1693.5969349645027
1986,6213472.416612902,35449.32316168374,2550.4571832666866,453799503.10407,4413.809977770504,1172943006.25,35890422.628209844,62104.71749335116,35143.65305694551,219373.56596620928,1779.0748887343193
1987,6496738.270610961,36795.15313435315,2702.8712734477626,461658468.4966647,4813.7653786498595,1185574696.25,37224177.01748392,63720.86575568181,36244.99559754941,222884.82251130132,1934.8391745124914
1988,6864237.926397774,38592.999017976086,2910.713099257624,474616192.34875566,5175.556176375229,1194546560.8333335,38531218.6565919,65588.3059780045,38087.294456502204,228748.51851908574,2079.645551114698
1989,7058201.420674828,39176.24901165792,3074.0126566304257,484610299.55372596,5402.111934898475,1210640135.0,40228311.85862066,71757.6070578683,39586.95368073313,234213.99582620556,2186.4191274284726
1990,7214315.640304111,39154.33123088755,3093.251292624122,488849821.985083,5729.319632064663,1230553290.0000002,40379501.95523901,69527.96716193433,40445.005511170755,238597.48465292627,2336.935035073911
1991,7254967.400695512,38849.23358810595,3161.5958497126107,496717979.70088506,5705.71263128389,1252514105.4166667,40120656.57986144,67328.71517538323,40496.10255872209,242841.05222348263,2401.8395130387203
1992,7381878.2386347195,38866.075424490664,3265.744906077443,507209198.692669,5793.606482519664,1269531849.1666665,40569126.80228532,61708.08929712434,40661.53350086729,246325.5242289611,2601.623410851993
1993,7530654.710239684,39322.122760209255,3316.4218988760204,519886910.9650097,5825.117692885505,1286342955.4166667,41322160.79696924,60078.91722008765,40541.10162530744,249616.83696370176,2745.8065925439305
