time,DIM_1,inland shipping,freight train,medium truck,heavy truck,air cargo,international shipping,empty,total
1971,1,35943.41,109020.0,4371.914,44204.91,753.481,192134.9,0.0,386428.6
1971,2,559806.8,1414849.0,133224.8,1347051.0,25414.58,7261472.0,0.0,10741820.0
1971,3,17035.37,23242.37,8823.872,35295.49,222.8612,212634.6,0.0,297254.6
1971,4,56726.66,30291.81,38820.76,155283.0,656.6021,137346.5,0.0,419125.4
1971,5,49854.82,26548.44,34023.41,136093.6,1123.988,266579.8,0.0,514224.1
1971,6,77334.9,41046.33,52603.32,210413.3,2748.523,437615.7,0.0,821762.1
1971,7,163.8995,23093.65,9278.795,21650.52,216.5712,341454.8,0.0,395858.3
1971,8,2864.494,8247.062,2209.057,8836.229,611.9783,248089.8,0.0,270858.7
1971,9,968.0368,2701.53,723.6315,2894.526,406.8471,49757.23,0.0,57451.8
1971,10,22477.62,66469.98,17804.64,71218.57,695.5705,321934.1,0.0,500600.5
1971,11,868333.1,241908.1,50952.96,515191.0,23540.65,9321801.0,0.0,11021730.0
1971,12,42442.59,292987.1,6227.111,56044.0,110.9576,111236.6,0.0,509048.3
1971,13,147488.9,5907.627,2250.423,22754.28,221.3438,152172.5,0.0,330795.0
1971,14,2286.776,333269.7,4152.56,15621.54,55.2313,94965.59,0.0,450351.4
1971,15,65760.29,274098.4,8023.545,30183.81,146.516,26412.48,0.0,404625.0
1971,16,46598.06,1702501.0,25163.37,94662.2,1067.29,253350.5,0.0,2123342.0
1971,17,1384.896,25583.21,127342.5,297132.4,8248.088,1977842.0,0.0,2437534.0
1971,18,41400.48,115393.4,13371.93,75774.24,265.2251,18056.39,0.0,264261.6
1971,19,21510.63,2684.548,1616.95,9162.718,876.2066,73331.96,0.0,109183.0
1971,20,364552.3,190236.0,9959.275,29877.83,1470.502,118098.9,0.0,714194.8
1971,21,115946.7,3617.86,10763.18,60991.35,1925.41,674286.6,0.0,867531.1
1971,22,48256.98,1521.621,4593.651,26030.69,25.36064,194546.9,0.0,274975.2
1971,23,887022.4,63430.32,41048.48,95779.78,4831.982,984820.6,0.0,2076934.0
1971,24,325473.1,36826.18,10906.77,25449.12,2071.343,245066.3,0.0,645792.8
1971,25,9224.793,1927.376,6494.947,36804.7,407.2682,391105.2,0.0,445964.3
1971,26,7139.437,12635.89,4250.477,17001.91,33.91794,126813.6,0.0,167875.2
1971,27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1971,28,3817998.0,5050038.0,629002.4,3441403.0,78148.3,24232930.0,0.0,37249520.0
1972,1,38914.94,115497.0,4659.601,47008.18,894.0865,218222.6,0.0,425196.4
1972,2,615618.8,1478912.0,141568.2,1427770.0,30906.52,8518013.0,0.0,12212790.0
1972,3,19192.33,25008.49,9820.262,39159.03,267.2441,254493.0,0.0,347940.3
1972,4,61959.5,32116.33,42832.53,170925.7,759.6198,158113.5,0.0,466707.1
1972,5,53678.48,28746.11,38504.57,153786.9,1265.585,307150.2,0.0,583131.8
1972,6,85560.27,42580.09,54694.86,218068.4,3284.181,512898.8,0.0,917086.6
1972,7,209.2259,24914.0,10722.14,25578.78,275.9009,460438.8,0.0,522138.9
1972,8,3138.847,8627.663,2296.731,9144.289,692.4841,273859.7,0.0,297759.7
1972,9,1064.19,2877.361,777.1771,3090.917,457.4461,56575.5,0.0,64842.59
1972,10,24308.85,70764.96,18977.69,75561.38,766.0838,359776.7,0.0,550155.7
1972,11,910748.1,253914.1,53833.39,543048.8,28122.06,10372690.0,0.0,12162360.0
1972,12,45945.32,310248.7,6757.477,60535.09,128.7031,125197.8,0.0,548813.1
1972,13,152987.8,6390.853,2544.081,25717.87,260.3586,169118.6,0.0,357019.6
1972,14,2460.177,344792.3,4355.979,16342.79,62.90028,104435.9,0.0,472450.0
1972,15,72173.23,281328.0,8505.546,31898.53,170.7964,29754.68,0.0,423830.8
1972,16,50981.98,1752894.0,26504.51,99373.48,1238.26,286111.2,0.0,2217104.0
1972,17,1605.581,27349.84,139978.5,331792.9,10151.75,1632575.0,0.0,2143454.0
1972,18,45004.49,118557.6,13679.33,77253.66,289.7549,19724.25,0.0,274509.1
1972,19,23300.63,2883.995,1826.135,10327.1,1102.077,84631.75,0.0,124071.7
1972,20,406915.8,206350.0,11361.88,33950.85,1707.151,136392.3,0.0,796678.1
1972,21,129381.3,3905.702,12080.16,68276.04,2511.919,805054.1,0.0,1021209.0
1972,22,58262.99,1743.634,6002.997,33914.61,34.07297,269819.8,0.0,369778.1
1972,23,957325.1,68107.88,45437.57,105632.6,5553.699,1103563.0,0.0,2285620.0
1972,24,344397.8,37638.92,11061.56,25689.47,2403.576,261688.0,0.0,682879.3
1972,25,9874.967,1854.876,5808.13,32773.27,451.003,389301.6,0.0,440063.8
1972,26,7858.765,13443.13,4610.656,18329.78,38.06568,147318.5,0.0,191598.9
1972,27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1972,28,4122870.0,5261448.0,679201.6,3684950.0,93795.3,27056920.0,0.0,40899180.0
1973,1,39680.0,124977.1,5059.019,50878.6,958.9979,236280.1,0.0,457833.8
1973,2,625237.3,1538870.0,148324.9,1493184.0,33217.59,8911850.0,0.0,12750680.0
1973,3,20095.49,26539.88,10562.2,42112.31,305.3649,271472.6,0.0,371087.9
1973,4,64191.41,33627.91,45754.74,182566.0,858.3893,167775.5,0.0,494774.0
1973,5,56449.64,31119.79,44010.52,175777.9,1426.431,344416.1,0.0,653200.4
1973,6,88305.42,44224.84,57233.77,228162.7,3727.112,529894.9,0.0,951548.7
1973,7,222.584,25776.98,11282.52,27132.32,300.1248,482990.0,0.0,547704.6
1973,8,3240.895,8987.802,2428.967,9656.502,795.8762,289383.3,0.0,314493.3
1973,9,1102.373,2970.722,808.3315,3212.479,530.6115,58805.92,0.0,67430.44
1973,10,25434.62,75463.52,20429.46,81132.2,885.8252,389958.7,0.0,593304.3
1973,11,923995.1,265780.7,57333.42,578375.3,31648.88,10811840.0,0.0,12668980.0
1973,12,47606.7,323580.5,7132.994,63833.76,143.9702,131138.4,0.0,573436.3
1973,13,157005.8,6546.059,2613.606,26414.32,297.7275,173444.2,0.0,366321.8
1973,14,2555.915,364606.5,4689.114,17613.55,64.99228,110591.6,0.0,500121.7
1973,15,76040.68,299499.3,9246.144,34711.08,179.4359,31838.77,0.0,451515.4
1973,16,52525.12,1850309.0,28493.21,106999.3,1266.065,298945.8,0.0,2338539.0
1973,17,1868.162,29810.8,158358.8,384705.5,11160.0,1666432.0,0.0,2252336.0
1973,18,45738.89,119421.1,13395.37,75654.74,347.4881,19123.35,0.0,273680.9
1973,19,25202.26,3247.543,2260.1,12781.17,1515.616,101377.7,0.0,146384.4
1973,20,428554.3,219670.6,12757.9,38119.0,1889.561,146511.8,0.0,847503.1
1973,21,135801.4,4172.507,13319.31,75276.41,3494.522,881863.9,0.0,1113928.0
1973,22,62532.59,1933.255,7067.507,39923.66,46.99561,305431.8,0.0,416935.8
1973,23,1007770.0,73701.38,50962.82,118476.0,6780.695,1192631.0,0.0,2450322.0
