region,unit,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060
CAN,Mt/yr,41.880522296225436,45.53447926983337,49.123932988625015,55.28723104622643,51.26080596782511,48.2355901452154,45.03711144512896,41.66266830812852,36.12572288117866,29.209652681511734,28.978791489186754,34.375188965881655,42.19307700632528,48.962919227831556,61.16215273475149,67.39835290713467,68.30075082082769,62.52726154762172,52.00143054056836,47.004106670695236,41.42414434207855,41.05166499536837,42.70049373270756,51.33715289304384,61.75958047799018,69.06309429652181,73.99418970790228,80.73503441962261,83.2266246998019,81.00965170289994,78.02653480612511,74.92762600605231,74.4134070518605,77.37523939341875,69.57641248735192,68.47247644060835,69.16342817194013,66.24792816080212,62.433568030092076,65.82531502985447,67.86580374475824,68.56948105151865,69.63475069403835,73.32874860117627,78.6994798858129,82.33913728714916,84.70294976948499,78.52974987218761,75.47738041369261,70.67759964290906,64.86064069601163,64.3654552885313,71.89025305725362,73.62190037868984,77.00245465260292,81.77016519534268,81.72437036389208,84.12794239087567,87.21719323167854,90.5055643258606,93.73495298145987,96.50834017958054,98.41470081796986,99.46363897933959,99.58956876902427,98.98596312354331,98.00548822100772,97.24119309836205,96.72030436714239,96.22347540933252,95.8265844777707,95.51484522153616,95.39166514180111,95.43739397780962,95.67870834846049,96.00667881805317,96.34667021599697,96.64559084978129,96.91798196718574,97.25898771714162,97.70170764213717,98.24019571930738,98.85523952856826,99.48797787632097,100.26962043744348,101.12639863600106,102.10639904564809,103.01050780341714,103.79974997526074,104.33234039486474
USA,Mt/yr,293.5084474843942,275.2247984532393,271.42787966073536,343.4454377338228,335.44007615408407,348.4295445895673,401.8771042053353,403.10886950677184,327.69182018403313,261.43981617462816,295.95482335159704,342.0444340718129,427.1988721603464,500.1932190563697,560.6019352802526,515.6549247798097,482.3777313202022,430.5844054891666,364.98998839303056,367.8759342657298,353.11327309232536,353.73369695449145,360.4706823189145,410.9336684572724,420.1219349758794,454.34216704459516,481.45234790743416,504.88526592889775,488.11125617168335,461.8473120829987,432.76538188248577,406.25065376087764,393.15851306748647,406.37993737225077,393.7678114811587,341.52398019763814,283.24665289967663,273.1066674053768,253.25104696124936,258.3625166893125,303.5637456476171,361.7360211761069,374.48540355293983,386.6596103785263,411.00420989799284,426.9656420054961,433.5667656095493,391.3701630562829,403.9541187049715,393.45438983484394,379.8002279480793,374.1307514154795,410.8738759340442,401.5709386956707,406.0290270717235,414.1027165927395,413.518825603175,418.06286823708854,420.31467807030504,420.2843369647083,418.46413609429294,416.61627501734375,415.87027327393434,417.40646331461767,421.44460996763854,427.4528787017087,434.04089008749327,439.8738954001944,444.4820931675493,447.4415199006447,449.067887523584,449.9638827585206,450.6801816476691,451.4059909175271,452.58974148593495,454.0656952788992,455.9190747224391,458.24002749918384,461.17470204669337,464.65387281175754,468.834159306155,473.49553420284144,478.40641366902275,483.171833754798,487.7083495016053,491.7215365725624,495.20808363451914,497.9141947047595,499.8965778447212,501.15850678234585
MEX,Mt/yr,47.824289774560555,47.57395779096894,48.659415449686605,49.19460728228394,45.95537842296587,48.49922515311394,56.03327250465138,64.97428502794222,72.98190906263294,69.06732018909561,56.60047034990106,50.84693519994205,41.60941226349938,26.871456881880015,28.01577805322875,41.94848423884918,49.943365426276266,57.60630684016799,70.36999664779384,81.2639005884646,78.5052129388469,76.88273557203834,59.80676922522197,56.24770956600939,60.98561452848189,89.37343781870328,90.84737229453023,118.92282779430161,118.86820268532404,111.04398548811469,81.121880924133,85.0466750722004,79.9686779770667,93.19448150188494,104.49244128979326,117.34389173188342,95.9182486303448,97.14785342191573,92.97073257800689,88.51121157931907,82.41183358567825,104.10429538471617,106.39919539898797,108.82837452618658,114.97623989021903,124.35447046501235,129.42926514825098,108.47496944696357,98.03747959244706,83.50223430878921,67.75783051387796,64.89851410224038,83.23814739131849,95.54479009909835,110.5344547101915,126.90204006774218,130.80264778669817,135.87844161468743,139.79801487898186,142.56299204167505,143.86624552340797,144.17507858691465,144.15237619364112,144.6240930943828,145.42986723911554,146.7642480638807,148.01530296340408,149.27245985771972,150.44741186897423,151.84655520794283,153.37619076581774,155.06780817310354,156.66375087450572,158.23074115724344,159.80170637993814,161.51796534362387,163.45067649010352,165.67210846241554,168.15852712287932,172.56475242678124,178.7601219121319,186.74957789831245,194.76984769661266,202.79989124354447,208.82089795459424,212.83396885416704,214.5969315727235,215.88475148937383,216.6521124650823,217.11917088882598
RCAM,Mt/yr,27.897034652535325,25.056202603400063,25.43990923445235,27.667605049866246,32.031483485481154,33.54992423323588,33.097395073374244,29.795760792499795,26.703438076753617,21.16041077603922,21.399440524400987,25.35971742453357,28.027284227496136,29.464569479540067,30.636124787803773,33.71753071646249,33.87530189607905,32.059303856943565,32.241050624972885,32.66188811549015,28.471446968591504,29.147194010324633,33.60427708837859,37.30476047352646,41.33148999712712,46.76333072140211,50.065606850364006,53.62195084454129,51.31346309398255,50.20098051543923,46.78076652050918,48.01053353805509,51.82846512083953,56.07721509926158,60.629774846867555,69.61147729136079,58.763771677630736,46.76583028848664,45.67599387240634,43.26972028523192,38.07600893354574,48.99786935451109,57.740278622077334,57.8888213028183,61.56551408125098,65.87584129725835,69.98308483491965,60.55081858190103,58.34758321127066,51.73674424658876,44.40944557370592,43.20350562440099,55.200879612419826,61.70475268684627,69.58232112391339,78.57452408583262,81.99128125564827,85.86246428275066,89.39787072837167,92.49356634957113,94.88618320248156,96.4898750161506,97.6830608154087,98.63436038285737,99.30635516217487,99.97978231593925,100.72153790406216,101.72220811890325,102.98050485113754,104.60052759269752,106.44773648922596,108.4564567565823,110.47889899372115,112.49662010001262,114.39049026064757,116.18399649650556,117.87337244573523,119.5003149151673,120.99483082799675,122.32176326184496,123.4188392656159,124.27670011874977,124.94219816945206,125.49293649131107,125.95866175017818,126.39498202029918,126.79951399535142,127.10143408864273,127.29537857535902,127.41959961293662
BRA,Mt/yr,70.80537925202759,84.6626431390922,77.02201204351158,101.5750612231858,109.0319564029679,101.19916801262642,107.45162297104325,132.56673355782533,100.74723563588005,87.58399680355691,94.90306496291369,97.19724908720437,78.79511832906447,89.98613937173836,80.01755694000971,75.6417837118211,49.880649024685,58.16038478590592,71.67853166803994,73.39580335630596,79.18508377351655,104.82336549750775,147.07383340993863,142.92263737634568,159.33502523266048,148.0675941225329,126.95233013982968,91.50622814467508,93.26443228361013,84.2672127260424,91.15226639728395,89.65804110989045,95.95242077976165,104.09369207194736,146.66485489021426,182.3889255989438,184.30019027136422,196.31224843019032,198.55983205829259,172.8119619168406,149.3224658376357,143.52354349102558,102.7212523587607,78.68806562689056,88.93416103097995,103.4718476141376,141.242087436217,141.83012339951105,150.12553638151775,126.28508533306449,97.41592319995983,86.05818507246138,112.79859309617424,124.52711077651352,141.14958697162987,163.07124497111582,166.01735652660395,172.62773097669975,176.2044451616185,176.84163348188497,174.04618752586538,170.84368583157007,167.38561897963288,165.22246791721767,164.73164695037627,166.3888459755853,168.86193073443985,171.8060709540114,174.63234798718366,177.43921184972206,179.92132025594066,182.3749053572257,184.5884971983444,186.54948156653205,188.16724524363877,189.58663990601136,190.84424722741403,192.14359187331164,193.55741644368146,196.102793301359,199.5394081940662,203.80790645659891,207.63470081825434,211.00113356470987,212.93498417887776,213.5988756970046,212.87612958497456,211.78475271356228,210.7081876242183,209.81382837514525
RSAM,Mt/yr,51.89291124121293,41.84536404826635,39.87400538065423,38.65302334391236,43.95930220573864,46.579372263899586,59.893696085064995,66.4241022035935,67.47360519371833,57.615117972301036,53.14207968959339,48.8341420584166,41.36842968191432,48.132862681202795,58.067693311284344,60.56538697550285,55.727766205928994,59.25313334739339,62.33060074365115,70.1379890956753,84.3971819834828,98.09651211665448,101.00315874366864,94.23103522435494,92.83263762634031,85.81492033881206,72.42006280919335,71.3965380951372,69.82342938016119,51.462861255626265,49.70895760147325,68.77988259120649,82.18423286640903,98.34478141575944,129.51166360152706,159.1626716304151,144.85331334912632,150.85539366103595,155.2903957116427,149.896441501903,126.9490806257717,130.02331069038712,102.32398526872916,86.81408391733024,85.67054454918323,92.6663554677129,108.25723669818919,108.87630632651039,109.03207871954062,98.14317670770649,86.3361521326037,84.21815537906444,105.01471553049821,114.98044662491156,126.64134245898026,139.2946630698845,142.5270283542737,146.8801124901135,151.05684145639162,155.28848788084093,159.0757838331573,162.4230696139283,165.13723203348687,167.26039518803418,168.5608575652114,169.39255747291887,169.8534445512493,170.3663296212527,171.2397342422335,172.7784617254316,174.90751033506928,177.32718859017365,179.86643732113546,182.43388965521174,185.00055075038833,187.63962560985212,190.53751378336023,193.71082733839586,197.12997363786582,200.93431531664987,204.8862636474386,208.84714026960032,212.4952133807075,215.82875219233614,218.6224740302016,221.027328745653,222.98674218181085,224.68855234233752,225.9299125617937,226.80941388852995
NAF,Mt/yr,39.045746031333884,53.968663380917725,55.10188982093024,58.202643017369454,64.21215956104683,66.66525875144747,59.14510800429423,62.4001322258586,55.802463082474524,52.032451384746835,53.05561636073327,49.53902356355227,50.90716234372009,54.28828765137198,49.927887697159484,50.420012274535715,52.75047400642777,50.3726416128712,54.96525055153736,59.63268515276111,58.15541212723438,57.0035330351633,54.19965304101585,54.65668471137455,54.70036018991277,57.73547239995679,56.73997001632906,55.03216418282592,61.811522136820315,66.57382357962288,68.16903778063049,71.43018939262693,81.67749004182517,80.50597058328816,86.59675866639955,109.17471591699845,137.05568488454728,146.55341216247263,153.55554243268654,156.30318362122327,123.6459487707485,102.1579687226151,99.99721495699434,95.11453592117707,100.51921069190493,127.74349981943519,137.69697347502944,119.57347215251198,119.487367057548,107.70335080247715,91.40012578481205,80.50247776883883,94.64851699362973,95.3331424914928,102.60064975800599,117.12002927682052,129.33592221427108,142.83170737930124,155.62996010870012,164.54769360418342,169.28311009721125,170.39222019143708,171.28287450726458,172.88784919335785,174.93142944163478,177.43942400160626,179.82709731369349,182.22170319243511,184.45305279378408,186.82960149388185,189.40250019368304,192.2136030795981,195.15394421598768,198.44113534959934,202.0916952786573,206.131311189339,210.54595200349272,215.3268916581897,220.37727337234645,225.36897651291778,229.98595888434556,233.87623612846738,237.06746796876013,239.62643046561843,242.0253901931921,244.56935619445676,247.57020636808494,250.7376901280226,253.28164269929994,255.23490530153845
WAF,Mt/yr,56.275654655835,55.80429370039551,50.46206714315277,49.94876447105371,57.6897068071343,58.55214713076852,59.98901947619959,61.622641594850826,57.7164994008279,53.090464182303734,51.916838768516016,50.70688804411701,59.291652239089366,70.99327527857955,73.90327762755416,79.42479786716464,81.71036107537569,80.64712144147188,78.93622090232073,81.07064982047294,81.52597589306471,84.74984291652287,88.69630400451172,91.03210989096758,95.2210201732983,99.90549214856215,102.72627669076572,101.31583228700347,108.45005633957956,115.30467214274168,114.87094899370663,124.36493629039873,131.94221883555966,132.439024995206,138.45086438056939,150.14561718670944,165.2458730380144,165.58047548847009,169.36216962675093,187.27020353370023,187.2253275247246,174.86092679244598,173.44399322776127,170.223633467947,161.6747491727986,172.1809540202525,184.5020224535261,187.21076826697995,197.03265083747905,191.2141217562989,183.43191288609506,181.54193495958484,199.3537926315229,208.6583460537744,222.78377700762312,241.26959688258927,256.5322170644812,271.2822772788919,285.20075172345764,296.4446282785158,304.8930723540595,310.94557338041204,316.74172086479325,323.3763102920695,330.8198121551762,339.09795285025837,347.61652246515183,356.22741463822274,364.8318720196217,374.1305645222813,384.29934983238684,395.4232243044723,407.3008701029958,420.06318998655377,433.29779381591516,446.83347598994476,460.57232291362,474.4805217951263,488.27534997203384,508.07949280858975,534.8199885314375,569.2703494811542,606.4871541793689,646.8886074832119,684.5191883579923,718.7849437820777,749.2851694618553,781.4169023429606,807.7308694755391,828.0434549609141
EAF,Mt/yr,25.53858270322043,25.982828044640296,25.545966991193648,25.413823006342568,27.968117308467896,30.284370006768302,29.172159988953332,29.128162677391856,29.0258799573025,28.979186751764473,29.679898815547574,30.171791464428594,30.496653535709775,31.106389247753878,32.96108329055931,34.19646535338315,36.7022616924093,38.798175994611235,40.260550478981074,39.42728816476379,39.83875520646097,39.106584771012194,41.085468757400164,43.12861395774742,46.45906558068539,47.75967825061666,50.524789888916516,50.39817047936611,52.756498958335634,53.33884640247229,55.22393033838985,58.169252889400454,63.1946198147221,66.69645726157356,70.80559673806894,77.2401018582085,77.5637174924245,76.61875573896289,73.33047314770786,130.07318331704607,124.4162874940851,124.41434243572579,120.30986625785742,121.74643909177664,72.63408869774057,84.95194611417853,96.83659426388829,98.34931148719808,104.63487616984249,101.59236865233376,97.63289287843517,96.07603006142244,110.6421125083782,118.06723367178533,127.514335272566,139.25707762169674,149.98828823154432,160.58854897495303,170.9979705404487,180.63160398200597,189.72133694086557,198.3224266983227,207.20546056067602,216.75857988112062,227.13165899785787,238.197741710701,249.9509348289107,262.12826100036955,274.72357860659883,287.9554611838856,302.1396158445783,317.4089078381119,334.15371712893665,352.39436532058005,372.07188411285233,393.1166618466802,415.7140161902245,439.8315166192966,465.53450514620283,492.5765979629897,520.788835842801,549.7742170123502,579.5520004765287,609.979828166958,640.818531459299,671.9874930862236,703.3848405351715,734.7752309644669,759.7839529971228,778.5454637897658
SAF,Mt/yr,11.48953973588025,11.914075995005252,11.93004058353847,11.41466156108164,10.13019847387634,8.46580053267464,7.540202958147731,9.48728852750534,12.925601180315164,14.68509977220358,15.4842021753467,17.81914804088239,13.938201721755954,9.923757493636478,11.120576096536452,13.0979902269712,12.261849255323348,14.940044288890538,15.135762280645618,12.707189450565533,10.857153488211981,11.439103218673518,13.677645630007419,17.275428936934794,20.154165005310556,20.40654062935706,19.894824416725612,19.495016389141313,18.653547948247372,18.500938439761995,21.232584205241395,26.337147481432716,30.480003959886893,37.18886612814548,43.670083837450534,44.286401140287026,36.223712268667875,34.97645298121115,31.255119666190286,25.857752933597663,23.764637275865272,27.468111822880495,23.56080151948305,19.651184349948785,24.59118713000352,31.12299449417045,38.05987266457114,34.702506751029766,33.561745923832135,25.52336398716663,16.986754502338158,11.54810520328277,17.205515129960258,22.340146079477545,28.985709100958008,36.867400646436636,41.937761990614874,46.7733773996439,50.61641932168544,53.0625046633442,54.21122597415043,54.673196618709994,55.072648283258346,55.86227125882186,57.035885547146826,58.55553127876762,60.3860105745179,62.523079501175175,64.72190920034093,66.92046848241937,69.01589841280065,70.88999261513993,72.45940527567141,73.84330021918694,74.9923675710838,76.01492997988396,76.9611573597617,77.92240912368663,78.75527821204837,78.93704126007017,78.41445624902751,77.20841955465983,75.93140517550907,74.70260450400127,74.20072168722288,74.47242744014645,75.5089012922571,76.57249083309986,77.39746855311486,78.04199464107808
