region,unit,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060
CAN,Mt/yr,2.802498269673391,3.1225935979402206,3.386660952735152,3.930333444398329,3.6936768741297854,3.5503979407045287,3.393955731987943,3.2435917115889863,2.8128040419479645,2.194931090077744,2.0289630594371304,2.297681248360587,2.6678065493656087,3.042224038681595,3.8541471472937103,4.246125850936087,4.155862470568352,3.6414253023613474,2.791567947646825,2.2918792943361437,1.8458971342992527,1.800648935167949,1.9401029451473477,2.43877165336312,3.204180880221601,3.7021434349743827,4.101081761068279,4.633078014298954,4.976813364912568,4.9472027362413895,4.802014206128847,4.7124881196164665,4.615691839489628,4.659200128926015,4.170415426733235,4.084748297618469,3.470556213748101,3.1233565115946864,2.9385856396797267,2.997878615838876,2.985029228654961,3.477693102949697,3.6440587184276745,3.829119294211843,4.177419465945819,4.507677559981774,4.718922372205537,3.987301398627128,4.53234435383864,3.9724710686279634,4.071518984363041,3.926027256078462,4.478709347950241,3.7288655972528266,4.093729904474484,3.735046942014962,3.6792905384940484,4.046979289983766,4.337244455013526,4.6241315272143435,5.0391840498666784,5.379351678151609,5.70984866345368,6.080772468257654,6.437100593107516,6.6390153204922555,6.822104168093986,6.898937864146771,6.812520410416728,6.553356163904863,6.242836188141206,5.969405510163748,5.768335777325109,5.619362128182165,5.542153238122931,5.464354666918396,5.324177506006007,5.118996651990539,4.9025695427024925,4.731513158642332,4.606424963541587,4.522111775061983,4.467649346938483,4.384610842673055,4.264991309677316,4.114067791592104,3.9861377384342456,3.873508495764141,3.814279686176196,3.7806402886210946
USA,Mt/yr,22.865440043385576,21.76050994166868,21.056720400462417,26.268964787631035,25.444172225849258,26.803558884179676,30.62490998853382,31.171511969610208,26.00377148611368,19.612757167170972,20.29347690620579,23.542572294529293,28.373638227970684,32.64079563078728,38.01673440599404,36.11782269470827,33.13221901219116,29.235580881232824,23.64753228078858,22.577175203882458,20.586480708718746,20.465758936631318,21.638943203064528,26.072631728015978,28.660790825005552,31.845312249373684,34.46989558308419,37.01109112707256,36.1717950582002,32.54382713466075,29.832721858793274,27.695443450794993,26.80891980392159,26.81861551130288,27.368608213946583,23.204444789394184,17.083197524784406,14.473793677513152,13.537448296469984,14.116355178130771,18.101479067445123,24.165927631626335,27.103192067921746,28.516637098662642,30.098502426309675,31.770374759975812,32.537282242442565,25.829573844975698,32.13661096648619,28.0626785738285,29.774749771256616,28.756912573421083,31.8142543535917,24.43914209250486,27.463549746614227,24.244649160898266,24.485007667570166,28.277437403828763,30.758218057052584,32.21565476054662,34.76851942120167,34.95672627145914,34.10013234664463,33.81449369067083,34.174508483998984,33.61597105830091,34.964563401293184,36.65551927913747,37.337565173976124,36.9941273218043,36.332927574284454,35.234486425865924,33.69866311997516,32.08409510039486,30.951622392589467,30.083725357238727,29.402052220097772,29.075071205852407,29.31937723877208,29.521729698045682,29.635948269333568,29.78297741254737,29.927871529995894,29.72743616700824,29.367049299200602,28.8615653610887,28.176714065835846,27.194084578355437,26.35971103303849,25.688253239570873
MEX,Mt/yr,2.935033436681612,3.0569938662156537,3.2754585621757313,3.4579272012373017,3.256542543319025,3.4931499016078114,4.09460958561351,4.78189548218558,5.359644233030019,4.98688812269071,4.026874163500179,3.4003202571312654,2.541173990958458,1.290107564051133,1.3245530137916064,2.278492219431062,2.831583901326188,3.2883101889613107,4.18069244581049,4.844251558281278,4.621722114223137,4.431948374139859,3.4377687231440794,3.2282363661153584,3.7609999640650935,5.4161186450178915,5.613157230716654,7.516776932316356,7.463306499702267,6.840886807637726,4.466643591809222,4.748624702687256,4.2825159929589365,5.137239702972388,5.853843177963466,7.237724109207646,5.807671226646857,5.7884381392582,5.570068531327505,5.309684653040625,4.845942651323837,6.160951643861261,6.373688519345644,6.526531891995745,6.896450078649439,7.709948369003428,8.219406483428935,6.588391703461826,6.216562296936659,4.993652218221986,4.256813470134747,3.9487776890955715,5.209912022837084,5.6058871806586374,6.764288623368225,7.35099747742129,7.567302693975347,8.169857057879279,8.647143851577171,9.125951451160805,9.624475435902289,9.948113396189047,10.114585010640615,10.262681611099818,10.252424573408572,10.13489258930045,10.051697116305224,10.008535425147901,9.904365863293298,9.881172830407035,9.918854626743109,9.995258233406508,10.07146239341567,10.188992656225908,10.33165552732794,10.487764222178416,10.63114996276247,10.791565191179185,10.937110126884242,11.190353849342824,11.515725449277614,11.981665615919102,12.468643870296825,13.0143406590641,13.41504787940853,13.737000100113661,13.866733705389503,13.931274775497604,13.933703596528321,13.931953015500957
RCAM,Mt/yr,1.7519232732158685,1.6226039089236544,1.714509350957676,1.932605953119538,2.151354480501836,2.2909659985706043,2.314951715477438,2.10392826859401,1.8507122624287127,1.4274569918752342,1.3450557931577767,1.5153138281401435,1.657406312586641,1.7319056784295364,1.8488100630638478,2.0545191574098474,2.082702219088049,1.8883693366550294,1.8018974817763262,1.7383415389902637,1.4236060661485284,1.41617603356462,1.7698925358540478,2.148840763349633,2.5434391450626976,2.9724809399941434,3.277352989516589,3.568818897157159,3.415828883613081,3.286907050911,3.073848479761009,3.1336199451987725,3.3658286372419637,3.7836401022547825,4.154497635860734,4.621810369097627,3.8473700107754567,3.2269635097107767,3.1221919517329058,3.068632559802942,2.998218443821398,3.9392433108761744,4.54859305739362,4.522822430484976,4.788685817141014,5.130762314469896,5.483250785618814,4.464155414358106,4.611223353308756,4.040594369655199,3.6805465006707707,3.4538268109374832,4.452383935208232,4.622996176858509,5.225711623765786,5.587555989952529,5.855477803909614,6.256905324932943,6.588296885868113,6.907917162560598,7.237971455387694,7.465807439653875,7.657568983650608,7.833912978790286,7.9360470984070925,7.96567941186364,8.019830697661263,8.080645278964093,8.1145518820189,8.20866003755405,8.353777016961839,8.52758574985413,8.70673589206353,8.912685841898178,9.113121584270965,9.296694348879653,9.453045881970372,9.592413109836397,9.699661138231708,9.778929560994262,9.824855461386626,9.851554877597101,9.854272717115368,9.843709803818772,9.81627541624242,9.786813354456225,9.748407929682367,9.703384024033364,9.679943666198497,9.663953931043553
BRA,Mt/yr,4.567235748587779,5.524184669455365,5.215882702212163,6.85933116975518,7.242036897205892,6.867660714991089,7.312648162051798,8.996717714243326,6.7471784440303635,5.954089486044123,5.8486378153802265,5.801892905968771,4.540086831820255,5.595164690380228,4.828131960464032,4.722832355306084,3.106741094606587,3.129632744059702,3.551670567140765,3.6202076312025517,4.1863065684567955,5.660503348624996,8.780926808286708,8.776159356880418,10.159407891879377,9.288371318272791,8.098504496971005,6.0369320283915355,6.175297983455971,5.488356712800581,5.913468542950394,6.264126143808847,6.603750059450898,7.334329507307006,10.104200609793674,12.667382902470587,12.155593881139506,13.103456806451595,13.356767918094894,11.658176289857384,10.328711264319317,9.97852508504038,6.879026891862336,4.274205748844956,4.929503350981399,5.867167325718212,8.90699716848535,8.90699716848535,10.797333828934159,9.123435039976757,7.619650324761158,6.6979246035617965,8.587827119508464,8.797569195328538,10.020534143788925,10.799759712280316,10.91626852787166,11.448894203040783,11.722119220931567,11.84538530809536,11.860862705758416,11.775238812631168,11.612804809956655,11.575604825884223,11.553298019822922,11.538083437307908,11.614333061589203,11.737865328242842,11.756892125744438,11.797170714725986,11.847819391830509,11.901994429300043,11.934886711800795,11.981397086515107,12.03593275148122,12.093617465689963,12.157059450344185,12.266163369938587,12.407015079828508,12.628920367594048,12.897065511353782,13.217986462306365,13.494915729047296,13.737793582098211,13.858086059691852,13.888668065138358,13.800275870603091,13.660463029904895,13.537831607893727,13.438874244923776
RSAM,Mt/yr,3.4629020134993085,2.7678852018999343,2.8536019135392667,2.976723273933552,3.375828233508037,3.504401826587814,4.64138274547012,5.008827403465458,4.91544410409467,3.8608257974872338,3.4137420078236844,2.971670924462853,2.294835184710897,2.7491735488859206,3.6641499828504713,3.9175903632135514,3.3129993697783613,3.5295164385830353,3.6943229862746207,4.165392406601023,5.062726139039422,6.1022459407462915,6.470411492450057,6.1608027470312425,6.431434050962167,6.051065879454923,5.092093285343071,5.136519385062565,4.963631195716003,3.234386091764924,3.1540582368505166,5.103911705004245,6.176670964071197,7.399620582866507,10.017470656907642,12.000523675586692,10.22403710281676,10.326385715384763,10.725059734760658,10.138613794093612,8.792665363888062,9.114727914434342,6.839168881089366,4.917520181613909,4.958427199319277,5.56268017011774,7.249897569752994,7.249897569752994,8.622519513931056,7.383438719583259,6.974732019241259,6.604502519517842,8.216073261561633,8.140712381677764,9.286704323946768,9.444809867117916,9.589903349345011,10.226575199911151,10.673127534873021,11.104391327718881,11.649873907337659,12.027794664651214,12.286164211635663,12.55366224936142,12.67134402975205,12.617728588303958,12.641797032172668,12.699010421353995,12.669824985936666,12.704550378062752,12.811026421085057,12.913202350820256,12.998117510789575,13.107333381203995,13.243262981581609,13.39045497248973,13.571478687659956,13.805910790267422,14.073315167680775,14.367735912605786,14.645606985569552,14.919870140249813,15.168258791103153,15.387042863415914,15.548078598101876,15.698244375778334,15.800070766533134,15.852939214203621,15.898460993955052,15.928611539479544
NAF,Mt/yr,2.036737581031314,2.8608221180211744,2.9817483128750393,3.310483857165137,3.6396404139078427,3.805897493233826,3.497823535970342,3.701083524984317,3.2340862697256147,3.024782703776284,3.0841702251249434,2.8254036535948632,2.9036406525027987,3.037188577655937,2.7029396006623627,2.7380894698068032,2.919238026351088,2.6739132974177258,2.8827993063656026,3.110047054086317,2.870296205167393,2.725327741861232,2.6368170075794257,2.707167939049818,2.7945759870861817,3.044926717112954,3.0436071709874506,3.028841137534573,3.427372216801879,3.65896273635481,3.798625647617567,4.02712486258359,4.573724575850959,4.580801926399469,5.034315954061566,6.196654357061821,6.9879323674383915,7.3570054657693,7.3992903969200965,7.451693137677864,5.5199864931234845,4.850510179775912,4.841465358915809,4.922260949791128,5.374487102758749,7.35754771879041,8.401775118711914,7.046538197486558,7.252899070421728,6.529347923899079,5.534746458316336,4.5852821158657004,5.63885326162499,5.392768926184734,5.754417105397076,6.438186983173958,7.239134937827617,8.180587231695908,9.055612784756477,9.704866774551672,10.14052550681239,10.319807877683274,10.46991332107541,10.639724386241156,10.779814540333152,10.887448268218858,11.007455052695011,11.146454760960074,11.272474933462771,11.437329483449677,11.652976058379716,11.912955886709646,12.204987358003075,12.546824273080233,12.967508302153064,13.4557907318321,13.976925110216191,14.515176815226809,15.016022868724287,15.384967101782115,15.602087462578236,15.69935927925727,15.6947637940987,15.640584213946735,15.627003361724636,15.687551035852149,15.806998019552555,15.975917145768696,16.13701648694431,16.263350640092543
WAF,Mt/yr,2.29495635590398,2.3326374350431234,2.140925023022855,2.1485680806154805,2.433030875387689,2.4464125561645753,2.4603489301691503,2.519152676887985,2.3332278871894383,2.1523611422393087,2.106689500744962,2.0532712848699832,2.407070103555056,2.904309536861071,3.011365154402634,3.264701926192155,3.3743955910336823,3.263662884517435,3.1157664920550108,3.1333765782625695,3.090922304789677,3.182704861646757,3.3954143798496643,3.5917326675792047,3.859716036198504,4.100534221741615,4.307595365602593,4.295633035913822,4.609764586433019,4.929156477885901,5.0199210210746195,5.442103611801147,5.822253724986169,5.95973697726305,6.372137518490943,6.9271607823701,7.141886107987501,7.175980697674575,7.27956878918404,8.017239398747943,8.00176219189009,7.933741647119199,7.81329410434644,7.58206653855819,7.207956569988191,7.853712228134853,8.66309966535401,7.567566585911891,8.35590923882387,8.282723850860721,7.861469251013491,7.587735123262982,9.721354243691023,10.024758842166383,10.64563517521601,11.580328782491506,12.482572700930636,13.385975760066268,14.209544734609784,14.875893230967781,15.397219412166558,15.778100851507935,16.131254762723202,16.56258043331514,17.02583728751734,17.518304364767065,18.03124523605161,18.557304858839657,19.07160453225842,19.655300752729378,20.327391076574944,21.089272905636925,21.92947991683548,22.8347027558542,23.788693840216762,24.773296924326107,25.78804587771068,26.836225811117856,27.914631710824978,29.335446245287983,31.14953213354003,33.3738288779613,35.77327768928346,38.33669645284199,40.77022097198626,43.036582493091394,45.133075716601105,47.29795786561412,49.07673620295033,50.439660063319245
EAF,Mt/yr,1.1380628830123927,1.1653557953972928,1.1646540057970391,1.1632149058663306,1.2813123284557582,1.4005401061560565,1.35135859883552,1.3413104401183074,1.3240009985774073,1.3176830621251512,1.3399079184961367,1.3600182374013623,1.362577661393633,1.4158395805864465,1.5327953022587792,1.5960528745393718,1.722717857225114,1.7943629306815627,1.81504357351704,1.7053851799506394,1.6899065698691658,1.6384346931891625,1.7604505401927084,1.8945409155489283,2.107349505498486,2.2025999600166863,2.3763276832347477,2.3979932326263547,2.53407537595944,2.5894210291526862,2.714675134139482,2.8623483974811466,3.1272424905911818,3.372117602873824,3.6854183200752635,4.080590480981298,3.9647270354811233,3.942166375859345,3.7190877633822836,9.424712806594552,10.822014508989009,10.493641685861224,10.262558351325476,10.140146128644457,4.856494523967269,4.175910827849489,5.742392097230292,5.25908300643376,6.174961934502263,6.2846194078224915,6.088911998066277,5.829702197562432,7.513560148729098,7.92150854283401,8.523727929278117,9.266277801283506,10.146885945594168,11.012816518625792,11.85901683474131,12.618577833451885,13.344786430461088,14.046561252050813,14.792723516548588,15.700271411781056,16.71812142558483,17.813555500201147,19.01052323144248,20.260685103435065,21.51793010680722,22.854317948901752,24.310811381761187,25.860866188502836,27.54593105885017,29.291632658161312,31.07371998467071,32.849171544794785,34.68221819220179,36.57183286383387,38.581242010981086,40.74657213240592,43.089523398120846,45.540430959620466,48.08933980042559,50.72554919021615,53.38688033931736,56.0668326407454,58.757762703558214,61.42440495722305,63.54493371853043,65.13250911819004
SAF,Mt/yr,0.8126991581568962,0.876299646764328,0.9079405011538718,0.9137322534842187,0.8147496654634494,0.7397770257561426,0.7242976790273623,0.8933803658111182,1.1039697575166234,1.2056813336008008,1.1974673667824978,1.312147002565276,0.9689617624006622,0.7211126821316859,0.8098290842851356,0.9940551790783854,0.9460851527555244,1.1366669862730492,1.0966018916379656,0.8899156945584664,0.7048781285038022,0.6898158436077639,0.8252551692251859,1.0671821741449565,1.283816073456981,1.2782874367190624,1.2517016829361078,1.2613225205074818,1.2132901159932263,1.2216647750073382,1.4201058560306108,1.7433146982932093,1.9933696199506208,2.400431547643601,2.796347180575,2.8432938260331215,2.3044405721196326,2.1758437277999314,1.9523199044079003,1.6161426865274642,1.4993209062382795,1.7855208993949687,1.6028689736547719,1.3106338053047677,1.7117123364607167,2.238539114094772,2.7869107566480054,2.512462608344171,2.5330201881990986,1.8563578033112542,1.0836425424356046,0.6093261228570441,1.002030540618646,1.3071496843918473,1.8411054208672728,2.485550983358017,2.8620066964353845,3.2405791521166867,3.51615073938848,3.682863739890198,3.7634076229534847,3.7685284596743265,3.7359319142644027,3.749226948117406,3.803153897305722,3.8943926459232707,4.056510089795398,4.307456252218488,4.586790105008005,4.882737637367103,5.155725787460064,5.357297920776693,5.446756687283306,5.455295550192277,5.385048317143328,5.283143165361101,5.179406180501393,5.116898846911646,5.077965425455977,5.050382530917773,5.018046228070967,4.979546834426808,4.950185737463626,4.935987887733463,4.946361241504915,4.981827669941606,5.0384436816465,5.082220398901056,5.107802948820217,5.128956523364849
