model,scenario,region,variable,unit,2005,2010,2015,2020,2025,2030,2035,2040,2045,2050,2055,2060
IMAGE,SSP2_CP,North America,Stock Addition|Transportation|Vehicles|Road|Passenger Cars,thousand/yr,17158.742336870637,14575.609439038197,19924.161046589543,17714.53581696554,24193.776030645055,18657.267881820044,23938.17602969577,22848.792446378593,23439.70616332867,23724.63070554539,24089.463974447175,24823.160696420004
IMAGE,SSP2_CP,North America,Stock Addition|Transportation|Vehicles|Road|Buses,thousand/yr,24.122607957915765,23.64950170981474,25.227149999911372,23.100219331428697,46.893046784043,35.4200372717725,39.71789612006074,38.84961721368816,42.23057441123476,45.05742938023321,47.68302612660403,49.904972989842875
IMAGE,SSP2_CP,North America,Stock Addition|Transportation|Vehicles|Road|Bicycles,thousand/yr,1204.7383231013187,1432.3672133547561,1785.3575681366997,1595.1976729825685,2944.4948643421444,2343.820667422835,2513.9925248003983,2566.131093063684,2922.38431674212,3100.4797307111544,3452.5455275176873,3629.6192246961978
IMAGE,SSP2_CP,North America,Stock Addition|Transportation|Vehicles|Road|Trucks,thousand/yr,1684.2480690349573,1779.053606887163,2342.8623310578637,2313.472879780206,1506.2012482908217,2987.3928979553552,2695.6971877006536,2764.7635349078805,2934.017891139509,3009.3348948581947,3042.8676909126652,3216.731272151288
IMAGE,SSP2_CP,North America,Stock Addition|Transportation|Vehicles|Rail|Trains,thousand/yr,0.012248888824778547,0.023600056682212628,0.05386824116703558,0.03230513054274341,0.09619533201608728,0.049717363482724854,0.05395357217793079,0.048573815288294284,0.06585643442831399,0.0795959537840546,0.08797427128538335,0.09076419840361469
IMAGE,SSP2_CP,North America,Stock Addition|Transportation|Vehicles|Rail|Cargo,thousand/yr,0.739718943352141,0.573975014911553,0.7040851911384316,0.8840571301932337,0.9691365310598358,1.1234333184941556,1.3039328839405575,1.3295922237669264,1.066473173240968,0.9577328351684814,1.0941025098813633,1.2093426003434224
IMAGE,SSP2_CP,North America,Stock Addition|Transportation|Air|Planes,thousand/yr,0.2856217499003746,0.16636117376086532,0.3269870731053557,0.7397126815380337,0.37543768199714794,0.19391415791294656,0.31776935983289756,0.4109183869500417,0.48309505759602844,0.4397306171964189,0.4380829228083116,0.48011509101821603
IMAGE,SSP2_CP,North America,Stock Addition|Transportation|Air|Cargo,thousand/yr,0.06421679032573918,0.02953834600536462,0.08074866997597394,0.13776345656355735,0.07676756016356652,0.06280731569215756,0.08391508686409391,0.09906922586014637,0.10826602161895796,0.10099831791407336,0.09880941529117263,0.10546920238431315
IMAGE,SSP2_CP,North America,Stock Addition|Transportation|Ships,thousand/yr,1.3089044946799993,0.5857814045352415,1.2695498710357607,2.281245661494072,0.9977151836028755,1.3851301626431272,1.3563530689271295,1.3491262391244239,1.3489093959228216,1.3579578934237013,1.3552461051136673,1.3869479145068109
IMAGE,SSP2_CP,North America,Stock Addition|Buildings|Residential|Single-Family Houses,m^2/yr,243883344.7212394,150884927.93555194,243794310.87111107,213918549.69354057,238040703.4881179,254947136.7131349,255306237.20162413,264103796.37316364,274332704.06464577,286746647.64525306,303582341.538225,317338342.8463309
IMAGE,SSP2_CP,North America,Stock Addition|Buildings|Residential|Multi-Family Houses,m^2/yr,54638310.87962125,39465742.393341795,58204933.73721707,51082231.61701752,57184804.213333264,61736744.28072899,63080691.138365924,64894846.737342864,67084554.21247782,69417752.21043617,72612551.55430236,75846722.19007832
