model,scenario,region,variable,unit,2005,2010,2015,2020,2025,2030,2035,2040,2045,2050,2055,2060
IMAGE,SSP2_CP,CAN,Stock Addition|Transportation|Vehicles|Road|Passenger Cars,thousand/yr,2355.1960935101774,1977.8988201791094,2311.4749645520483,2524.183003941368,3013.5153946202563,2821.270919808574,3067.837309501328,3071.990198955228,3176.0898419683976,3251.009885020515,3300.882283814784,3396.531023266415
IMAGE,SSP2_CP,CAN,Stock Addition|Transportation|Vehicles|Road|Buses,thousand/yr,1.9808646068484415,1.965279898858564,1.9053666085597079,1.9482231043089513,3.268303321182581,2.860142184910574,3.1399085760350287,3.167483151956062,3.484070130700627,3.9170069014670545,4.296122914801325,4.595018502040222
IMAGE,SSP2_CP,CAN,Stock Addition|Transportation|Vehicles|Road|Bicycles,thousand/yr,133.83306412306194,183.44444433463687,219.3042316985121,183.67324260117192,310.097158877069,262.35781231130676,288.8960148947016,279.66934615596773,309.8294190007392,323.9739201610717,351.2670215336656,371.2843943169393
IMAGE,SSP2_CP,CAN,Stock Addition|Transportation|Vehicles|Road|Trucks,thousand/yr,65.70955270330096,61.635283040923696,87.7414356481737,72.0529324917385,62.7639075947809,102.10108682286395,90.87166202649978,98.00035481177163,106.31028801100635,110.04034096209185,114.7193727111526,123.27221219605823
IMAGE,SSP2_CP,CAN,Stock Addition|Transportation|Vehicles|Rail|Trains,thousand/yr,0.0010200668585613954,0.0,0.0009630653222920359,0.0014782775029089134,0.003735775883551407,0.003198796163156663,0.004372112531605063,0.006795234284295837,0.009810325050820991,0.011649762710811728,0.011473137667463476,0.010445356994806417
IMAGE,SSP2_CP,CAN,Stock Addition|Transportation|Vehicles|Rail|Cargo,thousand/yr,0.0630048356676769,0.03756165911816233,0.05220416971990721,0.05338190542317025,0.06721779949575761,0.08740813841475988,0.10660320224370143,0.11771467495770202,0.0929788107061161,0.08238445061354824,0.09377198416187249,0.10390446212108036
IMAGE,SSP2_CP,CAN,Stock Addition|Transportation|Air|Planes,thousand/yr,0.027866642598574763,0.007586500355902274,0.033236406929705656,0.0678568378162003,0.02693168038089407,0.016181926926190863,0.026607819312149054,0.03802723757930233,0.04265782909703041,0.0393038423071961,0.04033471506083654,0.045084533768492405
IMAGE,SSP2_CP,CAN,Stock Addition|Transportation|Air|Cargo,thousand/yr,0.0020607181021573906,0.0003035819078556713,0.0024712439466815744,0.003915708589796186,0.002125955414236648,0.0017900030603216336,0.0023344138390753145,0.002992696079848265,0.0032766259913949124,0.003081609295922128,0.003074076416745679,0.003314273469752091
IMAGE,SSP2_CP,CAN,Stock Addition|Transportation|Ships,thousand/yr,0.07872164257191511,0.048357313970316194,0.0714314395804235,0.12187747984008379,0.06562910594228767,0.08628245302175619,0.08858675999998122,0.09053970670943687,0.0930384677220195,0.09761455571762553,0.10283213821798202,0.1073048712417701
IMAGE,SSP2_CP,CAN,Stock Addition|Buildings|Residential|Single-Family Houses,m^2/yr,27066331.784492146,24736321.88425252,25747934.246603258,19209627.901215337,24007286.898278736,27693349.548926603,29554979.206960797,29966461.9712492,30865505.37721301,31125395.271049105,31328226.73124981,32158448.884359427
