region,unit,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060
World,Mt/yr,3476.7017656133535,3424.920973698728,3382.9991122086826,3462.1204627611382,3489.955541166417,3503.138205348374,3642.1632514743887,3713.577988363703,3573.2394884124087,3413.5594048510407,3430.9653915265812,3481.1337911579526,3593.1891256640038,3834.1078270111157,4089.6398094197016,4206.400711767539,4231.1650990071375,4245.810368049411,4159.99048842609,4140.054129661386,4028.3885737244714,4062.5159634495312,4122.150332323065,4276.561550116716,4346.291760024881,4446.45862515839,4503.99735171538,4579.293275234175,4590.904232984245,4616.8527820435465,4652.596949930906,4766.281344862825,4877.649010273257,5096.078933328532,5407.393888381013,5772.497746461942,5690.285255626031,5797.2291198232115,5838.850531482299,5832.577948365734,5695.116031985827,5916.908002205172,5951.789306226037,6020.144726258968,6235.416015450381,6590.034250384909,6955.917760259102,6219.128553467137,6154.654124631012,5784.897177984799,5341.3648958536905,5054.254654044429,5800.238190353826,5821.74619649284,5969.264532240904,6143.860961769335,6137.3747758615955,6170.374379581613,6223.899360858441,6272.152102167,6309.068120176711,6307.806990145786,6308.007535405818,6303.32996270558,6300.580030333862,6302.137778263202,6315.622081428587,6314.851091111043,6294.02490332054,6252.09993361717,6190.323738249583,6108.212054877598,6022.656772393065,5941.161126133246,5866.601464399235,5798.300736116381,5738.33925014988,5681.503857033601,5696.9449659960355,5714.271932011917,5742.05481446884,5779.557233578829,5827.262546652605,5815.1149169424525,5814.736989844683,5815.365152498271,5818.468431254274,5818.97777591596,5815.578617501544,5812.5138743941225
CAN,Mt/yr,41.883077700914896,45.537112073092906,49.12661192303382,55.28997065448303,51.26364840096499,48.23854968352657,45.04024655127407,41.66606528689425,36.129609162805046,29.21413646219951,28.98378051063531,34.38091769868529,42.20723910215631,48.991786824795795,61.211792222166245,67.47505496584486,68.41018178638306,62.6524324400842,52.12859759976253,47.1169913157742,41.510982007783674,41.09844998482617,42.719817130211645,51.33329182140891,61.753654150678216,69.05898020758552,74.0033321265254,80.75035543115672,83.25788771907933,81.03844226700728,78.0554626351472,74.9516815248013,74.43825755379005,77.39073899537779,69.58996172665258,68.4830226402848,69.17306117088503,66.25161921074525,62.43158439638712,65.81727247807214,67.89104157217265,68.71626679168072,70.00919901739755,73.99226766647023,79.80071857150496,83.90848411913859,86.61350724988189,80.62874449074202,75.21011156910569,66.55843672589582,56.94130152575809,46.70213839594939,45.966636867578515,41.70991619770654,39.769008770376324,38.32543092073991,37.28474504954617,36.79509829936257,36.81251027357301,37.19792281026818,37.9936328694699,38.798407633022514,39.148442991801645,38.966304366100125,38.13726186378711,36.59574524873289,34.726272211674086,32.91610833799219,31.249071354919845,29.76040989871255,28.535751460440704,27.472627656389818,26.489169064791287,25.556581408982833,24.70363565644653,23.839532854254507,22.982893931570434,22.170923582981747,25.932154556376886,29.7974075278089,33.87969714013523,38.103020485481565,42.46800875851011,42.38284400812152,42.33323808073873,42.152416451038285,41.884618632175,41.38158419880435,40.92791784676747,40.48258548279483
USA,Mt/yr,293.53336564394476,275.2506907540441,271.45444912395965,343.4728020265322,335.46891150206795,348.4603103585413,401.9109627952569,403.13742379275874,327.7043438722913,261.4265495767342,295.9063080614923,341.95738578971145,427.1025042564689,500.11856207643785,560.5751149023349,515.6906471944864,482.4835162530839,430.76635924747256,365.25591092582295,368.2586160082155,353.6813975196061,354.5407785956367,361.4588614890173,412.0496469911649,421.24957015482323,455.3112545830736,482.0693289689094,505.1290276624578,487.9299533970547,461.2543328825566,431.8931983133704,405.37150995615684,392.4384204703745,406.0348488015722,393.9837874957168,342.2515468034758,284.2743448832375,274.26258678877184,254.31895657437968,259.13278339426046,304.04148276158315,361.98312438867424,374.54415537737185,386.58886012139703,410.856004275601,426.7224218587622,433.22341481589683,390.890390900291,364.24805129230157,311.0372646556777,255.4659299257524,197.2761899719467,185.52308526411045,165.05100373823456,159.81078608684257,155.62248216520794,152.4164561928105,149.36739864899442,145.66095557384511,141.7656585138513,137.76073703273724,133.83636619032322,130.3657397320066,127.48685555537871,125.02506220834438,122.70318059481968,120.31959795466453,117.81682985245821,115.58054723454589,113.55519414012281,112.34442016617416,112.05341631707603,112.47592949974708,112.72494750757981,113.25624522158796,112.89308108151755,111.6142475710169,109.44893662243513,131.7784640448893,153.6360195755504,175.90806774129842,198.65677819753043,222.00820747615947,221.06702881443852,220.3900747033069,220.01632083869907,219.55600557901005,219.155020198434,218.82479908372662,218.6432905745781
MEX,Mt/yr,47.82706723059654,47.5768937590515,48.66253800280425,49.19796175948582,45.95898967535105,48.50302347194359,56.037288501183674,64.97862921766989,72.9867036678971,69.07269438484565,56.605038443710164,50.85182771462226,41.614462091129724,26.87530023429609,28.018233311318493,41.951849263874244,49.94662610951631,57.60968144424254,70.37481925603622,81.27027622870563,78.51232155719175,76.89042589513909,59.81305219923681,56.25399967776833,60.991735378161906,89.37945587694439,90.85347022497002,118.93104025474021,118.87732940784959,111.0541328078594,81.1306062352332,85.05541930544015,79.97842819106934,93.20627621904367,104.50768233660949,117.36631858473257,95.94575933833723,97.17932497615196,93.00254488045825,88.54040577756518,82.43437558079003,104.11759824161922,106.40022888199654,108.8180186795747,114.95288128422344,124.31961611036506,129.3855845190323,108.42465331513955,96.86563283610894,81.11084121739299,64.01429508756063,59.32885124777582,75.63140358455324,86.7348162074461,100.31073300497293,115.010852902653,117.24173949491855,120.48392501350328,122.5641290233574,123.43396714093095,122.99326852735709,121.7619535335315,120.21774583846472,118.99932484030037,118.13282030562216,117.56525321789752,116.78457563960083,115.91666724943916,115.0237721070174,114.26636585727307,113.68983662714967,113.24982422607133,112.74200140578532,112.16417504319709,111.5362090807042,110.93333624388282,110.4046919319678,109.99618833304072,109.83897971459903,111.31186470287687,114.34492487062582,118.96399525613288,123.73495918839365,128.51374597111283,131.67802296923588,133.21914577438312,132.96712572316682,132.41211034758203,131.79289888225966,131.26096879192326
RCAM,Mt/yr,27.898644680066706,25.057816934569306,25.441523746512768,27.669220827086328,32.03310545662892,33.55157568934855,33.0990706308974,29.79744184800915,26.705126552027846,21.162110309214164,21.401124802831482,25.361410513547813,28.02902222593547,29.46635130470989,30.637932767421884,33.71937008894466,33.877173966527636,32.06120079797441,32.24296807930203,32.663815918213636,28.473365634286107,29.14909303839061,33.60625330782509,37.30715182878889,41.3347189694057,46.76783251860536,50.07182166085039,53.62999324359248,51.32277940717522,50.2108503009642,46.79031038106575,48.01889199814332,51.83505881868146,56.08215997169097,60.63775498328318,69.62325862554208,58.7809534157175,46.78856571685486,45.70540633939757,43.29277996901412,38.10007985235993,49.02417369170282,57.75800062185637,57.88901043373664,61.558505880119036,65.83518653662954,69.89497318518647,60.444979516312394,57.72714547688297,50.5312789973607,42.5350396572295,40.41113377706835,51.28351250314191,56.95966375994156,63.84555922216755,71.69761151609453,74.00000865711093,76.81365224186145,79.32516479704937,81.4541470079283,83.05074873880027,83.8914537264285,84.18682353493875,84.15533744610295,83.75846407970648,83.09339195399629,82.41636069151944,81.93963702699035,81.6657078150848,81.66901942268731,81.91006750836043,82.23023327121138,82.53344463713447,82.76782608498434,82.86200877232346,82.79924749791907,82.61810979577919,82.31743314333966,82.01029045911059,81.62635729916138,81.1856211181357,80.63586250721369,79.17390804426574,77.21635424196562,75.2623226488545,73.27171220842982,71.30813841648391,70.12681794368073,69.47019313442887,68.9269485982964
BRA,Mt/yr,70.808612538075,84.66605399450276,77.02566823046021,101.57902332640921,109.03616606958657,101.20356852050163,107.45622405066177,132.57160814805428,100.75120378855594,87.5885087690428,94.90801008279828,97.20789716488457,78.8161195726396,90.02479509650833,80.07842622415691,75.73101101716544,49.988297365689725,58.27802865320562,71.79388898674955,73.49766237035311,79.26433488640646,104.88702375581413,147.12751389199,142.97649143811068,159.3934635520596,148.13426946331637,127.02666264983996,91.58849148699639,93.35175053579208,84.3640643223065,91.2587784725433,89.76665257433721,96.05389850061837,104.17222883810396,146.70510403960265,182.3784069112803,184.23170619003199,196.19699456242495,198.42210967266936,172.6658802635375,149.1873053600574,143.42221611348674,102.62708497069404,78.58363016614031,88.83580175399612,103.37112334782168,141.13471297104095,141.74606823124748,148.67955703989608,123.29249561003448,92.75611007104868,79.03820894115586,103.21230692992351,113.35835485056315,128.15259873277415,147.79498959373728,148.6552570655322,152.79526389014617,153.81723469480616,151.8553758275031,146.85926190861454,141.69141500546212,136.64245419964158,133.02905963704794,131.23466387906586,131.24595783863114,131.8712759804134,132.59269890681736,133.03250212777724,133.24534837264073,133.1680097282769,133.01233075546062,132.70023074571102,132.1937033978916,131.42845010300942,129.8147181697518,127.84621799099523,125.98498080155076,119.96897659414495,107.3191689588078,95.60226950292592,84.34987926837626,72.88564866596829,65.47866329740296,64.7198903147137,63.61229949420695,62.14102573414694,60.43163227768069,58.947154271138636,57.761819142622
RSAM,Mt/yr,51.896425041523464,41.84891815816188,39.877576456307324,38.65684284089086,43.96337781922094,46.58381958821609,59.89913813299793,66.4311943460209,67.48231616368052,57.62489899838164,53.15404416979808,48.84700419077879,41.38097298004781,48.144462605478054,58.07842333084301,60.5734179292676,55.7329880368623,59.25756982097229,62.33442397353667,70.14153037369532,84.40093358466022,98.12343619161398,101.07207984251517,94.36666109763293,93.05668454577831,86.153480574396,72.8344397535712,71.85158824181651,70.27441203674086,51.873399687813375,50.03141323115591,69.02566847808862,82.35985493220669,98.46492941614478,129.56201546954716,159.14455954487613,144.7461139873844,150.6390579513214,154.94148594902973,149.45361202478443,126.43617799830287,129.4790906993405,101.81598708429682,86.4064381778909,85.3677650834709,92.48326850087551,108.19440294578119,108.88298823919801,107.9476329868432,95.80019616321263,82.52724863257865,78.52052033145247,97.19684840008462,105.87429226991057,116.08990491338768,127.0205655777378,128.39609797395644,130.49436346973656,132.05417204742795,133.30805422313662,134.1793145377821,134.8839806852522,135.4418478697229,135.9280237358497,136.15041051594142,136.06858132883778,135.47502951960738,134.65515345416938,133.91793115028076,133.5818616249711,133.69499880767728,134.17144561697833,134.75786012825768,135.26179427517968,135.53387628990265,135.57011731125658,135.48323333532161,135.38289112845914,135.53681632602888,136.15286786740245,137.1686857770017,138.45695587438735,139.6922672254095,140.62061144644073,141.04187103210654,140.90946591995788,140.28276966352985,139.448218405071,138.66215987717416,138.01207193854896
NAF,Mt/yr,39.04738294799582,53.97032964479025,55.10358353369422,58.20438972969126,64.2139994488322,66.66722723386441,59.14699119893074,62.40277755945121,55.804375719306194,52.03216096021321,53.05166905669122,49.530731396008434,50.89273742890191,54.27081972893967,49.90980528712135,50.4042155584913,52.73907635280043,50.36669267559748,54.962788796466874,59.63372118224523,58.157947531038964,57.0058646391034,54.201202232168505,54.657547185239075,54.69817295174048,57.730400858452796,56.73271175002833,55.0144820495902,61.79045453728409,66.55766357419985,68.22028892941435,71.56458784254573,81.93708084455008,80.8864437594236,87.0973680420174,109.65492847253596,137.5062316890723,146.93103639118897,153.86035702854778,156.52616577164,123.8676546676722,102.34184788829658,100.13962757543709,95.20604363439544,100.57841556593796,127.80734664058348,137.82383423563056,119.79442509045585,119.06699574168802,106.48417642375004,89.23788892751789,77.07980442109805,89.75108862549409,89.4489911118153,95.48667729820652,108.41029526382339,118.75647572106051,130.1909673889644,140.81107584938218,147.59221153210302,150.34959294088247,149.70049510168514,148.7827995241974,148.5082762114125,148.58829243794568,148.99236725408778,149.1601029415954,149.25022873339785,149.10555922629146,149.03994624924522,149.100918564468,149.30326920601973,149.49914712778528,149.82695506656862,150.22999890732618,150.75821714639528,151.44617384534706,152.3410134599908,153.68271974858374,155.36082165079802,157.11248406707375,158.5797224215479,159.7512723046602,160.355039614751,160.63975897956436,160.79441707652515,161.121520875239,161.33417035736844,161.41006194520173,161.44082027963375
WAF,Mt/yr,56.27832322318426,55.80700201491405,50.46484557009821,49.95162706272042,57.692656559892825,58.55508714371014,59.991878556940954,61.62526284763123,57.71877116039842,53.09223714366354,51.91833138791922,50.708108517269814,59.29232481009254,70.99310196722159,73.90206997570893,79.42194299087637,81.70561598903146,80.64137948453254,78.93030442837389,81.06529153207586,81.52206125452292,84.74816805122944,88.69645068813047,91.03377775601183,95.2239098824258,99.90595738390334,102.7205600195915,101.30237219267157,108.42669877784576,115.26934541312397,114.83369788091791,124.33516074910993,131.92308137759477,132.4362130409248,138.47130707140468,150.17875985750123,165.28132800656397,165.6137227663903,169.38344618383857,187.26601407814314,187.1999716392563,174.8191242717944,173.3920731698788,170.17436853256112,161.64200636349466,172.16046115505975,184.49376074797598,187.2042154088765,195.88548203704352,188.6610006739511,179.1904756571681,175.1531064079239,190.37104302782313,197.73886791625304,209.63926613560645,225.70309756859132,238.46204529741553,250.74386820569265,262.28324040422234,271.1897095242309,277.08165088819135,280.29778542413237,282.69921118638075,285.32689666648724,288.3267127522422,291.95444847272154,295.68016557887336,299.47789356109075,303.2322329482274,307.5614643910493,312.536845520261,318.25808207995385,324.43851284402206,331.2184636599959,338.0243851023943,344.6928689877747,350.8866583586513,356.6300926947614,361.904664522544,371.8764771290589,387.2041002531479,408.9923830739632,433.2555660312584,460.353305647501,485.34725009878963,507.96280527209757,527.4049867250264,547.843636451717,564.4937220547532,577.29645563189
EAF,Mt/yr,25.53994986369785,25.984225968406125,25.547401443946217,25.415305609719393,27.969641255985906,30.28593427872766,29.173767381462955,29.129817104409675,29.02758072029987,28.980923147917064,29.681669895460175,30.173600202660523,30.498502608192542,31.108275449329927,32.96301739501465,34.19846350921537,36.704327734383135,38.80031279606863,40.26276197077824,39.42956957125234,39.841091798106994,39.108968574960514,41.08788125785499,43.13104296867864,46.46146906815236,47.763583994689235,50.530557184811045,50.40641566577621,52.76783448030582,53.3534035685522,55.23737576965692,58.18043283007728,63.20146519779124,66.69682254242193,70.80343981834784,77.24324957737507,77.57655826778105,76.6435185319939,73.37007002124571,130.11492920048417,124.44379685589969,124.41574587609296,120.2918742764233,121.71377194245056,72.60954589753793,84.95393419845064,96.88170994727393,98.41915149563492,103.64117042122652,99.32824388202046,93.8810397808396,90.53675946744869,102.98274787577989,108.84701492771029,116.3135541811377,125.66564345441628,133.66564475592597,141.30093131023685,148.9126803212362,155.96805905032903,162.61528877093312,168.7735886208814,175.02921835877981,181.31554879722114,187.72035851516966,194.09568635161978,200.50456787585037,206.7929889115586,213.063456206302,219.51420720814662,226.47080462992002,234.0437837426722,242.46855898555683,251.93941065417255,262.38274572558714,273.59097484740084,285.61463983346243,298.3233362546333,311.79461435301647,325.7549942024743,340.32386159852,355.1930970661011,370.629316409854,386.36339157865746,402.3335890873055,418.0294078771328,433.48179148955745,448.44289307342467,460.0781433312493,468.50608219922054
