region,unit,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060
CAN,Mt/yr,41.88307770091491,45.53711207309291,49.12661192303382,55.289970654483035,51.26364840096498,48.23854968352657,45.04024655127407,41.66606528689426,36.12960916280504,29.214136462199512,28.983780510635302,34.38091769868528,42.2072391021563,48.9917868247958,61.21179222216625,67.47505496584486,68.41018178638305,62.652432440084205,52.12859759976252,47.1169913157742,41.51098200778368,41.09844998482616,42.71981713021164,51.3332918214089,61.75365415067822,69.05898020758552,74.0033321265254,80.75035543115673,83.25788771907932,81.03844226700727,78.0554626351472,74.9516815248013,74.43825755379004,77.39073899537779,69.58996172665258,68.4830226402848,69.17306117088503,66.25161921074525,62.43158439638712,65.81727247807213,67.89104157217267,68.71626679168072,70.00919901739755,73.99226766647021,79.80071857150497,83.90848411913859,86.6135072498819,80.62874449074204,75.04881842718055,66.07343935443464,55.968796006271006,45.07721442573738,43.52279956641008,38.439260241069064,35.66214986609691,33.372021838660196,31.473339910915012,30.114469768956873,29.25409889379166,28.757182737155812,28.669278595356793,28.592818450102193,28.065369479447135,27.010282780894386,25.31485195906315,22.91669935617779,20.20369450522465,17.568872763446674,15.100570296306064,12.831756917476023,10.850692986444312,9.05514663530305,7.363206389301188,5.747609529196419,4.242423251824454,2.789897934062141,1.650365291095388,0.8137900390469508,4.223867181816528,7.877373826217419,11.848853387021276,15.815287248110645,19.8182728862296,19.846300527671595,19.91428952273237,19.854932950627255,19.714193106542957,19.345398106500134,19.001681921537788,18.640388919932217
USA,Mt/yr,293.5333656439448,275.25069075404406,271.45444912395965,343.4728020265322,335.46891150206795,348.4603103585413,401.9109627952568,403.1374237927587,327.70434387229125,261.42654957673415,295.9063080614923,341.9573857897114,427.10250425646893,500.11856207643785,560.575114902335,515.6906471944865,482.48351625308385,430.76635924747245,365.2559109258229,368.2586160082154,353.6813975196061,354.54077859563665,361.4588614890173,412.0496469911648,421.24957015482323,455.3112545830736,482.0693289689094,505.1290276624578,487.92995339705465,461.25433288255664,431.89319831337036,405.37150995615684,392.4384204703745,406.0348488015722,393.9837874957168,342.2515468034758,284.27434488323746,274.26258678877184,254.31895657437968,259.1327833942604,304.0414827615832,361.98312438867436,374.54415537737185,386.58886012139703,410.8560042756011,426.72242185876223,433.22341481589683,390.890390900291,363.3476925224421,308.3233134449541,250.01330116243122,188.14887358424525,171.7751775530141,146.62769997400062,136.661654440313,127.64843897367192,119.50429455314493,111.39626864203233,102.50399397422856,93.29099991379555,83.89119953103008,74.51497254307624,65.54336089138503,57.11972030750339,49.07695698636396,41.128904766210084,33.083722320624865,24.912047701243562,17.025459779494746,10.300291851175846,5.275918395699788,2.0156941979945815,0.4044989753887581,0.0,0.0,0.0,0.0,0.0,18.404011019795668,36.31667931610336,53.93542408551413,71.34161472976952,88.57894397200486,87.27320371399215,86.2491715144564,85.55116019055644,84.79545834431413,84.14808671981011,83.63977357575854,83.34109509671794
MEX,Mt/yr,47.82706723059654,47.57689375905151,48.662538002804254,49.19796175948583,45.95898967535105,48.50302347194359,56.03728850118368,64.97862921766989,72.98670366789709,69.07269438484563,56.60503844371016,50.85182771462225,41.614462091129724,26.875300234296088,28.018233311318493,41.95184926387425,49.946626109516316,57.609681444242554,70.37481925603622,81.27027622870563,78.51232155719175,76.89042589513909,59.813052199236814,56.25399967776832,60.99173537816191,89.37945587694439,90.85347022497007,118.93104025474022,118.8773294078496,111.05413280785942,81.13060623523322,85.05541930544013,79.97842819106933,93.20627621904369,104.50768233660946,117.36631858473257,95.94575933833721,97.17932497615195,93.00254488045825,88.54040577756518,82.43437558079002,104.1175982416192,106.40022888199655,108.81801867957469,114.95288128422344,124.31961611036506,129.38558451903228,108.42465331513954,96.68707628607991,80.57113801514443,62.913912578070224,57.5440004039512,72.97580341058737,83.19385306099936,95.86682538801317,109.65665665803601,110.88984798888991,113.10520313065055,114.1349506645862,113.93701735208258,112.41744504523808,110.09669273733907,107.4548930888393,105.12924965191544,103.14402673193078,101.44377252192496,99.51938216055146,97.4972760803209,95.44218829363669,93.49888016835027,91.71848062643485,90.05865419918074,88.3170494374892,86.48271200399026,84.60122336780276,82.70405049269972,80.81593693609662,78.98855540282906,78.02389587743812,78.90943346106633,81.61741987295048,86.19747907915459,91.21049467082935,95.84958269680169,98.87818626378478,100.28924958354301,99.9141812988216,99.24405097790022,98.53719881649911,97.94320253716941
RCAM,Mt/yr,27.898644680066703,25.057816934569303,25.441523746512768,27.669220827086328,32.03310545662892,33.55157568934855,33.099070630897394,29.79744184800915,26.705126552027842,21.162110309214164,21.401124802831482,25.36141051354781,28.02902222593547,29.46635130470989,30.637932767421887,33.71937008894467,33.877173966527636,32.06120079797441,32.242968079302024,32.66381591821365,28.473365634286104,29.149093038390617,33.60625330782509,37.30715182878889,41.3347189694057,46.76783251860536,50.07182166085039,53.62999324359248,51.32277940717522,50.210850300964196,46.79031038106575,48.018891998143324,51.835058818681475,56.08215997169096,60.63775498328319,69.62325862554208,58.7809534157175,46.78856571685486,45.70540633939756,43.29277996901412,38.100079852359926,49.02417369170282,57.758000621856354,57.889010433736644,61.558505880119036,65.83518653662954,69.89497318518647,60.44497951631239,57.632634516044504,50.244574470050374,41.95536159417922,39.434737062917385,49.80354633087417,54.95997355536067,61.30936040282361,68.60731802118377,70.33708498414411,72.56018381136718,74.46622452405113,75.97768812484318,76.94782227647751,77.15642798624013,76.81449351509698,76.13895069371006,75.09005177462386,73.76389955599191,72.41552693981015,71.25778039890704,70.29413453832072,69.58606895093656,69.09568126269343,68.66512102969345,68.19771899731083,67.63230190237631,66.91590707969124,65.99682014917684,64.89362646073923,63.6108088571149,62.76575677634885,61.975738282228235,61.296408038826215,60.69731942783826,59.372399315531176,57.24533707313141,55.12521123952878,52.97284650205749,50.85226362734056,49.51943844104066,48.74384414407921,48.11331414761396
BRA,Mt/yr,70.80861253807498,84.66605399450275,77.02566823046021,101.5790233264092,109.03616606958659,101.20356852050165,107.45622405066179,132.57160814805428,100.75120378855593,87.58850876904278,94.90801008279826,97.20789716488456,78.81611957263958,90.02479509650836,80.07842622415691,75.73101101716546,49.988297365689725,58.27802865320562,71.79388898674954,73.49766237035314,79.26433488640646,104.88702375581411,147.12751389199,142.97649143811063,159.39346355205953,148.13426946331634,127.02666264983995,91.58849148699638,93.35175053579209,84.36406432230646,91.2587784725433,89.7666525743372,96.05389850061839,104.17222883810396,146.70510403960265,182.37840691128034,184.23170619003196,196.19699456242498,198.4221096726694,172.6658802635375,149.18730536005742,143.42221611348674,102.62708497069404,78.58363016614032,88.83580175399611,103.37112334782168,141.13471297104095,141.74606823124745,148.5358857790488,122.85257313598163,91.83344909963759,77.52708179955422,100.95247144122709,110.3275464026977,124.33159554289128,143.19263920929447,143.19399827364086,146.44732633453594,146.5573906865087,143.66145300379463,137.71220479995986,131.57498627831635,125.5418470990794,120.92868290893891,118.11769461603392,117.09434714921728,116.66610834199284,116.31509787623745,115.66414150947904,114.74677277390296,113.50338762101902,112.14856397276353,110.60392227363282,108.81899284389286,106.7617862235071,103.7963800300582,100.34573764750273,96.91114725440556,89.9893608053985,76.6390050766614,64.47510679891148,53.10314064348155,41.81353387495133,34.13435133181249,33.111480822426515,31.748719474965384,30.031529120911376,28.085633928089656,26.414845635710634,25.093670066889693
RSAM,Mt/yr,51.89642504152346,41.84891815816187,39.877576456307324,38.65684284089085,43.96337781922093,46.58381958821609,59.899138132997926,66.43119434602089,67.48231616368051,57.624898998381624,53.15404416979808,48.8470041907788,41.380972980047815,48.14446260547806,58.07842333084301,60.57341792926761,55.73298803686231,59.2575698209723,62.33442397353669,70.14153037369532,84.40093358466024,98.12343619161399,101.07207984251515,94.36666109763294,93.05668454577831,86.15348057439599,72.8344397535712,71.85158824181651,70.27441203674086,51.873399687813375,50.0314132311559,69.02566847808863,82.35985493220667,98.46492941614477,129.56201546954716,159.14455954487613,144.74611398738438,150.6390579513214,154.94148594902975,149.45361202478443,126.43617799830288,129.4790906993405,101.81598708429682,86.40643817789089,85.3677650834709,92.4832685008755,108.19440294578119,108.88298823919801,107.77532217204457,95.27714998574804,81.46899059049312,76.73671571162451,94.4912519322666,102.21570867523543,111.44542855110583,121.35576169827331,121.67491214164343,122.68069062725013,123.11710978472017,123.22330080248794,122.92833186710493,122.45384048595596,121.82236289765471,121.10597605820858,120.10913623296513,118.78915341462057,116.93699483013074,114.83782358863957,112.80289397728885,111.13068666974405,109.87152075522215,108.94073135616031,108.08510812113191,107.09776665239119,105.85936827784391,104.31214327118161,102.53609485091042,100.64420401678423,99.7418454337998,99.53805071518646,100.02657034845954,101.11666097534292,102.48366421785431,103.0541736334663,103.12265690821214,102.6381942171386,101.64497699723285,100.42201305150128,99.31708012380912,98.41655284480132
NAF,Mt/yr,39.04738294799582,53.970329644790255,55.10358353369422,58.204389729691265,64.2139994488322,66.66722723386442,59.14699119893074,62.40277755945122,55.8043757193062,52.03216096021322,53.05166905669123,49.530731396008434,50.89273742890192,54.27081972893966,49.909805287121344,50.40421555849131,52.73907635280043,50.36669267559747,54.962788796466874,59.633721182245225,58.157947531038964,57.0058646391034,54.20120223216852,54.65754718523908,54.69817295174048,57.730400858452796,56.73271175002833,55.0144820495902,61.790454537284084,66.55766357419986,68.22028892941435,71.56458784254575,81.93708084455008,80.88644375942361,87.0973680420174,109.65492847253594,137.5062316890723,146.931036391189,153.86035702854775,156.52616577164,123.86765466767217,102.34184788829657,100.1396275754371,95.20604363439546,100.57841556593797,127.80734664058348,137.82383423563056,119.79442509045586,118.91294481534275,106.01550563792702,88.28756754392077,75.47455563170557,87.3115382704805,86.14292243124007,91.28143871215264,103.27339860780542,112.65723011307773,123.09952706133166,132.70106471390642,138.44111867256902,140.13709662353554,138.40428070595922,136.38125778243742,134.9786007574749,133.90557622331323,133.1310373813786,132.09703540769453,130.9633195858428,129.57392633585337,128.21946960643672,126.95194870085402,125.78822311757276,124.57818095566707,123.44283284962857,122.3601916641059,121.31290739624606,120.29459672295988,119.3525323981208,119.69621635878272,120.60870808736108,121.89700424225138,123.2480178060433,124.65812320113639,124.9081710369725,124.85130039847267,124.6759082457078,124.684074215207,124.58857388476255,124.42327726570743,124.27559323674245
WAF,Mt/yr,56.27832322318426,55.807002014914055,50.464845570098205,49.95162706272042,57.692656559892825,58.55508714371014,59.99187855694096,61.62526284763122,57.7187711603984,53.09223714366353,51.91833138791922,50.70810851726982,59.29232481009253,70.9931019672216,73.90206997570893,79.42194299087639,81.70561598903147,80.64137948453254,78.93030442837389,81.06529153207586,81.52206125452292,84.74816805122944,88.69645068813047,91.03377775601182,95.2239098824258,99.90595738390333,102.72056001959149,101.30237219267156,108.42669877784574,115.26934541312399,114.83369788091792,124.33516074910995,131.92308137759477,132.43621304092486,138.47130707140465,150.17875985750123,165.28132800656402,165.61372276639034,169.3834461838386,187.2660140781431,187.1999716392563,174.8191242717944,173.39207316987884,170.17436853256112,161.64200636349466,172.16046115505975,184.49376074797595,187.2042154088765,195.6681475034382,187.99872215763017,177.84532217819896,172.87691055567137,186.90539454638963,193.03224598892626,203.6399254884504,218.35891883845642,229.7201019991603,240.55058311098054,250.58487550473234,257.93258123312023,262.2131339023289,263.7676912739688,264.4597327594527,265.3322949425634,266.53331153614283,268.3193484706792,270.15996576811324,272.02868754457455,273.81000047380013,276.06511137423433,278.8675446769075,282.31590529114686,286.1158169387583,290.3594620334542,294.54368617216244,298.33082584222524,301.27184280822655,303.3970412963854,307.0088501338481,315.709500181276,330.33861139601953,352.1228608309724,377.08637254786044,403.3233492479897,427.45220279923626,449.19580102442035,467.75638141262726,487.3013333401897,503.23147919801943,515.4902007546025
EAF,Mt/yr,25.539949863697853,25.984225968406122,25.547401443946217,25.41530560971939,27.969641255985902,30.285934278727655,29.173767381462955,29.129817104409675,29.027580720299863,28.980923147917064,29.681669895460168,30.173600202660527,30.498502608192545,31.10827544932993,32.96301739501466,34.19846350921538,36.70432773438314,38.80031279606863,40.26276197077824,39.429569571252344,39.841091798107,39.10896857496053,41.08788125785499,43.13104296867864,46.46146906815237,47.763583994689235,50.53055718481104,50.4064156657762,52.767834480305815,53.35340356855219,55.23737576965691,58.18043283007728,63.20146519779123,66.69682254242193,70.80343981834784,77.24324957737507,77.57655826778104,76.6435185319939,73.37007002124571,130.11492920048417,124.4437968558997,124.41574587609298,120.29187427642327,121.71377194245058,72.60954589753794,84.95393419845064,96.8817099472739,98.41915149563494,103.5270590612037,98.97969161803067,93.17130777231526,89.33269941187828,101.14478000587484,106.3430836553398,113.11108664484694,121.73158349707123,128.9663509748986,135.8020681260974,142.57911906539275,148.7640346288709,154.504647598672,159.71994886309017,164.99707491705954,170.27073431342183,175.62995992149555,180.9278298981572,186.22822785972818,191.37614583542157,196.47307865667668,201.67331926259962,207.30078614763033,213.46135812922302,220.38049688163284,228.20753507961172,236.91364705795763,246.1330191477794,255.7930659779553,265.74401785741566,278.1628462655774,291.31855207112585,305.49237107350484,320.50555705469577,336.6559889091128,351.62161992112226,366.7978261698485,381.67237398220925,396.2749209157553,410.3569396257145,421.2771401941312,429.15976694148077
SAF,Mt/yr,11.490595886186025,11.915129992746746,11.931088795592888,11.415701718488046,10.131250944491153,8.466839474929435,7.541203360488737,9.488256628728584,12.926525166403204,14.686010692145377,15.485101751631245,17.82008177540701,13.939154878740576,9.924752332191925,11.121571216644314,13.099001919577551,12.262875302715718,14.941115324410793,15.136874950885717,12.708351074961028,10.858354290887192,11.440329893718967,13.678887232801495,17.276699664316002,20.155498610429895,20.407959049391575,19.896329366268965,19.496619440115552,18.65524215153004,18.502679435458063,21.2343243926078,26.339001644622407,30.482091300523177,37.19135925590784,43.673162895478114,44.290250026123275,36.22802301976954,34.98111252211401,31.2589671217518,25.85971187743337,23.763665291663905,27.46302747402629,23.55025938726148,19.63624267405477,24.572855954646734,31.102061102196853,38.03893056527175,34.68301368163402,33.16713448622262,24.637692776088755,15.425568589259731,9.34846185904657,14.24776609181971,18.84631022704319,24.879286315451218,32.123633517582796,36.302685005943886,40.152789285039276,42.955289776267946,44.34396643743172,44.41966117868008,43.811400813387756,43.14800804102141,42.84322757926456,42.86033716956734,43.169631510122926,43.72121538044864,44.49042562829531,45.31785540699517,46.19257949869224,47.00953506342576,47.641615825311035,47.976115881168845,48.01586476547636,47.75891647404661,47.28638479888308,46.66465798384638,45.98786984258614,45.63054179171426,44.878512728921066,43.735132762954024,42.21011712728189,40.818359355521615,38.80520049781818,36.67917771790984,35.17770986146222,34.29405984118263,33.37779929175197,32.79852942043716,32.90779597779938
