model,scenario,region,variable,unit,2005,2010,2015,2020,2025,2030,2035,2040,2045,2050,2055,2060
IMAGE,SSP2_CP,CAN,Stock Addition|Transportation|Vehicles|Road|Passenger Cars,thousand/yr,2355.1909219900144,1977.8915281766392,2310.5532713682996,2275.682981944964,2140.9614117793894,1724.700072669718,1616.0746115449633,1532.8274168556138,1631.3520084751435,1542.0314946016715,1456.4383245118493,1418.873931327367
IMAGE,SSP2_CP,CAN,Stock Addition|Transportation|Vehicles|Road|Buses,thousand/yr,1.9808396583770893,1.9652787194605044,1.9047110442912154,1.8293268185275626,2.9680366651110295,2.496382964695571,2.641240269900506,2.647113283067403,2.915428658972981,3.230497477326275,3.4442409399489917,3.54058859717889
IMAGE,SSP2_CP,CAN,Stock Addition|Transportation|Vehicles|Road|Bicycles,thousand/yr,133.8316472012653,183.4527079326047,219.28999024853988,168.31967949817968,302.92957998780497,240.57480424442952,270.2529191218716,261.3588868314334,295.04706955958017,308.8168251887562,328.93824556351666,350.77965426156686
IMAGE,SSP2_CP,CAN,Stock Addition|Transportation|Vehicles|Road|Trucks,thousand/yr,65.70941683793937,61.635115671033624,87.89587266091777,69.81594358201433,61.18873528542965,97.65107916059307,83.01885466475531,86.0163742171173,91.21472075619113,93.14232745490838,91.75136306593171,96.98926562131373
IMAGE,SSP2_CP,CAN,Stock Addition|Transportation|Vehicles|Rail|Trains,thousand/yr,0.0010200668585613954,0.0,0.0009616186232913278,0.001334935253144515,0.003511479647352239,0.0034048909554584257,0.005574835667178668,0.010986815286159055,0.01928392016752243,0.028795048561848273,0.03355281565719485,0.0304935401542265
IMAGE,SSP2_CP,CAN,Stock Addition|Transportation|Vehicles|Rail|Cargo,thousand/yr,0.0629820160446598,0.03755984221202334,0.05221516828796793,0.04837595019057985,0.059147422339748526,0.07776896301995112,0.09409704501019546,0.10592537832466542,0.08954178327577755,0.06979369488496459,0.07861707910290407,0.08230906939461928
IMAGE,SSP2_CP,CAN,Stock Addition|Transportation|Air|Planes,thousand/yr,0.027866420331815654,0.007586342429785622,0.0331088110781228,0.06696320755431964,0.011900990688605815,0.0,0.006173909575708285,0.01691735048448819,0.01779947304648082,0.008753719206754289,0.005699297812507768,0.008398491109173187
IMAGE,SSP2_CP,CAN,Stock Addition|Transportation|Air|Cargo,thousand/yr,0.002060679385966401,0.0003035742664971814,0.002478809179350555,0.0034532327331863776,0.0015001392988494842,0.0010240734819599012,0.0014083464589378935,0.0019303741834101203,0.002036260297955519,0.0015860794867266607,0.0013927782308837066,0.001516596277352204
IMAGE,SSP2_CP,CAN,Stock Addition|Transportation|Ships,thousand/yr,0.07871952217057754,0.048356749062237636,0.07148552946420166,0.11218970391519852,0.05769536448989858,0.07666950365025706,0.07704158324409305,0.0818847269938388,0.09029715807561448,0.09145601829678426,0.09205855961797689,0.09081847998982077
IMAGE,SSP2_CP,CAN,Stock Addition|Buildings|Residential|Single-Family Houses,m^2/yr,27066331.784492146,24736321.88425252,25747934.246603258,17272522.70493441,8504534.130646948,7503102.2092850655,6689682.706365874,5836470.291691603,4853798.359416805,8730746.299922395,15359916.388264993,14638632.02145039
IMAGE,SSP2_CP,CAN,Stock Addition|Buildings|Residential|Multi-Family Houses,m^2/yr,15978019.352475524,15629868.554004977,18441335.545733806,13554985.678861585,7566487.4233133225,6979983.436673144,6507316.698956839,5936436.304418538,5162892.721065913,8799878.326071296,15069490.233588535,14560310.055510107
IMAGE,SSP2_CP,CAN,Stock Addition|Buildings|Residential|Residential Towers,m^2/yr,9209402.009355245,9110853.65796423,10951431.778969672,8119736.275298579,4498083.887178677,4083627.070472403,3748391.2759198346,3368342.9961216236,2886721.434206743,4802794.587943896,8188467.485295567,7923579.40010454
IMAGE,SSP2_CP,CAN,Stock Addition|Buildings|Commercial|Retail,m^2/yr,5983542.820968171,5289171.401435783,7261268.156618735,7344807.83245757,6322127.551163681,6849743.68278672,6622017.044748151,6226382.923355242,5612609.229094153,4913474.051451311,4324410.539377345,4082043.1021655113
IMAGE,SSP2_CP,CAN,Stock Addition|Buildings|Commercial|Hotels,m^2/yr,1946435.119570485,1789876.399238641,2344204.6531041935,2291051.616866742,2034515.4470250495,2203533.560834481,2167829.6153052887,2084156.5563753422,1920544.6952076529,1709315.659575364,1525381.218092434,1473736.447982037
IMAGE,SSP2_CP,CAN,Stock Addition|Buildings|Commercial|Offices,m^2/yr,3862747.698783286,3557184.216318867,4511362.040460478,4216736.8322921395,3761508.13181639,3868709.653018641,3638281.8420527936,3359293.9017140223,3020711.7602784876,2667246.990449189,2349489.3064536313,2147258.187389235
IMAGE,SSP2_CP,CAN,Stock Addition|Buildings|Commercial|Public Buildings,m^2/yr,8957288.145450298,8969051.886228727,10151070.466657221,8828048.541825434,8208497.896256836,8127860.262693172,7684153.132477501,7209005.60151955,6642804.168062048,6001452.737126329,5353501.517918301,4890015.271346749
IMAGE,SSP2_CP,CAN,Material Demand|Transportation|Vehicles|Road|Passenger Cars|Steel,Mt/yr,2.0981630290775843,1.76380915094141,2.0652841818767955,2.0189261492292383,1.7992483640633694,1.3438260082371343,1.20785069476114,1.1047206783061367,1.1176222579287425,1.001984080604806,0.9366481382930363,0.9099778354735653
IMAGE,SSP2_CP,CAN,Material Demand|Transportation|Vehicles|Road|Steel,Mt/yr,2.435526883746337,2.0705986955158227,2.470896420705849,2.394610324611941,2.1256905552942613,1.765185190109483,1.5838056220368617,1.4962834425548341,1.4923949520773516,1.3790742235546591,1.315496701449744,1.3059375922600907
IMAGE,SSP2_CP,CAN,Material Demand|Transportation|Vehicles|Rail|Steel,Mt/yr,0.10540035014489361,0.06335530150257643,0.08804536768976028,0.08132125823866124,0.10065380446885139,0.13176699822668042,0.15670744198315814,0.1751250530485176,0.15027050871942568,0.12082701916490435,0.13746814305317476,0.14422575211369343
IMAGE,SSP2_CP,CAN,Material Demand|Transportation|Air|Steel,Mt/yr,0.00016965327391589422,4.396582739581616e-05,0.00020183219005009091,0.00039430656969795095,7.743542616651655e-05,8.709728433135177e-06,4.480799963588272e-05,0.00010577746742626538,0.0001106052690379765,5.8886530581879415e-05,4.1273302823520114e-05,5.639206655404858e-05
IMAGE,SSP2_CP,CAN,Material Demand|Transportation|Ships|Steel,Mt/yr,0.053225307435950366,0.025778631796038804,0.040771976721019634,0.0617065281780375,0.03746182875673493,0.048136922857860656,0.046676515950251594,0.047844833533262576,0.051945911910495114,0.05348298388640245,0.055215166750182246,0.0558910754869133
IMAGE,SSP2_CP,CAN,Material Demand|Transportation|Vehicles|Road|Passenger Cars|Non-Ferrous Metals|Aluminium,Mt/yr,0.3221747332343302,0.27540933329970574,0.36574323677749243,0.3574262295592717,0.42812288278849325,0.38380352150092095,0.33030829738823553,0.29286303196511426,0.3178922870392917,0.3030972008134361,0.2821607791747552,0.27001945478775796
IMAGE,SSP2_CP,CAN,Material Demand|Transportation|Vehicles|Road|Non-Ferrous Metals|Aluminium,Mt/yr,0.3430168453443728,0.29539889651459694,0.3906699918042643,0.37955367056611594,0.4519666502716174,0.41115487011082247,0.3558265917853503,0.3187503037685664,0.3441661984974926,0.3301054623865121,0.3097602025706806,0.2988529627894794
IMAGE,SSP2_CP,CAN,Material Demand|Transportation|Vehicles|Rail|Non-Ferrous Metals|Aluminium,Mt/yr,0.006211637632529041,0.0039058427604689375,0.00543142847392971,0.0049618728643301665,0.0068303034609919185,0.009050085181664202,0.010220546112283888,0.011476749298105725,0.01115010179039762,0.010721502381348239,0.012706226579390592,0.01336400178540623
IMAGE,SSP2_CP,CAN,Material Demand|Transportation|Air|Non-Ferrous Metals|Aluminium,Mt/yr,0.0012818247362534237,0.00033218625143505604,0.0015249543248229101,0.002979205193273408,0.0005850676643692369,6.580683705035503e-05,0.00033854933058222604,0.0007992075316651172,0.0008356842549536014,0.0004449204532853123,0.00031184273244437517,0.00042607339174170094
IMAGE,SSP2_CP,CAN,Material Demand|Transportation|Ships|Non-Ferrous Metals|Aluminium,Mt/yr,0.0005848934883071466,0.0002832816680883385,0.0004480437002309848,0.0006780937162421702,0.00041166844787620776,0.0005289771742622047,0.0005129287467060614,0.0005257674014644237,0.0005708341968186272,0.0005877250976527739,0.0006067600741778267,0.0006141876427133327
IMAGE,SSP2_CP,CAN,Material Demand|Transportation|Vehicles|Road|Passenger Cars|Non-Ferrous Metals|Copper,Mt/yr,0.06266073769098979,0.05701961779265623,0.10731644672736809,0.1056455886008781,0.19889391085324226,0.203506664443037,0.1657461016069316,0.1430177422906594,0.16370930049960147,0.16267171944764044,0.15053834929386425,0.1412324132357657
IMAGE,SSP2_CP,CAN,Material Demand|Transportation|Vehicles|Road|Non-Ferrous Metals|Copper,Mt/yr,0.06503269748694085,0.05919729599109684,0.11028376742502681,0.1082581215206149,0.20129209135484144,0.20695761291191875,0.16887693821361374,0.1463151432169361,0.16704452523204172,0.16607056701770076,0.15396325954775786,0.14482707142884982
IMAGE,SSP2_CP,CAN,Material Demand|Transportation|Vehicles|Rail|Non-Ferrous Metals|Copper,Mt/yr,0.00017322701831087658,0.0001160871243682107,0.00015783640819043752,0.00014101229026754365,0.0002059811211185247,0.0002803494280528868,0.00029749997869600223,0.00031799626910925265,0.0003094334933872684,0.00029845163063634786,0.00036512819622386576,0.000402211072859109
IMAGE,SSP2_CP,CAN,Material Demand|Transportation|Air|Non-Ferrous Metals|Copper,Mt/yr,7.76265953928878e-06,2.11330313436958e-06,9.223015553837179e-06,1.8632433898750257e-05,3.300478400609949e-06,0.0,1.68237835639594e-06,4.57925388075036e-06,4.7866404120515e-06,2.33911668218716e-06,1.5211814622085198e-06,2.24161456482584e-06
IMAGE,SSP2_CP,CAN,Material Demand|Transportation|Ships|Non-Ferrous Metals|Copper,Mt/yr,0.0005848934883071466,0.0002832816680883385,0.0004480437002309848,0.0006780937162421702,0.00041166844787620776,0.0005289771742622047,0.0005129287467060614,0.0005257674014644237,0.0005708341968186272,0.0005877250976527739,0.0006067600741778267,0.0006141876427133327
IMAGE,SSP2_CP,CAN,Material Demand|Transportation|Vehicles|Road|Passenger Cars|Glass,Mt/yr,0.0882680768935947,0.07444882582565064,0.08961096659248921,0.08740470593371122,0.08334411345853823,0.06543418451726231,0.05810342834732578,0.052234873898954995,0.053508332447956976,0.048697415461029,0.045582545534458965,0.044196317458041874
IMAGE,SSP2_CP,CAN,Material Demand|Transportation|Vehicles|Road|Glass,Mt/yr,0.09102570394969788,0.07700947106920666,0.09282011747242842,0.09034970796074268,0.0862710506239516,0.06886627649316156,0.06123146916194595,0.05542729972457859,0.056656018593307,0.05190601178678739,0.04884855780155564,0.047596180706212673
IMAGE,SSP2_CP,CAN,Material Demand|Transportation|Vehicles|Rail|Glass,Mt/yr,9.66374572090718e-06,2.3549528387820722e-05,2.814761097292802e-05,1.9077970207747618e-05,7.288612744148135e-05,0.00011077526114100193,7.819066691866104e-05,6.885355193901816e-05,0.00012196454361505363,0.00018330885926832368,0.0002480436832744594,0.0002859177636926751
IMAGE,SSP2_CP,CAN,Material Demand|Transportation|Air|Glass,Mt/yr,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
IMAGE,SSP2_CP,CAN,Material Demand|Transportation|Ships|Glass,Mt/yr,3.5093609298428576e-05,1.6996900085300226e-05,2.6882622013858858e-05,4.068562297453004e-05,2.4700106872572272e-05,3.1738630455732095e-05,3.077572480236346e-05,3.154604408786529e-05,3.425005180911747e-05,3.526350585916629e-05,3.6405604450669375e-05,3.6851258562799775e-05
IMAGE,SSP2_CP,CAN,Material Demand|Transportation|Vehicles|Road|Passenger Cars|Chemicals|Plastics,Mt/yr,0.41378037978620563,0.3489709221954686,0.4164440570621931,0.4087833640765056,0.3880980748244912,0.2968114377503483,0.2617874219424642,0.24089012243508265,0.25165729528865144,0.23205876273499215,0.21656301921698207,0.20856232909195463
IMAGE,SSP2_CP,CAN,Material Demand|Transportation|Vehicles|Road|Chemicals|Plastics,Mt/yr,0.46450680515279064,0.39525426063722363,0.47763572102551893,0.4651393121101928,0.43759210811431304,0.3604711130033407,0.3184689898225198,0.2996667722892888,0.308190382929127,0.28873475164872364,0.2736300144482202,0.26818445528159274
IMAGE,SSP2_CP,CAN,Material Demand|Transportation|Vehicles|Rail|Chemicals|Plastics,Mt/yr,2.0819755186297826e-05,4.175267735786598e-05,5.337993549537441e-05,3.86487543831034e-05,0.00014183418231905875,0.00020853247499698601,0.0001583454706280064,0.00016065650959237106,0.0002834762496683612,0.00042478013254535044,0.0005559487578343685,0.000612505975605529
IMAGE,SSP2_CP,CAN,Material Demand|Transportation|Air|Chemicals|Plastics,Mt/yr,9.896440978427158e-05,2.56467326475594e-05,0.00011773544419588631,0.0002300121656571381,4.5170665263801325e-05,5.08067491932884e-06,2.613799978759822e-05,6.170352266532144e-05,6.451974027215297e-05,3.4350476172763005e-05,2.4076093313720084e-05,3.289537215652828e-05
