model,scenario,region,variable,unit,2005,2010,2015,2020,2025,2030,2035,2040,2045,2050,2055,2060
IMAGE,SSP2_CP,North America,Stock Addition|Transportation|Vehicles|Road|Passenger Cars,thousand/yr,17158.9325761752,14575.792171619292,19916.750427185703,16628.658599958904,17884.130462243887,11012.069651722886,14118.688871570346,12107.933171324801,12062.760117066862,11376.125658063667,10887.594238081345,10698.624465787145
IMAGE,SSP2_CP,North America,Stock Addition|Transportation|Vehicles|Road|Buses,thousand/yr,24.117811926801323,23.642207968980472,25.21776725477221,22.161445388656713,41.68797981403404,30.04985928209467,32.48478484694649,31.388141998692102,34.241231775659806,36.01549017462713,37.25061603316641,37.68582757123779
IMAGE,SSP2_CP,North America,Stock Addition|Transportation|Vehicles|Road|Bicycles,thousand/yr,1204.2659775976565,1431.716761928287,1785.08892602838,1453.9780379784934,2762.3811040651835,2074.856791223736,2277.263647856559,2265.6701522225194,2663.150617127559,2770.1756335836963,3035.927281395153,3225.4752295586763
IMAGE,SSP2_CP,North America,Stock Addition|Transportation|Vehicles|Road|Trucks,thousand/yr,1684.2476066329568,1779.0501660100917,2347.836760311835,2231.0589488598357,1431.9364244263688,2826.352973085972,2404.729718074342,2359.0105556681933,2472.2211645795537,2548.9664684230097,2389.9775145650565,2503.658176481895
IMAGE,SSP2_CP,North America,Stock Addition|Transportation|Vehicles|Rail|Trains,thousand/yr,0.012282182012714261,0.02371581351273519,0.053994702129856395,0.030022868773201334,0.08842217006844055,0.04772356558461667,0.06406511334009549,0.08635735126345113,0.13853077403346956,0.20212304321980518,0.24859308631715824,0.24192061744337157
IMAGE,SSP2_CP,North America,Stock Addition|Transportation|Vehicles|Rail|Cargo,thousand/yr,0.7397573077261462,0.5743546820284795,0.7045471754157863,0.810457804300537,0.8615918408021801,0.9846472772480939,1.0921215996884839,1.1238683997848142,1.0189496767143806,0.909482772780477,0.9239175590155404,0.9517552184289285
IMAGE,SSP2_CP,North America,Stock Addition|Transportation|Air|Planes,thousand/yr,0.285601522135341,0.16635477194278986,0.3253113950972008,0.7281160954965932,0.18783571218740006,8.881784197001253e-17,0.0732671532124213,0.1735113197333658,0.1989712945663629,0.0979679556808765,0.059060249330965604,0.08510356208279425
IMAGE,SSP2_CP,North America,Stock Addition|Transportation|Air|Cargo,thousand/yr,0.06421042405993102,0.02953735213912891,0.08071745308712343,0.12331935097535086,0.05145618219855591,0.0350732341061004,0.05012499996151011,0.06257170804282385,0.06568074793577076,0.05080531767391208,0.04352733519283836,0.04659028299313855
IMAGE,SSP2_CP,North America,Stock Addition|Transportation|Ships,thousand/yr,1.3088772494432432,0.5857616849246057,1.2715574268356498,2.125780188955407,0.8986977298972091,1.2485295322617997,1.1852550332372953,1.2241358336056904,1.3161906539372406,1.290062570131085,1.2242276154157437,1.1696086604622822
IMAGE,SSP2_CP,North America,Stock Addition|Buildings|Residential|Single-Family Houses,m^2/yr,243883344.7212394,150884927.93555194,243794310.87111107,143820308.28387427,14005448.916015826,7503102.2092850655,6689682.706365874,5836470.291691603,4853798.359416805,66230446.54073694,164283495.6641313,168455156.42002356
IMAGE,SSP2_CP,North America,Stock Addition|Buildings|Residential|Multi-Family Houses,m^2/yr,54638310.87962125,39465742.393341795,58204933.73721707,37471267.38602137,11109428.181230273,10374442.606158465,9930625.894894598,8868452.782450065,7101521.069695281,33228972.397317857,77938255.34766884,81071981.32869388
IMAGE,SSP2_CP,North America,Stock Addition|Buildings|Residential|Residential Towers,m^2/yr,41718112.811837435,29355057.07402574,44520302.17716259,28294889.044679284,7348892.317706736,6151735.907683315,4933867.0418596165,3590229.126830741,2886721.434206743,24242223.071286585,59329685.56173073,61995567.54653972
IMAGE,SSP2_CP,North America,Stock Addition|Buildings|Commercial|Retail,m^2/yr,76842376.02348244,47077409.0408522,84205835.4399765,71340102.36049329,59139073.367500514,62826168.12682436,56047006.32497075,52061869.55001223,46805368.79383146,41923562.28524128,37924256.85800043,34995734.671390705
IMAGE,SSP2_CP,North America,Stock Addition|Buildings|Commercial|Hotels,m^2/yr,25146723.131132737,15668195.806483049,27747570.32756667,23821962.39321853,19959208.766364988,21584275.833768964,19421092.743575595,18277185.010495078,16569378.508478375,14909371.291643666,13576082.875578959,12682432.100746496
IMAGE,SSP2_CP,North America,Stock Addition|Buildings|Commercial|Offices,m^2/yr,43235587.563617684,29936456.897042494,46592277.28723495,38907101.12954661,33345143.94015255,33687894.85434781,30539320.279002354,28146066.14306665,25388940.946963206,22883283.74403666,20677426.105737675,18851413.0407996
IMAGE,SSP2_CP,North America,Stock Addition|Buildings|Commercial|Public Buildings,m^2/yr,93396788.612176,78920263.62205648,99624976.59637398,87634306.81602015,74293345.76203622,73721336.04209788,68187617.26811206,63269799.36310778,57586749.74345204,52256566.054640554,47387880.696435094,43279297.268218
IMAGE,SSP2_CP,North America,Material Demand|Transportation|Vehicles|Road|Passenger Cars|Steel,Mt/yr,15.288333940819433,12.991107749531812,17.82594124450705,14.742824101336574,15.070242668848277,8.79416402477967,10.948331774727246,8.983218140491516,8.377892699435424,7.43547296487789,7.050969017589984,6.919256931580506
IMAGE,SSP2_CP,North America,Material Demand|Transportation|Vehicles|Road|Steel,Mt/yr,23.507108797085564,21.292369646969128,28.769089620571457,25.79329279879326,22.967270544638442,20.646332014855645,21.269052539576627,19.60075742539108,18.215239775840903,17.285090026044998,16.60488401610261,16.80794487644416
IMAGE,SSP2_CP,North America,Material Demand|Transportation|Vehicles|Rail|Steel,Mt/yr,1.2365517094731036,0.9656776032809045,1.1882386346662523,1.3574338417247918,1.4613553605630525,1.6601785145833363,1.8121399538821665,1.8441469433399145,1.685889566412925,1.5265295309042186,1.57473124825028,1.6310230984502727
IMAGE,SSP2_CP,North America,Material Demand|Transportation|Air|Steel,Mt/yr,0.0021104618985583155,0.0011614554648343798,0.002469276928847291,0.005026544265126123,0.001459990528969685,0.0002982586471552449,0.0008141006304977088,0.001443376595441941,0.0015937310655336702,0.0009324901778629979,0.0006681633843616249,0.0008294786091519931
IMAGE,SSP2_CP,North America,Material Demand|Transportation|Ships|Steel,Mt/yr,1.205799925636903,0.5629944974836472,1.1209942341871904,1.8961646874001914,0.8889314731920928,1.179439851681721,1.1218900984545241,1.1704446414753473,1.2639567463904724,1.276416737782887,1.216069483938209,1.1765790245037342
IMAGE,SSP2_CP,North America,Material Demand|Transportation|Vehicles|Road|Passenger Cars|Non-Ferrous Metals|Aluminium,Mt/yr,2.337976609479249,1.9950484297137892,2.9517377648673704,2.5777135901874786,3.436572097377511,2.144323915670267,2.140353026448421,1.6965710014180704,1.921863068909931,1.9905427507442999,1.937827332319847,1.902969748238639
IMAGE,SSP2_CP,North America,Material Demand|Transportation|Vehicles|Road|Non-Ferrous Metals|Aluminium,Mt/yr,2.773514165263145,2.4403736422564086,3.522876549934958,3.1324093748251025,3.8975729892945465,2.7788566398070627,2.7044677311710914,2.26057507302212,2.4719613961796227,2.5442249049653722,2.4786760332040956,2.464174333353986
IMAGE,SSP2_CP,North America,Material Demand|Transportation|Vehicles|Rail|Non-Ferrous Metals|Aluminium,Mt/yr,0.07235934085657852,0.05875860316525128,0.07399646964143378,0.08116684819715358,0.09797784878724711,0.11118333488521158,0.1157563186963957,0.1154555949976455,0.11558557691456017,0.11696409111434947,0.13001602836939297,0.1374636753837036
IMAGE,SSP2_CP,North America,Material Demand|Transportation|Air|Non-Ferrous Metals|Aluminium,Mt/yr,0.015945712122440614,0.008775441289859761,0.01865675901795731,0.037978334447619624,0.0110310395522154,0.0022535097785062953,0.006150982541538246,0.010905512054450226,0.012041523606254398,0.007045481343853763,0.005048345570732278,0.006267171713592838
IMAGE,SSP2_CP,North America,Material Demand|Transportation|Ships|Non-Ferrous Metals|Aluminium,Mt/yr,0.013250548633372558,0.006186752719600518,0.01231861795810099,0.02083697458681529,0.009768477727385635,0.012960877491007923,0.012328462620379383,0.01286202902720162,0.013889634575719477,0.014026557558053702,0.013363400922397895,0.012929439829711363
