region,unit,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060
World,Mt/yr,3476.5942064447613,3424.809016902241,3382.879843201923,3461.988576474289,3489.816896867418,3502.9871338493176,3641.994218358731,3713.401509732248,3573.076153460085,3413.393728422916,3430.8284739011547,3481.038589708454,3593.084840794769,3833.9222224882487,4089.388358920952,4206.049197752767,4230.698799101645,4245.278525047638,4159.4596219952455,4139.421356882684,4027.6170881898743,4061.544623647607,4120.919880940736,4275.020908367612,4344.5879298383215,4444.578995334348,4502.096059842038,4577.608200067951,4589.657171321074,4616.1820903002135,4652.601487838202,4766.698375547021,4878.0436504759355,5096.052666671402,5406.472474897518,5771.9968434654065,5691.919032422939,5802.685855749599,5850.665476612209,5852.9048744951115,5721.222498432074,5945.770095248719,5980.357366308417,6042.794481617814,6247.7794592499795,6593.402239148314,6951.7784892835925,6217.674510609316,6263.415221916328,6041.862593899205,5756.524776564018,5734.165946944012,6721.2148252539355,6902.1744127043785,7198.994172487814,7540.731334758688,7619.314339047895,7774.880753767259,7944.812938636118,8099.953603102573,8232.83319830989,8318.40077761498,8393.003638134263,8459.71436843943,8522.418130312079,8584.947389398772,8655.929815729804,8730.510433985663,8801.6303831241,8876.761856449022,8953.71034761085,9033.812625534456,9114.395546066986,9199.718603513327,9282.590130053552,9365.078227662627,9447.741054789327,9533.823849712939,9619.433787057926,9706.75102010808,9795.16618873503,9884.377784723423,9975.832209811879,10073.126769973467,10181.964896135345,10301.704676794941,10430.816010657356,10557.681538829313,10656.984537504235,10731.419617427146
CAN,Mt/yr,41.88052229622543,45.53447926983337,49.12393298862501,55.28723104622643,51.26080596782509,48.235590145215404,45.03711144512897,41.662668308128524,36.12572288117866,29.209652681511734,28.978791489186754,34.375188965881655,42.19307700632528,48.962919227831556,61.16215273475149,67.39835290713467,68.30075082082769,62.52726154762172,52.00143054056836,47.004106670695236,41.424144342078534,41.05166499536837,42.700493732707564,51.33715289304385,61.759580477990184,69.06309429652181,73.99418970790228,80.7350344196226,83.2266246998019,81.00965170289993,78.0265348061251,74.92762600605231,74.4134070518605,77.37523939341874,69.57641248735192,68.47247644060835,69.16342817194013,66.24792816080212,62.43356803009208,65.82531502985447,67.86580374475825,68.56948105151866,69.63475069403835,73.32874860117627,78.69947988581292,82.33913728714916,84.70294976948497,78.5297498721876,75.47738041369261,70.67759964290904,64.86055486257392,64.38607585854615,72.00543719101111,73.94029851988543,77.56281066234808,82.54534885739162,82.5408261136094,84.57219695376028,86.84623709732246,89.07896386988823,91.2040696950246,93.14339326520935,94.86024109322854,96.25938606219346,97.05698076614215,97.32066057908602,97.14763859412803,96.94637676424664,96.88962790094057,96.89260188326045,96.91889825555671,96.9555491153871,97.0102751012901,97.02554672460573,96.97169732119934,96.88002907286713,96.7489324578335,96.63232108210923,96.52852417748535,96.54597705851776,96.73411020142551,97.12869338101275,97.7156225023624,98.50044749247813,99.52726103541154,100.68593460578032,101.93712649954954,103.09770203931332,104.02576182732595,104.6607255162898
USA,Mt/yr,293.5084474843942,275.2247984532393,271.4278796607353,343.4454377338228,335.440076154084,348.4295445895673,401.8771042053354,403.1088695067719,327.69182018403313,261.4398161746282,295.95482335159704,342.0444340718129,427.1988721603463,500.19321905636974,560.6019352802526,515.6549247798097,482.37773132020226,430.58440548916667,364.98998839303044,367.87593426572994,353.11327309232536,353.7336969544915,360.4706823189145,410.93366845727246,420.1219349758793,454.3421670445951,481.45234790743416,504.88526592889775,488.11125617168335,461.8473120829986,432.7653818824857,406.25065376087764,393.1585130674864,406.37993737225065,393.7678114811587,341.5239801976381,283.2466528996765,273.10666740537675,253.2510469612494,258.3625166893125,303.56374564761705,361.7360211761069,374.4854035529398,386.6596103785263,411.00420989799284,426.96564200549614,433.56676560954935,391.3701630562829,403.95411870497145,393.454389834844,379.80022794807934,374.13075141547944,410.8738759340442,401.57417074552444,406.0489226587707,414.1518382596857,413.6292331687122,418.266579900334,420.6337614910764,420.8029918882502,419.36490520250595,417.7259560183091,416.65079442002036,417.3666127506151,419.71005330329166,423.0219907599417,426.6667792822877,430.0995832667371,432.78477378282474,435.0317048604506,437.0458283316536,438.9895173514029,440.9749068745402,443.2648456678738,445.56821257479197,447.95295088222736,450.3879105908351,453.022929779487,455.8538109273841,459.33869541438594,463.5043478334159,468.334650608581,473.41360072198506,478.69559350101866,483.77810685386606,488.5843626556989,492.9218818263,496.9317989475384,499.98102508304885,502.18156972872913
MEX,Mt/yr,47.824289774560555,47.57395779096893,48.65941544968661,49.19460728228394,45.95537842296588,48.49922515311394,56.03327250465138,64.97428502794222,72.98190906263295,69.06732018909562,56.60047034990106,50.84693519994205,41.60941226349939,26.871456881880018,28.015778053228747,41.94848423884918,49.943365426276266,57.60630684016798,70.36999664779385,81.26390058846461,78.50521293884691,76.88273557203833,59.80676922522195,56.2477095660094,60.98561452848189,89.3734378187033,90.84737229453022,118.9228277943016,118.86820268532404,111.04398548811467,81.12188092413298,85.0466750722004,79.9686779770667,93.19448150188494,104.49244128979325,117.34389173188342,95.91824863034482,97.14785342191573,92.97073257800692,88.51121157931907,82.41183358567824,104.10429538471618,106.39919539898798,108.8283745261866,114.97623989021905,124.35447046501237,129.42926514825098,108.47496944696354,98.03747959244704,83.50223430878921,67.75778605069654,64.91062663445588,83.29630151077984,95.76292536488891,111.00596015208345,127.69590192917511,131.86458463478775,137.13167102450163,140.9747896842724,143.38658415485114,144.15546245145254,143.94309365391874,143.4334433204051,143.59853664204843,144.3917337487444,145.872128521524,147.35807999604995,148.87523090335088,150.2891002262547,151.77537425349954,153.31437153234998,154.9203959945554,156.37904154359168,157.77474491317997,159.2087786695048,160.80872290677289,162.67495941214514,164.88925714010296,167.44256936066674,171.92272431430118,178.24604480757387,186.3421668230505,194.4509325122283,202.46893282990038,208.49770067363116,212.42917438411834,214.15668418702313,215.40809596294775,216.19410982175614,216.65970437037726
RCAM,Mt/yr,27.897034652535325,25.056202603400063,25.43990923445235,27.66760504986625,32.031483485481154,33.54992423323587,33.09739507337425,29.79576079249979,26.703438076753617,21.16041077603922,21.399440524400983,25.35971742453357,28.027284227496132,29.46456947954007,30.636124787803773,33.717530716462484,33.87530189607906,32.05930385694357,32.2410506249729,32.66188811549015,28.471446968591508,29.147194010324625,33.604277088378595,37.30476047352647,41.33148999712713,46.76333072140211,50.065606850364006,53.621950844541274,51.31346309398253,50.20098051543922,46.78076652050918,48.010533538055086,51.82846512083952,56.07721509926158,60.62977484686755,69.6114772913608,58.76377167763073,46.76583028848663,45.67599387240633,43.26972028523192,38.076008933545744,48.99786935451108,57.740278622077334,57.8888213028183,61.565514081250974,65.87584129725833,69.98308483491965,60.550818581901034,58.34758321127067,51.73674424658877,44.39555891125504,43.17726880397053,55.17623137892347,61.72974509103089,69.70449108375753,78.81726031898461,82.27541766765685,86.0846527668997,89.37738723824646,92.081773285486,94.12734191412406,95.61934951987296,96.9706588046081,98.374815599337,99.70024024595097,100.93676807459097,101.9962614010233,103.03085702814882,104.07485819030228,105.33184873052765,106.83163283964174,108.58310787590096,110.43973427646597,112.38039538729399,114.23828944914557,116.01223921096032,117.66596613839695,119.2648401737572,120.72135715772612,122.02684998163215,123.12374557485138,124.0218954359563,124.75648889951243,125.41561210885628,126.00266467858347,126.56166955377586,127.07280901778428,127.47498768618681,127.73723516329159,127.90843822522866
BRA,Mt/yr,70.8053792520276,84.6626431390922,77.02201204351157,101.57506122318583,109.0319564029679,101.1991680126264,107.45162297104325,132.5667335578253,100.74723563588005,87.58399680355693,94.90306496291369,97.19724908720437,78.79511832906445,89.98613937173835,80.01755694000968,75.64178371182112,49.880649024685006,58.16038478590593,71.67853166803994,73.39580335630596,79.18508377351655,104.82336549750778,147.07383340993863,142.9226373763457,159.3350252326605,148.0675941225329,126.9523301398297,91.50622814467508,93.26443228361012,84.2672127260424,91.15226639728392,89.65804110989045,95.95242077976164,104.09369207194739,146.66485489021423,182.38892559894384,184.30019027136427,196.31224843019032,198.55983205829259,172.8119619168406,149.32246583763566,143.52354349102563,102.7212523587607,78.68806562689056,88.93416103097996,103.4718476141376,141.242087436217,141.83012339951105,150.12553638151775,126.2850853330645,97.41425381578858,86.15609105289134,113.1028556452698,125.22563191070337,142.4192043170762,165.0379541830092,168.4896969405588,175.32140710400554,178.58293656125613,178.35835848323012,174.31826277120365,169.81847480699386,165.232015840382,162.33224104327746,161.55835207049634,163.19002596503336,165.76557529876763,168.73809485359197,171.4967630441812,174.09085548554629,176.3322052012242,178.51267671286553,180.53503390708312,182.39858430623832,184.0373405417785,185.56943965476242,187.12996536865478,188.85721237138927,190.80076942276017,193.94219485603534,198.0724505436214,202.98881898969861,207.45895712651745,211.35117867891262,213.76776865339855,214.75962488089215,214.3526640744377,213.46884557423795,212.5746012457382,211.7822204753715
RSAM,Mt/yr,51.89291124121293,41.84536404826635,39.874005380654225,38.653023343912366,43.95930220573864,46.57937226389959,59.893696085064995,66.4241022035935,67.47360519371834,57.61511797230104,53.1420796895934,48.834142058416596,41.368429681914314,48.132862681202795,58.067693311284344,60.56538697550283,55.727766205928994,59.25313334739339,62.330600743651146,70.13798909567528,84.39718198348277,98.09651211665448,101.00315874366864,94.23103522435493,92.83263762634031,85.81492033881206,72.42006280919335,71.39653809513722,69.82342938016119,51.46286125562627,49.70895760147325,68.77988259120649,82.18423286640902,98.34478141575944,129.51166360152706,159.1626716304151,144.8533133491263,150.85539366103592,155.2903957116427,149.896441501903,126.94908062577169,130.02331069038712,102.32398526872916,86.81408391733025,85.67054454918323,92.66635546771289,108.25723669818917,108.8763063265104,109.03207871954059,98.14317670770647,86.33566248498688,84.31325300885594,105.35106052432396,115.78167011149517,128.15525545957175,141.66905205421858,145.5837109316619,150.16881629671082,153.906195207415,157.01371912309907,159.35276466047202,161.36434877012383,163.36182377112033,165.59681289396573,167.72400307602794,169.62717945536227,171.05244167021718,172.04243425363015,172.8120344814329,173.83583708853976,175.3218961835933,177.21395565025884,179.44514655432891,181.96685460762046,184.70297979931092,187.5921095658952,190.70730524107012,194.01927496412296,197.51257428751566,201.27138104446377,205.19994130920807,209.1379753180734,212.81694749625345,216.18206589899242,219.0559582134659,221.44971997535293,223.38975274924707,225.06148214551575,226.27440935045092,227.11454642389626
NAF,Mt/yr,39.045746031333884,53.968663380917725,55.10188982093024,58.20264301736945,64.21215956104685,66.66525875144745,59.14510800429422,62.40013222585859,55.802463082474524,52.03245138474683,53.05561636073327,49.53902356355227,50.90716234372008,54.28828765137198,49.92788769715949,50.420012274535715,52.75047400642778,50.372641612871206,54.96525055153736,59.63268515276112,58.155412127234385,57.0035330351633,54.19965304101584,54.65668471137455,54.70036018991278,57.73547239995679,56.73997001632907,55.03216418282591,61.811522136820315,66.57382357962285,68.1690377806305,71.43018939262693,81.67749004182518,80.50597058328816,86.59675866639954,109.17471591699847,137.05568488454728,146.55341216247265,153.55554243268656,156.30318362122327,123.64594877074853,102.1579687226151,99.99721495699434,95.11453592117707,100.51921069190493,127.74349981943517,137.6969734750294,119.57347215251195,119.48736705754801,107.70335080247715,91.40012578481208,80.50346028156798,94.66427027519404,95.39548035439782,102.73831828459922,117.35184733245939,129.64437831972083,143.17492710909735,155.91061386093946,164.6805426094825,169.21781502067464,170.15743438181744,170.92387876972253,172.51278786216685,174.63229952295674,177.2636763669185,179.76657555139826,182.25685393127105,184.5373907545701,186.930047632977,189.50069229346798,192.28145191355156,195.1459372094211,198.25447640112978,201.552740990292,205.07200471669543,208.87738268298813,213.0265850046344,217.58472575774314,222.39490467851053,227.1596655192563,231.41261891881607,235.13564079928167,238.23613672542314,241.03983795344843,243.81858423987583,246.97510529177615,250.19613573169283,252.75104805752426,254.71256372441243
WAF,Mt/yr,56.275654655835,55.80429370039551,50.46206714315278,49.94876447105371,57.68970680713431,58.552147130768525,59.98901947619958,61.62264159485083,57.71649940082791,53.090464182303734,51.916838768516016,50.706888044117,59.291652239089366,70.99327527857955,73.90327762755416,79.42479786716466,81.71036107537569,80.64712144147188,78.93622090232073,81.07064982047294,81.52597589306471,84.74984291652287,88.69630400451173,91.03210989096758,95.22102017329829,99.90549214856215,102.72627669076572,101.31583228700347,108.45005633957959,115.30467214274168,114.8709489937066,124.36493629039873,131.94221883555963,132.43902499520595,138.4508643805694,150.14561718670944,165.2458730380144,165.58047548847009,169.36216962675093,187.27020353370025,187.22532752472463,174.86092679244598,173.44399322776127,170.223633467947,161.6747491727986,172.18095402025253,184.5020224535261,187.21076826697995,197.03265083747908,191.21412175629894,183.42547008337937,181.57784978897737,199.5101510766434,208.9818012695841,223.3442627755278,242.21689573297732,257.9163053438825,273.11773138156445,287.6212237141986,299.5207569184657,308.5612437083975,315.2050202359048,321.5720808795842,328.63722940197954,336.42160353199324,344.95423392059234,353.5256894897591,361.99237239646584,370.2392269008975,379.0112824918374,388.5964810691131,399.27430384253006,410.90649172868814,423.71558161010216,437.2001198820985,451.10489617865596,465.13854746223944,479.1424701015317,492.6761607546807,511.7613195443091,537.324362949905,570.3412466161053,606.0470847448219,645.1305291434977,681.9207721947719,715.9463460114134,746.7165421338663,779.5635114440644,806.6378331677507,827.6059325613815
EAF,Mt/yr,25.538582703220428,25.9828280446403,25.54596699119365,25.413823006342568,27.968117308467896,30.284370006768302,29.17215998895333,29.12816267739185,29.0258799573025,28.979186751764473,29.67989881554757,30.171791464428598,30.496653535709775,31.106389247753878,32.96108329055931,34.19646535338315,36.7022616924093,38.798175994611235,40.260550478981074,39.42728816476378,39.83875520646096,39.10658477101219,41.08546875740017,43.12861395774742,46.45906558068539,47.759678250616666,50.52478988891652,50.398170479366115,52.756498958335634,53.33884640247229,55.223930338389856,58.16925288940046,63.19461981472211,66.69645726157356,70.80559673806894,77.24010185820849,77.56371749242452,76.61875573896289,73.33047314770786,130.07318331704604,124.4162874940851,124.41434243572576,120.30986625785742,121.74643909177665,72.6340886977406,84.95194611417855,96.83659426388833,98.34931148719811,104.63487616984249,101.59236865233379,97.62959529356742,96.12821011371112,110.85769736961363,118.54539591950243,128.38657463241958,140.68635647372383,151.9498924893825,162.88146608486085,173.42516748249284,182.86847344871242,191.3632829937325,199.1701920781151,207.28109219263476,216.13934204291644,226.0361333372809,236.91217314600857,248.60790522476518,260.7550539693428,273.193501741551,286.14485842997925,299.9588487231958,315.0376867179731,331.81185377488947,350.58486262546876,371.24964111891785,393.62380969058563,417.47361615275383,442.65911538900775,468.89280600554565,495.83498127291455,523.3830718711666,551.3979507735179,580.0108232938459,609.2159441533014,638.9609288708506,669.1426319651633,699.6800755009143,730.3087498856552,754.7951341574526,773.1792215187305
