region,unit,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060
CAN,Mt/yr,4.142278819857938,4.490385113102071,4.7830493120958,5.364953899597817,5.171314466633932,5.075471602073749,4.9622698066924995,4.865259330938087,4.489153646056977,3.8952466744091967,3.7830145647680506,4.097197207342821,4.511414239329716,4.936112049797811,5.820278374656928,6.2533736514854805,6.21704813790484,5.7983880315849285,5.020543622079479,4.616212270390462,4.24533681065679,4.275522836860807,4.433210599575119,4.9497320892410865,5.706535918417262,6.248464298260626,6.648216083695148,7.198283792109362,7.586691876466195,7.61983640070955,7.501636839635602,7.480487092398462,7.456114368856349,7.5696067408935965,7.149535761678215,7.146649543006624,6.772642707651729,6.509122730790374,6.40830065476777,6.552369681853239,6.621931900599881,7.0523094646741065,7.34640038038216,7.590882058552152,7.9945330850440435,8.37586091418711,8.630953327806706,7.64464125293701,8.233401509700354,7.716559622615935,7.8835396951379995,7.801443452452024,8.685620237223869,8.040576880512887,8.521939784166952,8.256476592575122,8.280814014198162,8.691032360567737,8.970889506401694,9.202995280744672,9.532991036710074,9.755575374504838,9.996151534700578,10.37078971935281,10.792292483601011,11.133711078489291,11.573974124442188,11.969067164675405,12.131687926289162,12.118880671435313,12.00233390692418,11.818664807617278,11.605079551044732,11.464162091299643,11.393289652306011,11.346170529616167,11.2680840862767,11.171612349430465,11.049050289382757,10.902461599714588,10.762751131012747,10.680577519136353,10.670766587351398,10.717059918144594,10.811675232240608,10.929423347936119,11.0564264677749,11.168403479441604,11.251048503000971,11.307791658696738
USA,Mt/yr,36.00327480637819,35.0847784838228,34.610693410183856,40.11682288224774,39.60907893107216,41.31135787413523,45.48230981292721,46.41892739017041,41.653971261509184,35.8884885063357,37.01605429113021,40.62648653703484,45.83204928860862,50.48514370998379,56.01462103388212,54.422314844794904,51.84720721696896,48.733048274557994,43.748477706397125,43.747642945813986,42.406696261083155,42.92209795901198,44.240605391312194,48.83611689916671,51.010287636175384,54.48172202912321,57.07306715619398,59.70060309954403,59.25389132196414,56.12983888947486,53.6786784591688,52.12942338388133,51.81960954467298,52.26866928075822,53.31873067153741,49.702303806727144,43.62382367168338,41.46668092985377,40.987237968749234,41.97236555672571,46.31028052646404,53.29990240422733,56.87391074177515,58.54331767868941,60.31466231429661,62.171442355252694,63.07576880221319,55.67188480797161,62.297332403714556,59.795108418911084,62.25799496523156,61.99222303234752,66.8239793730264,60.092801229299155,62.64669109727249,59.78789171982847,60.37298510277892,64.20243089463034,67.18574532848722,69.23379440880689,72.51267744374118,73.15915597587767,72.82663288884802,73.01373426790778,73.353081979962,72.35366392994182,73.21917484527961,74.19419886090321,74.18951047898503,73.71442996386091,73.40402022399013,73.25381791496353,73.14945227271805,73.32902730038782,73.88987592196922,74.60873110136968,75.209741287032,75.84483592992459,76.7195876706751,77.57540901489325,78.40724132139123,79.49274179274403,80.80884769399606,82.10219282225495,83.37022645844588,84.64692503584924,85.7439757106735,86.55861674456474,87.12175377368504,87.49402388979799
MEX,Mt/yr,3.6183683654003627,3.7630620225303817,4.003241697168263,4.21480586832148,4.046498252071132,4.320334497323153,4.9566722654191935,5.6922281963339945,6.3271294373513305,6.031670009889898,5.118058352056176,4.55446647548471,3.7593277235169,2.612636710541395,2.725497944082692,3.8032604543659376,4.423854115885212,5.059037697187001,6.055310934964542,6.861503068524158,6.680985598196792,6.580845849056657,5.401553630643016,5.144306068667929,5.586634909479506,7.327077788898384,7.517492086463494,9.579114301136434,9.584626447299014,9.03947423072595,7.257668515048011,7.607021655649828,7.2107529812324085,8.13284442847252,8.916936908930493,9.775599259600884,8.108290036840996,8.176014149318808,8.049091898128891,7.883844150794813,7.516128793265747,9.275726172001653,9.649532256576643,9.889802078534318,10.332330689291624,11.216459574933625,11.781966199871174,9.959790252367528,9.690844474857139,8.591901201434654,8.008461451868767,7.825029756004095,9.416962785650671,9.958152118631801,11.2895507172394,12.021662144122525,12.375823744432326,13.073375110434487,13.529709422277984,13.856452349286426,14.16902106316875,14.337286942781065,14.42112696664529,14.614420638252257,14.822981837876714,14.980971705311239,15.198468706625373,15.442381981341786,15.591254711399309,15.744205992752791,15.936553669019194,16.140994601463376,16.33023977145196,16.536446482464385,16.769760893021324,17.010413353765262,17.25899290172395,17.548813410872086,17.873280675151893,18.3096335597647,18.852743205234358,19.520202779030868,20.19441578442411,20.852782828559988,21.380624572694035,21.777052139507642,22.020080720859752,22.20236601597208,22.336827168546673,22.42606407600371
RCAM,Mt/yr,2.537506398846647,2.42207771980677,2.5295418433348864,2.768123882106187,3.0100895529124245,3.1775696450617663,3.235581697096582,3.06825124317362,2.861262047916155,2.4938883961250906,2.463313060224985,2.6781657299197237,2.863259978785788,2.9825693698461704,3.1348835852388977,3.3760215121461465,3.4412313535605836,3.2940938042511902,3.2633837325439425,3.2713013389303294,3.0040172705309067,3.0506795477050286,3.4455059386005717,3.8384615553209493,4.21615360357144,4.675324860232735,4.974862877970044,5.2625044568996175,5.132174711295313,5.051744609020713,4.87142194301569,5.000783996410678,5.306862247278116,5.792809733693874,6.225091688865753,6.754896978052291,6.047912130867892,5.581620869050198,5.5476297917965285,5.574453978392211,5.595567758590464,6.640424283466822,7.294514097373794,7.340362027486891,7.662067998883346,8.058282149539723,8.456928138291033,7.366019287861681,7.666585029928148,7.273481433256861,7.125367974658444,7.125761882081854,8.440326962254884,8.77748959417219,9.549196841982853,10.039780681461817,10.394548893335637,10.883323402652787,11.280188888846517,11.64585257158995,12.038555393441468,12.382760748620477,12.737789952545993,13.133124777557848,13.497218492088813,13.784867864006232,14.05711702521318,14.283109529404253,14.426564690770281,14.593568025160693,14.81219264178332,15.085215988845313,15.390444929365701,15.749614724211892,16.120973132891624,16.48301847086568,16.815776211243787,17.140129618162895,17.43823825862977,17.719359162977906,17.975878415939988,18.230245965090162,18.468996566317557,18.702900418270076,18.920749245681662,19.140422237753246,19.345645437736064,19.543738368996518,19.712863330965746,19.842161910084315
BRA,Mt/yr,5.520022444561644,6.5123421829488715,6.405050802562546,8.080438663157024,8.502121502836369,8.176586532754515,8.664226998036698,10.246821222038745,8.274976316361913,7.605861769537742,7.642207324431409,7.683895095048855,6.640214879506908,7.644297510096669,7.212815788125486,7.186448446292324,5.909662937498993,6.084358277577196,6.675066900019691,6.771602694611138,7.433210084317169,8.81432350029758,12.131938680690796,12.031217647376767,13.206928904425839,12.443886342982479,11.293015515705074,8.936466657992915,9.150734853637637,8.659658729395064,9.099995000675426,9.551079379893629,9.951997993508838,10.735854927670287,13.479536368238875,16.07343474297439,15.849626526833491,16.96234892969272,17.389090468100235,15.861731286322591,14.703322434628413,14.78305348300884,11.9602875161149,9.803169613542325,10.555923079659987,11.580939067749815,14.160469023676677,13.75843510325111,15.453063758633903,13.936551614404864,12.675811287668571,11.990208348933097,14.458293912983727,14.904677995430752,16.401286598194527,17.386877706817945,17.696538668821262,18.41741311200287,18.787796581284997,18.922238766454225,18.913691086420243,18.816660225515584,18.67740717134889,18.74638423288991,18.907645535992575,19.114376208395253,19.45050615330669,19.84719794046581,20.121312139950927,20.394989252546456,20.669389042709234,20.91804520383414,21.117185988527783,21.306697997810645,21.4850198764359,21.647933792531752,21.82054102136277,22.04156309214731,22.296380140523592,22.641180478927097,23.053580841655304,23.530206998710597,23.99196512141616,24.436375678547797,24.780806983156953,25.032601593636677,25.17146444480693,25.234534030009243,25.273559730402088,25.28378667961215
RSAM,Mt/yr,4.9913009594312685,4.6017259170304685,4.714047026231433,4.873289016064464,5.312083131733431,5.486648259305768,6.396604084740306,6.835393900143686,6.8306855779060065,5.967404849296821,5.6204222795189365,5.264769924831459,4.660630421179276,5.170423520936017,6.036127369947735,6.332504546297544,5.9592867623742185,6.308897233829674,6.672801747230311,7.422906032820806,8.46903127466998,9.459930353867227,9.876256092690104,9.521432278443827,9.653294914961203,9.302360664280542,8.391657301304775,8.45889650237065,8.354546492659795,7.012143326833279,6.985243434791645,8.997460716686774,10.17160036617785,11.483991179452296,13.892888150093412,15.974993997653044,14.453117494137905,14.701484942111838,15.281344113018006,14.911531171244098,13.80064868789137,14.845921438737873,12.5048395653768,10.736112457279422,10.806292985181363,11.418580352650507,12.480420482353582,12.543540361213,13.975830601790102,12.898996478665413,12.684898417093976,12.530179608666648,14.568504470416556,14.720115852871825,16.134838066494158,16.533062318007303,16.870008199415977,17.688048532275822,18.247692857510877,18.712722536949897,19.323890859751398,19.832409223962692,20.290193019857725,20.85706273454453,21.369761387050485,21.67933225722604,22.012008977455714,22.313838994566897,22.451973065597226,22.58827310308063,22.81169684876035,23.07997207577201,23.390230990422733,23.76874053370878,24.21820838456891,24.684677744728784,25.16212536076311,25.658066487387902,26.16495013605368,26.667251756609147,27.1615032614957,27.65805867660339,28.13505975146705,28.583194763172195,28.99192622416229,29.371823837888943,29.717281749957916,30.03849245054686,30.308916939630294,30.51090912864225
NAF,Mt/yr,2.627672861380332,3.4771672950604273,3.6131046309662906,3.9619976166472455,4.314061695262869,4.506823112895413,4.214761562420182,4.452740002438844,4.036070096596227,3.8976588500725122,4.008145510526263,3.7944593114270706,3.9201627484334134,4.102577666627546,3.7888171901323444,3.8657698925001536,4.103088950303401,3.975199541702814,4.284925550315245,4.633919923059167,4.461978846279991,4.392890130274668,4.302781104643644,4.365905387589799,4.427563216082243,4.731758554935239,4.747186485749239,4.764620858256654,5.211294613344259,5.499451559971428,5.6665565814891545,5.947138976758663,6.549874972588929,6.6147637756157325,7.137801664562621,8.379211985315521,9.844433666157274,10.304896738042656,10.459155076110985,10.580249804317086,8.891102152284505,7.719544320756754,7.8271865543261505,7.943443660289241,8.459591114543983,10.332340902248438,11.420451804956022,10.227412464167067,10.5231737383518,9.906269659014407,9.059091979109573,8.303073019256098,9.408599383074261,9.357285278971336,9.920960302442936,10.779170645001452,11.707473746375936,12.800239927830733,13.802296271928057,14.557188701973601,15.096060819647839,15.405199023702988,15.679254513261158,16.06148593147461,16.458975947678713,16.844998119748016,17.247234525035765,17.665985685264836,18.006042558556736,18.36410949371341,18.765349673447055,19.190567076612123,19.604598040246103,20.005492676003037,20.399947952814944,20.78092475370855,21.14737374949197,21.523240627793975,21.933771710454064,22.352006628454276,22.754299077397206,23.13250622050906,23.510184780147195,23.88108531887941,24.25197158629086,24.638693890218878,25.063745804344755,25.49238045639838,25.835863462218494,26.097639811065342
WAF,Mt/yr,2.9920026409631126,3.049183144740126,2.8759956933488895,2.906496273908437,3.2233367312641215,3.268638657811163,3.302024053150486,3.387112145864615,3.2307990655451153,3.083955235930202,3.064341320208903,3.0405491731598984,3.424677776397704,3.9579469811296017,4.082925681041517,4.3656336938285705,4.515564617225124,4.516967370897503,4.471979689054902,4.612870885924331,4.645272885135538,4.806426778766037,5.018437623893097,5.19494229965143,5.418277596595625,5.698658897667005,5.913551539663021,5.9106810802850624,6.267769135213733,6.646227941537597,6.753997665694524,7.229011288842686,7.66422041541415,7.854337313121807,8.318794142567018,8.942547418689552,9.74688814691512,9.855063763769332,10.036657183647174,10.857306211932064,10.930729919772517,10.4607534980493,10.479659193307814,10.343765637667103,10.060691543513052,10.79272169506568,11.666702569541933,11.802240889972525,12.6869720681899,12.752147924006662,12.531542784997079,12.49204002625189,13.686916322781357,14.241315446830388,15.102295799422368,16.243761737690935,17.334600993423916,18.435927728820403,19.488380239251992,20.400802881613902,21.176133874163195,21.827617534803675,22.45843645116855,23.206032875881192,23.978511676193772,24.77357485647631,25.582576287841675,26.406031593902583,27.166326218971417,28.005817830812312,28.95859790425189,30.04015144219788,31.240974058124653,32.551893003250285,33.942667993944326,35.382213953862546,36.8452431261393,38.323604967838584,39.790668220605404,41.547248599288174,43.65368547442071,46.17432894811485,48.900626410116814,51.86831863906662,54.82177174349969,57.73588109120345,60.58502485968988,63.6110431121138,66.12039487653159,68.05715841821582
EAF,Mt/yr,1.5313347190793063,1.5674775842145114,1.5740181226559882,1.5819368217512997,1.7099096024164526,1.8396186984816791,1.7981183001296857,1.800038473216625,1.797307090774517,1.8137697453657131,1.8525838660144207,1.88726441174684,1.9051441608040518,1.9725048635494167,2.0962430150639024,2.1736778703165323,2.321166123216204,2.452284589190939,2.5264624869587005,2.482598158608833,2.506249734973463,2.489640258949227,2.611313742632071,2.7386128641322247,2.9266342446439357,3.0408085832594076,3.2195944821395277,3.2446226006399375,3.40297151236843,3.4895642159488345,3.626785231396252,3.8038687882141105,4.099707757771197,4.374805818327101,4.717535583687957,5.14900765377807,5.2567358673609075,5.278432680444152,5.10151676131471,10.856187340180492,12.405905935639634,12.169438051904457,12.186889629696823,12.217104656238009,7.053215339638258,6.407761648036475,7.906144758395784,7.87735778396809,8.891836934918004,9.173634483710792,9.195137043997544,9.175673989553031,10.631719883426266,11.29019396062332,12.137894873119635,13.09881924766058,14.176201181774834,15.22772320783811,16.265330131463188,17.211661548667237,18.11389406196543,18.990294611935568,19.90530833758945,20.98565731476432,22.15979424117995,23.39811364675531,24.71881156238239,26.093495458383416,27.428527454094425,28.833673243980147,30.368853407059643,32.07658358329027,33.99852456811413,36.15774634044752,38.54150934204024,41.0985108591868,43.76988342425456,46.52786861467367,49.299073926250166,52.07013566832032,54.84370274606304,57.62549165751012,60.43386216018717,63.291768754916106,66.19394299010176,69.13357499711918,72.11139014368862,75.08568279243008,77.48085265377222,79.27786800890512
SAF,Mt/yr,1.1870241912184871,1.2583337202143499,1.2970498203028282,1.3120228892913108,1.2224357481156112,1.1588411746544443,1.1556297895266892,1.3402662508887546,1.56879333317771,1.6980393567149756,1.7093299083975544,1.8392994394602762,1.554490589236574,1.3227824326790758,1.4200843232258362,1.6207650265677789,1.5921218334367506,1.7786592019536147,1.7670332173706504,1.59523001797569,1.4252934903982155,1.4293287623104378,1.5666770075112413,1.8082818990916278,2.0102127445384674,2.0127945868107053,1.9820724007219823,1.9842262350307307,1.9423537020539414,1.9659810217256153,2.1771034540595466,2.5226680734414737,2.798125236110981,3.2307201321828165,3.6505449830143757,3.7255257820723022,3.1747335394796554,3.0781501859533758,2.885980575070184,2.582527791241711,2.4979330026979794,2.861937819481293,2.7198297170622068,2.46074305095242,2.884188221244754,3.4319046615133275,3.998882463668394,3.699640650091008,3.7770859803797037,3.2312549793687566,2.659210288341482,2.2355156017745035,2.7221407032428493,3.0487403992609474,3.5444096695098675,4.083824765301131,4.506529215077148,4.930420242391241,5.258489833719614,5.483570946770941,5.627154694444671,5.691737746020063,5.722162288708269,5.794876916106163,5.892358563795497,5.99724481268599,6.1359660535198515,6.300182213107752,6.444308721995933,6.585250034521189,6.737635262313759,6.8964931367668365,7.066073488022451,7.254192092965782,7.453750179187511,7.650499424959975,7.8362280105143425,8.005951667177664,8.159897839988034,8.257213868284769,8.29991150350913,8.294774545699278,8.289266425690018,8.284306915921743,8.329086290271063,8.429330696496464,8.58313947305351,8.737578032914914,8.865778354418454,8.963029051525776
