region,unit,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060
CAN,Mt/yr,41.880522296225436,45.53447926983337,49.123932988625015,55.28723104622643,51.26080596782511,48.2355901452154,45.03711144512896,41.66266830812852,36.12572288117866,29.209652681511734,28.978791489186754,34.375188965881655,42.19307700632528,48.962919227831556,61.16215273475149,67.39835290713467,68.30075082082769,62.52726154762172,52.00143054056836,47.004106670695236,41.42414434207855,41.05166499536837,42.70049373270756,51.33715289304384,61.75958047799018,69.06309429652181,73.99418970790228,80.73503441962261,83.2266246998019,81.00965170289994,78.02653480612511,74.92762600605231,74.4134070518605,77.37523939341875,69.57641248735192,68.47247644060835,69.16342817194013,66.24792816080212,62.433568030092076,65.82531502985447,67.86580374475824,68.56948105151865,69.63475069403835,73.32874860117627,78.6994798858129,82.33913728714916,84.70294976948499,78.52974987218761,75.47738041369261,70.67759964290906,64.86055486257393,64.38607585854615,72.00543719101111,73.94029851988543,77.56281066234808,82.54534885739162,82.5408261136094,84.57219695376028,86.84623709732246,89.07896386988823,91.2040696950246,93.14339326520937,94.86024109322855,96.25938606219349,97.05698076614216,97.32066057908602,97.14763859412804,96.94637676424665,96.88962790094057,96.89260188326044,96.91889825555673,96.95554911538711,97.0102751012901,97.02554672460573,96.97169732119934,96.88002907286713,96.74893245783352,96.63232108210923,96.52852417748535,96.54597705851776,96.73411020142552,97.12869338101275,97.71562250236238,98.50044749247812,99.52726103541154,100.6859346057803,101.93712649954952,103.09770203931332,104.02576182732594,104.66072551628977
USA,Mt/yr,293.5084474843942,275.2247984532393,271.42787966073536,343.4454377338228,335.44007615408407,348.4295445895673,401.8771042053353,403.10886950677184,327.69182018403313,261.43981617462816,295.95482335159704,342.0444340718129,427.1988721603464,500.1932190563697,560.6019352802526,515.6549247798097,482.3777313202022,430.5844054891666,364.98998839303056,367.8759342657298,353.11327309232536,353.73369695449145,360.4706823189145,410.9336684572724,420.1219349758794,454.34216704459516,481.45234790743416,504.88526592889775,488.11125617168335,461.8473120829987,432.76538188248577,406.25065376087764,393.15851306748647,406.37993737225077,393.7678114811587,341.52398019763814,283.24665289967663,273.1066674053768,253.25104696124936,258.3625166893125,303.5637456476171,361.7360211761069,374.48540355293983,386.6596103785263,411.00420989799284,426.9656420054961,433.5667656095493,391.3701630562829,403.9541187049715,393.45438983484394,379.8002279480793,374.1307514154795,410.8738759340442,401.5741707455244,406.0489226587707,414.15183825968563,413.6292331687121,418.266579900334,420.6337614910764,420.8029918882502,419.364905202506,417.7259560183091,416.65079442002036,417.36661275061505,419.7100533032916,423.0219907599418,426.6667792822876,430.0995832667371,432.7847737828248,435.03170486045053,437.0458283316536,438.9895173514029,440.9749068745402,443.26484566787383,445.568212574792,447.95295088222736,450.3879105908351,453.0229297794871,455.8538109273841,459.3386954143859,463.50434783341586,468.33465060858106,473.41360072198506,478.6955935010186,483.7781068538661,488.5843626556989,492.9218818263001,496.93179894753837,499.9810250830489,502.181569728729
MEX,Mt/yr,47.824289774560555,47.57395779096894,48.659415449686605,49.19460728228394,45.95537842296587,48.49922515311394,56.03327250465138,64.97428502794222,72.98190906263294,69.06732018909561,56.60047034990106,50.84693519994205,41.60941226349938,26.871456881880015,28.01577805322875,41.94848423884918,49.943365426276266,57.60630684016799,70.36999664779384,81.2639005884646,78.5052129388469,76.88273557203834,59.80676922522197,56.24770956600939,60.98561452848189,89.37343781870328,90.84737229453023,118.92282779430161,118.86820268532404,111.04398548811469,81.121880924133,85.0466750722004,79.9686779770667,93.19448150188494,104.49244128979326,117.34389173188342,95.9182486303448,97.14785342191573,92.97073257800689,88.51121157931907,82.41183358567825,104.10429538471617,106.39919539898797,108.82837452618658,114.97623989021903,124.35447046501235,129.42926514825098,108.47496944696357,98.03747959244706,83.50223430878921,67.75778605069654,64.91062663445588,83.29630151077984,95.7629253648889,111.00596015208343,127.69590192917511,131.86458463478772,137.1316710245016,140.9747896842724,143.3865841548511,144.15546245145256,143.94309365391877,143.4334433204051,143.59853664204843,144.39173374874443,145.872128521524,147.35807999604998,148.87523090335088,150.28910022625467,151.7753742534995,153.31437153234998,154.92039599455543,156.37904154359165,157.77474491317997,159.2087786695048,160.80872290677286,162.6749594121451,164.88925714010293,167.44256936066674,171.92272431430115,178.24604480757384,186.34216682305052,194.45093251222823,202.4689328299004,208.49770067363116,212.42917438411837,214.15668418702313,215.40809596294775,216.19410982175614,216.65970437037723
RCAM,Mt/yr,27.897034652535325,25.056202603400063,25.43990923445235,27.667605049866246,32.031483485481154,33.54992423323588,33.097395073374244,29.795760792499795,26.703438076753617,21.16041077603922,21.399440524400987,25.35971742453357,28.027284227496136,29.464569479540067,30.636124787803773,33.71753071646249,33.87530189607905,32.059303856943565,32.241050624972885,32.66188811549015,28.471446968591504,29.147194010324633,33.60427708837859,37.30476047352646,41.33148999712712,46.76333072140211,50.065606850364006,53.62195084454129,51.31346309398255,50.20098051543923,46.78076652050918,48.01053353805509,51.82846512083953,56.07721509926158,60.629774846867555,69.61147729136079,58.763771677630736,46.76583028848664,45.67599387240634,43.26972028523192,38.07600893354574,48.99786935451109,57.740278622077334,57.8888213028183,61.56551408125098,65.87584129725835,69.98308483491965,60.55081858190103,58.34758321127066,51.73674424658876,44.39555891125504,43.177268803970534,55.17623137892347,61.72974509103089,69.70449108375753,78.81726031898461,82.27541766765685,86.0846527668997,89.37738723824646,92.081773285486,94.12734191412406,95.61934951987296,96.97065880460812,98.374815599337,99.70024024595095,100.93676807459096,101.9962614010233,103.0308570281488,104.07485819030225,105.33184873052767,106.83163283964174,108.58310787590096,110.439734276466,112.38039538729399,114.23828944914555,116.01223921096032,117.66596613839693,119.2648401737572,120.72135715772613,122.02684998163213,123.12374557485138,124.0218954359563,124.75648889951245,125.41561210885627,126.00266467858346,126.56166955377584,127.0728090177843,127.47498768618682,127.7372351632916,127.90843822522865
BRA,Mt/yr,70.80537925202759,84.6626431390922,77.02201204351158,101.5750612231858,109.0319564029679,101.19916801262642,107.45162297104325,132.56673355782533,100.74723563588005,87.58399680355691,94.90306496291369,97.19724908720437,78.79511832906447,89.98613937173836,80.01755694000971,75.6417837118211,49.880649024685,58.16038478590592,71.67853166803994,73.39580335630596,79.18508377351655,104.82336549750775,147.07383340993863,142.92263737634568,159.33502523266048,148.0675941225329,126.95233013982968,91.50622814467508,93.26443228361013,84.2672127260424,91.15226639728395,89.65804110989045,95.95242077976165,104.09369207194736,146.66485489021426,182.3889255989438,184.30019027136422,196.31224843019032,198.55983205829259,172.8119619168406,149.3224658376357,143.52354349102558,102.7212523587607,78.68806562689056,88.93416103097995,103.4718476141376,141.242087436217,141.83012339951105,150.12553638151775,126.28508533306449,97.4142538157886,86.15609105289136,113.1028556452698,125.22563191070337,142.41920431707618,165.0379541830092,168.48969694055876,175.3214071040055,178.58293656125613,178.35835848323012,174.3182627712036,169.81847480699386,165.232015840382,162.33224104327746,161.5583520704963,163.19002596503333,165.76557529876763,168.73809485359197,171.49676304418122,174.09085548554626,176.3322052012242,178.5126767128655,180.53503390708312,182.39858430623832,184.03734054177852,185.56943965476245,187.12996536865475,188.85721237138927,190.8007694227602,193.94219485603537,198.0724505436214,202.98881898969864,207.45895712651745,211.35117867891267,213.76776865339858,214.75962488089218,214.35266407443777,213.468845574238,212.57460124573822,211.7822204753715
RSAM,Mt/yr,51.89291124121293,41.84536404826635,39.87400538065423,38.65302334391236,43.95930220573864,46.579372263899586,59.893696085064995,66.4241022035935,67.47360519371833,57.615117972301036,53.14207968959339,48.8341420584166,41.36842968191432,48.132862681202795,58.067693311284344,60.56538697550285,55.727766205928994,59.25313334739339,62.33060074365115,70.1379890956753,84.3971819834828,98.09651211665448,101.00315874366864,94.23103522435494,92.83263762634031,85.81492033881206,72.42006280919335,71.3965380951372,69.82342938016119,51.462861255626265,49.70895760147325,68.77988259120649,82.18423286640903,98.34478141575944,129.51166360152706,159.1626716304151,144.85331334912632,150.85539366103595,155.2903957116427,149.896441501903,126.9490806257717,130.02331069038712,102.32398526872916,86.81408391733024,85.67054454918323,92.6663554677129,108.25723669818919,108.87630632651039,109.03207871954062,98.14317670770649,86.33566248498687,84.31325300885595,105.35106052432397,115.78167011149517,128.15525545957172,141.66905205421858,145.58371093166187,150.16881629671082,153.906195207415,157.01371912309907,159.35276466047205,161.36434877012385,163.36182377112036,165.59681289396576,167.72400307602797,169.6271794553623,171.0524416702172,172.04243425363015,172.81203448143296,173.8358370885398,175.3218961835933,177.21395565025887,179.44514655432894,181.9668546076205,184.70297979931095,187.5921095658952,190.70730524107012,194.01927496412299,197.5125742875157,201.2713810444638,205.19994130920813,209.13797531807342,212.81694749625345,216.18206589899242,219.05595821346589,221.4497199753529,223.38975274924707,225.06148214551573,226.27440935045092,227.11454642389623
NAF,Mt/yr,39.045746031333884,53.968663380917725,55.10188982093024,58.202643017369454,64.21215956104683,66.66525875144747,59.14510800429423,62.4001322258586,55.802463082474524,52.032451384746835,53.05561636073327,49.53902356355227,50.90716234372009,54.28828765137198,49.927887697159484,50.420012274535715,52.75047400642777,50.3726416128712,54.96525055153736,59.63268515276111,58.15541212723438,57.0035330351633,54.19965304101585,54.65668471137455,54.70036018991277,57.73547239995679,56.73997001632906,55.03216418282592,61.811522136820315,66.57382357962288,68.16903778063049,71.43018939262693,81.67749004182517,80.50597058328816,86.59675866639955,109.17471591699845,137.05568488454728,146.55341216247263,153.55554243268654,156.30318362122327,123.6459487707485,102.1579687226151,99.99721495699434,95.11453592117707,100.51921069190493,127.74349981943519,137.69697347502944,119.57347215251198,119.487367057548,107.70335080247715,91.40012578481205,80.50346028156798,94.66427027519404,95.39548035439783,102.73831828459925,117.3518473324594,129.64437831972083,143.17492710909735,155.91061386093946,164.68054260948247,169.2178150206746,170.15743438181744,170.92387876972256,172.51278786216685,174.63229952295674,177.26367636691853,179.7665755513983,182.2568539312711,184.53739075457014,186.930047632977,189.500692293468,192.2814519135516,195.14593720942116,198.2544764011298,201.55274099029197,205.0720047166954,208.87738268298813,213.0265850046344,217.58472575774312,222.3949046785105,227.1596655192563,231.4126189188161,235.13564079928165,238.23613672542314,241.03983795344843,243.81858423987583,246.97510529177612,250.1961357316928,252.75104805752426,254.7125637244124
WAF,Mt/yr,56.275654655835,55.80429370039551,50.46206714315277,49.94876447105371,57.6897068071343,58.55214713076852,59.98901947619959,61.622641594850826,57.7164994008279,53.090464182303734,51.916838768516016,50.70688804411701,59.291652239089366,70.99327527857955,73.90327762755416,79.42479786716464,81.71036107537569,80.64712144147188,78.93622090232073,81.07064982047294,81.52597589306471,84.74984291652287,88.69630400451172,91.03210989096758,95.2210201732983,99.90549214856215,102.72627669076572,101.31583228700347,108.45005633957956,115.30467214274168,114.87094899370663,124.36493629039873,131.94221883555966,132.439024995206,138.45086438056939,150.14561718670944,165.2458730380144,165.58047548847009,169.36216962675093,187.27020353370023,187.2253275247246,174.86092679244598,173.44399322776127,170.223633467947,161.6747491727986,172.1809540202525,184.5020224535261,187.21076826697995,197.03265083747905,191.2141217562989,183.42547008337937,181.5778497889774,199.5101510766434,208.98180126958414,223.3442627755278,242.21689573297735,257.9163053438826,273.1177313815645,287.62122371419866,299.5207569184657,308.56124370839746,315.2050202359048,321.57208087958423,328.6372294019796,336.42160353199324,344.9542339205924,353.52568948975903,361.9923723964658,370.23922690089745,379.0112824918374,388.5964810691131,399.27430384253023,410.90649172868814,423.7155816101023,437.2001198820984,451.1048961786561,465.13854746223944,479.14247010153167,492.6761607546808,511.7613195443091,537.324362949905,570.3412466161053,606.0470847448217,645.1305291434977,681.9207721947719,715.9463460114133,746.7165421338663,779.5635114440644,806.6378331677507,827.6059325613817
EAF,Mt/yr,25.53858270322043,25.982828044640296,25.545966991193648,25.413823006342568,27.968117308467896,30.284370006768302,29.172159988953332,29.128162677391856,29.0258799573025,28.979186751764473,29.679898815547574,30.171791464428594,30.496653535709775,31.106389247753878,32.96108329055931,34.19646535338315,36.7022616924093,38.798175994611235,40.260550478981074,39.42728816476379,39.83875520646097,39.106584771012194,41.085468757400164,43.12861395774742,46.45906558068539,47.75967825061666,50.524789888916516,50.39817047936611,52.756498958335634,53.33884640247229,55.22393033838985,58.169252889400454,63.1946198147221,66.69645726157356,70.80559673806894,77.2401018582085,77.5637174924245,76.61875573896289,73.33047314770786,130.07318331704607,124.4162874940851,124.41434243572579,120.30986625785742,121.74643909177664,72.63408869774057,84.95194611417853,96.83659426388829,98.34931148719808,104.63487616984249,101.59236865233376,97.6295952935674,96.12821011371113,110.8576973696136,118.5453959195024,128.38657463241958,140.68635647372383,151.9498924893825,162.88146608486085,173.42516748249287,182.86847344871245,191.3632829937325,199.17019207811512,207.28109219263473,216.13934204291644,226.03613333728086,236.91217314600863,248.60790522476523,260.75505396934284,273.19350174155096,286.1448584299793,299.95884872319573,315.0376867179731,331.81185377488947,350.5848626254688,371.24964111891785,393.6238096905857,417.47361615275395,442.65911538900775,468.89280600554576,495.83498127291466,523.3830718711666,551.397950773518,580.0108232938459,609.2159441533014,638.9609288708507,669.1426319651634,699.6800755009142,730.3087498856552,754.7951341574526,773.1792215187304
SAF,Mt/yr,11.48953973588025,11.914075995005252,11.93004058353847,11.41466156108164,10.13019847387634,8.46580053267464,7.540202958147731,9.48728852750534,12.925601180315164,14.68509977220358,15.4842021753467,17.81914804088239,13.938201721755954,9.923757493636478,11.120576096536452,13.0979902269712,12.261849255323348,14.940044288890538,15.135762280645618,12.707189450565533,10.857153488211981,11.439103218673518,13.677645630007419,17.275428936934794,20.154165005310556,20.40654062935706,19.894824416725612,19.495016389141313,18.653547948247372,18.500938439761995,21.232584205241395,26.337147481432716,30.480003959886893,37.18886612814548,43.670083837450534,44.286401140287026,36.223712268667875,34.97645298121115,31.255119666190286,25.857752933597663,23.764637275865272,27.468111822880495,23.56080151948305,19.651184349948785,24.59118713000352,31.12299449417045,38.05987266457114,34.702506751029766,33.561745923832135,25.52336398716663,16.986754502338158,11.54810520328277,17.207315787748094,22.348872232570876,29.014310610374014,36.93875025243987,42.082988996396004,47.00582487382044,50.93908467253701,53.461639860932436,54.6529760836749,55.10415909763731,55.484846415384155,56.24245729536723,57.34594552216414,58.7243213198098,60.31618525534784,62.040621576895774,63.70702402040454,65.33204685981465,66.95845871576299,68.5817455376519,70.24314283663897,71.98024260573439,73.72540955486302,75.42114393152285,77.01805033573623,78.46903480273625,79.68872217306804,80.06909707162656,79.61611378637956,78.36143952922296,76.99614113079342,75.61493213515834,74.99026156041609,75.16700305773887,76.16214102010096,77.20312149856065,78.03622884855108,78.68459698198781
