region,unit,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060
CAN,Mt/yr,2.802208645640691,3.12216333771308,3.386288435666608,3.9298874125191907,3.6936276693281784,3.55050873196219,3.3941806244852133,3.243881550031346,2.813363988591995,2.195420541126726,2.008947496444123,2.277067258175756,2.6474433584885446,3.028658356429376,3.832471041238687,4.244767742629156,4.155087930358302,3.645702950588773,2.8074559264165178,2.325501365899719,1.8660517248015371,1.8313039418824375,1.9752493268573492,2.4527291536844205,3.2093944962587693,3.7280328994243277,4.115669834383009,4.637635423359806,4.984771068978041,4.954558527374273,4.802444060808325,4.713794639646155,4.617433846151495,4.661540588530228,4.17195191814279,4.090016750619779,3.51808445357347,3.141848949986761,2.9510694381898075,3.0106101565358694,2.990885313955915,3.4433267818483477,3.668248628675407,3.8236023379731394,4.170044268695474,4.501010730042472,4.708344723373549,3.9468335790962756,3.8097015547165958,3.2647844743984926,3.4046261826469184,3.3036764735911044,3.888735590003745,3.906951065146788,4.316376990909038,3.9738733384157072,3.9149876747168606,4.253018928050686,4.444513557373286,4.588141325969995,4.829309759910513,4.961415223578444,5.109483124870022,5.390178476238224,5.717010836065236,5.964137112148615,6.3124565579199245,6.620864367871877,6.70266118812158,6.614422750232714,6.428382695111425,6.179084197579373,5.900487448468496,5.697051577312912,5.564287892768073,5.453827042410175,5.311931629046922,5.15161858903599,4.959583173836118,4.738060664757743,4.516866354740371,4.344280308208695,4.233406271831417,4.168689707551515,4.1424220597532315,4.125311570852094,4.110230233263254,4.075909590697084,4.038685524509733,4.003265538932915
USA,Mt/yr,22.845906016059672,21.742619247407994,21.041117327430108,26.248601995395234,25.433149830522844,26.793938894266876,30.612974542500552,31.158295234292744,25.993789110698117,19.831711022744066,20.404482962101003,23.498978086463545,28.332557378368385,32.60647978622393,37.75770759072755,35.96428927502791,33.1350251938167,29.256159117746073,23.740578337530906,22.852651839981526,20.929416116094597,20.91553579743016,22.166495092323693,26.492408517709087,28.905435713539635,32.085763040789594,34.59719836532712,37.03530142777494,36.288966596834044,32.5851238071564,29.813230515720583,27.676281021595383,26.793394221006686,26.764801862475213,27.399807154215672,23.243651288302704,17.12792474534708,14.593292514736088,13.670548674899171,14.2079013696485,18.175582490929745,24.223677897792413,27.09493992570347,28.40428595085722,29.84911788443809,31.34048190366504,31.96643629296537,25.250957842789735,25.600386829517124,22.515917641208244,23.52551664110632,23.143781942012655,26.62377366085409,25.24621490687776,27.71526434158015,25.618599564630586,25.60365512179113,29.209836060401898,31.974097600682352,33.60774784895866,36.53789748453042,36.82797441519007,36.03997609293434,35.59760179319047,35.101066322557244,33.08064055845737,32.808716824129974,32.625020016969934,31.532320584863186,30.105089655899025,28.93232994537475,27.888132954476692,26.784260190206897,25.843463831095296,25.78530556804892,25.89115876883189,26.014883662388634,26.371762076705032,27.15096693040248,27.42533948949029,27.718892971125122,28.26784680435727,29.01217481437994,29.68689074167696,30.31006776295296,30.949397691607277,31.449907706159205,31.736201653390033,31.907074623947626,32.01310459933008
MEX,Mt/yr,2.934321971078697,3.056006206261809,3.274295879714484,3.456645134037683,3.255559980438895,3.4921245894405657,4.093494202016311,4.780629087705877,5.358084373990058,4.9872160803145045,4.027427242238381,3.401238811271128,2.5423675290034407,1.2917264734849876,1.3201191553680955,2.322948056557691,2.8549402114434015,3.3014235687533415,4.194733732540462,4.90128778964605,4.639978301443486,4.490110922853544,3.5062377737579795,3.292005958835856,3.7859411821381364,5.448811095450549,5.626098195942676,7.529766526792152,7.480922045287033,6.859112015923472,4.466239478975355,4.748821872225593,4.2826241792898845,5.136491909968148,5.852837497161628,7.240991900214017,5.811295698473209,5.757375808171936,5.538447399968986,5.278157111024653,4.809324236373764,6.125262496847034,6.3810963197451445,6.537595304552729,6.897600229722268,7.70137276576921,8.197598507728241,6.558213937217635,5.857115312871487,4.659251937802664,3.9684557956682958,3.7282487535803988,5.041570525891007,5.853409295238236,7.119284354875342,7.792187371458459,8.03544448948525,8.615512262516907,8.94740775528941,9.145139340852515,9.3270594443367,9.364606839558816,9.317373264980565,9.37886739845995,9.453301341031212,9.472540854892028,9.546022515204061,9.640954313770623,9.636293535819295,9.631759203764005,9.664625886333603,9.707797815598623,9.734009795090467,9.775382140970844,9.842057668893853,9.913753851452427,9.991566374981616,10.108677391215977,10.258197017964735,10.516846350651623,10.87897561585421,11.361377687314183,11.846433889662842,12.311620492214224,12.643271903982196,12.841952848719936,12.886968385945135,12.872354717024155,12.849988272383673,12.82245551150011
RCAM,Mt/yr,1.7511899314724755,1.6217390875284345,1.713516881969457,1.931450414868411,2.150552359296582,2.2901613952928224,2.314109990846697,2.1031002291467886,1.8501032673302409,1.4293819585106424,1.34715830919022,1.5175966552800442,1.6597864878232105,1.7342434759278091,1.8486678156532819,2.0541869069254064,2.08222415778506,1.8887585337844068,1.8063359743068577,1.757783494739649,1.4467682216456008,1.447395464570757,1.8106637429037427,2.1817799389023014,2.5613378652231056,2.992091305214715,3.28828684301265,3.569122997813576,3.4200629326986323,3.291116886142484,3.0726837376682243,3.1330580607194056,3.365422102341012,3.7833503881719737,4.154288235924341,4.623041393904383,3.848772102311095,3.2265073042626886,3.1231712817339385,3.0701465910723074,2.9980699709505814,3.939743764655887,4.557099582777706,4.509684330614643,4.736670264857019,5.032133330355258,5.327472285251024,4.302321709878763,4.297091333219749,3.775238269416272,3.509430044986621,3.407434801562906,4.465959412013012,4.879824845498954,5.553803259875828,5.944318124859659,6.191664329943012,6.563627809939514,6.83347263654336,7.062856700185323,7.313980665227933,7.517571056814572,7.736595350722547,8.001064383900593,8.237574103043286,8.396900395788506,8.53515580556548,8.61925302237643,8.612442617884815,8.620056393411858,8.669540424678726,8.77132520936139,8.902832617353088,9.084923237941386,9.277339026017051,9.46050743948215,9.608097017245393,9.741626717865207,9.84359308923366,9.922362952672263,9.969802999075316,10.009163725059206,10.02856722381173,10.041040067710636,10.037556105749449,10.038194084148506,10.027641453678001,10.013462034476074,10.014361494838937,10.018754699207326
BRA,Mt/yr,4.566157995073302,5.522625956170217,5.214094915974035,6.857155242760456,7.2402889298512125,6.866042063391333,7.3111148352136555,8.994578281933741,6.755039378088478,5.959669150697911,5.874462210041862,5.803486614212827,4.54253046162362,5.587983775930899,4.823425743482068,4.702784080867447,3.1068259756246217,3.2384231760237325,3.6068214049858325,3.646708175498224,4.216927244770682,5.740553760788581,8.994455374382373,8.929635377616544,10.29332870960056,9.415241334205012,8.173507593641627,5.869420955805461,6.131424818127927,5.505509015457743,5.93977183322833,6.2930027533686985,6.62689722373838,7.342223806284461,10.094237011945713,12.64245291912081,12.151866938323625,13.100257869178742,13.353844496491906,11.650501899096968,10.318100716354198,9.95334846246471,6.859386531758434,4.259628390741966,4.886455576055224,5.790985306930982,8.780510723219429,8.780510723219429,10.543803874997655,8.92976632117896,7.565370402074518,6.815100468536481,8.80021664318571,9.26642109357847,10.631525032770593,11.487746333846587,11.63120349793083,12.192160097454853,12.412105034506368,12.40121658147,12.244862220078709,11.990769278367225,11.681683728630782,11.568706716190848,11.538462537367968,11.54826751912999,11.685598801031508,11.884683020495414,11.962891468732305,12.04195253041967,12.120964704560102,12.17209233496107,12.170485123467065,12.155993353180104,12.128462756047051,12.086471347372044,12.05931920416289,12.087236019625378,12.15239203797157,12.31018736249861,12.536343057765857,12.824832354640112,13.096813077940855,13.354687600317826,13.516412903471013,13.590551008630445,13.556868230642802,13.451111848620101,13.35650449231168,13.2676632757521
RSAM,Mt/yr,3.4613787174113293,2.7664033049482946,2.8519213252232753,2.9746461224373713,3.3748218761735544,3.5039083505700064,4.640555002494982,5.008204179828086,4.9200182702020285,3.8750088441450794,3.4313045987072455,2.9722235486810966,2.2952699359443534,2.7425111267080657,3.6475865341203724,3.8970057686934494,3.309476237040664,3.5300800630832,3.7166294844648533,4.261603628467863,5.178120668915653,6.240257690155711,6.626332464516278,6.291165253484907,6.487956623875772,6.097676163892421,5.117043684971799,5.139360552337751,4.9732374879981815,3.244282134546758,3.154475069939614,5.102224501677492,6.1745934029154315,7.397746252241696,10.015025444888364,12.001707225011472,10.252755411134471,10.358486738751841,10.75578941543466,10.170863310803863,8.821852179622967,9.110299145086156,6.832014451127418,4.797168349330494,4.557552820393331,5.057642510290469,6.696506775049505,6.696506775049505,7.554274270702722,6.628707636032,6.396610574581681,6.205995710546202,7.936381593374276,8.636792432828553,9.923574323756046,10.167727774615091,10.30905383216141,10.914176176311098,11.256936046932001,11.508619585651221,11.91326623558854,12.220471962785117,12.479967862953751,12.850816416729751,13.167466529231643,13.277565185379197,13.407863717585126,13.504835254324206,13.434119085580885,13.355992694902985,13.351449611596914,13.372108298835148,13.412212415749483,13.547495332237006,13.74744071315322,13.96674800202129,14.204912360405093,14.471723513731172,14.710402264456434,14.938907251837923,15.148331228234053,15.349635010701238,15.521501721652706,15.671694280617439,15.783580327557555,15.871376168470153,15.929719780760323,15.969888891844187,16.00796677002915,16.03439703507386
NAF,Mt/yr,2.0353867542676354,2.858727572459783,2.979693732507216,3.307642496595104,3.637325811903132,3.8035366066891676,3.4953306545002043,3.6984480493921326,3.2404998252461743,3.047988576728226,3.1100716059344196,2.848710147957358,2.9207788944104953,3.057564076188704,2.7049286899334395,2.712360450893852,2.895213019042224,2.658897258328592,2.8644367295967266,3.119455691997317,2.910154469809625,2.780548494663393,2.699432693954821,2.7584262509562834,2.820818342991965,3.071947378731923,3.0575696404789108,3.0321853249085766,3.4343533861845357,3.6642130081199666,3.796681368114393,4.022887862765416,4.56953536335679,4.5798374793132925,5.044897308576153,6.216110691598198,7.091658296060101,7.477654499673543,7.540350682454436,7.569526682260603,5.630172164278551,4.879583895949008,4.848786318321684,4.90386318689263,5.341416439994727,7.302911401877459,8.321911357684767,6.971971127261277,7.164439352427553,6.473239278535109,5.541216282836079,4.7009653735567545,5.846884053883756,5.712626030312888,6.17100314058091,6.916629160795074,7.723875213701426,8.6887668899062,9.5593007645871,10.181629722455614,10.587154732539638,10.760933301734232,10.896713211772,11.136438362154532,11.384854927395342,11.614207506570702,11.85188834539163,12.097748536203365,12.256162454139925,12.423676398497687,12.626355526384675,12.845722736590181,13.047098944417396,13.229646622857263,13.402407346791534,13.559478970882163,13.701507312783102,13.853896740786542,14.042839355027628,14.239345668836364,14.419820358021914,14.574981836441319,14.728114092467006,14.87298382486405,15.01957079169136,15.183342153342576,15.387013295028932,15.595747109224636,15.764266444964482,15.89446732143833
WAF,Mt/yr,2.2945742648504526,2.3319108164050504,2.140931618913276,2.147756429693993,2.441068459752656,2.461568359224679,2.4629096246735296,2.5149536903033525,2.3305806093709522,2.144735268214903,2.092229564912112,2.051806120022252,2.4116231036709146,2.9140633403622656,3.015396796831322,3.264080983826825,3.3736707057537587,3.2663031922465535,3.1223436235276827,3.171232356255262,3.141424228243207,3.2467513454918717,3.472988016454978,3.654496186926596,3.8933586021911166,4.133735163456935,4.325438350448781,4.296221120132199,4.615896716269661,4.934596374072248,5.017290378277648,5.440410824381284,5.820441938008348,5.961292584325838,6.375196988640463,6.934907496613318,7.2087617724929185,7.24440898980188,7.347817643655891,8.086484496703571,8.064460303272899,7.940068273403824,7.827594960815394,7.596479376102829,7.212486150468104,7.851562971753121,8.654381300045378,7.54982170791629,8.334411912865136,8.3037832938301,7.986735968306638,7.8445346580910895,10.112515266602731,10.55574320564976,11.296939285680551,12.308302901705005,13.257034870420773,14.20298006100476,15.086395823733397,15.816657409583012,16.398740973730078,16.84917254608111,17.274132007513554,17.81342440991783,18.37566253904849,18.957080454189082,19.545651041776583,20.138526710229872,20.654793097765776,21.234367676642798,21.910746048085258,22.69866337436141,23.588644935051235,24.571853776466497,25.618309495889207,26.696325383398182,27.781045613282277,28.864043343221645,29.91805696614721,31.243559439595288,32.90044490069626,34.952502714103254,37.19050345512346,39.64965059319959,42.07340416891521,44.435818864243835,46.710377910566585,49.13792385686169,51.15896778996163,52.7221911543315
EAF,Mt/yr,1.1380335273746058,1.165304269181654,1.1645709032730376,1.163125590257279,1.2812707256657454,1.4004854083489904,1.351313602614809,1.3412452176350753,1.325346630135024,1.321663687571854,1.3431705759467654,1.362643975571317,1.3652855428816304,1.4171511077830057,1.5314393206858188,1.5954450512460727,1.722726581551305,1.7961232593940477,1.8214739933832433,1.7275972183505601,1.716382610285348,1.671567632471166,1.8011106186203238,1.9278925767552786,2.1249536484282348,2.219210833530684,2.3858501029744366,2.398075245399403,2.5370674547154706,2.5922879331231075,2.7141818340816175,2.8621566938964067,3.127086790305646,3.3739516968108916,3.686449587799763,4.082202181096302,3.9877225071525815,3.9679371796368366,3.7458201749221685,9.445915953245128,10.836175454833556,10.606609911258069,10.257649087574494,10.12782060693613,4.839509019495983,4.156110545966158,5.596673241840843,5.228552392856988,6.148696260223688,6.2898866161802145,6.16534347035862,5.995286810278142,7.770315046097702,8.276324186337769,8.970617371062556,9.779487967164485,10.70648789501468,11.608287497996788,12.494118670499052,13.282621124230436,14.017135511439704,14.71281037819897,15.432181377507396,16.302208098813214,17.253099246071123,18.256821144942375,19.332877797144068,20.453727964983774,21.524975894096272,22.65451012289089,23.900710482831748,25.30455680660473,26.906059565870287,28.72692966908005,30.753186220247393,32.93197490230008,35.2027607464659,37.53612169226993,39.85713153676228,42.15107964883967,44.419559111117685,46.66745966321588,48.912514332113666,51.17714797642607,53.45565019244064,55.74078281627004,58.032801196888876,60.28945938391932,62.097814260411994,63.445097537891044
SAF,Mt/yr,0.811744538801071,0.8750727883983538,0.9065411279759423,0.9121653466030333,0.8136618024444073,0.738689596847211,0.7229933855131278,0.8917019455376494,1.102484244449509,1.2102240577930794,1.202092841604491,1.3122977721769542,0.9697099167683962,0.7218679665903089,0.8048139610080536,0.9888137481651725,0.9457769700824274,1.1374204817716853,1.1014165749335818,0.9027931566242273,0.7163433766515671,0.6983083515363007,0.8395722364965724,1.0759838259572572,1.2845381706127585,1.282337897590234,1.2589685562862134,1.2614110544378627,1.2147423162092261,1.2225091246434803,1.419485560307629,1.742340928080625,1.992630433860289,2.4012546747720744,2.7976596985482165,2.8455916335855473,2.306929485672473,2.1813156640212115,1.9577914765915678,1.62184712127749,1.5040802070774013,1.7902351086230504,1.6057073540717952,1.3143604100409294,1.706356455648044,2.2238191527011537,2.7621736434271016,2.4866758190487745,2.4854937402596615,1.8248438924550274,1.0647349634574392,0.6190035498049481,1.037115864080464,1.3897889955090552,1.9489530720155386,2.62652348569111,3.02524593563735,3.423481964539279,3.722145425031602,3.9135286736615216,4.019421552134638,4.0428876920645225,4.02953421630451,4.057597856558557,4.108961221086075,4.164960853754367,4.251098888714184,4.358190136464129,4.440739386518766,4.516022059065124,4.599319333327662,4.687254522153428,4.78674974375407,4.903423200867558,5.030530403919404,5.154282671674416,5.265576572049054,5.35731268797888,5.43180811218782,5.448222598277198,5.408892897979483,5.321006810472499,5.232170979028969,5.143947471955107,5.105596059928775,5.122945697602701,5.194082701920771,5.267098584171031,5.330415732974027,5.379491848523659
