model,scenario,region,variable,unit,2005,2010,2015,2020,2025,2030,2035,2040,2045,2050,2055,2060
IMAGE,SSP2_CP,CAN,Stock Addition|Transportation|Vehicles|Road|Passenger Cars,thousand/yr,2353.9327505789843,1978.1556650777516,2280.8643558653994,1837.9908198681235,3253.0516296007686,2785.778842085415,3064.7324142307616,3096.9431758532023,3150.7172421650007,3200.477168593344,3239.2696192086096,3324.4770802708713
IMAGE,SSP2_CP,CAN,Stock Addition|Transportation|Vehicles|Road|Buses,thousand/yr,1.9989878200614637,1.9592755955956682,1.9015796382455903,1.949662024407964,3.3463236160502774,2.9746749222047364,3.3741982856977955,3.4653739832083046,3.7378213851049673,4.095839656551413,4.397631231558727,4.629146877918929
IMAGE,SSP2_CP,CAN,Stock Addition|Transportation|Vehicles|Road|Bicycles,thousand/yr,143.25834033987854,179.10831577402396,221.42644018219727,182.44079017732253,295.2791345638167,245.35096028273534,258.21348157762,254.04637737794846,282.9161523819919,301.84244706061185,333.3356147184023,356.2193544876355
IMAGE,SSP2_CP,CAN,Stock Addition|Transportation|Vehicles|Road|Trucks,thousand/yr,65.82412174388068,60.428294963197004,87.663625403039,76.0655743578481,64.59008067822776,105.25345275362672,94.71790096826756,102.09574395203485,110.00205562407241,115.75726863171633,119.29926203192015,128.78747518303672
IMAGE,SSP2_CP,CAN,Stock Addition|Transportation|Vehicles|Rail|Trains,thousand/yr,0.00020195786959687612,0.0,0.0,0.0013331255649483339,0.004080601457155288,0.0035863937221436376,0.004369124096415547,0.006381328172076159,0.009132766749572967,0.011046394600088069,0.011117932148357271,0.010272677629812516
IMAGE,SSP2_CP,CAN,Stock Addition|Transportation|Vehicles|Rail|Cargo,thousand/yr,0.06586520755426742,0.022724587774445446,0.055222348321543636,0.04938134714558946,0.07422582537323374,0.0910569281614935,0.1099903966052587,0.12089586626191169,0.09954552963751494,0.08044566466990291,0.09666321891615862,0.10579706156230122
IMAGE,SSP2_CP,CAN,Stock Addition|Transportation|Air|Planes,thousand/yr,0.0269513386950621,0.007750891758836087,0.03342076304346933,0.014678636113362675,0.04035374584655822,0.028453347818226858,0.03395355305751453,0.03769606331172967,0.04317373303528166,0.04650051980804314,0.04896386560652038,0.051524495388534076
IMAGE,SSP2_CP,CAN,Stock Addition|Transportation|Air|Cargo,thousand/yr,0.0019613594301917613,0.00020606380404443724,0.0023478884570020445,0.0028210867786557722,0.002683052798214851,0.002066873986444271,0.0025157258148118112,0.0030726663649572558,0.0033989794664373045,0.0033505470996508745,0.0033765853246503228,0.0035954916965304103
IMAGE,SSP2_CP,CAN,Stock Addition|Transportation|Ships,thousand/yr,0.07901899068881191,0.047308298751425136,0.06607685301588365,0.11324650664592958,0.09308424227059373,0.09578936649288246,0.09347702531229994,0.09352277183839378,0.09681772341120813,0.10243812609024175,0.11091494255334844,0.1159199311415394
IMAGE,SSP2_CP,CAN,Stock Addition|Buildings|Residential|Single-Family Houses,m^2/yr,27066331.784492146,24736321.88425252,25747934.246603258,19209627.901215337,24007286.898278736,27693349.548926603,29554979.206960797,29966461.9712492,30865505.37721301,31125395.271049105,31328226.73124981,32158448.884359427
IMAGE,SSP2_CP,CAN,Stock Addition|Buildings|Residential|Multi-Family Houses,m^2/yr,15978019.352475524,15629868.554004977,18441335.545733806,15017263.714160502,17784904.973376483,20301268.661017686,22016665.819305047,22661794.456311338,23524843.804026753,23965032.60628826,24379929.77350483,25268587.67936331
IMAGE,SSP2_CP,CAN,Stock Addition|Buildings|Residential|Residential Towers,m^2/yr,9209402.009355245,9110853.65796423,10951431.778969672,9021174.507071072,10609969.37377007,12094184.159369733,13144178.256417196,13555998.87464354,14086476.237057501,14368697.64736699,14637175.625591496,15188997.257001068
IMAGE,SSP2_CP,CAN,Stock Addition|Buildings|Commercial|Retail,m^2/yr,5980498.883614484,5286209.41637908,7258477.505641674,7929746.123932825,8084688.710485915,9179328.800680554,9604486.357355582,9925019.093904302,10035715.745849598,10045807.736932976,10180269.956016015,10675062.130395237
IMAGE,SSP2_CP,CAN,Stock Addition|Buildings|Commercial|Hotels,m^2/yr,1945575.532288444,1789049.2097925756,2343429.4881773978,2489983.3627598383,2625263.622626423,2973055.2339705243,3150058.365837816,3307848.6723479615,3395836.801839056,3434854.4242713675,3509582.6404022975,3731826.3228130257
IMAGE,SSP2_CP,CAN,Stock Addition|Buildings|Commercial|Offices,m^2/yr,3860880.872109218,3555440.379181224,4509786.432389563,4615006.83653151,4925025.108413587,5335378.451279677,5444831.455440709,5533601.6275679525,5571433.795968061,5595021.962848301,5659151.852080384,5816806.092081856
IMAGE,SSP2_CP,CAN,Stock Addition|Buildings|Commercial|Public Buildings,m^2/yr,8954530.93380393,8966585.931395674,10148921.675878558,9838002.620286841,11061779.589866955,11565819.138269467,11800812.461040903,12089591.703807866,12342077.830199968,12546922.57306608,12760894.40154775,13098143.544229776
IMAGE,SSP2_CP,CAN,Material Demand|Transportation|Vehicles|Road|Passenger Cars|Steel,Mt/yr,2.097071121295014,1.7640365013527675,2.0388694751424046,1.6381641457338294,2.8554442271407803,2.4001438275170424,2.6494393185608205,2.711499321198722,2.747516104879639,2.769592185241477,2.795888981583862,2.8714781728473744
IMAGE,SSP2_CP,CAN,Material Demand|Transportation|Vehicles|Road|Steel,Mt/yr,2.434754973590671,2.0693757196666747,2.4421092540102243,2.034303425494729,3.20645082323781,2.888146435596207,3.1212396138142275,3.238126857825532,3.2888054882669024,3.3510419453588396,3.4034674887125633,3.515545800822069
IMAGE,SSP2_CP,CAN,Material Demand|Transportation|Vehicles|Rail|Steel,Mt/yr,0.11008064175972629,0.038631403343598304,0.09290720717305834,0.08310064669890327,0.125440499444847,0.1534234183256841,0.18553097228871834,0.20442516212551426,0.16959706959722157,0.1384796642633257,0.16609277815222845,0.18187923836705305
IMAGE,SSP2_CP,CAN,Material Demand|Transportation|Air|Steel,Mt/yr,0.00016380915665070947,4.4021544867236356e-05,0.00020240309175937758,0.00010433612392917494,0.000243080457328366,0.00017290559165930635,0.00020675465777933747,0.0002319562588003491,0.0002646254982737103,0.0002823394467786583,0.0002959898256603109,0.0003118340792168469
IMAGE,SSP2_CP,CAN,Material Demand|Transportation|Ships|Steel,Mt/yr,0.05260689087556587,0.018806819359949163,0.03456075462706439,0.061496088850241215,0.05611218442644217,0.05628187400969883,0.05197915106957177,0.05158995328885492,0.055610479511259026,0.060311628430244,0.06548853334558959,0.06720665040929297
IMAGE,SSP2_CP,CAN,Material Demand|Transportation|Vehicles|Road|Passenger Cars|Non-Ferrous Metals|Aluminium,Mt/yr,0.3218709252233304,0.27549241920531536,0.3615051646131796,0.297942575550211,0.6270943761625796,0.6209508526376689,0.6575900406947064,0.615650472201971,0.6675966343048085,0.7304030877975681,0.7493531621919385,0.7570369284073226
IMAGE,SSP2_CP,CAN,Material Demand|Transportation|Vehicles|Road|Non-Ferrous Metals|Aluminium,Mt/yr,0.34285053572048074,0.2953032254045282,0.38635353334110345,0.32157349380090466,0.6531411854012703,0.6528845357693399,0.6896436658003264,0.6502827804620607,0.7043218539010306,0.769919532357507,0.7910262759578262,0.8013305853598242
IMAGE,SSP2_CP,CAN,Material Demand|Transportation|Vehicles|Rail|Non-Ferrous Metals|Aluminium,Mt/yr,0.006421997752946475,0.0024897178513043627,0.005640893161900106,0.005072788522191656,0.007879974655032748,0.00945087969303828,0.011503585656825733,0.012878305085598294,0.011199413598820864,0.009706005760648308,0.011502259344716121,0.012599686091470308
IMAGE,SSP2_CP,CAN,Material Demand|Transportation|Air|Non-Ferrous Metals|Aluminium,Mt/yr,0.001237669183583139,0.00033260722788578615,0.0015292678044041869,0.0007883173807982112,0.0018366078998143214,0.001306397803648093,0.0015621463032216617,0.0017525583998248603,0.0019993926536235893,0.0021332313756609747,0.0022363675716556832,0.0023560797096383993
IMAGE,SSP2_CP,CAN,Material Demand|Transportation|Ships|Non-Ferrous Metals|Aluminium,Mt/yr,0.0007421965416981641,0.00026533323024758974,0.00048759529665722896,0.0008676084770067892,0.0007916504574836649,0.0007940444978794981,0.0007333401674600982,0.0007278492281158988,0.0007845722278676496,0.0008508976923002822,0.0009239352898644127,0.000948175090424562
IMAGE,SSP2_CP,CAN,Material Demand|Transportation|Vehicles|Road|Passenger Cars|Non-Ferrous Metals|Copper,Mt/yr,0.06249602568594723,0.05707303032863346,0.10635065081484396,0.0933677385656679,0.26502246632753124,0.3035736361400167,0.3032656818027403,0.25829485872232183,0.30007408774811034,0.3532016464508307,0.3664521652507382,0.3641215502224883
IMAGE,SSP2_CP,CAN,Material Demand|Transportation|Vehicles|Road|Non-Ferrous Metals|Copper,Mt/yr,0.06487059822122833,0.05922958795450981,0.10930389352214107,0.09615611583320219,0.26758514460331073,0.3074657139472933,0.3070420439310524,0.26256869851735254,0.30463982395542816,0.35812714968867687,0.3716283941212877,0.36964607049682574
IMAGE,SSP2_CP,CAN,Material Demand|Transportation|Vehicles|Rail|Non-Ferrous Metals|Copper,Mt/yr,0.0001805690222681497,7.682401318671304e-05,0.00016538547922721427,0.00014434759967704619,0.00022240593345325613,0.00026695613092795196,0.0003268830908167294,0.00036552156975567043,0.00031732531405611177,0.0002767195662509456,0.0003322878841731743,0.00037138952312283126
IMAGE,SSP2_CP,CAN,Material Demand|Transportation|Air|Non-Ferrous Metals|Copper,Mt/yr,7.50774817599956e-06,2.1591411144053003e-06,9.30991501457746e-06,4.08898069046386e-06,1.1241213848488962e-05,7.926158051010381e-06,9.458332623862e-06,1.0500871729345882e-05,1.2026768655692662e-05,1.295350100126316e-05,1.363970735763838e-05,1.4353013801998642e-05
IMAGE,SSP2_CP,CAN,Material Demand|Transportation|Ships|Non-Ferrous Metals|Copper,Mt/yr,0.00019000231467472978,6.792530694338293e-05,0.00012482439594425047,0.00022210777011373784,0.00020266251711581799,0.00020327539145715122,0.00018773508286978495,0.00018632940239766998,0.00020085049033411823,0.00021782980922887204,0.00023652743420528953,0.00024273282314868765
IMAGE,SSP2_CP,CAN,Material Demand|Transportation|Vehicles|Road|Passenger Cars|Glass,Mt/yr,0.0882151793300773,0.0744608397830182,0.08849091910997128,0.07131800327019414,0.12973215400643237,0.11373008779775003,0.12405289627541864,0.12377466974486002,0.12730406097250013,0.1310473997052334,0.13293102372897575,0.13598578584989066
IMAGE,SSP2_CP,CAN,Material Demand|Transportation|Vehicles|Road|Glass,Mt/yr,0.09098004757337881,0.07700690048869271,0.09168460861084232,0.07444127735434011,0.1329536541909655,0.11778555154770491,0.12809072665074236,0.12818084973960506,0.1319025831184681,0.1360012949716042,0.13813458783514454,0.14150124909321876
IMAGE,SSP2_CP,CAN,Material Demand|Transportation|Vehicles|Rail|Glass,Mt/yr,8.900299303392742e-06,2.355249191999562e-05,2.715083839180316e-05,1.9852018473143702e-05,3.84168320446409e-05,3.820575826300884e-05,5.240619573345922e-05,6.708341666513803e-05,8.001738809190039e-05,9.489526538717764e-05,0.00011278307034203559,0.00013349569276346735
IMAGE,SSP2_CP,CAN,Material Demand|Transportation|Air|Glass,Mt/yr,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
IMAGE,SSP2_CP,CAN,Material Demand|Transportation|Ships|Glass,Mt/yr,4.750057866868226e-05,1.6981326735845698e-05,3.12060989860625e-05,5.552694252843434e-05,5.066562927895432e-05,5.081884786428764e-05,4.693377071744608e-05,4.658235059941734e-05,5.0212622583529415e-05,5.4457452307217895e-05,5.9131858551322226e-05,6.06832057871718e-05
IMAGE,SSP2_CP,CAN,Material Demand|Transportation|Vehicles|Road|Passenger Cars|Chemicals|Plastics,Mt/yr,0.41351151977331435,0.34903281499836064,0.41118116597405024,0.33368883780290254,0.6031654295428747,0.5177178636053517,0.5633113241105594,0.5694546934288893,0.5888197025678222,0.6079936029902401,0.6170657559656995,0.6305893853747648
IMAGE,SSP2_CP,CAN,Material Demand|Transportation|Vehicles|Road|Chemicals|Plastics,Mt/yr,0.4643021006181005,0.3950724900934687,0.47202738734971916,0.39320958476287143,0.6565153617551434,0.5917489090132403,0.6348941916902703,0.6492714737733675,0.671194485605529,0.6965440566722624,0.7096808403337505,0.7288290714402952
IMAGE,SSP2_CP,CAN,Material Demand|Transportation|Vehicles|Rail|Chemicals|Plastics,Mt/yr,1.650980123049036e-05,4.175793162031662e-05,4.8137702662224036e-05,4.001458140338657e-05,8.285799279608336e-05,8.069785607808959e-05,0.00010870338501648971,0.0001419971626708427,0.0001748715630024257,0.00020816487603300994,0.00024013798457121456,0.00027380642497523233
IMAGE,SSP2_CP,CAN,Material Demand|Transportation|Air|Chemicals|Plastics,Mt/yr,9.555534137958044e-05,2.5679234505887866e-05,0.00011806847019297018,6.086273895868537e-05,0.0001417969334415468,0.00010086159513459534,0.00012060688370461352,0.00013530781763353695,0.00015436487399299765,0.00016469801062088402,0.00017266073163518133,0.00018190321287649396
IMAGE,SSP2_CP,CAN,Material Demand|Transportation|Ships|Chemicals|Plastics,Mt/yr,0.0006531329566943841,0.0002334932426178789,0.0004290838610583614,0.0007634954597659743,0.0006966524025856249,0.0006987591581339582,0.0006453393473648863,0.0006405073207419909,0.0006904235605235316,0.0007487899692242482,0.000813063055080683,0.0008343940795736144
IMAGE,SSP2_CP,CAN,Material Demand|Buildings|Residential|Steel,Mt/yr,2.5439875200827644,2.439811021984751,2.782382906287901,2.2165371417047632,2.6602582121091816,3.044758158973873,3.288631842110958,3.3722632817617844,3.4939082555916245,3.5503875213783074,3.6024417386603558,3.7250212799076485
IMAGE,SSP2_CP,CAN,Material Demand|Buildings|Commercial|Steel,Mt/yr,1.7638405285538237,1.6709529723681549,2.058393890560913,2.10191023653258,2.2625697012070525,2.455096436290696,2.5314085541598397,2.6012428627410915,2.6420655871338496,2.6661762359209966,2.70703675450784,2.805858801343721
