model,scenario,region,variable,unit,2005,2010,2015,2020,2025,2030,2035,2040,2045,2050,2055,2060
IMAGE,SSP2_CP,North America,Stock Addition|Transportation|Vehicles|Road|Passenger Cars,thousand/yr,17157.041697965327,14578.575112256045,19896.571072070277,10735.214978588056,24961.126854360336,19880.877181612574,25284.54781644009,24023.723513673576,22185.17155425245,24184.735464783316,24222.175821715413,24683.751434142687
IMAGE,SSP2_CP,North America,Stock Addition|Transportation|Vehicles|Road|Buses,thousand/yr,24.306621723696303,23.591587479097843,25.192948322837356,23.133846997490775,47.012319829079054,37.050826775854205,42.25795692699951,42.24067782825636,46.096582939287124,49.5056464778528,52.67000000644632,55.17980035825556
IMAGE,SSP2_CP,North America,Stock Addition|Transportation|Vehicles|Road|Bicycles,thousand/yr,1297.5980992300342,1389.4614739475962,1806.2868226170508,1579.9464529657344,2827.4889109089745,2213.1335206311123,2258.5922759982877,2283.5085992232066,2575.0724457828064,2731.619504704628,3075.593871169821,3257.6215709628214
IMAGE,SSP2_CP,North America,Stock Addition|Transportation|Vehicles|Road|Trucks,thousand/yr,1684.1062103292772,1778.062948420521,2317.6348347670146,2323.6605349109454,1560.9672848598466,3032.750553738749,2819.0225417828333,2686.3037338071153,3150.509437430651,3139.9872891941072,3048.9304654618586,3390.3077652534175
IMAGE,SSP2_CP,North America,Stock Addition|Transportation|Vehicles|Rail|Trains,thousand/yr,0.005234163348949949,0.02696959336672699,0.05597964012998387,0.034006409653604214,0.08169755312819478,0.05000824128117823,0.05163093155694847,0.04405613372080757,0.05914163230326322,0.07233747912815466,0.08160325939025231,0.08531350016423722
IMAGE,SSP2_CP,North America,Stock Addition|Transportation|Vehicles|Rail|Cargo,thousand/yr,0.7533112286285881,0.5675807161176104,0.7039327616774617,0.878142210906222,1.0472551703280595,1.1728386673451128,1.3349672295330688,1.3418800265295425,1.0635135869436594,0.9778744032477837,1.1113621037706434,1.2070852439708661
IMAGE,SSP2_CP,North America,Stock Addition|Transportation|Air|Planes,thousand/yr,0.27619958203807105,0.1687538725740237,0.3285850338350158,0.1460188036790474,0.49830039270458093,0.3417856194016994,0.403998680922391,0.3989922805475401,0.4768569896497096,0.5110534198847476,0.5245037261202367,0.5382827601231752
IMAGE,SSP2_CP,North America,Stock Addition|Transportation|Air|Cargo,thousand/yr,0.058925439323737096,0.027651965020279196,0.07836730242453613,0.09574272852664487,0.10112498739586523,0.07405758425173799,0.0915346785440984,0.10235273315697066,0.11293231060001707,0.11061600958556306,0.11034952044533308,0.11533067126766913
IMAGE,SSP2_CP,North America,Stock Addition|Transportation|Ships,thousand/yr,1.3070104144349213,0.5594060136288841,1.0299751208563892,2.3214946310498514,1.6382579051324477,1.5515882783706771,1.4137805118301647,1.3685969139480774,1.4007572330507132,1.4761362525454862,1.5468188848370334,1.58315770510773
IMAGE,SSP2_CP,North America,Stock Addition|Buildings|Residential|Single-Family Houses,m^2/yr,243883344.7212394,150884927.93555194,243794310.87111107,213918549.69354057,238040703.4881179,254947136.7131349,255306237.20162413,264103796.37316364,274332704.06464577,286746647.64525306,303582341.538225,317338342.8463309
IMAGE,SSP2_CP,North America,Stock Addition|Buildings|Residential|Multi-Family Houses,m^2/yr,54638310.87962125,39465742.393341795,58204933.73721707,51082231.61701752,57184804.213333264,61736744.28072899,63080691.138365924,64894846.737342864,67084554.21247782,69417752.21043617,72612551.55430236,75846722.19007832
IMAGE,SSP2_CP,North America,Stock Addition|Buildings|Residential|Residential Towers,m^2/yr,41718112.811837435,29355057.07402574,44520302.17716259,39549223.979728185,43925707.28776322,47073415.633069426,47795557.70197669,49141524.723058574,50737101.92074466,52570058.694152355,55148265.70607679,57678486.03073008
IMAGE,SSP2_CP,North America,Stock Addition|Buildings|Commercial|Retail,m^2/yr,76801169.78154962,47050330.53998675,84178104.83211243,78581320.61870961,79740316.85310504,88220000.89889969,86351686.90765087,87930670.28393352,88341118.41335982,89335346.81027915,91572614.68240184,94452865.22899114
IMAGE,SSP2_CP,North America,Stock Addition|Buildings|Commercial|Hotels,m^2/yr,25135098.04702294,15660553.806918051,27739707.345106132,26231137.593199406,26819923.318387326,30098766.010152675,29654168.993003707,30497633.815740723,30829893.441502217,31288901.164164267,32226289.25527672,33495180.652794644
IMAGE,SSP2_CP,North America,Stock Addition|Buildings|Commercial|Offices,m^2/yr,43214013.58936467,29922902.91602832,46579438.78163257,43400891.57880896,45880758.98579563,48616069.758203514,48037732.33690002,48513792.60932782,48738637.42450177,49374328.59287592,50481963.177016556,51660051.914828524
IMAGE,SSP2_CP,North America,Stock Addition|Buildings|Commercial|Public Buildings,m^2/yr,93368837.4829224,78899247.02438271,99610155.59630392,98172213.88345255,103315423.35828356,107702322.19302149,107791590.27427949,109218980.50547051,110264608.09899406,112094931.33223462,114802974.3525939,117577703.81281279
IMAGE,SSP2_CP,North America,Material Demand|Transportation|Vehicles|Road|Passenger Cars|Steel,Mt/yr,15.286678348677675,12.99360362482267,17.808632326370546,9.540839740266586,21.92862487783157,17.46287426011453,22.506410141478547,21.524967654454358,19.763807869922456,21.314775983570414,21.300536421690012,21.69281627483617
IMAGE,SSP2_CP,North America,Material Demand|Transportation|Vehicles|Road|Steel,Mt/yr,23.50706404446695,21.29292966575572,28.635037662993945,20.838831301271146,30.46168587233522,31.11988908358751,35.70764659155289,35.84261179170315,34.3605147991253,36.62803741381307,36.73566030150289,37.973071317144914
IMAGE,SSP2_CP,North America,Material Demand|Transportation|Vehicles|Rail|Steel,Mt/yr,1.2580616650543641,0.9548723983374312,1.1874876859969115,1.472357282861404,1.766657719279109,1.9704190592616868,2.2445021539487158,2.258272247860398,1.8005493005892217,1.6642857059497946,1.8937316610152002,2.0599298062365308
IMAGE,SSP2_CP,North America,Material Demand|Transportation|Air|Steel,Mt/yr,0.0020136316653149794,0.0011582679868898708,0.002466846886073014,0.0016216989339037475,0.0035881377613547322,0.0025016179128450693,0.0029914479283500157,0.003057477077642532,0.0035731149321640092,0.0037395128887280694,0.0038105213160988215,0.00392858684224618
IMAGE,SSP2_CP,North America,Material Demand|Transportation|Ships|Steel,Mt/yr,1.1766830748588666,0.4916844812888838,0.9204386077869685,1.9201205607747154,1.4215908879552699,1.3285244239530891,1.2103321939678242,1.2365554284051004,1.3469424872061149,1.4464348180104492,1.46710967782195,1.4451467715499073
