region,unit,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060
CAN,Mt/yr,41.88307770091491,45.53711207309291,49.12661192303382,55.289970654483035,51.26364840096498,48.23854968352657,45.04024655127407,41.66606528689426,36.12960916280504,29.214136462199512,28.983780510635302,34.38091769868528,42.2072391021563,48.9917868247958,61.21179222216625,67.47505496584486,68.41018178638305,62.652432440084205,52.12859759976252,47.1169913157742,41.51098200778368,41.09844998482616,42.71981713021164,51.3332918214089,61.75365415067822,69.05898020758552,74.0033321265254,80.75035543115673,83.25788771907932,81.03844226700727,78.0554626351472,74.9516815248013,74.43825755379004,77.39073899537779,69.58996172665258,68.4830226402848,69.17306117088503,66.25161921074525,62.43158439638712,65.81727247807213,67.89104157217267,68.71626679168072,70.00919901739755,73.99226766647021,79.80071857150497,83.90848411913859,86.6135072498819,80.62874449074204,75.04881842718055,66.07343935443464,55.968796006271006,45.07900921399487,43.53046810192817,38.45794197150062,35.69835954187646,33.43235237780281,31.468928973231385,29.87445438647123,28.690634870496154,27.76232282765838,27.1437281470659,26.71590854694862,26.23282566103082,25.38499304024092,24.116182386374312,22.364948759002974,20.26271424607797,18.01995033295227,15.913722743536301,13.908616850476793,12.015524931219145,10.176817108122876,8.382111579143237,6.548927589083291,4.72097194264172,3.0401253130217105,1.7472899474132775,0.8067867624944813,3.9445487212532875,7.451694856947407,11.251833048631227,15.140549271525169,19.135264703910973,19.482711091999064,19.86981978321691,20.150894642675407,20.26297016230086,20.13162671519543,19.9306819351661,19.67212074950284
USA,Mt/yr,293.5333656439448,275.25069075404406,271.45444912395965,343.4728020265322,335.46891150206795,348.4603103585413,401.9109627952568,403.1374237927587,327.70434387229125,261.42654957673415,295.9063080614923,341.9573857897114,427.10250425646893,500.11856207643785,560.575114902335,515.6906471944865,482.48351625308385,430.76635924747245,365.2559109258229,368.2586160082154,353.6813975196061,354.54077859563665,361.4588614890173,412.0496469911648,421.24957015482323,455.3112545830736,482.0693289689094,505.1290276624578,487.92995339705465,461.25433288255664,431.89319831337036,405.37150995615684,392.4384204703745,406.0348488015722,393.9837874957168,342.2515468034758,284.27434488323746,274.26258678877184,254.31895657437968,259.1327833942604,304.0414827615832,361.98312438867436,374.54415537737185,386.58886012139703,410.8560042756011,426.72242185876223,433.22341481589683,390.890390900291,363.3476925224421,308.3233134449541,250.01330116243122,188.14887358424525,171.7751775530141,146.62769997400062,136.64611172610313,127.58738651071216,119.37498592220643,111.18275086712046,102.18337776419172,92.85720925365246,83.36620499047822,73.91976694189073,64.88906049716061,56.43572379995487,48.41506330852657,40.644084751609896,33.20778544250852,25.89795658069739,18.74569852804784,12.127144934333922,7.062411444779317,3.331771339202652,1.0020342960389301,0.0,0.0,0.0,0.0,-7.076878941402433e-16,16.64762410107988,33.317688567176965,49.95715849139551,66.73473031294863,83.49481090995651,83.64141707820659,83.67473829125073,83.77753594172444,83.58292974267847,83.36147837852516,83.1058773420498,82.94112089576318
MEX,Mt/yr,47.82706723059654,47.57689375905151,48.662538002804254,49.19796175948583,45.95898967535105,48.50302347194359,56.03728850118368,64.97862921766989,72.98670366789709,69.07269438484563,56.60503844371016,50.85182771462225,41.614462091129724,26.875300234296088,28.018233311318493,41.95184926387425,49.946626109516316,57.609681444242554,70.37481925603622,81.27027622870563,78.51232155719175,76.89042589513909,59.813052199236814,56.25399967776832,60.99173537816191,89.37945587694439,90.85347022497007,118.93104025474022,118.8773294078496,111.05413280785942,81.13060623523322,85.05541930544013,79.97842819106933,93.20627621904369,104.50768233660946,117.36631858473257,95.94575933833721,97.17932497615195,93.00254488045825,88.54040577756518,82.43437558079002,104.1175982416192,106.40022888199655,108.81801867957469,114.95288128422344,124.31961611036506,129.38558451903228,108.42465331513954,96.68707628607991,80.57113801514443,62.91388234082149,57.543909729369965,72.98036434477129,83.20856159238365,95.92483451744397,109.87660980725813,111.3277958408406,113.72178741308483,114.82912126011237,114.56753761460345,112.67283390578704,109.81508961422904,106.67252308460647,104.05156124476109,101.98488813026448,100.5216981183588,99.02953449708313,97.49830799608745,95.82465640139219,94.15099420068819,92.46271695575007,90.75313956891806,88.85151651586438,86.82285175795062,84.7422908003238,82.6818346644684,80.70011205325609,78.83739718382715,77.95189409069955,78.91352105005842,81.73499992289973,86.41158503101147,91.55452596907307,96.22272602347138,99.32761865962475,100.77689461470652,100.47115593736628,99.81661900956381,99.14554186187156,98.55396131331159
RCAM,Mt/yr,27.898644680066703,25.057816934569303,25.441523746512768,27.669220827086328,32.03310545662892,33.55157568934855,33.099070630897394,29.79744184800915,26.705126552027842,21.162110309214164,21.401124802831482,25.36141051354781,28.02902222593547,29.46635130470989,30.637932767421887,33.71937008894467,33.877173966527636,32.06120079797441,32.242968079302024,32.66381591821365,28.473365634286104,29.149093038390617,33.60625330782509,37.30715182878889,41.3347189694057,46.76783251860536,50.07182166085039,53.62999324359248,51.32277940717522,50.210850300964196,46.79031038106575,48.018891998143324,51.835058818681475,56.08215997169096,60.63775498328319,69.62325862554208,58.7809534157175,46.78856571685486,45.70540633939756,43.29277996901412,38.100079852359926,49.02417369170282,57.758000621856354,57.889010433736644,61.558505880119036,65.83518653662954,69.89497318518647,60.44497951631239,57.632634516044504,50.244574470050374,41.95536159417922,39.434737062917385,49.80609413860636,54.96960083372452,61.335784927008774,68.67548812874479,70.40583079445776,72.52505166614311,74.26996994351737,75.57930651246593,76.30363149462214,76.4281695397581,76.26391189883068,75.90488828188356,75.24886730021633,74.33222823895582,73.18853109503355,72.02025628300969,70.91341534841996,70.01057457455485,69.30727496400226,68.75282875762068,68.19263343968808,67.60494874982302,66.84838708995449,65.92856201693324,64.80396109939828,63.56845178091455,62.744092091466214,62.02298811717994,61.3519802915471,60.81240587332242,59.44284126120308,57.30548413255908,55.11516302325445,52.99074807521604,50.8336069533539,49.59315428708685,48.87821034532471,48.34441640809539
BRA,Mt/yr,70.80861253807498,84.66605399450275,77.02566823046021,101.5790233264092,109.03616606958659,101.20356852050165,107.45622405066179,132.57160814805428,100.75120378855593,87.58850876904278,94.90801008279826,97.20789716488456,78.81611957263958,90.02479509650836,80.07842622415691,75.73101101716546,49.988297365689725,58.27802865320562,71.79388898674954,73.49766237035314,79.26433488640646,104.88702375581411,147.12751389199,142.97649143811063,159.39346355205953,148.13426946331634,127.02666264983995,91.58849148699638,93.35175053579209,84.36406432230646,91.2587784725433,89.7666525743372,96.05389850061839,104.17222883810396,146.70510403960265,182.37840691128034,184.23170619003196,196.19699456242498,198.4221096726694,172.6658802635375,149.18730536005742,143.42221611348674,102.62708497069404,78.58363016614032,88.83580175399611,103.37112334782168,141.13471297104095,141.74606823124745,148.5358857790488,122.85257313598163,91.83344909963759,77.52708179955422,100.95616529141526,110.34210379023276,124.36576452685999,143.27063356947343,143.3615686703686,146.73023112121592,146.96557091201953,144.1882155953771,138.3059471783209,132.11984956003053,125.96013038045359,121.18037443991686,118.18174029202837,117.00245223374392,116.4939760642771,116.10952715539304,115.41849133742639,114.47443084871477,113.17316127041792,111.7532734570674,110.13715606827,108.3174188009061,106.22358826275092,103.20830876118285,99.66288512422548,96.06213021134224,88.90671370677681,75.25536737691445,62.72346900132576,50.99917164732261,39.443219961207845,31.622845020953207,30.551645949441003,29.373427060005856,27.89191167425537,26.24778919279338,24.81396079713341,23.71166933594136
RSAM,Mt/yr,51.89642504152346,41.84891815816187,39.877576456307324,38.65684284089085,43.96337781922093,46.58381958821609,59.899138132997926,66.43119434602089,67.48231616368051,57.624898998381624,53.15404416979808,48.8470041907788,41.380972980047815,48.14446260547806,58.07842333084301,60.57341792926761,55.73298803686231,59.2575698209723,62.33442397353669,70.14153037369532,84.40093358466024,98.12343619161399,101.07207984251515,94.36666109763294,93.05668454577831,86.15348057439599,72.8344397535712,71.85158824181651,70.27441203674086,51.873399687813375,50.0314132311559,69.02566847808863,82.35985493220667,98.46492941614477,129.56201546954716,159.14455954487613,144.74611398738438,150.6390579513214,154.94148594902975,149.45361202478443,126.43617799830288,129.4790906993405,101.81598708429682,86.40643817789089,85.3677650834709,92.4832685008755,108.19440294578119,108.88298823919801,107.77532217204457,95.27714998574804,81.46899059049312,76.73671571162451,94.50140619279503,102.25444774269585,111.53100485447935,121.50432945619312,121.87148302383882,122.80163960578969,122.95328444921647,122.5589312940153,121.65268900283397,120.5625032332787,119.60250837670326,119.08969459965674,118.87009300485958,118.66117071918568,118.08616449934607,117.12368439735026,115.7297116240411,114.13812637829119,112.4955715422183,110.9242784712188,109.31031000493707,107.80332916118354,106.34971013517475,104.97720320617688,103.56536634588215,102.14479776619407,101.56426746573156,101.37166361133657,101.50397783838699,102.02039066075851,102.70626785405598,102.69283565429191,102.47478647530473,102.10625422222826,101.53211721576112,101.00102117294483,100.5559256647696,100.20823237653255
NAF,Mt/yr,39.04738294799582,53.970329644790255,55.10358353369422,58.204389729691265,64.2139994488322,66.66722723386442,59.14699119893074,62.40277755945122,55.8043757193062,52.03216096021322,53.05166905669123,49.530731396008434,50.89273742890192,54.27081972893966,49.909805287121344,50.40421555849131,52.73907635280043,50.36669267559747,54.962788796466874,59.633721182245225,58.157947531038964,57.0058646391034,54.20120223216852,54.65754718523908,54.69817295174048,57.730400858452796,56.73271175002833,55.0144820495902,61.790454537284084,66.55766357419986,68.22028892941435,71.56458784254575,81.93708084455008,80.88644375942361,87.0973680420174,109.65492847253594,137.5062316890723,146.931036391189,153.86035702854775,156.52616577164,123.86765466767217,102.34184788829657,100.1396275754371,95.20604363439546,100.57841556593797,127.80734664058348,137.82383423563056,119.79442509045586,118.91294481534275,106.01550563792702,88.28756754392077,75.47455918481205,87.31300978179358,86.14653196228772,91.29283178154984,103.32281337885927,112.75690578618205,123.22408901042863,132.84503733421514,138.5785313763224,140.19456639587565,138.35598979841717,136.27734327448053,134.83917160723007,133.77319589292185,133.06495622638081,132.11397750548534,131.02896161232815,129.64899819207193,128.2708433472682,126.93335316062685,125.65578506722923,124.30319814140539,123.01736048798129,121.77154848404766,120.54646720845146,119.40319736843037,118.39984514073657,118.80738189096499,119.84299876769403,121.33638328527351,122.8973034449828,124.4968051471332,124.83613300713003,124.79791768433631,124.5694939690957,124.45751490453434,124.19100982601101,123.86159551690733,123.58471697092048
WAF,Mt/yr,56.27832322318426,55.807002014914055,50.464845570098205,49.95162706272042,57.692656559892825,58.55508714371014,59.99187855694096,61.62526284763122,57.7187711603984,53.09223714366353,51.91833138791922,50.70810851726982,59.29232481009253,70.9931019672216,73.90206997570893,79.42194299087639,81.70561598903147,80.64137948453254,78.93030442837389,81.06529153207586,81.52206125452292,84.74816805122944,88.69645068813047,91.03377775601182,95.2239098824258,99.90595738390333,102.72056001959149,101.30237219267156,108.42669877784574,115.26934541312399,114.83369788091792,124.33516074910995,131.92308137759477,132.43621304092486,138.47130707140465,150.17875985750123,165.28132800656402,165.61372276639034,169.3834461838386,187.2660140781431,187.1999716392563,174.8191242717944,173.39207316987884,170.17436853256112,161.64200636349466,172.16046115505975,184.49376074797595,187.2042154088765,195.6681475034382,187.99872215763017,177.84128693623262,172.9101838826795,187.04426428545315,193.31801801687533,204.09643077088265,218.99042846558774,230.40190507145485,241.08411963323806,250.86914770766384,257.941978416636,262.047939478074,263.6854264004975,264.7979660137533,266.31679733155244,268.2814886739899,270.74551849524914,273.03133568101595,275.0306445661669,276.645653067029,278.4973096964617,280.70512633968576,283.4438917032429,286.51293284150336,290.0666609666857,293.6680575652515,297.0526098220031,300.03677264408344,302.5345986359647,307.10981538829054,316.97897974255477,333.04034705095876,355.93444535892627,381.8898604795039,408.37215896973385,432.4002052160352,453.4636841386952,471.3733129240524,490.10720613795985,505.47195336734075,517.3207335321372
EAF,Mt/yr,25.539949863697853,25.984225968406122,25.547401443946217,25.41530560971939,27.969641255985902,30.285934278727655,29.173767381462955,29.129817104409675,29.027580720299863,28.980923147917064,29.681669895460168,30.173600202660527,30.498502608192545,31.10827544932993,32.96301739501466,34.19846350921538,36.70432773438314,38.80031279606863,40.26276197077824,39.429569571252344,39.841091798107,39.10896857496053,41.08788125785499,43.13104296867864,46.46146906815237,47.763583994689235,50.53055718481104,50.4064156657762,52.767834480305815,53.35340356855219,55.23737576965691,58.18043283007728,63.20146519779123,66.69682254242193,70.80343981834784,77.24324957737507,77.57655826778104,76.6435185319939,73.37007002124571,130.11492920048417,124.4437968558997,124.41574587609298,120.29187427642327,121.71377194245058,72.60954589753794,84.95393419845064,96.8817099472739,98.41915149563494,103.5270590612037,98.97969161803067,93.16966754927265,89.38551532309356,101.31205747037188,106.70362025487248,113.73701191461745,122.68540367166297,130.09127421850678,136.93086749933963,143.4595626681324,149.15419445998162,154.2179148592491,158.86187448304446,163.68526025415608,168.76860367629834,174.19788932657542,179.7633703817259,185.34184900479636,190.77259512311912,196.0628069738645,201.45637452692625,207.24860612750845,213.72075704545205,221.10162222431032,229.43143721276527,238.43148038863652,247.71908688871326,256.9694626385569,266.22699701800946,277.9779537068691,290.52411662745305,304.1269445832271,318.9026529294578,334.76065290330325,349.20206146544484,363.8335846471355,378.4766655463423,393.01716990066404,407.31490401729354,418.6155735398277,426.9590211489277
SAF,Mt/yr,11.490595886186025,11.915129992746746,11.931088795592888,11.415701718488046,10.131250944491153,8.466839474929435,7.541203360488737,9.488256628728584,12.926525166403204,14.686010692145377,15.485101751631245,17.82008177540701,13.939154878740576,9.924752332191925,11.121571216644314,13.099001919577551,12.262875302715718,14.941115324410793,15.136874950885717,12.708351074961028,10.858354290887192,11.440329893718967,13.678887232801495,17.276699664316002,20.155498610429895,20.407959049391575,19.896329366268965,19.496619440115552,18.65524215153004,18.502679435458063,21.2343243926078,26.339001644622407,30.482091300523177,37.19135925590784,43.673162895478114,44.290250026123275,36.22802301976954,34.98111252211401,31.2589671217518,25.85971187743337,23.763665291663905,27.46302747402629,23.55025938726148,19.63624267405477,24.572855954646734,31.102061102196853,38.03893056527175,34.68301368163402,33.16713448622262,24.637212580867846,15.424099893272963,9.345467948265698,14.242681934428315,18.842481754163526,24.878318955374812,32.130458376570914,36.31939378487475,40.183400503057555,42.9955339044907,44.39930514899153,44.494503101413905,43.92151503349404,43.30111472442472,43.062210600158856,43.15531315508627,43.512426837490715,44.01401786632844,44.588135550659544,45.05677484680531,45.44915676164674,45.77929143487407,46.056851636848776,46.305056391910995,46.53885653069962,46.70187433314172,46.741884599469664,46.629726679641834,46.33310202959212,46.25486788092998,45.65625347737092,44.57644845354399,43.032666474020786,41.58114067728927,39.427848396745134,37.14275844646908,35.48903174534247,34.48824543077892,33.50656169755988,32.90469471665549,33.01691047650469
