model,scenario,region,variable,unit,2005,2010,2015,2020,2025,2030,2035,2040,2045,2050,2055,2060
IMAGE,SSP2_CP,CAN,Stock Addition|Transportation|Vehicles|Road|Passenger Cars,thousand/yr,2353.999499984035,1978.3033927207603,2279.701168925988,1495.579437753161,2196.6092280561475,1703.5126066639266,1610.0750696362165,1568.3201067986297,1632.900528544308,1535.1822227667385,1453.1770976739099,1417.7670962744412
IMAGE,SSP2_CP,CAN,Stock Addition|Transportation|Vehicles|Road|Buses,thousand/yr,1.9990252417150807,1.9595028918504345,1.9006910113338695,1.8310417697897161,3.041959814979571,2.588929945861552,2.8159938977390033,2.84869191486899,3.0834628289496644,3.348609305843864,3.520460516446492,3.5861784949416995
IMAGE,SSP2_CP,CAN,Stock Addition|Transportation|Vehicles|Road|Bicycles,thousand/yr,143.25008934770634,179.07918567442408,221.41483572803403,167.05344925337576,292.92056184393084,229.6500112132563,251.16678992339456,245.42327609996082,277.44890596155756,292.8169023440936,315.12968658492144,336.11324108671226
IMAGE,SSP2_CP,CAN,Stock Addition|Transportation|Vehicles|Road|Trucks,thousand/yr,65.8317295887568,60.42540765542977,88.44537676475971,70.03095923821708,62.5438791030618,98.64019027806977,84.0414618423288,88.40238995142798,89.35251135941644,96.60945171919147,94.09394729241939,97.81215547815573
IMAGE,SSP2_CP,CAN,Stock Addition|Transportation|Vehicles|Rail|Trains,thousand/yr,0.00020195786959687612,0.0,0.0,0.0011875538946819703,0.003801598862450746,0.0038143457503228987,0.005601349540561042,0.010630260771037098,0.018639186180082746,0.0279714949661673,0.03276797214581338,0.030075798844929048
IMAGE,SSP2_CP,CAN,Stock Addition|Transportation|Vehicles|Rail|Cargo,thousand/yr,0.06583946261210791,0.022697843146269,0.0557263185865363,0.04166437292908458,0.0651881954315083,0.0803363544593301,0.09721984761318872,0.10981099695624381,0.08951274030557752,0.06832189617459472,0.08140855915167167,0.08133967705150955
IMAGE,SSP2_CP,CAN,Stock Addition|Transportation|Air|Planes,thousand/yr,0.02695233896252606,0.007751733944217562,0.0332893653605127,0.013993966298549631,0.021609735820539388,0.008564602221874646,0.011957042395773807,0.013986048879313798,0.014182384713585077,0.010889104373184091,0.009539817063425052,0.010093005131948923
IMAGE,SSP2_CP,CAN,Stock Addition|Transportation|Air|Cargo,thousand/yr,0.0019640881473970547,0.0002059780247795087,0.0025270297146576417,0.002512464968550586,0.0019958734250574194,0.0012397352830164463,0.0015441715894444583,0.001968304645992015,0.002070208418144307,0.0017318812139166507,0.001561433475476862,0.0016401890530376502
IMAGE,SSP2_CP,CAN,Stock Addition|Transportation|Ships,thousand/yr,0.07921702118873394,0.047313522698516366,0.06447680893496874,0.10638569252100752,0.08031468009830822,0.08286556372230028,0.07973095175145223,0.08332899695858878,0.09207554225290368,0.09476954213718869,0.09895358797412016,0.09860806130929813
IMAGE,SSP2_CP,CAN,Stock Addition|Buildings|Residential|Single-Family Houses,m^2/yr,27066331.784492146,24736321.88425252,25747934.246603258,17272522.70493441,8504534.130646948,7503102.2092850655,6689682.706365874,5836470.291691603,4853798.359416805,8730746.299922395,15359916.388264993,14638632.02145039
IMAGE,SSP2_CP,CAN,Stock Addition|Buildings|Residential|Multi-Family Houses,m^2/yr,15978019.352475524,15629868.554004977,18441335.545733806,13554985.678861585,7566487.4233133225,6979983.436673144,6507316.698956839,5936436.304418538,5162892.721065913,8799878.326071296,15069490.233588535,14560310.055510107
IMAGE,SSP2_CP,CAN,Stock Addition|Buildings|Residential|Residential Towers,m^2/yr,9209402.009355245,9110853.65796423,10951431.778969672,8119736.275298579,4498083.887178677,4083627.070472403,3748391.2759198346,3368342.9961216236,2886721.434206743,4802794.587943896,8188467.485295567,7923579.40010454
IMAGE,SSP2_CP,CAN,Stock Addition|Buildings|Commercial|Retail,m^2/yr,5983542.820968171,5289171.401435783,7261268.156618735,7344807.83245757,6322127.551163681,6849743.68278672,6622017.044748151,6226382.923355242,5612609.229094153,4913474.051451311,4324410.539377345,4082043.1021655113
IMAGE,SSP2_CP,CAN,Stock Addition|Buildings|Commercial|Hotels,m^2/yr,1946435.119570485,1789876.399238641,2344204.6531041935,2291051.616866742,2034515.4470250495,2203533.560834481,2167829.6153052887,2084156.5563753422,1920544.6952076529,1709315.659575364,1525381.218092434,1473736.447982037
IMAGE,SSP2_CP,CAN,Stock Addition|Buildings|Commercial|Offices,m^2/yr,3862747.698783286,3557184.216318867,4511362.040460478,4216736.8322921395,3761508.13181639,3868709.653018641,3638281.8420527936,3359293.9017140223,3020711.7602784876,2667246.990449189,2349489.3064536313,2147258.187389235
IMAGE,SSP2_CP,CAN,Stock Addition|Buildings|Commercial|Public Buildings,m^2/yr,8957288.145450298,8969051.886228727,10151070.466657221,8828048.541825434,8208497.896256836,8127860.262693172,7684153.132477501,7209005.60151955,6642804.168062048,6001452.737126329,5353501.517918301,4890015.271346749
IMAGE,SSP2_CP,CAN,Material Demand|Transportation|Vehicles|Road|Passenger Cars|Steel,Mt/yr,2.097130592664293,1.7641668125713585,2.0378406990566953,1.32909653483256,1.8589765221667562,1.3685135274455065,1.25450071132678,1.1763410152115747,1.1608441692414435,1.0421564592708985,0.986317476508815,0.9683504250528034
IMAGE,SSP2_CP,CAN,Material Demand|Transportation|Vehicles|Road|Steel,Mt/yr,2.4348216002169893,2.0695171186787404,2.4440587698597547,1.7062219032181687,2.1996686537014924,1.8159358611291414,1.6660321961775086,1.6168549786322306,1.5894922803084863,1.4905428424827307,1.437554595561759,1.437546356882455
IMAGE,SSP2_CP,CAN,Material Demand|Transportation|Vehicles|Rail|Steel,Mt/yr,0.11003775668870967,0.03858673600406243,0.09375033794532593,0.07013022926357071,0.11056008784574811,0.13608541363019327,0.16184343883014418,0.18134959560827119,0.1501131713976705,0.11828519814419924,0.14176009297900474,0.14261502489204841
IMAGE,SSP2_CP,CAN,Material Demand|Transportation|Air|Steel,Mt/yr,0.0001638381458883265,4.402539504205818e-05,0.00020323219467994732,9.791146879124491e-05,0.00013417332535594639,5.657729123590522e-05,7.684101537165202e-05,9.058476299443437e-05,9.184686881676436e-05,7.124526876103272e-05,6.272274460884812e-05,6.626244289354738e-05
IMAGE,SSP2_CP,CAN,Material Demand|Transportation|Ships|Steel,Mt/yr,0.052724808341808635,0.018808455560844234,0.03471682144408261,0.05607002157861972,0.05187257339669268,0.0519545046057571,0.04699848967332422,0.046997914745924456,0.05195361242203811,0.05530908939370181,0.059282272877975314,0.05946349047601364
