model,scenario,region,variable,unit,2005,2010,2015,2020,2025,2030,2035,2040,2045,2050,2055,2060
IMAGE,SSP2_CP,North America,Stock Addition|Transportation|Vehicles|Road|Passenger Cars,thousand/yr,17157.743190377616,14575.934776560032,19885.796595989203,9692.052641741175,16373.521891119144,12424.285502209037,14902.646166959097,12736.920255367222,11082.04015471242,11735.441120152367,11241.800114403255,10880.929247433327
IMAGE,SSP2_CP,North America,Stock Addition|Transportation|Vehicles|Road|Buses,thousand/yr,24.304801778402663,23.583130369224488,25.176224743068207,22.1993771528448,41.33409643978874,31.503080029688707,34.23102579483237,33.47754241370268,36.71359933533646,38.85434016918832,40.56974277188217,41.44740754098117
IMAGE,SSP2_CP,North America,Stock Addition|Transportation|Vehicles|Road|Bicycles,thousand/yr,1296.7355180045197,1388.1844289743096,1806.170975078893,1438.8243857576313,2675.700655809133,1987.8512303769883,2113.725481628362,2097.1285015483227,2450.717505562692,2547.563809723503,2812.928924437778,2988.057215229992
IMAGE,SSP2_CP,North America,Stock Addition|Transportation|Vehicles|Road|Trucks,thousand/yr,1684.3699191943742,1777.840458504969,2348.3862640614475,2231.2740221856125,1483.2244721861218,2864.497183211511,2500.5415899085056,2320.0918100871345,2561.419036702291,2679.970324979651,2393.8591382907957,2494.5038808881795
IMAGE,SSP2_CP,North America,Stock Addition|Transportation|Vehicles|Rail|Trains,thousand/yr,0.005331106039158579,0.02709295208878821,0.056135074679369,0.03167178192333041,0.07276190485937231,0.048420227360860005,0.06247226562681123,0.08355516806433949,0.13411223126343222,0.1943593471394868,0.23695301039743016,0.22987983142313706
IMAGE,SSP2_CP,North America,Stock Addition|Transportation|Vehicles|Rail|Cargo,thousand/yr,0.7536112408395095,0.5679776987848354,0.7124953888749151,0.7952546769335328,0.9246491226605846,1.0142203676477852,1.1320621836746465,1.187749686013006,1.0082617515062613,0.8827306180103175,0.937121329238619,0.9568430742618492
IMAGE,SSP2_CP,North America,Stock Addition|Transportation|Air|Planes,thousand/yr,0.27622281002441484,0.16869373763341494,0.32692087629095107,0.13718013430042159,0.26941407701681225,0.106390717720314,0.14296827594947892,0.13530996381950866,0.15237439499703262,0.12152810718802241,0.10408888770650679,0.1042656972600069
IMAGE,SSP2_CP,North America,Stock Addition|Transportation|Air|Cargo,thousand/yr,0.0591257335567912,0.02756827118471804,0.0824918406566763,0.086554898866123,0.07045581009280034,0.04315595413615606,0.05583394272869221,0.06409538083303006,0.06709118556923598,0.0558702538129948,0.05056263520951043,0.052651179497061044
IMAGE,SSP2_CP,North America,Stock Addition|Transportation|Ships,thousand/yr,1.3141653506201854,0.5577275408528573,1.0022475371654562,2.1622992348129513,1.4321879445778953,1.342797365700376,1.204429922530253,1.2212635582961124,1.3402030695137843,1.3677842794629695,1.3696583022301543,1.3334156606281422
IMAGE,SSP2_CP,North America,Stock Addition|Buildings|Residential|Single-Family Houses,m^2/yr,243883344.7212394,150884927.93555194,243794310.87111107,143820308.28387427,14005448.916015826,7503102.2092850655,6689682.706365874,5836470.291691603,4853798.359416805,66230446.54073694,164283495.6641313,168455156.42002356
