Year,Material,Offices,Retail+,Hotels+,Govt+
2020,steel,74.19,74.19,74.19,74.19
2020,concrete,851.8,771.4,723.2,934.6
2020,aluminium,0.49,0.49,0.49,0.49
2020,copper,0.18,0.18,0.18,0.18
2020,wood,17.7,17.7,17.7,17.7
2020,glass,1.74,1.74,1.74,1.74
2020,cement,204.7,269.9,786.8,409.3
2020,brick,345.41,345.41,345.41,345.41
2050,steel,74.19,74.19,74.19,74.19
2050,concrete,851.8,771.4,723.2,934.6
2050,aluminium,0.49,0.49,0.49,0.49
2050,copper,0.18,0.18,0.18,0.18
2050,wood,17.7,17.7,17.7,17.7
2050,glass,1.74,1.74,1.74,1.74
2050,cement,204.7,269.9,786.8,409.3
2050,brick,345.41,345.41,345.41,345.41
