Year,Region,Building_type,Steel,Concrete,Wood,Copper,Aluminium,Glass,Cement
2020,1,1,32.31,876.71,48.75,1.73,9.27,2.68,0
2020,1,2,32.89,1208.13,34.97,0.01,0.23,1.07,0
2020,1,3,97.36,995.92,37.17,0.31,1.94,6.35,0
2020,1,4,45.78,1040.35,28.66,0.01,2.2,1.2,0
2020,2,1,7.26,472.1,48.45,0.8,1.84,3.32,0
2020,2,2,32.89,1208.13,34.97,0.01,0.23,1.07,0
2020,2,3,1.24,57.69,37.17,0.31,4.92,6.35,0
2020,2,4,61.48,265.24,54.48,0.01,3.05,4.42,0
2020,3,1,32.63,846.33,53.07,1.73,3.56,2.68,0
2020,3,2,32.89,1208.13,34.97,0.01,0.23,1.07,0
2020,3,3,97.36,995.92,37.17,0.31,1.94,6.35,0
2020,3,4,116.98,910.21,54.48,0.01,2.2,4.42,0
2020,4,1,35.5,735,90,1.73,3.56,2.68,0
2020,4,2,27,1315,40,0.01,0.23,1.07,0
2020,4,3,97.36,995.92,37.17,0.31,1.94,6.35,0
2020,4,4,116.98,910.21,54.48,0.01,2.2,4.42,0
2020,5,1,32.63,897.65,868.96,1.73,3.56,0.8,0
2020,5,2,32.89,1208.13,34.97,0.01,0.23,1.07,0
2020,5,3,97.36,995.92,37.17,0.31,1.94,6.35,0
2020,5,4,116.98,611.19,20.63,0.01,2.2,0.66,0
2020,6,1,35.15,607.64,19.78,1.73,3.56,1.18,0
2020,6,2,39.29,894.86,17.68,0.01,0.23,1.07,0
2020,6,3,37.5,933,2.7,0.31,1.94,1.8,0
2020,6,4,116.98,910.21,54.48,0.01,2.2,4.42,0
2020,7,1,32.63,846.33,53.07,1.73,3.56,2.68,0
2020,7,2,32.89,1208.13,34.97,0.01,0.23,1.07,0
2020,7,3,97.36,995.92,37.17,0.31,1.94,6.35,0
2020,7,4,116.98,910.21,54.48,0.01,2.2,4.42,0
2020,8,1,8.93,675.66,6.89,1.73,2.89,0.04,0
2020,8,2,32.89,1208.13,34.97,0.01,0.23,1.07,0
2020,8,3,26.73,995.92,42.06,0.31,1.94,6.35,0
2020,8,4,116.98,910.21,54.48,0.01,2.2,4.42,0
2020,9,1,32.63,846.33,53.07,1.73,3.56,2.68,0
2020,9,2,32.89,1208.13,34.97,0.01,0.23,1.07,0
2020,9,3,97.36,995.92,37.17,0.31,1.94,6.35,0
2020,9,4,116.98,910.21,54.48,0.01,2.2,4.42,0
2020,10,1,32.63,846.33,53.07,0.77,3.56,2.68,0
2020,10,2,32.89,1208.13,34.97,0.01,0.23,1.07,0
2020,10,3,97.36,995.92,37.17,0.39,1.94,6.35,0
2020,10,4,116.98,910.21,54.48,0.01,2.2,4.42,0
2020,11,1,47.9,1507.04,77.29,3.11,0.93,2.51,0
2020,11,2,24.63,796.02,35.77,0.01,0.23,1.07,0
2020,11,3,76.24,567.99,49.88,0.15,0.46,11.21,0
2020,11,4,142.3,850.7,27,0.01,2.2,4.75,0
