time,Region,Area,Detached,Semi-detached,Appartment,High-rise
2020,1,Urban,0.401639,0.200820,0.172131,0.225410
2020,1,Rural,0.814126,0.074349,0.074349,0.037175
2020,2,Urban,0.664565,0.071879,0.089533,0.174023
2020,2,Rural,0.956522,0.014493,0.024155,0.004831
2020,3,Urban,0.401639,0.200820,0.172131,0.225410
2020,3,Rural,0.814126,0.074349,0.074349,0.037175
2020,4,Urban,0.401639,0.200820,0.172131,0.225410
2020,4,Rural,0.814126,0.074349,0.074349,0.037175
2020,5,Urban,0.401639,0.200820,0.172131,0.225410
2020,5,Rural,0.814126,0.074349,0.074349,0.037175
2020,6,Urban,0.401639,0.200820,0.172131,0.225410
2020,6,Rural,0.814126,0.074349,0.074349,0.037175
2020,7,Urban,0.401639,0.200820,0.172131,0.225410
2020,7,Rural,0.814126,0.074349,0.074349,0.037175
2020,8,Urban,0.401639,0.200820,0.172131,0.225410
2020,8,Rural,0.814126,0.074349,0.074349,0.037175
2020,9,Urban,0.401639,0.200820,0.172131,0.225410
2020,9,Rural,0.814126,0.074349,0.074349,0.037175
2020,10,Urban,0.401639,0.200820,0.172131,0.225410
2020,10,Rural,0.814126,0.074349,0.074349,0.037175
2020,11,Urban,0.210596,0.295364,0.229139,0.264901
2020,11,Rural,0.552846,0.247967,0.146341,0.052846
2020,12,Urban,0.333333,0.065292,0.089347,0.512027
2020,12,Rural,0.818182,0.057416,0.050239,0.074163
2020,13,Urban,0.401639,0.200820,0.172131,0.225410
2020,13,Rural,0.814126,0.074349,0.074349,0.037175
2020,14,Urban,0.401639,0.200820,0.172131,0.225410
2020,14,Rural,0.814126,0.074349,0.074349,0.037175
2020,15,Urban,0.401639,0.200820,0.172131,0.225410
2020,15,Rural,0.814126,0.074349,0.074349,0.037175
2020,16,Urban,0.401639,0.200820,0.172131,0.225410
2020,16,Rural,0.814126,0.074349,0.074349,0.037175
2020,17,Urban,0.401639,0.200820,0.172131,0.225410
2020,17,Rural,0.814126,0.074349,0.074349,0.037175
2020,18,Urban,0.401639,0.200820,0.172131,0.225410
2020,18,Rural,0.814126,0.074349,0.074349,0.037175
2020,19,Urban,0.401639,0.200820,0.172131,0.225410
2020,19,Rural,0.814126,0.074349,0.074349,0.037175
2020,20,Urban,0.401639,0.200820,0.172131,0.225410
2020,20,Rural,0.814126,0.074349,0.074349,0.037175
2020,21,Urban,0.401639,0.200820,0.172131,0.225410
2020,21,Rural,0.814126,0.074349,0.074349,0.037175
2020,22,Urban,0.401639,0.200820,0.172131,0.225410
2020,22,Rural,0.814126,0.074349,0.074349,0.037175
2020,23,Urban,0.538462,0.017417,0.256894,0.187228
2020,23,Rural,0.884244,0.016077,0.090032,0.009646
2020,24,Urban,0.260404,0.479191,0.190250,0.070155
2020,24,Rural,0.906250,0.050000,0.043750,0.000000
2020,25,Urban,0.401639,0.200820,0.172131,0.225410
2020,25,Rural,0.814126,0.074349,0.074349,0.037175
2020,26,Urban,0.401639,0.200820,0.172131,0.225410
2020,26,Rural,0.814126,0.074349,0.074349,0.037175
2050,1,Urban,0.401639,0.200820,0.172131,0.225410
2050,1,Rural,0.814126,0.074349,0.074349,0.037175
2050,2,Urban,0.664565,0.071879,0.089533,0.174023
2050,2,Rural,0.956522,0.014493,0.024155,0.004831
2050,3,Urban,0.401639,0.200820,0.172131,0.225410
2050,3,Rural,0.814126,0.074349,0.074349,0.037175
2050,4,Urban,0.401639,0.200820,0.172131,0.225410
2050,4,Rural,0.814126,0.074349,0.074349,0.037175
2050,5,Urban,0.401639,0.200820,0.172131,0.225410
2050,5,Rural,0.814126,0.074349,0.074349,0.037175
2050,6,Urban,0.401639,0.200820,0.172131,0.225410
2050,6,Rural,0.814126,0.074349,0.074349,0.037175
2050,7,Urban,0.401639,0.200820,0.172131,0.225410
2050,7,Rural,0.814126,0.074349,0.074349,0.037175
2050,8,Urban,0.401639,0.200820,0.172131,0.225410
2050,8,Rural,0.814126,0.074349,0.074349,0.037175
2050,9,Urban,0.401639,0.200820,0.172131,0.225410
2050,9,Rural,0.814126,0.074349,0.074349,0.037175
2050,10,Urban,0.401639,0.200820,0.172131,0.225410
2050,10,Rural,0.814126,0.074349,0.074349,0.037175
2050,11,Urban,0.210596,0.295364,0.229139,0.264901
2050,11,Rural,0.552846,0.247967,0.146341,0.052846
2050,12,Urban,0.333333,0.065292,0.089347,0.512027
