t,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26
1970,0.24346,0.263976134,0.40979,0.57271107,0.44091,0.363255807,0.596505686,0.774331659,0.887653886,0.52191,0.30523343,0.511776006,0.61766,0.4816544,0.57131312,0.38503286,0.546272204,0.8024,0.550877428,0.822000914,0.754713744,0.83095735,0.46796,0.199361964,0.850495811,0.884402611
1975,0.24389,0.263465868,0.37241,0.546236777,0.39211,0.33477051,0.574897687,0.748187557,0.87207047,0.51891,0.29252079,0.476826912,0.58414,0.4414913,0.556516033,0.347213071,0.496076845,0.78668,0.492245914,0.821932827,0.740412606,0.808566195,0.43175,0.191128263,0.830679227,0.852338494
1980,0.24337,0.262615856,0.33661,0.524084412,0.34532,0.306354214,0.553787212,0.722119164,0.8560468,0.51575,0.283038569,0.442792186,0.5622,0.404355287,0.547677643,0.315795689,0.455759016,0.76902,0.432232697,0.802061141,0.720798545,0.781054574,0.40434,0.192560982,0.800804855,0.816219675
1985,0.23646,0.255056216,0.3105,0.506253222,0.30138,0.280373599,0.531574119,0.6974651,0.842250497,0.50628,0.277450445,0.422754426,0.47552,0.370823392,0.545885145,0.295415226,0.420995959,0.75652,0.374097942,0.766978405,0.699453848,0.741976375,0.39445,0.195118552,0.782574375,0.786917137
1990,0.23418,0.246996629,0.28581,0.484506316,0.26078,0.25776994,0.514461908,0.67277883,0.824345493,0.47963,0.271313895,0.406694545,0.40797,0.346798609,0.552983815,0.282055991,0.397497902,0.74453,0.310894032,0.73117683,0.676761312,0.697967598,0.36907,0.192474667,0.766310228,0.755708522
1995,0.22325,0.227497244,0.26632,0.455314521,0.2239,0.236775125,0.499580237,0.648786031,0.807257312,0.45514,0.265046151,0.401511547,0.37877,0.342600526,0.570631308,0.28369578,0.376888871,0.73407,0.280599504,0.686826188,0.66201459,0.649941914,0.35365,0.185879463,0.752741287,0.727121235
2000,0.20522,0.209107777,0.25278,0.429793143,0.18808,0.218644851,0.487045225,0.622191652,0.793747803,0.43109,0.257884529,0.400985491,0.35259,0.338801254,0.582186096,0.285228372,0.357379121,0.72335,0.270958296,0.638475124,0.643129133,0.587713806,0.34784,0.177085079,0.737377028,0.703507652
2005,0.19878,0.192268121,0.23692,0.404615646,0.15769,0.20150502,0.473925014,0.593669158,0.779667669,0.40717,0.245211408,0.394407787,0.32715,0.330347379,0.583425682,0.289604773,0.339084004,0.71284,0.258804144,0.571420117,0.620683531,0.578152358,0.34038,0.168151785,0.721947228,0.677421619
2010,0.19418,0.177138388,0.22172,0.38240894,0.13471,0.18587514,0.458506934,0.562947392,0.764912235,0.38298,0.232250993,0.385139529,0.30351,0.315769128,0.580517458,0.287863712,0.318705422,0.6999,0.246761888,0.527216972,0.595099458,0.566709843,0.33167,0.159686108,0.703897973,0.650661785
2020,0.161469856,0.149393764,0.187862314,0.33541632,0.11291277,0.156386706,0.404508727,0.501988212,0.718027432,0.328481723,0.198299165,0.333347404,0.274633463,0.277797435,0.519461555,0.246826268,0.278660934,0.642670424,0.210191528,0.45033446,0.533536929,0.503713901,0.293139333,0.139907779,0.645165868,0.592034304
2030,0.134129218,0.12524186,0.159561629,0.296614724,0.097816136,0.132295222,0.358289387,0.448661611,0.669173182,0.284779477,0.17000587,0.292041993,0.247293571,0.244284001,0.464822849,0.212334533,0.246372413,0.584132761,0.180060613,0.387860602,0.475679433,0.449046886,0.258372604,0.121054431,0.587457062,0.538127174
2040,0.111355181,0.104447328,0.135869091,0.264703475,0.086797794,0.112523515,0.318749005,0.402315812,0.619520082,0.249598123,0.146439755,0.258826331,0.22163782,0.214843734,0.415968251,0.183463294,0.219241269,0.526315753,0.155265444,0.338064047,0.422889105,0.402473129,0.22724323,0.103632096,0.532762199,0.489422053
2050,0.092424454,0.086713946,0.115982482,0.238400497,0.07843286,0.096261846,0.284753323,0.362516744,0.570750686,0.221022191,0.126583279,0.231662255,0.197767107,0.189096332,0.373000932,0.159103613,0.196510727,0.470910744,0.135369012,0.298413165,0.375791421,0.363111203,0.199537475,0.087772722,0.481999413,0.445112709
2060,0.076707128,0.071715201,0.099238461,0.216833948,0.07188556,0.082832265,0.25593845,0.328403959,0.523756637,0.197554729,0.109760068,0.209209175,0.175736566,0.166681969,0.335544787,0.138521865,0.1772337,0.419120247,0.119239473,0.266883186,0.334272376,0.329909209,0.174992486,0.074421944,0.43602845,0.40479353
2070,0.063665737,0.059118033,0.085094387,0.198845323,0.066635225,0.071754684,0.231275583,0.299021802,0.479478736,0.178059642,0.095486547,0.190491375,0.155558767,0.147172009,0.303282196,0.121158075,0.161031113,0.371644518,0.106094964,0.241418962,0.298211576,0.301796012,0.153324179,0.063121111,0.39483709,0.368437553
2080,0.052847417,0.048600508,0.073108155,0.183593885,0.062341388,0.062583143,0.20984822,0.273632966,0.438612983,0.16168199,0.083412901,0.174684463,0.137208707,0.130137582,0.275702992,0.106389188,0.147424017,0.328759512,0.095323466,0.220615598,0.267199667,0.277846113,0.13424635,0.053862414,0.358144481,0.335754007
