t,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26
1970,10581.44478,12301.67015,3906.67699,2991.781244,2104.337952,3148.413992,1295.788035,541.3434002,355.7499789,4133.050525,7768.956152,2034.593397,1748.945241,1394.035475,542.5033066,2548.274076,2463.403108,295.4532762,1136.611595,130.4034675,527.8103552,300.7062664,6414.834604,8561.281166,370.9368225,568.1035249
1971,10905.54685,12765.0098,4011.851576,3177.796195,2262.613865,3068.33433,1269.400871,598.2204418,371.7960347,4278.213543,8150.181901,2159.487929,1837.525953,1449.480103,561.4758949,2651.373002,2388.622803,300.9868123,1223.874266,134.7106708,542.2567256,315.0647386,6819.313022,8777.489983,361.7132678,618.8415327
1972,11403.54571,13336.62293,4276.959014,3258.947985,2460.215215,3088.832601,1321.976117,612.4466072,364.1447083,4154.206659,8549.640522,2274.434807,2023.511603,1472.768203,567.8050916,2695.878237,2698.860593,292.3906612,1248.685335,142.4393519,551.644183,330.0089161,7350.136984,8921.755197,336.1324096,597.2874322
1973,11536.40414,13745.6882,4434.910893,3219.264874,2682.207142,3118.96756,1307.856382,613.0153225,350.3550849,4108.418924,9034.977445,2306.854642,2057.545402,1567.727496,601.530307,2875.212834,2656.937813,280.3509664,1334.735656,149.5062493,568.8773942,340.940289,7634.343899,9367.369581,345.5672327,594.3811745
1974,11622.0364,13750.24376,4467.478376,3134.93219,2820.605269,3072.716014,1300.939051,648.6470913,347.9415197,4073.248546,9303.074462,2516.355639,2073.418343,1623.87907,620.0839908,2986.449602,1961.709922,290.3195927,1436.493874,148.2765235,537.9903951,355.2047383,7767.634592,9900.264972,352.5641988,591.721634
1975,12086.65184,13831.95562,4604.522515,3186.47404,2941.535314,3107.713166,1417.24527,638.9590242,369.1584959,4052.058988,9423.931777,2613.160271,2194.782616,1647.754526,626.1715217,3035.243764,2836.918622,326.344723,1453.768706,144.2319978,616.0947612,385.892318,8282.784655,9792.229713,360.3369808,620.4288662
1976,12757.75478,14429.3983,4748.147094,3291.876653,3127.782422,3042.344281,1538.290046,682.2139582,387.440797,4083.67959,9801.121503,2764.645247,2455.40651,1730.216818,654.3213435,3194.939785,3223.895466,329.5239348,1556.714583,146.7967788,645.2825984,398.4913146,8536.350383,9602.659662,368.7246897,608.0882518
1977,13065.21429,14930.01028,4711.189863,3505.527787,3155.166279,3248.590345,1628.091246,708.6521988,382.9265257,4019.231533,10144.25381,2934.234838,2588.283117,1800.017789,677.4253552,3329.516997,3647.781522,335.9284062,1677.825491,168.7954189,680.3029005,419.5911429,9052.652397,9915.966495,370.0645679,594.8635322
1978,13400.56212,15662.9547,5035.45574,3572.62773,3290.415791,3360.724022,1700.703315,680.784368,383.5788066,3932.533923,10512.11333,3143.607969,2586.656311,1871.817972,701.0540328,3466.433537,4034.939863,351.9787977,1791.740844,188.9961995,717.7557455,447.4891389,9472.432622,10023.52945,395.6182881,579.0971733
1979,13431.80224,16072.39701,5426.143352,3458.073496,3434.926524,3479.764246,1700.236538,659.3334232,395.7130649,3794.71742,10941.79628,3246.758255,2592.119626,1913.905952,713.3912087,3555.478155,3766.622699,334.4996236,1884.159162,181.5732118,742.5408338,452.4383542,9982.995836,9765.244046,406.3915383,528.2007437
1980,13619.92415,16063.05676,5857.819021,3331.902693,3422.691655,3666.66059,1762.091664,632.6658693,408.4899814,3701.88492,11137.41977,3228.377453,2722.756567,1985.810601,736.6939678,3695.733048,3424.690793,340.3643645,2018.185116,295.2829326,784.472242,471.8011612,10238.47435,10226.19664,425.8767711,539.2302657
1981,14237.48412,16097.16795,6286.913575,3514.042579,3221.172772,3672.403131,1630.698474,605.4367751,371.6497048,4007.778441,11329.56317,2899.570917,2720.085425,2020.152579,763.5058036,3741.236457,3396.943836,356.7580415,2077.926092,315.689392,825.0527472,515.1613001,10494.59874,10381.32656,444.9232843,556.9760006
1982,14173.61993,16000.58792,6192.65264,3562.260056,3155.391595,3400.352284,1800.3118,590.8052841,365.1870001,4073.637702,11511.40068,2755.897727,2796.346316,2148.170745,808.8233616,3976.391484,3766.833243,371.1439268,2205.674464,328.890275,923.908209,549.0280634,10850.08456,10698.01864,455.5396257,581.207515
1983,14391.05045,17110.51085,5609.765009,3580.97746,2959.322131,3292.651923,1842.979138,568.7958347,362.4090738,3959.536865,11818.35332,3121.302768,3008.039188,2275.300603,833.0161354,4229.570925,4155.137397,382.7909969,2382.105179,351.0766964,936.6863955,566.9030644,11111.9226,10566.21659,472.634365,557.2505111
1984,14846.98899,17955.9006,5647.093319,3645.453196,2891.601084,3186.085518,1857.062936,546.7032536,360.6342529,4147.040674,12180.70133,3219.942947,3187.231997,2279.242619,852.9392234,4196.705103,4134.412946,398.2841603,2506.768916,407.5004416,945.3514315,607.6818765,11324.57629,10643.27729,489.2139857,557.4875145
1985,15449.33441,18832.22335,5580.086546,3652.640574,3080.104688,3150.766721,1923.740199,549.6308749,339.8083655,3939.199478,12548.82547,3285.903636,3288.654099,2120.689035,851.1661841,3843.901074,4218.730122,421.8463525,2678.651005,472.9027081,940.2999713,660.2145551,11917.58237,11319.2595,502.3514001,520.1909503
1986,16227.9673,19751.13196,5285.234141,3664.886683,3297.728419,3417.876269,1945.332277,580.994581,341.6080469,3845.274912,13019.24074,3364.096259,3151.4986,2204.732321,913.9645334,4002.041834,4373.424443,442.5433584,2914.153066,516.6464331,953.3320466,703.9133773,12384.81435,11827.83159,516.0890493,555.2202022
1987,16655.31404,20250.53459,5040.359389,3753.886947,3384.223016,3427.970432,1856.842263,557.0584593,370.5914832,3963.818555,13519.30731,3612.034123,3459.160047,2299.061231,1135.172369,4224.217119,4070.202547,456.4101138,3184.239802,580.7900691,992.8358197,698.9372555,12862.04545,12130.3782,527.6800748,551.4011726
1988,17204.38213,20779.83151,5742.312076,3749.704554,3479.350893,3315.140775,1893.785105,575.1056096,366.6462566,4041.205125,14132.32996,3839.648298,3424.379329,2370.407804,1226.221611,4450.737154,4114.56065,479.3884754,3440.805999,643.2718537,1053.466013,726.4398832,13685.50033,12770.37763,542.5586046,534.6268028
1989,17606.45598,21539.80294,6145.931756,3805.259237,3724.275842,2958.956662,1915.278696,567.8787389,376.0471076,4145.804936,14642.5696,3871.954166,3420.623604,2236.073626,1326.362708,4079.389665,3826.938623,502.8751045,3739.461146,687.5803676,1136.231527,776.0444404,14397.67075,12756.26674,548.3350825,506.0141905
1990,17800.75247,21908.69144,6427.168998,3808.350741,3819.001544,3166.910703,1921.534139,568.5752374,378.1151655,4144.823961,15239.37664,4066.373753,3736.730978,2223.275969,1307.633361,4155.839371,3623.637175,519.1667824,4039.605349,704.5018624,1235.014701,859.6763853,15027.63203,13525.8102,556.2576051,526.9985775
1991,17803.90761,22061.52433,6643.118394,3795.769459,4017.120984,3530.569434,1847.931057,568.3486664,371.8393018,4131.290611,15708.47129,3919.012931,3828.233299,1866.227433,978.970915,4249.118501,3772.665635,523.3177555,4339.597218,788.3473358,1273.51059,916.6019213,15623.48782,13145.51183,564.5981554,530.5776843
1992,17913.37008,22803.34995,6830.795706,3810.34506,3763.989817,3892.408745,1894.012778,552.2079396,374.6849347,4134.001652,16076.9939,4049.408428,3993.065877,1757.926768,1028.725066,4641.064836,3950.582109,544.451524,4665.319561,882.931586,1349.162618,975.733662,16054.18252,13098.14869,586.4212161,501.5893407
1993,18023.72725,23180.08271,7011.52062,3794.24742,3676.931144,4100.027654,1896.23401,541.4706896,375.1719211,4116.481054,16285.031,4171.12924,4284.922799,2191.932329,1052.643252,4028.004289,3953.216081,562.7680566,4926.29432,950.121007,1460.541908,1047.94433,16473.6708,13352.00903,605.6030555,465.3368548
1994,18417.46836,23700.11927,7220.883072,3830.117447,3766.077465,4377.597425,1932.827135,508.1653042,387.5465629,4157.877664,16685.54343,4390.002015,3858.483727,1652.438348,950.26558,3639.412692,4081.731486,581.977333,5301.598692,1037.205139,1563.434757,1103.007567,16974.70773,13762.07974,611.3060194,476.3556341
1995,18493.68975,24004.18234,6573.249373,3920.632688,5151.68424,4484.945201,1920.556384,511.5436074,400.2664439,4259.442111,17047.23601,4841.883177,4070.932062,1607.389817,1038.111159,4007.47093,4039.361456,627.8219563,5720.469879,1096.697269,1655.970287,1147.391218,17511.3789,14356.18981,629.4131856,498.8864386
1996,18529.41579,24694.88313,6675.830369,4040.610281,5323.32062,4466.508866,1958.570562,522.3746783,387.8429264,4437.606351,17456.78324,5154.441051,4339.563612,1651.917341,1112.861212,3756.978818,3967.815977,661.2596485,6155.932888,1167.856459,1744.098148,1180.564898,18019.42748,14819.59974,647.0914951,505.1221519
1997,19281.76675,25668.51188,7043.439063,4200.486761,5420.646813,4657.503647,2019.978875,520.6991925,388.3059633,4542.941065,18015.52718,5470.5715,4782.960834,1720.84526,1146.587339,3927.927893,4037.169177,697.8142562,6449.825121,1282.365199,1807.052255,1209.975194,18358.33163,15325.1555,645.9040221,538.511781
