time,Region,Type,Area,Shape,Scale,mean_lifetime_yr
2020,1,Appartment,Rural,1.9682,57.5286,51.0
2020,1,Appartment,Urban,1.9682,57.5286,51.0
2020,1,Detached,Rural,1.9682,57.5286,51.0
2020,1,Detached,Urban,1.9682,57.5286,51.0
2020,1,High-rise,Rural,1.9682,57.5286,51.0
2020,1,High-rise,Urban,1.9682,57.5286,51.0
2020,1,Semi-detached,Rural,1.9682,57.5286,51.0
2020,1,Semi-detached,Urban,1.9682,57.5286,51.0
2020,10,Appartment,Rural,1.9682,56.4006,50.0
2020,10,Appartment,Urban,1.9682,56.4006,50.0
2020,10,Detached,Rural,1.9682,56.4006,50.0
2020,10,Detached,Urban,1.9682,56.4006,50.0
2020,10,High-rise,Rural,1.9682,56.4006,50.0
2020,10,High-rise,Urban,1.9682,56.4006,50.0
2020,10,Semi-detached,Rural,1.9682,56.4006,50.0
2020,10,Semi-detached,Urban,1.9682,56.4006,50.0
2020,11,Appartment,Rural,2.9459,70.606,63.0
2020,11,Appartment,Urban,2.9459,70.606,63.0
2020,11,Detached,Rural,2.9459,70.606,63.0
2020,11,Detached,Urban,2.9459,70.606,63.0
2020,11,High-rise,Rural,2.9459,70.606,63.0
2020,11,High-rise,Urban,2.9459,70.606,63.0
2020,11,Semi-detached,Rural,2.9459,70.606,63.0
2020,11,Semi-detached,Urban,2.9459,70.606,63.0
2020,12,Appartment,Rural,2.5,78.8942,70.0
2020,12,Appartment,Urban,2.5,78.8942,70.0
2020,12,Detached,Rural,2.5,78.8942,70.0
2020,12,Detached,Urban,2.5,78.8942,70.0
2020,12,High-rise,Rural,1.9682,78.9609,70.0
2020,12,High-rise,Urban,1.9682,78.9609,70.0
2020,12,Semi-detached,Rural,2.5,78.8942,70.0
2020,12,Semi-detached,Urban,2.5,78.8942,70.0
2020,13,Appartment,Rural,1.9682,56.4006,50.0
2020,13,Appartment,Urban,1.9682,56.4006,50.0
2020,13,Detached,Rural,1.9682,56.4006,50.0
2020,13,Detached,Urban,1.9682,56.4006,50.0
2020,13,High-rise,Rural,1.9682,56.4006,50.0
2020,13,High-rise,Urban,1.9682,56.4006,50.0
2020,13,Semi-detached,Rural,1.9682,56.4006,50.0
2020,13,Semi-detached,Urban,1.9682,56.4006,50.0
2020,14,Appartment,Rural,1.9682,67.6807,60.0
2020,14,Appartment,Urban,1.9682,67.6807,60.0
2020,14,Detached,Rural,1.9682,67.6807,60.0
2020,14,Detached,Urban,1.9682,67.6807,60.0
2020,14,High-rise,Rural,1.9682,67.6807,60.0
