time,Region,Type,Area,Shape,Scale
2020,1,Detached,Urban,1.96820464,57.52862846
2020,1,Semi-detached,Urban,1.96820464,57.52862846
2020,1,Appartments,Urban,1.96820464,57.52862846
2020,1,High-rise,Urban,1.96820464,57.52862846
2020,1,Detached,Rural,1.96820464,57.52862846
2020,1,Semi-detached,Rural,1.96820464,57.52862846
2020,1,Appartments,Rural,1.96820464,57.52862846
2020,1,High-rise,Rural,1.96820464,57.52862846
2020,2,Detached,Urban,4.16343417,85.18683893
2020,2,Semi-detached,Urban,4.16343417,85.18683893
2020,2,Appartments,Urban,4.16343417,85.18683893
2020,2,High-rise,Urban,4.16343417,85.18683893
2020,2,Detached,Rural,4.16343417,85.18683893
2020,2,Semi-detached,Rural,4.16343417,85.18683893
2020,2,Appartments,Rural,4.16343417,85.18683893
2020,2,High-rise,Rural,4.16343417,85.18683893
2020,3,Detached,Urban,1.96820464,63.16869007
2020,3,Semi-detached,Urban,1.96820464,63.16869007
2020,3,Appartments,Urban,1.96820464,63.16869007
2020,3,High-rise,Urban,1.96820464,63.16869007
2020,3,Detached,Rural,1.96820464,63.16869007
2020,3,Semi-detached,Rural,1.96820464,63.16869007
2020,3,Appartments,Rural,1.96820464,63.16869007
2020,3,High-rise,Rural,1.96820464,63.16869007
2020,4,Detached,Urban,1.96820464,67.35799478
2020,4,Semi-detached,Urban,1.96820464,67.35799478
2020,4,Appartments,Urban,1.96820464,67.35799478
2020,4,High-rise,Urban,1.96820464,67.35799478
2020,4,Detached,Rural,1.96820464,67.35799478
2020,4,Semi-detached,Rural,1.96820464,67.35799478
2020,4,Appartments,Rural,1.96820464,67.35799478
2020,4,High-rise,Rural,1.96820464,67.35799478
2020,5,Detached,Urban,1.96820464,112.80123230
2020,5,Semi-detached,Urban,1.96820464,112.80123230
2020,5,Appartments,Urban,1.96820464,112.80123230
2020,5,High-rise,Urban,1.96820464,112.80123230
2020,5,Detached,Rural,1.96820464,112.80123230
2020,5,Semi-detached,Rural,1.96820464,112.80123230
2020,5,Appartments,Rural,1.96820464,112.80123230
2020,5,High-rise,Rural,1.96820464,112.80123230
2020,6,Detached,Urban,1.96820464,68.24474552
2020,6,Semi-detached,Urban,1.96820464,68.24474552
2020,6,Appartments,Urban,1.96820464,68.24474552
2020,6,High-rise,Urban,1.96820464,68.24474552
2020,6,Detached,Rural,1.96820464,68.24474552
2020,6,Semi-detached,Rural,1.96820464,68.24474552
2020,6,Appartments,Rural,1.96820464,68.24474552
2020,6,High-rise,Rural,1.96820464,68.24474552
2020,7,Detached,Urban,1.96820464,67.35799478
2020,7,Semi-detached,Urban,1.96820464,67.35799478
2020,7,Appartments,Urban,1.96820464,67.35799478
2020,7,High-rise,Urban,1.96820464,67.35799478
2020,7,Detached,Rural,1.96820464,67.35799478
