Year,Region,Building_type,Steel,Concrete,Wood,Copper,Aluminium,Glass,Brick
2020,1,1,32.47,861.52,50.91,1.73,6.42,2.68,373.20
2020,1,2,32.89,1208.13,34.97,0.01,0.23,1.07,307.15
2020,1,3,97.36,995.92,37.17,0.31,1.94,6.35,153.58
2020,1,4,81.38,975.28,41.57,0.01,2.20,2.81,76.79
2020,2,1,19.95,659.21,50.76,1.26,2.70,3.00,373.20
2020,2,2,32.89,1208.13,34.97,0.01,0.23,1.07,307.15
2020,2,3,49.30,526.80,37.17,0.31,3.43,6.35,153.58
2020,2,4,89.23,587.73,54.48,0.01,2.62,4.42,76.79
2020,3,1,32.63,846.33,53.07,1.73,3.56,2.68,373.20
2020,3,2,32.89,1208.13,34.97,0.01,0.23,1.07,307.15
2020,3,3,97.36,995.92,37.17,0.31,1.94,6.35,153.58
2020,3,4,116.98,910.21,54.48,0.01,2.20,4.42,76.79
2020,4,1,34.06,790.66,71.53,1.73,3.56,2.68,373.20
2020,4,2,29.94,1261.57,37.48,0.01,0.23,1.07,307.15
2020,4,3,97.36,995.92,37.17,0.31,1.94,6.35,153.58
2020,4,4,116.98,910.21,54.48,0.01,2.20,4.42,76.79
2020,5,1,32.63,871.99,461.01,1.73,3.56,1.74,373.20
2020,5,2,32.89,1208.13,34.97,0.01,0.23,1.07,307.15
2020,5,3,97.36,995.92,37.17,0.31,1.94,6.35,153.58
2020,5,4,116.98,760.70,37.55,0.01,2.20,2.54,76.79
2020,6,1,33.89,726.98,36.43,1.73,3.56,1.93,373.20
2020,6,2,36.09,1051.49,26.32,0.01,0.23,1.07,307.15
2020,6,3,67.43,964.46,19.93,0.31,1.94,4.08,153.58
2020,6,4,116.98,910.21,54.48,0.01,2.20,4.42,76.79
2020,7,1,32.63,846.33,53.07,1.73,3.56,2.68,373.20
2020,7,2,32.89,1208.13,34.97,0.01,0.23,1.07,307.15
2020,7,3,97.36,995.92,37.17,0.31,1.94,6.35,153.58
2020,7,4,116.98,910.21,54.48,0.01,2.20,4.42,76.79
2020,8,1,20.78,761.00,29.98,1.73,3.22,1.36,373.20
2020,8,2,32.89,1208.13,34.97,0.01,0.23,1.07,307.15
2020,8,3,62.04,995.92,39.61,0.31,1.94,6.35,153.58
2020,8,4,116.98,910.21,54.48,0.01,2.20,4.42,76.79
2020,9,1,32.63,846.33,53.07,1.73,3.56,2.68,373.20
2020,9,2,32.89,1208.13,34.97,0.01,0.23,1.07,307.15
2020,9,3,97.36,995.92,37.17,0.31,1.94,6.35,153.58
2020,9,4,116.98,910.21,54.48,0.01,2.20,4.42,76.79
2020,10,1,32.63,846.33,53.07,1.25,3.56,2.68,373.20
2020,10,2,32.89,1208.13,34.97,0.01,0.23,1.07,307.15
2020,10,3,97.36,995.92,37.17,0.35,1.94,6.35,153.58
2020,10,4,116.98,910.21,54.48,0.01,2.20,4.42,76.79
2020,11,1,40.27,1176.69,65.18,2.42,2.25,2.59,373.20
2020,11,2,28.76,1002.08,35.37,0.01,0.23,1.07,307.15
2020,11,3,86.80,781.95,43.52,0.23,1.20,8.78,153.58
2020,11,4,129.64,880.45,40.74,0.01,2.20,4.59,76.79
2020,12,1,32.63,1369.58,76.21,1.73,3.56,18.11,373.20
2020,12,2,32.89,1208.13,34.97,0.01,0.23,1.07,307.15
2020,12,3,97.36,903.39,29.94,0.31,1.94,6.35,153.58
2020,12,4,116.98,906.40,28.51,0.01,2.20,4.42,76.79
2020,13,1,32.63,846.33,53.07,1.73,3.56,2.68,373.20
2020,13,2,32.89,1208.13,34.97,0.01,0.23,1.07,307.15
2020,13,3,86.43,1251.78,23.37,0.31,1.94,6.35,153.58
2020,13,4,78.81,839.24,31.28,0.01,2.20,4.42,76.79
2020,14,1,32.63,846.33,53.07,1.73,3.56,2.68,373.20
2020,14,2,32.89,1208.13,34.97,0.01,0.23,1.07,307.15
2020,14,3,97.36,995.92,37.17,0.31,1.94,6.35,153.58
2020,14,4,116.98,910.21,54.48,0.01,2.20,4.42,76.79
2020,15,1,32.63,846.33,53.07,1.73,3.56,2.68,373.20
2020,15,2,32.89,1208.13,34.97,0.01,0.23,1.07,307.15
2020,15,3,97.36,995.92,37.17,0.31,1.94,6.35,153.58
2020,15,4,116.98,910.21,54.48,0.01,2.20,4.42,76.79
2020,16,1,32.63,846.33,53.07,1.73,3.56,2.68,373.20
2020,16,2,32.89,1208.13,34.97,0.01,0.23,1.07,307.15
2020,16,3,97.36,995.92,37.17,0.31,1.94,6.35,153.58
2020,16,4,116.98,910.21,54.48,0.01,2.20,4.42,76.79
2020,17,1,67.59,1244.15,32.48,1.73,2.15,2.70,373.20
2020,17,2,32.89,1208.13,34.97,0.01,0.23,1.07,307.15
2020,17,3,216.27,1461.12,37.17,0.31,1.94,6.35,153.58
2020,17,4,116.98,910.21,54.48,0.01,2.20,4.42,76.79
2020,18,1,26.70,957.91,35.24,1.87,3.56,2.64,373.20
2020,18,2,32.89,1208.13,34.97,0.01,0.23,1.07,307.15
2020,18,3,59.26,1000.86,37.17,0.31,1.94,6.35,153.58
2020,18,4,119.09,1321.90,54.48,0.01,2.20,4.42,76.79
2020,19,1,32.63,846.33,53.07,1.73,3.56,2.68,373.20
2020,19,2,32.89,1208.13,34.97,0.01,0.23,1.07,307.15
2020,19,3,101.94,1657.55,37.17,0.52,1.94,6.35,153.58
2020,19,4,90.15,921.41,54.48,0.01,2.20,6.84,76.79
2020,20,1,29.21,1730.14,45.00,1.73,6.88,5.25,460.20
2020,20,2,32.89,1208.13,34.97,0.01,0.23,1.07,347.90
2020,20,3,235.83,995.92,26.10,0.28,1.94,6.35,173.95
2020,20,4,122.97,602.61,58.18,0.01,2.82,3.20,86.98
2020,21,1,32.63,846.33,53.07,1.73,3.56,2.68,373.20
2020,21,2,35.41,1968.82,44.81,0.01,0.23,1.07,307.15
2020,21,3,65.65,1079.97,24.21,0.31,1.19,3.57,153.58
2020,21,4,116.98,910.21,54.48,0.01,2.20,4.42,76.79
2020,22,1,30.51,436.05,80.11,1.73,3.56,2.14,373.20
2020,22,2,32.89,1208.13,34.97,0.01,0.23,1.07,307.15
2020,22,3,97.36,995.92,37.17,0.31,1.94,6.35,153.58
2020,22,4,116.98,910.21,54.48,0.01,1.27,2.58,76.79
2020,23,1,44.93,535.50,64.53,1.73,2.53,3.34,373.20
2020,23,2,32.89,1208.13,34.97,0.01,0.23,1.07,307.15
2020,23,3,97.36,995.92,37.17,0.31,1.94,6.35,153.58
2020,23,4,210.66,1390.60,36.24,0.01,2.10,3.21,76.79
2020,24,1,26.84,737.08,60.16,1.43,2.73,1.87,373.20
2020,24,2,34.23,1002.06,32.23,0.01,0.23,1.07,307.15
2020,24,3,73.39,848.59,37.17,0.16,1.94,6.35,153.58
2020,24,4,118.85,1023.30,115.57,0.01,2.20,5.86,76.79
2020,25,1,32.63,846.33,43.55,1.73,3.56,2.68,373.20
2020,25,2,32.89,1208.13,34.97,0.01,0.23,1.07,307.15
2020,25,3,97.36,995.92,37.17,0.31,1.94,6.35,153.58
2020,25,4,116.98,910.21,54.48,0.01,2.20,4.42,76.79
2020,26,1,32.63,846.33,53.07,1.73,3.56,2.68,373.20
2020,26,2,32.89,1208.13,34.97,0.01,0.23,1.07,307.15
2020,26,3,97.36,995.92,37.17,0.31,1.94,6.35,153.58
2020,26,4,116.98,910.21,54.48,0.01,2.20,4.42,76.79
2050,1,1,32.47,861.52,50.91,1.73,6.42,2.68,373.20
2050,1,2,32.89,1208.13,34.97,0.01,0.23,1.07,307.15
2050,1,3,97.36,995.92,37.17,0.31,1.94,6.35,153.58
2050,1,4,81.38,975.28,41.57,0.01,2.20,2.81,76.79
2050,2,1,19.95,659.21,50.76,1.26,2.70,3.00,373.20
2050,2,2,32.89,1208.13,34.97,0.01,0.23,1.07,307.15
2050,2,3,49.30,526.80,37.17,0.31,3.43,6.35,153.58
2050,2,4,89.23,587.73,54.48,0.01,2.62,4.42,76.79
2050,3,1,32.63,846.33,53.07,1.73,3.56,2.68,373.20
2050,3,2,32.89,1208.13,34.97,0.01,0.23,1.07,307.15
2050,3,3,97.36,995.92,37.17,0.31,1.94,6.35,153.58
2050,3,4,116.98,910.21,54.48,0.01,2.20,4.42,76.79
2050,4,1,34.06,790.66,71.53,1.73,3.56,2.68,373.20
2050,4,2,29.94,1261.57,37.48,0.01,0.23,1.07,307.15
2050,4,3,97.36,995.92,37.17,0.31,1.94,6.35,153.58
2050,4,4,116.98,910.21,54.48,0.01,2.20,4.42,76.79
2050,5,1,32.63,871.99,461.01,1.73,3.56,1.74,373.20
2050,5,2,32.89,1208.13,34.97,0.01,0.23,1.07,307.15
2050,5,3,97.36,995.92,37.17,0.31,1.94,6.35,153.58
2050,5,4,116.98,760.70,37.55,0.01,2.20,2.54,76.79
2050,6,1,33.89,726.98,36.43,1.73,3.56,1.93,373.20
2050,6,2,36.09,1051.49,26.32,0.01,0.23,1.07,307.15
2050,6,3,67.43,964.46,19.93,0.31,1.94,4.08,153.58
2050,6,4,116.98,910.21,54.48,0.01,2.20,4.42,76.79
2050,7,1,32.63,846.33,53.07,1.73,3.56,2.68,373.20
2050,7,2,32.89,1208.13,34.97,0.01,0.23,1.07,307.15
2050,7,3,97.36,995.92,37.17,0.31,1.94,6.35,153.58
2050,7,4,116.98,910.21,54.48,0.01,2.20,4.42,76.79
2050,8,1,20.78,761.00,29.98,1.73,3.22,1.36,373.20
2050,8,2,32.89,1208.13,34.97,0.01,0.23,1.07,307.15
2050,8,3,62.04,995.92,39.61,0.31,1.94,6.35,153.58
2050,8,4,116.98,910.21,54.48,0.01,2.20,4.42,76.79
2050,9,1,32.63,846.33,53.07,1.73,3.56,2.68,373.20
2050,9,2,32.89,1208.13,34.97,0.01,0.23,1.07,307.15
2050,9,3,97.36,995.92,37.17,0.31,1.94,6.35,153.58
2050,9,4,116.98,910.21,54.48,0.01,2.20,4.42,76.79
2050,10,1,32.63,846.33,53.07,1.25,3.56,2.68,373.20
2050,10,2,32.89,1208.13,34.97,0.01,0.23,1.07,307.15
2050,10,3,97.36,995.92,37.17,0.35,1.94,6.35,153.58
