NLC_count;GID_0;population;SSP5;SSP32;ADM0_NAME;ADM0_area_sq_km;GFA_NR_C;GFA_NR_M;GFA_NR_S;GFA_NR_T;GFA_NR_U;GFA_RS_C;GFA_RS_M;GFA_RS_S;GFA_RS_T;GFA_RS_U;GFA_RM_C;GFA_RM_M;GFA_RM_S;GFA_RM_T;GFA_RM_U
695;ARM;2774306.0;REF;CAS;Armenia;29690.06898;3406801.882;2790732.101;281288.9188;114543.539;230633.8122;461081.1113;140337844.9;3229.437783;624218.0759;4237127.602;34634888.16;33027146.26;0.0;1720537.657;0.0
3033;AZE;10188649.3;REF;CAS;Azerbaijan;86235.79212;10681131.28;7721850.559;2320142.905;263526.9286;547218.6556;11003.7075;541952907.5;85694.76958;3064610.934;11819752.26;155536140.6;30716292.37;10842.10511;5188246.739;0.0
1818;GEO;3680675.131;REF;CAS;Georgia;69844.1164;6496443.436;4747353.435;1250517.038;165501.8096;342161.4649;1048.619804;300939781.9;0.0;4923755.026;5416978.841;43364854.37;43456260.34;15.84734814;2390856.605;0.0
8738;KAZ;16419627.05;REF;CAS;Kazakhstan;2730535.474;24737362.26;18108984.66;4021740.65;8141866.332;25558488.63;146255382.7;973832837.1;0.0;90246638.68;305453510.9;204005213.7;183208903.9;56314802.85;701.1417218;0.0
1992;KGZ;5478946.575;REF;CAS;Kyrgyzstan;190795.4232;3623704.652;1928513.031;785670.6091;959085.3054;2908617.228;47108990.9;257203208.9;0.0;39400902.3;107158272.8;68354658.42;24501919.86;7035702.225;0.0;0.0
1694;TJK;9296150.0;REF;CAS;Tajikistan;142113.4366;3426704.616;1831648.605;656517.1778;875113.9089;2679837.826;67082028.65;237984703.0;0.0;36374693.73;99213484.17;72172441.03;29352923.09;8335696.824;0.0;0.0
2889;TKM;9519352.722;REF;CAS;Turkmenistan;489597.6664;3975352.038;2328557.389;409132.1134;949389.54;3033716.445;46864309.64;272527884.7;49719.64137;46866925.2;112602497.3;69994763.17;21998914.09;5997031.368;0.0;0.0
6493;UZB;33396359.68;REF;CAS;Uzbekistan;434391.9889;16019304.41;9187684.828;2924149.696;4247646.922;13117393.98;41666179.74;1698850039.0;0.0;78827727.54;414290953.1;302099378.1;291927286.3;51082134.72;0.0;0.0
5139;BLR;8962684.0;REF;EEU-FSU;Belarus;207070.5391;59440973.27;38160404.11;18011320.94;20197803.47;0.0;158245.1709;463869678.4;0.0;208758806.9;8555.704265;214426846.6;5430.413599;1.783594965;999.8150093;0.0
1180;MDA;3663866.0;REF;EEU-FSU;Moldova;33908.18064;5548321.492;5351593.247;3361355.587;153.7575373;410.2443932;276664110.6;7225752.134;0.0;10199.94257;0.0;2753190.427;60613685.08;0.0;121.0545708;0.0
18476;UKR;43264572.8;REF;EEU-FSU;Ukraine;601359.4187;138256305.8;163141434.0;45108267.78;342221.2358;456.2458972;1924557.848;2773491622.0;0.0;8952369.763;9535.157428;818968623.5;21319.72506;0.0;6678.396608;0.0
80564;RUS;134928608.5;REF;RUS;Russia;16856829.64;310180693.4;722218068.0;241093898.0;113702953.8;568.606763;23879154.88;5202989961.0;1.546489567;3366831926.0;435137024.9;1520723005.0;1472073827.0;6467995.523;221727025.0;0.0
9705;AUS;21141080.53;OECD;AUNZ;Australia;7688081.933;186573019.2;31390523.07;100252469.7;0.0;981410.1387;0.0;1115239562.0;0.0;1583791324.0;0.0;481289227.5;186196937.8;0.0;418101695.2;0.0
4;CXR;2053.027969;OECD;AUNZ;Christmas Island;139.4908445;6589.244208;1108.626656;3540.640592;0.0;34.66069799;0.0;142704.3622;0.0;202659.5347;0.0;8365.754538;3236.469441;0.0;7267.430798;0.0
3;CCK;550.268158;OECD;AUNZ;Cocos Islands;13.68040381;0.0;0.0;0.0;0.0;0.0;0.0;20317.63901;0.0;28853.80099;0.0;0.0;0.0;0.0;0.0;0.0
19;COK;17885.33835;OECD;AUNZ;Cook Islands;284.3536969;528.911094;6074.850698;223.0406404;1823.772976;0.0;0.0;411170.8236;3282.255036;269418.4342;0.0;0.0;0.0;0.0;0.0;0.0
1841;NZL;4391315.296;OECD;AUNZ;New Zealand;268708.051;4838475.291;2007277.134;1133707.488;12544812.17;0.0;13845504.09;19971833.34;490106.3396;374155348.1;0.0;343353585.6;0.0;3398167.177;0.0;0.0
0;NFK;2035.869362;OECD;AUNZ;Norfolk Island;40.74458276;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
32763;CAN;37613295.76;OECD;CAN;Canada;9867951.049;243667570.1;254486189.9;181418068.1;1175247.049;90754147.93;39759.65822;166222624.7;616893.7703;2881623195.0;0.0;65554462.59;162000812.7;9630050.382;845809222.8;0.0
1263;ALB;2784621.211;OECD;EEU;Albania;28728.24328;925108.8652;3735279.855;891985.6515;0.0;64.47758952;159410066.8;11322182.68;0.0;0.0;1619.050498;1574465.754;28181980.4;0.0;300570.1632;0.0
2362;BIH;3309867.916;OECD;EEU;Bosnia and Herzegovina;51068.86679;7176595.167;4948970.781;2450565.803;0.0;161016.6745;208232724.6;64221727.44;0.0;0.0;0.0;3798022.466;22603098.1;0.0;0.0;0.0
3977;HRV;4132617.566;OECD;EEU;Croatia;57099.23028;19808646.3;7276528.375;3524874.395;5255.461856;7.308958259;282653014.6;119716345.5;0.0;139.4065894;55520.06823;7274336.201;45606646.84;0.0;1262.216223;1972.212848
835;XKO;2117985.0;OECD;EEU;Kosovo;10836.60857;2566695.395;1083371.922;766961.9691;0.0;544676.7358;56396738.28;27699645.59;0.0;0.0;2643201.973;2818282.753;6219668.451;0.0;0.0;475681.6423
324;MNE;604629.7338;OECD;EEU;Montenegro;13336.63171;1661114.693;602494.8542;182282.6233;0.0;0.0;29544590.86;3611820.348;0.0;0.0;0.0;1610930.606;4600541.448;0.0;0.0;0.0
1196;MKD;2084146.0;OECD;EEU;North Macedonia;24909.69367;5578617.732;2032439.217;1759952.363;0.0;0.0;100503586.7;49329928.76;0.0;0.0;2956.389066;9687236.503;14648109.78;0.0;0.0;0.0
4366;SRB;6921078.0;OECD;EEU;Serbia;78232.03996;26699920.1;5638571.011;4755289.373;8.856900017;490.8618533;442242633.7;184516717.5;0.0;487.2379263;2748.451589;13096.7163;79366170.84;0.0;8468994.833;10196765.08
209;ISL;329454.7677;OECD;EFTA;Iceland;102227.2598;4919809.387;58616.44542;828395.7013;514330.2907;0.0;23879605.8;16407.73052;0.0;707657.8193;0.0;3697622.458;165961.3469;0.0;404941.509;0.0
9;LIE;37561.0;OECD;EFTA;Liechtenstein;159.297562;384501.9574;232337.6006;171172.9198;10864.74946;0.0;4187419.162;0.0;0.0;0.0;0.0;0.0;610409.8522;122281.4864;17314.58897;0.0
3800;NOR;5051909.236;OECD;EFTA;Norway;325204.2492;28376824.53;6446303.92;17573730.61;16206347.21;0.0;2991.337891;117113172.4;2698917.188;170121811.9;495.229194;30839079.96;432417.2402;2921287.902;4393017.711;0.0
0;SJM;77.86252022;OECD;EFTA;Svalbard and Jan Mayen;60343.74704;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2435;CHE;8673149.063;OECD;EFTA;Switzerland;41084.40892;62921310.5;10321612.22;20858164.85;4886155.227;0.0;486522145.2;153245382.9;204157.3691;86962124.63;61702.79851;36345441.88;118266349.5;0.0;28715933.32;165.02775
28;XAD;29101.16653;OECD;EU12-H;Akrotiri and Dhekelia;233.7097514;263471.7619;5763.8198;211313.3985;0.0;0.0;3535270.278;0.0;0.0;0.0;0.0;119199.6417;94912.53987;0.0;0.0;0.0
457;CYP;951924.9619;OECD;EU12-H;Cyprus;5718.853662;4510680.301;98677.5518;3617720.461;0.0;0.0;81223639.51;0.0;0.0;0.0;0.0;19597038.08;6789311.324;0.0;0.0;0.0
