Region,Area,1,2,3,4
1,Urban,38.62,40.65,28.61,35.20
1,Rural,33.00,32.61,22.00,31.40
2,Urban,42.67,40.65,27.21,26.15
2,Rural,33.00,32.61,22.00,31.40
3,Urban,34.36,40.65,28.61,31.40
3,Rural,33.00,32.61,22.00,31.40
4,Urban,34.36,40.65,28.61,31.40
4,Rural,33.00,32.61,22.00,31.40
5,Urban,37.95,40.65,28.61,22.66
5,Rural,33.00,32.61,22.00,31.40
6,Urban,28.53,37.83,28.80,31.40
6,Rural,33.00,32.61,22.00,31.40
7,Urban,34.36,40.65,28.61,31.40
7,Rural,33.00,32.61,22.00,31.40
8,Urban,25.74,40.65,27.80,31.40
8,Rural,33.00,32.61,22.00,31.40
9,Urban,34.36,40.65,28.61,31.40
9,Rural,33.00,32.61,22.00,31.40
10,Urban,24.01,40.65,21.14,31.40
10,Rural,33.00,32.61,22.00,31.40
11,Urban,33.03,34.39,32.15,32.95
11,Rural,44.76,32.61,22.00,31.40
12,Urban,29.13,40.65,32.80,33.33
12,Rural,33.00,32.61,22.00,31.40
13,Urban,34.36,40.65,28.61,48.20
13,Rural,33.00,32.61,22.00,31.40
14,Urban,34.36,40.65,28.61,31.40
14,Rural,33.00,32.61,22.00,31.40
15,Urban,34.36,40.65,28.61,31.40
15,Rural,33.00,32.61,22.00,31.40
16,Urban,34.36,40.65,28.61,31.40
16,Rural,33.00,32.61,22.00,31.40
17,Urban,45.94,40.65,28.43,31.40
17,Rural,33.00,32.61,22.00,31.40
18,Urban,23.81,40.65,19.30,29.72
18,Rural,32.81,32.61,22.00,31.40
19,Urban,34.36,40.65,22.46,30.02
19,Rural,33.00,32.61,22.00,31.40
20,Urban,25.93,40.65,34.99,28.44
20,Rural,34.10,32.61,22.00,31.40
21,Urban,34.36,42.47,28.19,31.40
21,Rural,33.00,32.61,22.00,31.40
22,Urban,31.68,40.65,28.61,26.32
22,Rural,33.00,32.61,22.00,31.40
23,Urban,32.85,40.65,28.61,30.74
23,Rural,33.00,32.61,22.00,31.40
24,Urban,36.30,45.10,32.73,24.29
24,Rural,33.00,32.61,22.00,31.40
25,Urban,34.36,40.65,28.61,31.40
25,Rural,20.34,32.61,22.00,31.40
26,Urban,34.36,40.65,28.61,31.40
26,Rural,33.00,32.61,22.00,31.40
