Year,IMAGE_region,Population
1700,1,200000.0
1700,2,940705.0
1700,3,4000000.0
1700,4,1661377.0
1700,5,551256.0
1700,6,5350556.0
1700,7,9300718.0
1700,8,46080369.0
1700,9,15431185.0
1700,10,860000.0
1700,11,77056942.0
1700,12,17885298.0
1700,13,8500000.0
1700,14,6060000.0
1700,15,4490000.0
1700,16,12464704.0
1700,17,12739068.0
1700,18,164991312.0
1700,19,6250000.0
1700,20,101033307.0
1700,21,14966268.0
1700,22,10732822.0
1700,23,26700000.0
1700,24,713597.0
1700,25,35985000.0
1700,26,7786954.0
1710,1,227285.0
1710,2,1374559.0
1710,3,4335681.0
1710,4,1733439.0
1710,5,634155.0
1710,6,5445886.0
1710,7,9340042.0
1710,8,46767357.0
1710,9,14262654.0
1710,10,843752.0
1710,11,81709269.0
1710,12,19083250.0
1710,13,8599308.0
1710,14,6592000.0
1710,15,4639415.0
1710,16,14297191.0
1710,17,12984131.0
1710,18,168657792.0
1710,19,6869903.0
1710,20,105784095.0
1710,21,15515214.0
1710,22,10836946.0
1710,23,29000000.0
1710,24,636219.0
1710,25,36678672.0
1710,26,6812701.0
1720,1,264289.0
1720,2,1820423.0
1720,3,4671363.0
1720,4,1817686.0
1720,5,733297.0
1720,6,5542658.0
1720,7,9412127.0
1720,8,46649086.0
1720,9,14436393.0
1720,10,827505.0
1720,11,85125765.0
1720,12,20086026.0
1720,13,8723936.0
1720,14,6999255.0
1720,15,4786155.0
1720,16,16719577.0
1720,17,13162021.0
1720,18,172324256.0
1720,19,7314155.0
1720,20,121297166.0
1720,21,16091777.0
1720,22,10941083.0
1720,23,29000000.0
1720,24,642215.0
1720,25,37383446.0
1720,26,6944053.0
1730,1,308210.0
1730,2,2266299.0
1730,3,5007044.0
1730,4,1925198.0
1730,5,852425.0
1730,6,5640922.0
1730,7,9484959.0
1730,8,46582280.0
1730,9,14616906.0
1730,10,811258.0
1730,11,88691138.0
1730,12,21134686.0
1730,13,8850370.0
1730,14,7432554.0
1730,15,4941955.0
1730,16,19149355.0
1730,17,13344032.0
1730,18,175990736.0
1730,19,7787693.0
1730,20,128917668.0
1730,21,16669471.0
1730,22,11045233.0
1730,23,29000000.0
1730,24,648845.0
1730,25,38102423.0
1730,26,7080292.0
1740,1,360422.0
1740,2,2712188.0
1740,3,5342725.0
1740,4,2032494.0
1740,5,996206.0
1740,6,5740718.0
1740,7,9558615.0
1740,8,46566042.0
1740,9,14805216.0
1740,10,795011.0
1740,11,92230592.0
1740,12,22232807.0
1740,13,8978636.0
1740,14,7893629.0
1740,15,5107319.0
1740,16,21587115.0
1740,17,13530341.0
1740,18,179657216.0
1740,19,8292483.0
1740,20,144907959.0
1740,21,17248360.0
1740,22,11149398.0
1740,23,29000000.0
1740,24,656191.0
1740,25,38835870.0
1740,26,7221926.0
1750,1,422573.0
1750,2,3158090.0
1750,3,5678407.0
1750,4,2169330.0
1750,5,1170477.0
1750,6,5842108.0
1750,7,9633194.0
1750,8,46599938.0
1750,9,15002720.0
1750,10,778764.0
1750,11,95767735.0
1750,12,23384342.0
1750,13,9108761.0
1750,14,8384333.0
1750,15,5282780.0
1750,16,24033488.0
1750,17,13721148.0
1750,18,183323680.0
1750,19,8830620.0
1750,20,180333037.0
1750,21,17828527.0
1750,22,11253577.0
1750,23,29000000.0
1750,24,664352.0
1750,25,39584065.0
1750,26,7369549.0
1760,1,496640.0
1760,2,3604008.0
1760,3,6014088.0
1760,4,2331266.0
1760,5,1382544.0
1760,6,5945144.0
1760,7,9708804.0
1760,8,46684045.0
1760,9,15211364.0
1760,10,762517.0
1760,11,99436545.0
1760,12,24593660.0
1760,13,9240772.0
1760,14,8906647.0
1760,15,5468898.0
1760,16,26489167.0
1760,17,13916668.0
1760,18,186990160.0
1760,19,9404343.0
1760,20,199127837.0
1760,21,18410069.0
1760,22,11757769.0
1760,23,28800000.0
1760,24,673445.0
1760,25,40347294.0
1760,26,7523850.0
1770,1,584998.0
1770,2,4049942.0
1770,3,6349769.0
1770,4,2523717.0
1770,5,1641561.0
1770,6,6049881.0
1770,7,9785575.0
1770,8,46819007.0
1770,9,15433953.0
1770,10,746270.0
1770,11,103110603.0
1770,12,25865619.0
1770,13,9374696.0
1770,14,9462685.0
1770,15,5666264.0
1770,16,28954894.0
1770,17,14117127.0
1770,18,190656624.0
1770,19,10016045.0
1770,20,222290742.0
1770,21,18993104.0
1770,22,12261976.0
1770,23,28600000.0
1770,24,683790.0
1770,25,41125836.0
1770,26,7685632.0
1780,1,690496.0
1780,2,4495894.0
1780,3,6685451.0
1780,4,2767088.0
1780,5,1959014.0
1780,6,6156386.0
1780,7,9863666.0
1780,8,47006106.0
1780,9,15674693.0
1780,10,730023.0
1780,11,106783746.0
1780,12,27205609.0
1780,13,9510561.0
1780,14,10054720.0
1780,15,5875503.0
1780,16,31431471.0
1780,17,14322786.0
1780,18,194323104.0
1780,19,10668280.0
1780,20,277925220.0
1780,21,19577786.0
1780,22,12766196.0
1780,23,28400000.0
1780,24,695646.0
1780,25,41919990.0
1780,26,7855861.0
1788,1,
1788,2,4000.0
1788,3,
1788,4,
1788,5,
1788,6,
1788,7,
1788,8,
1788,9,
1788,10,
1788,11,
1788,12,
1788,13,
1788,14,
1788,15,
1788,16,
1788,17,
1788,18,
1788,19,
1788,20,
1788,21,
1788,22,
1788,23,
1788,24,
1788,25,
1788,26,
1790,1,816554.0
1790,2,4941864.0
1790,3,7021132.0
1790,4,3052557.0
1790,5,2349325.0
1790,6,6264725.0
1790,7,9943260.0
1790,8,47247387.0
1790,9,15924264.0
1790,10,713776.0
1790,11,110514415.0
1790,12,28619643.0
1790,13,9648396.0
1790,14,10685170.0
1790,15,6097276.0
1790,16,33919768.0
1790,17,14533917.0
1790,18,197989584.0
1790,19,11363777.0
1790,20,301055807.0
1790,21,20164297.0
1790,22,13270431.0
1790,23,28200000.0
1790,24,710030.0
1790,25,42730061.0
1790,26,8035679.0
1800,1,500000.0
1800,2,6009636.0
1800,3,5100000.0
1800,4,3129990.0
1800,5,2500000.0
1800,6,6777957.0
1800,7,9530787.0
1800,8,33584143.0
1800,9,26861063.0
1800,10,1447911.0
1800,11,108805726.0
1800,12,35159771.0
1800,13,9761393.0
1800,14,14283129.0
1800,15,5324628.0
1800,16,33661105.0
1800,17,14218897.0
1800,18,200733034.0
1800,19,13740000.0
1800,20,332637310.0
1800,21,18516520.0
1800,22,16863439.0
1800,23,28000000.0
1800,24,851860.0
1800,25,41775749.0
1800,26,9853132.0
1801,1,512396.0
1801,2,6113782.0
1801,3,5165663.0
1801,4,2714823.0
1801,5,2574764.0
1801,6,6735891.0
1801,7,9583829.0
1801,8,33588511.0
1801,9,26809680.0
1801,10,1453209.0
1801,11,109485641.0
1801,12,35305967.0
1801,13,9776186.0
1801,14,14283129.0
1801,15,5324628.0
1801,16,33661105.0
1801,17,14262064.0
1801,18,201128850.0
1801,19,13740000.0
1801,20,334159933.0
1801,21,18460847.0
1801,22,16905604.0
1801,23,28142859.0
1801,24,728207.0
1801,25,41801648.0
1801,26,9878322.0
1802,1,525100.0
1802,2,6229723.0
1802,3,5232171.0
1802,4,2746668.0
1802,5,2651763.0
1802,6,6701951.0
1802,7,9637986.0
1802,8,33594905.0
1802,9,26819466.0
1802,10,1458526.0
1802,11,110184607.0
1802,12,35453465.0
1802,13,9791003.0
1802,14,14283129.0
1802,15,5324628.0
1802,16,33661105.0
1802,17,14305412.0
1802,18,201525446.0
1802,19,13740000.0
1802,20,335707045.0
1802,21,18414988.0
1802,22,16947879.0
1802,23,28286447.0
1802,24,727173.0
1802,25,41828258.0
1802,26,9908017.0
1803,1,538119.0
1803,2,6347862.0
1803,3,5299535.0
1803,4,2781136.0
1803,5,2731066.0
1803,6,6669348.0
1803,7,9692517.0
1803,8,33601327.0
1803,9,26829616.0
1803,10,1463862.0
1803,11,110891266.0
1803,12,35602276.0
1803,13,9805842.0
1803,14,14283129.0
1803,15,5324628.0
