year,kg/unit,steel,aluminium,concrete,plastics,glass,copper,neodymium,cobalt,lead
2000,HV Substations,14652,33204,123900,302,0.05,4611.39,0,0,0.002
2050,HV Substations,13186.8,29883.6,111510,271.8,0,4150.251,0,0,0.0018
2000,MV Substations,1815,1228,127021,0,0,279.2,0,0,0
2050,MV Substations,1633.5,1105.2,114318.9,0,0,251.28,0,0,0
2000,LV Substations,38,1228,476,0,0,0.5,0,0,0
2050,LV Substations,34.2,1105.2,428.4,0,0,0.45,0,0,0
2000,HV Transformers,295999,497,648000,0,0,76047,0,0,0
2050,HV Transformers,266399.1,447.3,583200,0,0,68442.3,0,0,0
2000,MV Transformers,22659,21,46826,0,0,6877,0,0,0.0883
2050,MV Transformers,20393.1,18.9,42143.4,0,0,6189.3,0,0,0.07947
2000,LV Transformers,480,85,176,0,0,13,0,0,0
2050,LV Transformers,432,76.5,158.4,0,0,11.7,0,0,0
