year,kg/km,Steel,Aluminium,Concrete,Plastics,Glass,Cu,Nd,Co,Pb
2000,HV overhead,35656,13171,124649,0,1097,0,0,0,0
2050,HV overhead,35656,13171,124649,0,1097,0,0,0,0
2000,HV underground,0,6722,8750,5102,0,12056,0,0,14050
2050,HV underground,0,6722,8750,5102,0,12056,0,0,14050
2000,MV overhead,5914,1500,13000,19.3,0,743.9,0,0,0
2050,MV overhead,5914,1500,13000,19.3,0,743.9,0,0,0
2000,MV underground,0,1625,0,1347,0,1838,0,0,0
2050,MV underground,0,1625,0,1347,0,1838,0,0,0
2000,LV overhead,88.5,531.0,0,0,0,1000.0,0,0,0
2050,LV overhead,88.5,531.0,0,0,0,1000.0,0,0,0
2000,LV underground,0,454.9,0,378,0,954.7,0,0,0
2050,LV underground,0,454.9,0,378,0,954.7,0,0,0
