year,kg/unit,steel,aluminium,concrete,plastics,glass,copper,neodymium,cobalt,lead
2000,HV Substations,14652.0,33204.0,123900.0,302.0,0.05,4611.39,0.0,0.0,0.002
2050,HV Substations,10989.0,24903.0,92925.0,226.5,0.037500000000000006,3458.5425000000005,0.0,0.0,0.0015
2000,MV Substations,1815.0,1228.0,127021.0,0.0,0.0,279.2,0.0,0.0,0.0
2050,MV Substations,1361.25,921.0,95265.75,0.0,0.0,209.39999999999998,0.0,0.0,0.0
2000,LV Substations,38.0,1228.0,476.0,0.0,0.0,0.5,0.0,0.0,0.0
2050,LV Substations,28.5,921.0,357.0,0.0,0.0,0.375,0.0,0.0,0.0
2000,HV Transformers,295999.0,497.0,648000.0,0.0,0.0,76047.0,0.0,0.0,0.0
2050,HV Transformers,221999.25,372.75,486000.0,0.0,0.0,57035.25,0.0,0.0,0.0
2000,MV Transformers,22659.0,21.0,46826.0,0.0,0.0,6877.0,0.0,0.0,0.0883
2050,MV Transformers,16994.25,15.75,35119.5,0.0,0.0,5157.75,0.0,0.0,0.066225
2000,LV Transformers,480.0,85.0,176.0,0.0,0.0,13.0,0.0,0.0,0.0
2050,LV Transformers,360.0,63.75,132.0,0.0,0.0,9.75,0.0,0.0,0.0
