year,kg/km,Steel,Aluminium,Concrete,Plastics,Glass,Cu,Nd,Co,Pb
2000,HV overhead,35656.0,13171.0,124649.0,0.0,1097.0,0.0,0.0,0.0,0.0
2050,HV overhead,26742.0,9878.25,93486.75,0.0,822.75,0.0,0.0,0.0,0.0
2000,HV underground,0.0,6722.0,8750.0,5102.0,0.0,12056.0,0.0,0.0,14050.0
2050,HV underground,0.0,5041.5,6562.5,3826.5,0.0,9042.0,0.0,0.0,10537.5
2000,MV overhead,5914.0,1500.0,13000.0,19.3,0.0,743.9,0.0,0.0,0.0
2050,MV overhead,4435.5,1125.0,9750.0,14.475000000000001,0.0,557.925,0.0,0.0,0.0
2000,MV underground,0.0,1625.0,0.0,1347.0,0.0,1838.0,0.0,0.0,0.0
2050,MV underground,0.0,1218.75,0.0,1010.25,0.0,1378.5,0.0,0.0,0.0
2000,LV overhead,88.5,531.0,0.0,0.0,0.0,1000.0,0.0,0.0,0.0
2050,LV overhead,66.375,398.25,0.0,0.0,0.0,750.0,0.0,0.0,0.0
2000,LV underground,0.0,454.9,0.0,378.0,0.0,954.7,0.0,0.0,0.0
2050,LV underground,0.0,341.17499999999995,0.0,283.5,0.0,716.0250000000001,0.0,0.0,0.0
