year,kg/unit,steel,aluminium,concrete,plastics,glass,copper,neodymium,cobalt,lead
2000,HV Substations,14652,33204,123900,302,0.05,4611.39,0,0,0.00200
2050,HV Substations,14652,33204,123900,302,0,4611,0,0,0
2000,MV Substations,1815,1228,127021,0,0,279.2,0,0,0
2050,MV Substations,1815,1228,127021,0,0,279,0,0,0
2000,LV Substations,38,1228,476,0,0,0.5,0,0,0
2050,LV Substations,38,1228,476,0,0,0.5,0,0,0
2000,HV Transformers,295999,497,648000,0,0,76047,0,0,0
2050,HV Transformers,295999,497,648000,0,0,76047,0,0,0
2000,MV Transformers,22659,21,46826,0,0,6877,0,0,0.0883
2050,MV Transformers,22659,21,46826,0,0,6877,0,0,0
2000,LV Transformers,480,85,176,0,0,13,0,0,0
2050,LV Transformers,480,85,176,0,0,13,0,0,0
