time,source,scenario,type_data,unit,region,category,technology,material,value
2020,IEA,historic,inflow,kt,World,EV battery,,lithium,20
2020,IEA,historic,inflow,kt,World,EV battery,,nickel,80
2020,IEA,historic,inflow,kt,World,EV battery,,cobalt,21
2020,IEA,historic,inflow,kt,World,EV battery,,manganese,25
2020,IEA,historic,inflow,kt,World,EV battery,,copper,110
2020,IEA,historic,inflow,kt,World,EV battery,,graphite,141
2020,IEA,historic,inflow,kt,World,EV battery,,silicon,0
2020,IEA,historic,inflow,kt,World,EV battery,,REE,21
2030,IEA,STEPS,inflow,kt,World,EV battery,,lithium,152
2030,IEA,STEPS,inflow,kt,World,EV battery,,nickel,647
2030,IEA,STEPS,inflow,kt,World,EV battery,,cobalt,106
2030,IEA,STEPS,inflow,kt,World,EV battery,,manganese,102
2030,IEA,STEPS,inflow,kt,World,EV battery,,copper,717
2030,IEA,STEPS,inflow,kt,World,EV battery,,graphite,1065
2030,IEA,STEPS,inflow,kt,World,EV battery,,silicon,8
2030,IEA,STEPS,inflow,kt,World,EV battery,,REE,112
2040,IEA,STEPS,inflow,kt,World,EV battery,,lithium,248
2040,IEA,STEPS,inflow,kt,World,EV battery,,nickel,950
2040,IEA,STEPS,inflow,kt,World,EV battery,,cobalt,127
2040,IEA,STEPS,inflow,kt,World,EV battery,,manganese,117
2040,IEA,STEPS,inflow,kt,World,EV battery,,copper,951
2040,IEA,STEPS,inflow,kt,World,EV battery,,graphite,1027
2040,IEA,STEPS,inflow,kt,World,EV battery,,silicon,26
2040,IEA,STEPS,inflow,kt,World,EV battery,,REE,143
2030,IEA,SDS,inflow,kt,World,EV battery,,lithium,358
2030,IEA,SDS,inflow,kt,World,EV battery,,nickel,1567
2030,IEA,SDS,inflow,kt,World,EV battery,,cobalt,257
2030,IEA,SDS,inflow,kt,World,EV battery,,manganese,246
2030,IEA,SDS,inflow,kt,World,EV battery,,copper,1633
2030,IEA,SDS,inflow,kt,World,EV battery,,graphite,2499
2030,IEA,SDS,inflow,kt,World,EV battery,,silicon,20
2030,IEA,SDS,inflow,kt,World,EV battery,,REE,234
2040,IEA,SDS,inflow,kt,World,EV battery,,lithium,859
2040,IEA,SDS,inflow,kt,World,EV battery,,nickel,3287
2040,IEA,SDS,inflow,kt,World,EV battery,,cobalt,441
2040,IEA,SDS,inflow,kt,World,EV battery,,manganese,404
2040,IEA,SDS,inflow,kt,World,EV battery,,copper,3119
2040,IEA,SDS,inflow,kt,World,EV battery,,graphite,3569
2040,IEA,SDS,inflow,kt,World,EV battery,,silicon,90
2040,IEA,SDS,inflow,kt,World,EV battery,,REE,35
2030,IRENA_2024,Current_Trends,inflow,kt,World,EV battery,,lithium,2270
2030,IRENA_2024,Current_Trends,inflow,kt,World,EV battery,,cobalt,120
2030,IRENA_2024,Current_Trends,inflow,kt,World,EV battery,,graphite,2160
2030,IRENA_2024,Current_Trends,inflow,kt,World,EV battery,,nickel,620
2030,IRENA_2024,Current_Trends,inflow,kt,World,EV battery,,copper,1390
2030,IRENA_2024,Current_Trends,inflow,kt,World,EV battery,,phosphorous,880
2030,IRENA_2024,Current_Trends,inflow,kt,World,EV battery,,manganese,370
2030,IRENA_2024,Technology_Stagnation,inflow,kt,World,EV battery,,lithium,2470
2030,IRENA_2024,Technology_Stagnation,inflow,kt,World,EV battery,,cobalt,220
2030,IRENA_2024,Technology_Stagnation,inflow,kt,World,EV battery,,graphite,2210
2030,IRENA_2024,Technology_Stagnation,inflow,kt,World,EV battery,,nickel,1100
2030,IRENA_2024,Technology_Stagnation,inflow,kt,World,EV battery,,copper,1320
2030,IRENA_2024,Technology_Stagnation,inflow,kt,World,EV battery,,phosphorous,630
2030,IRENA_2024,Technology_Stagnation,inflow,kt,World,EV battery,,manganese,350
