Time,source,scenario,type_data,unit,Region,Technology,Sub-Technology,value
2010,IEA,historic,inflow,count,World,Buses,BEV,1100
2015,IEA,historic,inflow,count,World,Buses,BEV,44000
2020,IEA,historic,inflow,count,World,Buses,BEV,63000
2024,IEA,historic,inflow,count,World,Buses,BEV,70000
2030,IEA,STEPS,inflow,count,World,Buses,BEV,330000
2011,IEA,historic,inflow,count,World,Buses,PHEV,160
2015,IEA,historic,inflow,count,World,Buses,PHEV,14000
2020,IEA,historic,inflow,count,World,Buses,PHEV,1900
2024,IEA,historic,inflow,count,World,Buses,PHEV,180
2030,IEA,STEPS,inflow,count,World,Buses,PHEV,8100
2010,IEA,historic,inflow,count,World,Cars,BEV,7000
2011,IEA,historic,inflow,count,World,Cars,BEV,40000
2015,IEA,historic,inflow,count,World,Cars,BEV,330000
2020,IEA,historic,inflow,count,World,Cars,BEV,2000000
2024,IEA,historic,inflow,count,World,Cars,BEV,11000000
2030,IEA,STEPS,inflow,count,World,Cars,BEV,28000000
2010,IEA,historic,inflow,count,World,Cars,PHEV,450
2011,IEA,historic,inflow,count,World,Cars,PHEV,9000
2015,IEA,historic,inflow,count,World,Cars,PHEV,190000
2020,IEA,historic,inflow,count,World,Cars,PHEV,970000
2024,IEA,historic,inflow,count,World,Cars,PHEV,6500000
2030,IEA,STEPS,inflow,count,World,Cars,PHEV,12000000
2010,IEA,historic,inflow,count,World,Trucks,BEV,37
2015,IEA,historic,inflow,count,World,Trucks,BEV,17000
2020,IEA,historic,inflow,count,World,Trucks,BEV,18000
2024,IEA,historic,inflow,count,World,Trucks,BEV,93000
2030,IEA,STEPS,inflow,count,World,Trucks,BEV,840000
2015,IEA,historic,inflow,count,World,Trucks,PHEV,13
2020,IEA,historic,inflow,count,World,Trucks,PHEV,31
2021,IEA,historic,inflow,count,World,Trucks,PHEV,550
2024,IEA,historic,inflow,count,World,Trucks,PHEV,22
2030,IEA,STEPS,inflow,count,World,Trucks,PHEV,30000
