Time,source,scenario,type_data,unit,Region,Technology,Sub-Technology,value
2010,IEA,historic,stocks,count,World,Buses,BEV,8500
2011,IEA,historic,stocks,count,World,Buses,BEV,11000
2015,IEA,historic,stocks,count,World,Buses,BEV,100000
2020,IEA,historic,stocks,count,World,Buses,BEV,500000
2024,IEA,historic,stocks,count,World,Buses,BEV,730000
2030,IEA,STEPS,stocks,count,World,Buses,BEV,2200000
2011,IEA,historic,stocks,count,World,Buses,PHEV,160
2015,IEA,historic,stocks,count,World,Buses,PHEV,22000
2020,IEA,historic,stocks,count,World,Buses,PHEV,35000
2024,IEA,historic,stocks,count,World,Buses,PHEV,39000
2030,IEA,STEPS,stocks,count,World,Buses,PHEV,64000
2010,IEA,historic,stocks,count,World,Cars,BEV,20000
2011,IEA,historic,stocks,count,World,Cars,BEV,58000
2015,IEA,historic,stocks,count,World,Cars,BEV,730000
2020,IEA,historic,stocks,count,World,Cars,BEV,6800000
2024,IEA,historic,stocks,count,World,Cars,BEV,39000000
2030,IEA,STEPS,stocks,count,World,Cars,BEV,150000000
2010,IEA,historic,stocks,count,World,Cars,PHEV,400
2011,IEA,historic,stocks,count,World,Cars,PHEV,9500
2015,IEA,historic,stocks,count,World,Cars,PHEV,520000
2020,IEA,historic,stocks,count,World,Cars,PHEV,3400000
2024,IEA,historic,stocks,count,World,Cars,PHEV,19000000
2030,IEA,STEPS,stocks,count,World,Cars,PHEV,82000000
2010,IEA,historic,stocks,count,World,Trucks,BEV,1100
2015,IEA,historic,stocks,count,World,Trucks,BEV,18000
2020,IEA,historic,stocks,count,World,Trucks,BEV,210000
2024,IEA,historic,stocks,count,World,Trucks,BEV,400000
2030,IEA,STEPS,stocks,count,World,Trucks,BEV,3200000
2015,IEA,historic,stocks,count,World,Trucks,PHEV,36
2020,IEA,historic,stocks,count,World,Trucks,PHEV,110
2021,IEA,historic,stocks,count,World,Trucks,PHEV,650
2024,IEA,historic,stocks,count,World,Trucks,PHEV,1300
2030,IEA,STEPS,stocks,count,World,Trucks,PHEV,58000
