time,source,scenario,type_data,unit,region,category,technology,sub_technology,value
2013,F_ISI,basis,inflow,GWh,World,grid_scale_storage,battery,,1
2014,F_ISI,basis,inflow,GWh,World,grid_scale_storage,battery,,1
2015,F_ISI,basis,inflow,GWh,World,grid_scale_storage,battery,,1
2016,F_ISI,basis,inflow,GWh,World,grid_scale_storage,battery,,2
2017,F_ISI,basis,inflow,GWh,World,grid_scale_storage,battery,,5
2018,F_ISI,basis,inflow,GWh,World,grid_scale_storage,battery,,11
2019,F_ISI,basis,inflow,GWh,World,grid_scale_storage,battery,,11
2020,F_ISI,basis,inflow,GWh,World,grid_scale_storage,battery,,21
2021,F_ISI,basis,inflow,GWh,World,grid_scale_storage,battery,,50
2022,F_ISI,basis,inflow,GWh,World,grid_scale_storage,battery,,62
2023,F_ISI,basis,inflow,GWh,World,grid_scale_storage,battery,,77
2024,F_ISI,basis,inflow,GWh,World,grid_scale_storage,battery,,96
2025,F_ISI,basis,inflow,GWh,World,grid_scale_storage,battery,,117
2026,F_ISI,basis,inflow,GWh,World,grid_scale_storage,battery,,143
2027,F_ISI,basis,inflow,GWh,World,grid_scale_storage,battery,,174
2028,F_ISI,basis,inflow,GWh,World,grid_scale_storage,battery,,209
2029,F_ISI,basis,inflow,GWh,World,grid_scale_storage,battery,,250
2030,F_ISI,basis,inflow,GWh,World,grid_scale_storage,battery,,297
