time,source,scenario,type_data,unit,region,category,technology,sub_technology,value
2014,IRENA,historic,stock,GW,World,grid_scale_storage,PHS,,142
2014,IRENA,historic,stock,GW,World,grid_scale_storage,battery,Na-S,0.401
2014,IRENA,historic,stock,GW,World,grid_scale_storage,battery,Li-ion,0.238
2014,IRENA,historic,stock,GW,World,grid_scale_storage,battery,CAES,0.440
2014,IRENA,historic,stock,GW,World,grid_scale_storage,battery,lead_acid,0.08
2014,IRENA,historic,stock,GW,World,grid_scale_storage,battery,redox_flow,0.046
2014,IRENA,historic,stock,GW,World,grid_scale_storage,battery,Ni-Ca,0.03
2014,IRENA,historic,stock,GW,World,grid_scale_storage,battery,flywheels,0.025
2021,IEA,historic,stock,GW,World,grid_scale_storage,PHS,,160
2021,IEA,historic,stock,GW,World,grid_scale_storage,battery,,17
2022,IEA,historic,stock,GW,World,grid_scale_storage,battery,,28
2023,IEA,historic,stock,GW,World,behind_the_meter,battery,,33
2023,IEA,historic,stock,GW,World,grid_scale_storage,battery,,54
2023,IEA,historic,stock,GW,World,grid_scale_storage,PHS,,181
2023,IEA,historic,stock,GW,World,grid_scale_storage,other,,4
2023,IEA,historic,stock,GW,World,grid_scale_storage,total,,272
2030,IEA,STEPS,stock,GW,World,grid_scale_storage,battery,,585
2030,IEA,STEPS,stock,GW,World,behind_the_meter,battery,,177
2030,IEA,STEPS,stock,GW,World,grid_scale_storage,PHS,,249
2030,IEA,STEPS,stock,GW,World,grid_scale_storage,other,,5
2030,IEA,STEPS,stock,GW,World,grid_scale_storage,total,,1016
2030,IEA,NZS,stock,GW,World,grid_scale_storage,battery,,1001
2030,IEA,NZS,stock,GW,World,behind_the_meter,battery,,203
2030,IEA,NZS,stock,GW,World,grid_scale_storage,PHS,,293
2030,IEA,NZS,stock,GW,World,grid_scale_storage,other,,6
2030,IEA,NZS,stock,GW,World,grid_scale_storage,total,,1503
2035,IEA,NZS,stock,GW,World,grid_scale_storage,total,,2880
2025,IHA,historic,stock,GW,World,grid_scale_storage,PHS,,200
2030,COP29_Global_Energy_Storage_and_Grids_Pledge,target,stock,GW,World,grid_scale_storage,total,,1500
