time,source,scenario,type_data,unit,region,category,technology,sub_technology,value
2013,IEA,historic,inflow,GW,World,behind_the_meter,battery,,0.1
2014,IEA,historic,inflow,GW,World,behind_the_meter,battery,,0.1
2015,IEA,historic,inflow,GW,World,behind_the_meter,battery,,0.3
2016,IEA,historic,inflow,GW,World,behind_the_meter,battery,,0.5
2017,IEA,historic,inflow,GW,World,behind_the_meter,battery,,0.8
2018,IEA,historic,inflow,GW,World,behind_the_meter,battery,,1.8
2019,IEA,historic,inflow,GW,World,behind_the_meter,battery,,1.8
2013,IEA,historic,inflow,GW,World,grid_scale_storage,battery,,0.1
2014,IEA,historic,inflow,GW,World,grid_scale_storage,battery,,0.3
2015,IEA,historic,inflow,GW,World,grid_scale_storage,battery,,0.4
2016,IEA,historic,inflow,GW,World,grid_scale_storage,battery,,0.8
2016,IEA,historic,inflow,GW,China,grid_scale_storage,battery,,0.1
2016,IEA,historic,inflow,GW,USA,grid_scale_storage,battery,,0.2
2016,IEA,historic,inflow,GW,EU,grid_scale_storage,battery,,0.1
2016,IEA,historic,inflow,GW,Korea,grid_scale_storage,battery,,0.2
2016,IEA,historic,inflow,GW,Japan,grid_scale_storage,battery,,0.1
2016,IEA,historic,inflow,GW,RoW,grid_scale_storage,battery,,0.1
2017,IEA,historic,inflow,GW,World,grid_scale_storage,battery,,1
2017,IEA,historic,inflow,GW,China,grid_scale_storage,battery,,0.1
2017,IEA,historic,inflow,GW,USA,grid_scale_storage,battery,,0.2
2017,IEA,historic,inflow,GW,EU,grid_scale_storage,battery,,0.1
2017,IEA,historic,inflow,GW,Korea,grid_scale_storage,battery,,0.2
2017,IEA,historic,inflow,GW,RoW,grid_scale_storage,battery,,0.4
2018,IEA,historic,inflow,GW,World,grid_scale_storage,battery,,1.6
2018,IEA,historic,inflow,GW,China,grid_scale_storage,battery,,0.4
2018,IEA,historic,inflow,GW,USA,grid_scale_storage,battery,,0.3
2018,IEA,historic,inflow,GW,EU,grid_scale_storage,battery,,0.2
2018,IEA,historic,inflow,GW,Korea,grid_scale_storage,battery,,0.3
2018,IEA,historic,inflow,GW,RoW,grid_scale_storage,battery,,0.4
2019,IEA,historic,inflow,GW,World,grid_scale_storage,battery,,1.7
2019,IEA,historic,inflow,GW,China,grid_scale_storage,battery,,0.4
2019,IEA,historic,inflow,GW,USA,grid_scale_storage,battery,,0.3
2019,IEA,historic,inflow,GW,EU,grid_scale_storage,battery,,0.2
2019,IEA,historic,inflow,GW,Korea,grid_scale_storage,battery,,0.2
2019,IEA,historic,inflow,GW,RoW,grid_scale_storage,battery,,0.6
2020,IEA,historic,inflow,GW,World,grid_scale_storage,battery,,3.7
2020,IEA,historic,inflow,GW,China,grid_scale_storage,battery,,0.9
2020,IEA,historic,inflow,GW,USA,grid_scale_storage,battery,,1.1
2020,IEA,historic,inflow,GW,EU,grid_scale_storage,battery,,0.2
2020,IEA,historic,inflow,GW,Korea,grid_scale_storage,battery,,1
2020,IEA,historic,inflow,GW,Japan,grid_scale_storage,battery,,0.1
2020,IEA,historic,inflow,GW,RoW,grid_scale_storage,battery,,0.4
2021,IEA,historic,inflow,GW,World,grid_scale_storage,battery,,6.4
2021,IEA,historic,inflow,GW,China,grid_scale_storage,battery,,1.9
2021,IEA,historic,inflow,GW,USA,grid_scale_storage,battery,,3
2021,IEA,historic,inflow,GW,EU,grid_scale_storage,battery,,0.5
2021,IEA,historic,inflow,GW,Korea,grid_scale_storage,battery,,0.1
2021,IEA,historic,inflow,GW,RoW,grid_scale_storage,battery,,0.9
2022,IEA,historic,inflow,GW,World,grid_scale_storage,battery,,11.1
2022,IEA,historic,inflow,GW,China,grid_scale_storage,battery,,4.8
2022,IEA,historic,inflow,GW,USA,grid_scale_storage,battery,,4
2022,IEA,historic,inflow,GW,EU,grid_scale_storage,battery,,1
2022,IEA,historic,inflow,GW,RoW,grid_scale_storage,battery,,1.3
2030,IEA,NZS,inflow,GW,World,grid_scale_storage,battery,,170
2024,IHA,historic,inflow,GW,World,grid_scale_storage,PHS,,8.4
2024,IHA,historic,inflow,GW,China,grid_scale_storage,PHS,,7.75
2024,IHA,historic,inflow,GW,EU,grid_scale_storage,PHS,,0.041
2024,IHA,historic,inflow,GW,NAF,grid_scale_storage,PHS,,0.349
2024,IHA,historic,inflow,GW,USA,grid_scale_storage,PHS,,0.096
