time,source,scenario,type_data,unit,region,category,technology,sub_technology,material,value
2020,IEA,historic,inflow,kt,World,stationary_storage,battery,,lithium,2
2020,IEA,historic,inflow,kt,World,stationary_storage,battery,,nickel,0
2020,IEA,historic,inflow,kt,World,stationary_storage,battery,,cobalt,0
2020,IEA,historic,inflow,kt,World,stationary_storage,battery,,manganese,0
2020,IEA,historic,inflow,kt,World,stationary_storage,battery,,copper,8
2020,IEA,historic,inflow,kt,World,stationary_storage,battery,,graphite,15
2020,IEA,historic,inflow,kt,World,stationary_storage,battery,,silicon,0
2020,IEA,historic,inflow,kt,World,stationary_storage,battery,,vanadium,0
2030,IEA,STEPS,inflow,kt,World,stationary_storage,battery,,lithium,12
2030,IEA,STEPS,inflow,kt,World,stationary_storage,battery,,nickel,10
2030,IEA,STEPS,inflow,kt,World,stationary_storage,battery,,cobalt,3
2030,IEA,STEPS,inflow,kt,World,stationary_storage,battery,,manganese,4
2030,IEA,STEPS,inflow,kt,World,stationary_storage,battery,,copper,55
2030,IEA,STEPS,inflow,kt,World,stationary_storage,battery,,graphite,86
2030,IEA,STEPS,inflow,kt,World,stationary_storage,battery,,silicon,1
2030,IEA,STEPS,inflow,kt,World,stationary_storage,battery,,vanadium,1
2040,IEA,STEPS,inflow,kt,World,stationary_storage,battery,,lithium,28
2040,IEA,STEPS,inflow,kt,World,stationary_storage,battery,,nickel,36
2040,IEA,STEPS,inflow,kt,World,stationary_storage,battery,,cobalt,9
2040,IEA,STEPS,inflow,kt,World,stationary_storage,battery,,manganese,9
2040,IEA,STEPS,inflow,kt,World,stationary_storage,battery,,copper,133
2040,IEA,STEPS,inflow,kt,World,stationary_storage,battery,,graphite,177
2040,IEA,STEPS,inflow,kt,World,stationary_storage,battery,,silicon,4
2040,IEA,STEPS,inflow,kt,World,stationary_storage,battery,,vanadium,13
2030,IEA,SDS,inflow,kt,World,stationary_storage,battery,,lithium,20
2030,IEA,SDS,inflow,kt,World,stationary_storage,battery,,nickel,17
2030,IEA,SDS,inflow,kt,World,stationary_storage,battery,,cobalt,6
2030,IEA,SDS,inflow,kt,World,stationary_storage,battery,,manganese,7
2030,IEA,SDS,inflow,kt,World,stationary_storage,battery,,copper,90
2030,IEA,SDS,inflow,kt,World,stationary_storage,battery,,graphite,142
2030,IEA,SDS,inflow,kt,World,stationary_storage,battery,,silicon,1
2030,IEA,SDS,inflow,kt,World,stationary_storage,battery,,vanadium,19
2040,IEA,SDS,inflow,kt,World,stationary_storage,battery,,lithium,45
2040,IEA,SDS,inflow,kt,World,stationary_storage,battery,,nickel,57
2040,IEA,SDS,inflow,kt,World,stationary_storage,battery,,cobalt,14
2040,IEA,SDS,inflow,kt,World,stationary_storage,battery,,manganese,14
2040,IEA,SDS,inflow,kt,World,stationary_storage,battery,,copper,211
2040,IEA,SDS,inflow,kt,World,stationary_storage,battery,,graphite,280
2040,IEA,SDS,inflow,kt,World,stationary_storage,battery,,silicon,7
2040,IEA,SDS,inflow,kt,World,stationary_storage,battery,,vanadium,21
