km/km,HV to MV,HV to LV
Canada,0.99,6.3
US,0.94,13.4
Mexico,2.24,24.1
Rest C.Am.,2.92,37.5
Brazil,2.9,17.35
Rest S.Am.,3.02,22.1
N.Africa,1.57,20.9
W.Africa,5.66,3.2
E.Africa,3.34,1.5
South Africa,2.9,17.35
W.Europe,6.42,18.75
C.Europe,6.18,15.6
Turkey,3.1,19.1
Ukraine,2.9,17.35
Stan,2.58,15.1
Russia,2.9,17.35
M.East,1.63,18.5
India,1.37,1.4
Korea,2.9,17.35
China,2.9,17.35
SE.Asia,3.45,40.9
Indonesia,2.9,17.35
Japan,2.9,17.35
Oceania,2.9,17.35
Rest S.Asia,1.69,38.5
Rest S.Africa,2.7,0.7
