Time,Unit,Region,Category,Technology,Value
2015,%,CAN,behind_the_meter,battery,0
2015,%,USA,behind_the_meter,battery,0
2015,%,MEX,behind_the_meter,battery,0
2015,%,RCAM,behind_the_meter,battery,0
2015,%,BRA,behind_the_meter,battery,0
2015,%,RSAM,behind_the_meter,battery,0
2015,%,NAF,behind_the_meter,battery,0
2015,%,WAF,behind_the_meter,battery,0
2015,%,EAF,behind_the_meter,battery,0
2015,%,SAF,behind_the_meter,battery,0
2015,%,WEU,behind_the_meter,battery,0
2015,%,CEU,behind_the_meter,battery,0
2015,%,TUR,behind_the_meter,battery,0
2015,%,UKR,behind_the_meter,battery,0
2015,%,STAN,behind_the_meter,battery,0
2015,%,RUS,behind_the_meter,battery,0
2015,%,ME,behind_the_meter,battery,0
2015,%,INDIA,behind_the_meter,battery,0
2015,%,KOR,behind_the_meter,battery,0
2015,%,CHN,behind_the_meter,battery,0
2015,%,SEAS,behind_the_meter,battery,0
2015,%,INDO,behind_the_meter,battery,0
2015,%,JAP,behind_the_meter,battery,0
2015,%,OCE,behind_the_meter,battery,0
2015,%,RSAS,behind_the_meter,battery,0
2015,%,RSAF,behind_the_meter,battery,0
2020,%,CAN,behind_the_meter,battery,2.5
2020,%,USA,behind_the_meter,battery,2.5
2020,%,MEX,behind_the_meter,battery,2.5
2020,%,RCAM,behind_the_meter,battery,2.5
2020,%,BRA,behind_the_meter,battery,2.5
2020,%,RSAM,behind_the_meter,battery,2.5
2020,%,NAF,behind_the_meter,battery,2.5
2020,%,WAF,behind_the_meter,battery,2.5
2020,%,EAF,behind_the_meter,battery,2.5
2020,%,SAF,behind_the_meter,battery,2.5
2020,%,WEU,behind_the_meter,battery,2.5
2020,%,CEU,behind_the_meter,battery,2.5
2020,%,TUR,behind_the_meter,battery,2.5
2020,%,UKR,behind_the_meter,battery,2.5
2020,%,STAN,behind_the_meter,battery,2.5
2020,%,RUS,behind_the_meter,battery,2.5
2020,%,ME,behind_the_meter,battery,2.5
2020,%,INDIA,behind_the_meter,battery,2.5
2020,%,KOR,behind_the_meter,battery,2.5
2020,%,CHN,behind_the_meter,battery,2.5
