Time,unit,technology,sub_technology,value

2018,kWh/kg,battery,LFP,0.120
2030,kWh/kg,battery,LFP,0.205

2018,kWh/kg,battery,Na-ion,0.09
2030,kWh/kg,battery,Na-ion,0.15

2018,kWh/kg,battery,low-nickel,0.185
2030,kWh/kg,battery,low-nickel,0.283

2018,kWh/kg,battery,high-nickel,0.185
2030,kWh/kg,battery,high-nickel,0.283

2018,kWh/kg,battery,NMC,0.185
2030,kWh/kg,battery,NMC,0.283

2018,kWh/kg,mechanical_storage,PHS,0.037
2030,kWh/kg,mechanical_storage,PHS,0.037

2018,kWh/kg,mechanical_storage,flywheel,0.017
2030,kWh/kg,mechanical_storage,flywheel,0.017

2018,kWh/kg,mechanical_storage,CAES,0.031
2030,kWh/kg,mechanical_storage,CAES,0.038

2018,kWh/kg,chemical_storage,hydrogen FC,0.157
2030,kWh/kg,chemical_storage,hydrogen FC,0.157

2018,kWh/kg,battery,NiMH,0.075
2030,kWh/kg,battery,NiMH,0.01

2018,kWh/kg,battery,lead-acid,0.05
2030,kWh/kg,battery,lead-acid,0.05

2018,kWh/kg,battery,LMO,0.121
2030,kWh/kg,battery,LMO,0.159

2018,kWh/kg,battery,NCA,0.23
2030,kWh/kg,battery,NCA,0.3

2018,kWh/kg,battery,LTO,0.065
2030,kWh/kg,battery,LTO,0.211

2018,kWh/kg,battery,flow-ZnBr,0.04
2030,kWh/kg,battery,flow-ZnBr,0.067

2018,kWh/kg,battery,flow-vanadium,0.025
2030,kWh/kg,battery,flow-vanadium,0.035

2018,kWh/kg,battery,Na-S,0.2
2030,kWh/kg,battery,Na-S,0.25

2018,kWh/kg,battery,ZEBRA,0.186
2030,kWh/kg,battery,ZEBRA,0.3

2018,kWh/kg,battery,Li-S,0.328
2030,kWh/kg,battery,Li-S,0.752

2018,kWh/kg,battery,Li-ceramic,0.299
2030,kWh/kg,battery,Li-ceramic,0.741

2018,kWh/kg,battery,Li-air,0.364
2030,kWh/kg,battery,Li-air,1.282
