Time,type_data,unit,Region,sector,technology,sub_technology,value
2010,inflow,share,World,generation,WON,GB-DFIG,0.79
2010,inflow,share,World,generation,WON,GB-PMSG,0.02
2010,inflow,share,World,generation,WON,DD-PMSG,0.10
2010,inflow,share,World,generation,WON,DD-EESG,0.09

2020,inflow,share,World,generation,WON,GB-DFIG,0.72
2020,inflow,share,World,generation,WON,GB-PMSG,0.05
2020,inflow,share,World,generation,WON,DD-PMSG,0.18
2020,inflow,share,World,generation,WON,DD-EESG,0.05

2030,inflow,share,World,generation,WON,GB-DFIG,0.75
2030,inflow,share,World,generation,WON,GB-PMSG,0.05
2030,inflow,share,World,generation,WON,DD-PMSG,0.15
2030,inflow,share,World,generation,WON,DD-EESG,0.05

2040,inflow,share,World,generation,WON,GB-DFIG,0.70
2040,inflow,share,World,generation,WON,GB-PMSG,0.10
2040,inflow,share,World,generation,WON,DD-PMSG,0.15
2040,inflow,share,World,generation,WON,DD-EESG,0.05

2050,inflow,share,World,generation,WON,GB-DFIG,0.25
2050,inflow,share,World,generation,WON,GB-PMSG,0.30
2050,inflow,share,World,generation,WON,DD-PMSG,0.40
2050,inflow,share,World,generation,WON,DD-EESG,0.05

2010,inflow,share,World,generation,WOFF,GB-DFIG,0.21
2010,inflow,share,World,generation,WOFF,GB-PMSG,0.25
2010,inflow,share,World,generation,WOFF,DD-PMSG,0.54

2020,inflow,share,World,generation,WOFF,GB-DFIG,0.065
2020,inflow,share,World,generation,WOFF,GB-PMSG,0.18
2020,inflow,share,World,generation,WOFF,DD-PMSG,0.755

2030,inflow,share,World,generation,WOFF,GB-DFIG,0.00
2030,inflow,share,World,generation,WOFF,GB-PMSG,0.15
2030,inflow,share,World,generation,WOFF,DD-PMSG,0.85

2040,inflow,share,World,generation,WOFF,GB-DFIG,0.00
2040,inflow,share,World,generation,WOFF,GB-PMSG,0.13
2040,inflow,share,World,generation,WOFF,DD-PMSG,0.88

