Time,type_data,unit,Region,sector,technology,sub_technology,material,value,min,max
2020,inflow,kg/MW,World,generation,WON,GB-DFIG,aluminium,3550,500,4200
2020,inflow,kg/MW,World,generation,WON,GB-DFIG,boron,0,0,7.3625
2020,inflow,kg/MW,World,generation,WON,GB-DFIG,cadmium,0,0,0
2020,inflow,kg/MW,World,generation,WON,GB-DFIG,chromium,2600,239,4000
2020,inflow,kg/MW,World,generation,WON,GB-DFIG,cobalt,4.5,3,6
2020,inflow,kg/MW,World,generation,WON,GB-DFIG,concrete,404000,317800,414000
2020,inflow,kg/MW,World,generation,WON,GB-DFIG,copper,2545,1130,10000
2020,inflow,kg/MW,World,generation,WON,GB-DFIG,dysprosium,2,0,42
2020,inflow,kg/MW,World,generation,WON,GB-DFIG,gallium,0.07500000000000001,0.05,0.1
2020,inflow,kg/MW,World,generation,WON,GB-DFIG,glass,7490,7280,7490
2020,inflow,kg/MW,World,generation,WON,GB-DFIG,graphite,10,3,17
2020,inflow,kg/MW,World,generation,WON,GB-DFIG,indium,0,0,0
2020,inflow,kg/MW,World,generation,WON,GB-DFIG,lead,0,6720,6720
2020,inflow,kg/MW,World,generation,WON,GB-DFIG,lithium,1.85,0.7,3
2020,inflow,kg/MW,World,generation,WON,GB-DFIG,manganese,2450,56.5,3000
2020,inflow,kg/MW,World,generation,WON,GB-DFIG,molybdenum,0,75.30000000000001,126
2020,inflow,kg/MW,World,generation,WON,GB-DFIG,neodymium,12,0,217.19375
2020,inflow,kg/MW,World,generation,WON,GB-DFIG,nickel,3500,111,4800
2020,inflow,kg/MW,World,generation,WON,GB-DFIG,niobium,0.4,0.3,37.699999999999996
2020,inflow,kg/MW,World,generation,WON,GB-DFIG,plastics,28500,6300,39000
2020,inflow,kg/MW,World,generation,WON,GB-DFIG,praseodymium,0,0,50.625
2020,inflow,kg/MW,World,generation,WON,GB-DFIG,selenium,0,0,0
2020,inflow,kg/MW,World,generation,WON,GB-DFIG,silver,0.03,0.03,0.03
2020,inflow,kg/MW,World,generation,WON,GB-DFIG,steel,143000,92120,179000
2020,inflow,kg/MW,World,generation,WON,GB-DFIG,tantalum,0,0,0
2020,inflow,kg/MW,World,generation,WON,GB-DFIG,tellurium,0,0,0
2020,inflow,kg/MW,World,generation,WON,GB-DFIG,terbium,0,0,7
2020,inflow,kg/MW,World,generation,WON,GB-DFIG,tin,0.25,0.2,0.3
2020,inflow,kg/MW,World,generation,WON,GB-DFIG,titanium,63,49,77
2020,inflow,kg/MW,World,generation,WON,GB-DFIG,vanadium,0.00035,0.0002,90.39999999999999
2020,inflow,kg/MW,World,generation,WON,GB-DFIG,zinc,70,0,5500
