Time,source,scenario,type_data,unit,Region,category,technology,sub_technology,value
2024,IHA,historic,stock,MW,Canada,grid_scale_storage,PHS,,177
2024,IHA,historic,stock,MW,United States,grid_scale_storage,PHS,,22266
2024,IHA,historic,stock,MW,Argentina,grid_scale_storage,PHS,,974
2024,IHA,historic,stock,MW,Brazil,grid_scale_storage,PHS,,20
2024,IHA,historic,stock,MW,Austria,grid_scale_storage,PHS,,3512
2024,IHA,historic,stock,MW,Belgium,grid_scale_storage,PHS,,1308
2024,IHA,historic,stock,MW,Bosnia and Herzegovina,grid_scale_storage,PHS,,420
2024,IHA,historic,stock,MW,Bulgaria,grid_scale_storage,PHS,,1404
2024,IHA,historic,stock,MW,Croatia,grid_scale_storage,PHS,,281
2024,IHA,historic,stock,MW,Czechia,grid_scale_storage,PHS,,1172
2024,IHA,historic,stock,MW,France,grid_scale_storage,PHS,,5065
2024,IHA,historic,stock,MW,Germany,grid_scale_storage,PHS,,9449
2024,IHA,historic,stock,MW,Greece,grid_scale_storage,PHS,,699
2024,IHA,historic,stock,MW,Ireland,grid_scale_storage,PHS,,292
2024,IHA,historic,stock,MW,Italy,grid_scale_storage,PHS,,7256
2024,IHA,historic,stock,MW,Liechtenstein,grid_scale_storage,PHS,,10
2024,IHA,historic,stock,MW,Lithuania,grid_scale_storage,PHS,,900
2024,IHA,historic,stock,MW,Luxembourg,grid_scale_storage,PHS,,1296
2024,IHA,historic,stock,MW,Norway,grid_scale_storage,PHS,,1401
2024,IHA,historic,stock,MW,Poland,grid_scale_storage,PHS,,1761
2024,IHA,historic,stock,MW,Portugal,grid_scale_storage,PHS,,3867
2024,IHA,historic,stock,MW,Romania,grid_scale_storage,PHS,,92
2024,IHA,historic,stock,MW,Serbia,grid_scale_storage,PHS,,614
2024,IHA,historic,stock,MW,Slovakia,grid_scale_storage,PHS,,993
2024,IHA,historic,stock,MW,Slovenia,grid_scale_storage,PHS,,180
2024,IHA,historic,stock,MW,Spain,grid_scale_storage,PHS,,5650
2024,IHA,historic,stock,MW,Sweden,grid_scale_storage,PHS,,99
2024,IHA,historic,stock,MW,Switzerland,grid_scale_storage,PHS,,4055
2024,IHA,historic,stock,MW,Ukraine,grid_scale_storage,PHS,,1470
2024,IHA,historic,stock,MW,United Kingdom,grid_scale_storage,PHS,,2833
2024,IHA,historic,stock,MW,Morocco,grid_scale_storage,PHS,,814
2024,IHA,historic,stock,MW,South Africa,grid_scale_storage,PHS,,2912
2024,IHA,historic,stock,MW,India,grid_scale_storage,PHS,,4746
2024,IHA,historic,stock,MW,Iran,grid_scale_storage,PHS,,1040
