Time,type_data,unit,Region,category,technology,sub_technology,value

2018,inflow,years,World,stationary_storage,battery,LFP,10.3
2030,inflow,years,World,stationary_storage,battery,LFP,20

2018,inflow,years,World,stationary_storage,battery,NMC333,6.2
2030,inflow,years,World,stationary_storage,battery,NMC333,8.2

2018,inflow,years,World,stationary_storage,battery,NMC532,6.2
2030,inflow,years,World,stationary_storage,battery,NMC532,8.2

2018,inflow,years,World,stationary_storage,battery,NMC622,6.2
2030,inflow,years,World,stationary_storage,battery,NMC622,8.2

2018,inflow,years,World,stationary_storage,battery,NMC811,6.2
2030,inflow,years,World,stationary_storage,battery,NMC811,8.2

2018,inflow,years,World,stationary_storage,battery,NMC955,6.2
2030,inflow,years,World,stationary_storage,battery,NMC955,8.2

2018,inflow,years,World,stationary_storage,battery,NCA,2.1
2030,inflow,years,World,stationary_storage,battery,NCA,3.3

2018,inflow,years,World,stationary_storage,battery,lead-acid,6.2
2030,inflow,years,World,stationary_storage,battery,lead-acid,12.3

2018,inflow,years,World,stationary_storage,battery,flow-ZnBr,12
2030,inflow,years,World,stationary_storage,battery,flow-ZnBr,20

2018,inflow,years,World,stationary_storage,battery,flow-vanadium,10
2030,inflow,years,World,stationary_storage,battery,flow-vanadium,17

2018,inflow,years,World,stationary_storage,battery,LMO,2.1
2030,inflow,years,World,stationary_storage,battery,LMO,3.3

2018,inflow,years,World,stationary_storage,battery,LTO,15
2030,inflow,years,World,stationary_storage,battery,LTO,23

2018,inflow,years,World,stationary_storage,battery,Li-S,2.15
2030,inflow,years,World,stationary_storage,battery,Li-S,4.11

2018,inflow,years,World,stationary_storage,battery,Li-O2,2.98
2030,inflow,years,World,stationary_storage,battery,Li-O2,4.44

2018,inflow,years,World,stationary_storage,battery,Li-ceramic,2
2030,inflow,years,World,stationary_storage,battery,Li-ceramic,10

2018,inflow,years,World,stationary_storage,battery,NiMH,4.1
2030,inflow,years,World,stationary_storage,battery,NiMH,6.2

2018,inflow,years,World,stationary_storage,battery,Na-S,17
2030,inflow,years,World,stationary_storage,battery,Na-S,22

2018,inflow,years,World,stationary_storage,battery,ZEBRA,15
2030,inflow,years,World,stationary_storage,battery,ZEBRA,22

2018,inflow,years,World,stationary_storage,mechanical,PHS,60
2030,inflow,years,World,stationary_storage,mechanical,PHS,60

2018,inflow,years,World,stationary_storage,mechanical,flywheel,20
2030,inflow,years,World,stationary_storage,mechanical,flywheel,30

2018,inflow,years,World,stationary_storage,mechanical,CAES,50
2030,inflow,years,World,stationary_storage,mechanical,CAES,50

2018,inflow,years,World,stationary_storage,chemical,hydrogen fuel cell,4.1
2030,inflow,years,World,stationary_storage,chemical,hydrogen fuel cell,9.6



